Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,2.0,2.0,2.0,2.0,200,0.0,,400.0,
2003-12-02,2.0,2.08,2.0,2.08,500,0.04,0.04,1040.0,
2003-12-03,2.08,2.08,2.08,2.08,0,0.0,0.0,0.0,
2003-12-04,2.08,2.08,2.08,2.08,0,0.0,0.0,0.0,
2003-12-05,2.08,2.08,2.08,2.08,0,0.0,0.0,0.0,
2003-12-08,2.08,2.08,2.08,2.08,0,0.0,0.0,0.0,
2003-12-09,2.08,2.08,2.08,2.08,0,0.0,0.0,0.0,
2003-12-10,1.94,1.94,1.94,1.94,17000,0.0,-0.0673,32980.0,
2003-12-11,1.94,1.94,1.94,1.94,0,0.0,0.0,0.0,
2003-12-12,1.94,1.94,1.94,1.94,0,0.0,0.0,0.0,
2003-12-15,1.95,1.95,1.85,1.85,5000,-0.0513,-0.0464,9250.0,3442.0
2003-12-16,1.84,1.85,1.58,1.7,9000,-0.0761,-0.0811,15300.0,4327.0
2003-12-17,1.7,1.7,1.7,1.7,0,0.0,0.0,0.0,5753.0
2003-12-18,1.58,1.7,1.58,1.7,600,0.0759,0.0,1020.0,5753.0
2003-12-19,1.6,1.61,1.57,1.57,5200,-0.0188,-0.0765,8164.0,5855.0
2003-12-22,1.56,1.6,1.56,1.6,4700,0.0256,0.0191,7520.0,6671.4
2003-12-23,1.67,1.69,1.67,1.67,1100,0.0,0.0437,1837.0,7423.4
2003-12-24,1.67,1.67,1.67,1.67,0,0.0,0.0,0.0,7607.1
2003-12-26,1.67,1.67,1.67,1.67,0,0.0,0.0,0.0,4309.1
2003-12-29,1.67,1.67,1.67,1.67,0,0.0,0.0,0.0,4309.1
2003-12-30,1.6,1.72,1.6,1.72,600,0.075,0.0299,1032.0,4309.1
2003-12-31,1.73,1.8,1.73,1.8,1000,0.0405,0.0465,1800.0,3487.3
2004-01-02,1.8,1.8,1.8,1.8,0,0.0,0.0,0.0,2137.3
2004-01-05,1.8,1.8,1.8,1.8,0,0.0,0.0,0.0,2137.3
2004-01-06,1.8,1.8,1.8,1.8,3000,0.0,0.0,5400.0,2035.3
2004-01-07,1.8,1.8,1.8,1.8,0,0.0,0.0,0.0,1758.9
2004-01-08,1.85,1.85,1.85,1.85,200,0.0,0.0278,370.0,1006.9
2004-01-09,1.81,1.81,1.78,1.79,7000,-0.011,-0.0324,12530.0,860.2
2004-01-12,1.79,1.8,1.79,1.8,2000,0.0056,0.0056,3600.0,2113.2
2004-01-13,1.8,1.8,1.8,1.8,1000,0.0,0.0,1800.0,2473.2
2004-01-14,1.8,1.8,1.7,1.8,5300,0.0,0.0,9540.0,2653.2
2004-01-15,1.8,1.8,1.8,1.8,0,0.0,0.0,0.0,3504.0
2004-01-16,1.81,1.81,1.75,1.75,1700,-0.0331,-0.0278,2975.0,3324.0
2004-01-20,1.75,1.75,1.75,1.75,2800,0.0,0.0,4900.0,3621.5
2004-01-21,1.75,1.79,1.73,1.79,1000,0.0229,0.0229,1790.0,4111.5
2004-01-22,1.77,1.77,1.74,1.75,4600,-0.0113,-0.0223,8050.0,3750.5
2004-01-23,1.75,1.75,1.75,1.75,0,0.0,0.0,0.0,4555.5
2004-01-26,1.75,1.75,1.75,1.75,0,0.0,0.0,0.0,4518.5
2004-01-27,1.75,1.75,1.75,1.75,0,0.0,0.0,0.0,3265.5
2004-01-28,1.75,1.75,1.75,1.75,0,0.0,0.0,0.0,2905.5
2004-01-29,1.76,1.76,1.75,1.75,5000,-0.0057,0.0,8750.0,2725.5
2004-01-30,1.75,1.75,1.75,1.75,0,0.0,0.0,0.0,2646.5
2004-02-02,1.76,1.76,1.76,1.76,200,0.0,0.0057,352.0,2646.5
2004-02-03,1.75,1.75,1.75,1.75,1200,0.0,-0.0057,2100.0,2384.2
2004-02-04,1.75,1.75,1.75,1.75,5600,0.0,0.0,9800.0,2104.2
2004-02-05,1.75,1.75,1.75,1.75,0,0.0,0.0,0.0,2905.2
2004-02-06,1.74,1.74,1.74,1.74,200,0.0,-0.0057,348.0,2100.2
2004-02-09,1.74,1.74,1.74,1.74,0,0.0,0.0,0.0,2135.0
