Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,36.0,36.0,36.0,36.0,0,0.0,,0.0,
2003-12-02,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,
2003-12-03,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,
2003-12-04,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,
2003-12-05,40.8,40.8,40.2,40.2,35,-0.0147,0.1167,1407.0,
2003-12-08,40.2,40.2,40.2,40.2,0,0.0,0.0,0.0,
2003-12-09,40.2,40.2,40.2,40.2,0,0.0,0.0,0.0,
2003-12-10,34.2,34.2,30.0,30.0,33,-0.1228,-0.2537,990.0,
2003-12-11,30.0,30.0,30.0,30.0,83,0.0,0.0,2490.0,
2003-12-12,30.0,30.0,30.0,30.0,47,0.0,0.0,1410.0,
2003-12-15,35.4,35.4,35.4,35.4,3,0.0,0.18,106.2,629.7
2003-12-16,35.4,35.4,35.4,35.4,0,0.0,0.0,0.0,640.32
2003-12-17,35.4,35.4,35.4,35.4,0,0.0,0.0,0.0,640.32
2003-12-18,35.4,35.4,35.4,35.4,0,0.0,0.0,0.0,640.32
2003-12-19,36.0,36.0,36.0,36.0,27,0.0,0.0169,972.0,640.32
2003-12-22,40.2,40.2,40.2,40.2,333,0.0,0.1167,13386.6,596.82
2003-12-23,40.2,40.2,40.2,40.2,0,0.0,0.0,0.0,1935.48
2003-12-24,40.8,40.8,40.8,40.8,38,0.0,0.0149,1550.4,1935.48
2003-12-26,42.0,42.0,42.0,42.0,190,0.0,0.0294,7980.0,1991.52
2003-12-29,42.0,42.0,42.0,42.0,0,0.0,0.0,0.0,2540.52
2003-12-30,45.6,45.6,45.0,45.0,138,-0.0132,0.0714,6210.0,2399.52
2003-12-31,45.0,47.4,42.0,47.4,438,0.0533,0.0533,20761.2,3009.9
2004-01-02,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,5086.02
2004-01-05,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,5086.02
2004-01-06,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,5086.02
2004-01-07,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,4988.82
2004-01-08,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,3650.16
2004-01-09,45.0,45.0,45.0,45.0,10,0.0,-0.0506,450.0,3650.16
2004-01-12,45.0,45.0,45.0,45.0,17,0.0,0.0,765.0,3540.12
2004-01-13,45.0,45.0,45.0,45.0,0,0.0,0.0,0.0,2818.62
2004-01-14,45.0,45.0,45.0,45.0,0,0.0,0.0,0.0,2818.62
2004-01-15,43.2,43.2,40.2,40.2,225,-0.0694,-0.1067,9045.0,2197.62
2004-01-16,40.2,40.2,40.2,40.2,0,0.0,0.0,0.0,1026.0
2004-01-20,40.2,40.2,40.2,40.2,0,0.0,0.0,0.0,1026.0
2004-01-21,40.2,40.2,40.2,40.2,0,0.0,0.0,0.0,1026.0
2004-01-22,40.2,40.2,40.2,40.2,0,0.0,0.0,0.0,1026.0
2004-01-23,40.2,40.2,34.2,34.2,1667,-0.1493,-0.1493,57011.4,1026.0
2004-01-26,34.2,34.2,34.2,34.2,0,0.0,0.0,0.0,6727.14
2004-01-27,36.6,37.2,36.6,37.2,22,0.0164,0.0877,818.4,6682.14
2004-01-28,37.2,37.2,37.2,37.2,0,0.0,0.0,0.0,6687.48
2004-01-29,37.2,37.2,37.2,37.2,0,0.0,0.0,0.0,6687.48
2004-01-30,40.2,40.2,40.2,40.2,2,0.0,0.0806,80.4,6687.48
2004-02-02,40.2,40.2,40.2,40.2,0,0.0,0.0,0.0,5791.02
2004-02-03,40.2,40.2,40.2,40.2,0,0.0,0.0,0.0,5791.02
2004-02-04,35.4,35.4,35.4,35.4,2,0.0,-0.1194,70.8,5791.02
2004-02-05,35.4,35.4,35.4,35.4,0,0.0,0.0,0.0,5798.1
2004-02-06,35.4,35.4,27.0,30.0,425,-0.1525,-0.1525,12750.0,5798.1
2004-02-09,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,1371.96
2004-02-10,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,1371.96
2004-02-11,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,1290.12
2004-02-12,31.2,31.2,31.2,31.2,17,0.0,0.04,530.4,1290.12
2004-02-13,31.2,31.2,31.2,31.2,417,0.0,0.0,13010.4,1343.16
2004-02-17,31.2,31.2,31.2,31.2,0,0.0,0.0,0.0,2636.16
2004-02-18,31.2,31.2,31.2,31.2,0,0.0,0.0,0.0,2636.16
2004-02-19,31.2,31.2,31.2,31.2,0,0.0,0.0,0.0,2636.16
2004-02-20,33.6,37.2,33.6,37.2,50,0.1071,0.1923,1860.0,2629.08
2004-02-23,40.8,40.8,37.8,37.8,12,-0.0735,0.0161,453.6,2815.08
2004-02-24,41.4,43.2,41.4,43.2,82,0.0435,0.1429,3542.4,1585.44
2004-02-25,43.2,43.2,43.2,43.2,0,0.0,0.0,0.0,1939.68
2004-02-26,40.2,40.2,40.2,40.2,15,0.0,-0.0694,603.0,1939.68
2004-02-27,39.0,40.2,37.2,37.2,180,-0.0462,-0.0746,6696.0,1999.98
2004-03-01,37.2,37.2,37.2,37.2,67,0.0,0.0,2492.4,2616.54
2004-03-02,40.2,40.2,39.0,39.0,75,-0.0299,0.0484,2925.0,1564.74
2004-03-03,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,1857.24
2004-03-04,39.0,39.0,37.2,37.2,37,-0.0462,-0.0462,1376.4,1857.24
2004-03-05,36.0,36.0,36.0,36.0,417,0.0,-0.0323,15012.0,1994.88
2004-03-08,36.0,36.0,36.0,36.0,960,0.0,0.0,34560.0,3310.08
2004-03-09,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,6720.72
2004-03-10,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,6366.48
2004-03-11,39.6,39.6,39.6,39.6,20,0.0,0.1,792.0,6366.48
2004-03-12,39.6,39.6,39.6,39.6,0,0.0,0.0,0.0,6385.38
2004-03-15,39.6,39.6,39.6,39.6,17,0.0,0.0,673.2,5715.78
2004-03-16,39.6,39.6,39.6,39.6,0,0.0,0.0,0.0,5533.86
2004-03-17,39.0,39.0,39.0,39.0,33,0.0,-0.0152,1287.0,5241.36
2004-03-18,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,5370.06
2004-03-19,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,5232.42
2004-03-22,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,3731.22
2004-03-23,39.0,39.0,39.0,39.0,33,0.0,0.0,1287.0,275.22
2004-03-24,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,403.92
2004-03-25,36.0,36.0,36.0,36.0,667,0.0,-0.0769,24012.0,403.92
2004-03-26,36.0,36.0,36.0,36.0,833,0.0,0.0,29988.0,2725.92
2004-03-29,39.0,39.0,36.0,36.0,883,-0.0769,0.0,31788.0,5724.72
2004-03-30,36.0,42.6,36.0,39.0,2370,0.0833,0.0833,92430.0,8836.2
2004-03-31,39.0,40.8,37.8,39.0,3243,0.0,0.0,126477.0,18079.2
2004-04-01,39.0,40.8,39.0,39.0,4963,0.0,0.0,193557.0,30598.2
2004-04-02,40.8,42.0,40.8,42.0,597,0.0294,0.0769,25074.0,49953.9
2004-04-05,43.8,43.8,42.0,42.0,108,-0.0411,0.0,4536.0,52461.3
2004-04-06,42.0,43.2,42.0,43.2,808,0.0286,0.0286,34905.6,52914.9
2004-04-07,43.2,43.2,43.2,43.2,0,0.0,0.0,0.0,56276.76
2004-04-08,39.0,39.0,37.2,37.2,140,-0.0462,-0.1389,5208.0,56276.76
2004-04-12,37.2,37.2,37.2,37.2,0,0.0,0.0,0.0,54396.36
2004-04-13,36.6,36.6,36.6,36.6,10,0.0,-0.0161,366.0,51397.56
2004-04-14,36.0,36.0,36.0,36.0,33,0.0,-0.0164,1188.0,48255.36
2004-04-15,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,39131.16
2004-04-16,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,26483.46
2004-04-19,39.0,39.0,39.0,39.0,2,0.0,0.0833,78.0,7127.76
2004-04-20,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,4628.16
2004-04-21,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,4174.56
2004-04-22,42.0,42.0,42.0,42.0,42,0.0,0.0769,1764.0,684.0
2004-04-23,42.0,42.0,42.0,42.0,0,0.0,0.0,0.0,860.4
2004-04-26,40.2,40.2,36.6,36.6,107,-0.0896,-0.1286,3916.2,339.6
2004-04-27,36.6,36.6,36.6,36.6,17,0.0,0.0,622.2,731.22
2004-04-28,36.0,36.0,36.0,36.0,25,0.0,-0.0164,900.0,756.84
2004-04-29,39.0,39.0,39.0,39.0,83,0.0,0.0833,3237.0,728.04
2004-04-30,39.6,41.4,39.6,41.4,207,0.0455,0.0615,8569.8,1051.74
2004-05-03,41.4,41.4,41.4,41.4,0,0.0,0.0,0.0,1908.72
2004-05-04,41.4,41.4,41.4,41.4,0,0.0,0.0,0.0,1900.92
2004-05-05,41.4,41.4,41.4,41.4,33,0.0,0.0,1366.2,1900.92
2004-05-06,41.4,41.4,41.4,41.4,0,0.0,0.0,0.0,2037.54
2004-05-07,41.4,41.4,41.4,41.4,17,0.0,0.0,703.8,1861.14
2004-05-10,41.4,41.4,41.4,41.4,0,0.0,0.0,0.0,1931.52
2004-05-11,42.0,42.0,42.0,42.0,150,0.0,0.0145,6300.0,1539.9
2004-05-12,39.0,45.0,39.0,45.0,350,0.1538,0.0714,15750.0,2107.68
2004-05-13,45.0,45.0,45.0,45.0,0,0.0,0.0,0.0,3592.68
2004-05-14,45.0,45.0,45.0,45.0,0,0.0,0.0,0.0,3268.98
2004-05-17,45.0,45.0,45.0,45.0,167,0.0,0.0,7515.0,2412.0
2004-05-18,45.0,45.0,42.6,42.6,395,-0.0533,-0.0533,16827.0,3163.5
2004-05-19,42.6,42.6,42.6,42.6,0,0.0,0.0,0.0,4846.2
2004-05-20,42.6,42.6,42.6,42.6,2,0.0,0.0,85.2,4709.58
2004-05-21,42.6,42.6,42.6,42.6,0,0.0,0.0,0.0,4718.1
2004-05-24,42.6,42.6,42.6,42.6,0,0.0,0.0,0.0,4647.72
2004-05-25,43.8,43.8,39.0,39.0,40,-0.1096,-0.0845,1560.0,4647.72
2004-05-26,39.0,39.0,39.0,39.0,110,0.0,0.0,4290.0,4173.72
2004-05-27,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,3027.72
2004-05-28,45.0,54.0,45.0,54.0,247,0.2,0.3846,13338.0,3027.72
2004-06-01,54.0,54.0,54.0,54.0,0,0.0,0.0,0.0,4361.52
2004-06-02,48.0,48.0,48.0,48.0,8,0.0,-0.1111,384.0,3610.02
2004-06-03,48.0,48.0,48.0,48.0,0,0.0,0.0,0.0,1965.72
2004-06-04,48.0,48.0,48.0,48.0,10,0.0,0.0,480.0,1965.72
2004-06-07,48.0,48.0,48.0,48.0,7,0.0,0.0,336.0,2005.2
2004-06-08,45.6,45.6,45.6,45.6,12,0.0,-0.05,547.2,2038.8
2004-06-09,45.6,45.6,45.6,45.6,0,0.0,0.0,0.0,2093.52
2004-06-10,45.6,45.6,45.6,45.6,0,0.0,0.0,0.0,1937.52
2004-06-14,45.6,45.6,45.6,45.6,0,0.0,0.0,0.0,1508.52
2004-06-15,45.6,45.6,45.6,45.6,0,0.0,0.0,0.0,1508.52
2004-06-16,45.6,45.6,45.6,45.6,0,0.0,0.0,0.0,174.72
2004-06-17,47.4,47.4,47.4,47.4,2,0.0,0.0395,94.8,174.72
2004-06-18,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,145.8
2004-06-21,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,145.8
2004-06-22,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,97.8
2004-06-23,47.4,47.4,47.4,47.4,58,0.0,0.0,2749.2,64.2
2004-06-24,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,284.4
2004-06-25,47.4,47.4,47.4,47.4,30,0.0,0.0,1422.0,284.4
2004-06-28,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,426.6
2004-06-29,47.4,47.4,47.4,47.4,0,0.0,0.0,0.0,426.6
2004-06-30,47.4,53.4,47.4,48.0,73,0.0127,0.0127,3504.0,426.6
2004-07-01,48.0,48.0,48.0,48.0,0,0.0,0.0,0.0,777.0
2004-07-02,48.0,48.0,48.0,48.0,0,0.0,0.0,0.0,767.52
2004-07-06,48.0,48.0,48.0,48.0,0,0.0,0.0,0.0,767.52
