Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2004-12-16,3.5,3.72,3.5,3.68,24240000,0.0514,,89203200.0,
2004-12-17,3.65,3.68,3.59,3.67,1908800,0.0055,-0.0027,7005296.0,
2004-12-20,3.65,3.8,3.65,3.65,676800,0.0,-0.0054,2470320.0,
2004-12-21,3.65,3.9,3.6,3.9,1795600,0.0685,0.0685,7002840.0,
2004-12-22,3.84,4.03,3.72,3.99,1219200,0.0391,0.0231,4864608.0,
2004-12-23,4.05,4.21,4.03,4.12,2019600,0.0173,0.0326,8320752.0,
2004-12-27,4.18,4.19,3.94,3.99,1407200,-0.0455,-0.0316,5614728.0,
2004-12-28,3.98,4.06,3.96,3.99,625600,0.0025,0.0,2496144.0,
2004-12-29,4.0,4.02,3.89,3.93,213200,-0.0175,-0.015,837876.0,
2004-12-30,3.94,3.95,3.77,3.94,868400,0.0,0.0025,3421496.0,
2004-12-31,3.96,4.1,3.94,4.06,1726800,0.0253,0.0305,7010808.0,13123726.0
2005-01-03,4.06,4.11,3.9,4.01,415600,-0.0123,-0.0123,1666556.0,4904486.8
2005-01-04,4.09,4.09,3.95,4.0,407600,-0.022,-0.0025,1630400.0,4370612.8
2005-01-05,4.04,4.04,3.89,3.9,461200,-0.0347,-0.025,1798680.0,4286620.8
2005-01-06,3.88,3.95,3.85,3.91,1205600,0.0077,0.0026,4713896.0,3766204.8
2005-01-07,3.99,3.99,3.91,3.91,285200,-0.0201,0.0,1115132.0,3751133.6
2005-01-10,3.91,4.0,3.91,4.0,288000,0.023,0.023,1152000.0,3030571.6
2005-01-11,4.01,4.01,3.96,3.97,253200,-0.01,-0.0075,1005204.0,2584298.8
2005-01-12,3.97,4.0,3.9,3.94,456000,-0.0076,-0.0076,1796640.0,2435204.8
2005-01-13,3.97,4.02,3.95,3.99,725200,0.005,0.0127,2893548.0,2531081.2
2005-01-14,4.0,4.03,3.97,4.0,214400,0.0,0.0025,857600.0,2478286.4
2005-01-18,4.04,4.05,3.99,4.02,312400,-0.005,0.005,1255848.0,1862965.6
2005-01-19,4.05,4.1,4.04,4.04,468000,-0.0025,0.005,1890720.0,1821894.8
2005-01-20,4.07,4.08,4.03,4.03,406000,-0.0098,-0.0025,1636180.0,1847926.8
2005-01-21,4.06,4.07,4.0,4.03,281600,-0.0074,0.0,1134848.0,1831676.8
2005-01-24,4.05,4.06,4.01,4.03,339600,-0.0049,0.0,1368588.0,1473772.0
2005-01-25,4.05,4.06,4.01,4.03,736000,-0.0049,0.0,2966080.0,1499117.6
2005-01-26,4.03,4.04,3.94,3.95,1864000,-0.0199,-0.0199,7362800.0,1680525.6
