Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2022-01-21,10.0,10.01,9.95,10.0,10994714,0.0,,109947140.0,
2022-01-24,10.0,10.1,10.0,10.0,1411980,0.0,0.0,14119800.0,
2022-01-25,10.0,10.1,10.0,10.01,476521,0.001,0.001,4769975.21,
2022-01-26,10.06,10.06,10.02,10.02,260809,-0.004,0.001,2613306.18,
2022-01-27,10.01,10.02,10.0,10.01,39058,0.0,-0.001,390970.58,
2022-01-28,10.07,10.07,10.0,10.02,6482,-0.005,0.001,64949.64,
2022-01-31,10.02,10.02,10.02,10.02,0,0.0,0.0,0.0,
2022-02-01,10.02,10.02,10.01,10.01,51343,-0.001,-0.001,513943.43,
2022-02-02,10.02,10.04,10.01,10.01,203002,-0.001,0.0,2032050.02,
2022-02-03,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,
2022-02-04,9.98,9.99,9.98,9.99,1255,0.001,-0.002,12537.45,13445213.51
2022-02-07,9.99,10.05,9.99,10.05,4400,0.006,0.006,44220.0,2451753.25
2022-02-08,10.03,10.03,10.03,10.03,100,0.0,-0.002,1003.0,1044195.25
2022-02-09,10.0,10.03,9.98,10.01,13690,0.001,-0.002,137036.9,567298.03
2022-02-10,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,319671.1
2022-02-11,9.98,9.98,9.98,9.98,515,0.0,-0.003,5139.7,280574.04
2022-02-14,10.0,10.0,9.98,10.0,100602,0.0,0.002,1006020.0,274593.05
2022-02-15,9.98,10.03,9.98,9.99,108871,0.001,-0.001,1087621.29,375195.05
2022-02-16,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,432562.84
2022-02-17,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,229357.83
2022-02-18,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,229357.83
2022-02-22,9.98,10.01,9.98,10.01,3305,0.003,0.002,33083.05,228104.09
2022-02-23,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,226990.39
2022-02-24,10.01,10.01,10.01,10.01,49100,0.0,0.0,491491.0,226890.09
2022-02-25,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,262335.5
2022-02-28,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,262335.5
2022-03-01,10.01,10.01,10.01,10.01,114,0.0,0.0,1141.14,261821.53
2022-03-02,9.99,9.99,9.99,9.99,500,0.0,-0.002,4995.0,161333.65
2022-03-03,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,53071.02
2022-03-04,10.04,10.04,10.01,10.01,1120,-0.003,0.002,11211.2,53071.02
2022-03-07,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,54192.14
2022-03-08,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,54192.14
2022-03-09,9.98,9.98,9.98,9.98,800,0.0,-0.003,7984.0,50883.83
2022-03-10,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,51682.23
2022-03-11,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,2533.13
2022-03-14,10.01,10.04,10.01,10.02,205124,0.001,0.004,2055342.48,2533.13
2022-03-15,9.97,9.99,9.95,9.99,39055,0.002,-0.003,390159.45,208067.38
2022-03-16,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,246969.21
2022-03-17,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,246469.71
2022-03-18,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,246469.71
2022-03-21,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,245348.59
2022-03-22,9.95,9.95,9.95,9.95,100,0.0,-0.004,995.0,245348.59
2022-03-23,9.97,9.97,9.96,9.96,3115,-0.001,0.001,31025.4,245448.09
2022-03-24,9.98,9.98,9.96,9.96,1200,-0.002,0.0,11952.0,247752.23
2022-03-25,9.96,9.96,9.96,9.96,535,0.0,0.0,5328.6,248947.43
2022-03-28,9.95,9.95,9.95,9.95,996,0.0,-0.001,9910.2,249480.29
2022-03-29,9.97,9.99,9.97,9.99,1020,0.002,0.004,10189.8,44937.06
2022-03-30,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,6940.1
2022-03-31,9.96,9.96,9.96,9.96,900,0.0,-0.003,8964.0,6940.1
2022-04-01,9.99,10.0,9.99,10.0,5965,0.001,0.004,59650.0,7836.5
2022-04-04,10.0,10.0,9.96,9.96,10952,-0.004,-0.004,109081.92,13801.5
2022-04-05,9.98,9.98,9.98,9.98,1870,0.0,0.002,18662.6,24709.69
2022-04-06,10.0,10.03,10.0,10.02,20135,0.002,0.004,201752.7,26476.45
2022-04-07,10.0,10.0,10.0,10.0,100,0.0,-0.002,1000.0,43549.18
2022-04-08,10.0,10.05,10.0,10.05,115133,0.005,0.005,1157086.65,42453.98
2022-04-11,10.05,10.05,10.04,10.05,1400,0.0,0.0,14070.0,157629.79
2022-04-12,10.05,10.05,10.05,10.05,646,0.0,0.0,6492.3,158045.77
2022-04-13,10.05,10.29,9.99,10.29,13427,0.0239,0.0239,138163.83,157676.02
2022-04-14,10.1,10.1,10.0,10.05,8799,-0.005,-0.0233,88429.95,171492.4
2022-04-18,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,179439.0
2022-04-19,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,173474.0
2022-04-20,10.04,10.04,10.04,10.04,1725,0.0,-0.001,17319.0,162565.8
2022-04-21,10.02,10.02,10.02,10.02,436,0.0,-0.002,4368.72,162431.44
2022-04-22,10.05,10.06,10.02,10.06,7300,0.001,0.004,73438.0,142693.04
2022-04-25,10.06,10.06,10.06,10.06,0,0.0,0.0,0.0,149936.84
2022-04-26,10.05,10.05,10.05,10.05,5188,0.0,-0.001,52139.4,34228.18
2022-04-27,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,38035.12
2022-04-28,10.05,10.05,10.05,10.05,5000,0.0,0.0,50250.0,37385.89
2022-04-29,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,28594.51
2022-05-02,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,19751.51
2022-05-03,10.05,10.05,10.02,10.05,3867,0.0,0.0,38863.35,19751.51
2022-05-04,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,23637.85
2022-05-05,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,21905.95
2022-05-06,10.11,10.11,10.07,10.07,800,-0.004,0.002,8056.0,21469.08
2022-05-09,10.07,10.07,10.07,10.07,0,0.0,0.0,0.0,14930.88
2022-05-10,10.07,10.07,10.07,10.07,0,0.0,0.0,0.0,14930.88
2022-05-11,9.98,9.99,9.98,9.98,3000,0.0,-0.0089,29940.0,9716.94
2022-05-12,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,12710.94
2022-05-13,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,7685.94
2022-05-16,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,7685.94
2022-05-17,9.96,9.96,9.95,9.95,7700,-0.001,-0.003,76615.0,7685.94
2022-05-18,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,11461.1
2022-05-19,9.98,10.01,9.98,10.01,40126,0.003,0.006,401661.26,11461.1
2022-05-20,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,51627.23
2022-05-23,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,50821.63
2022-05-24,10.01,10.01,10.01,10.01,0,0.0,0.0,0.0,50821.63
2022-05-25,9.96,9.96,9.95,9.96,2439,0.0,-0.005,24292.44,50821.63
2022-05-26,9.98,9.98,9.98,9.98,1200,0.0,0.002,11976.0,50256.87
2022-05-27,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,51454.47
2022-05-31,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,51454.47
2022-06-01,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,51454.47
2022-06-02,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,43792.97
2022-06-03,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,43792.97
2022-06-06,9.98,9.98,9.98,9.98,0,0.0,0.0,0.0,3626.84
2022-06-07,9.98,10.01,9.98,10.0,24250,0.002,0.002,242500.0,3626.84
2022-06-08,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,27876.84
2022-06-09,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,27876.84
2022-06-10,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,25447.6
2022-06-13,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,24250.0
2022-06-14,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,24250.0
2022-06-15,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,24250.0
2022-06-16,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,24250.0
2022-06-17,9.95,10.03,9.94,9.97,4127,0.002,-0.003,41146.19,24250.0
2022-06-21,9.98,9.98,9.93,9.98,955100,0.0,0.001,9531898.0,28364.62
2022-06-22,10.0,10.0,10.0,10.0,141000,0.0,0.002,1410000.0,981554.42
2022-06-23,9.95,9.95,9.95,9.95,300,0.0,-0.005,2985.0,1098304.42
2022-06-24,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,1098602.92
2022-06-27,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,1098602.92
2022-06-28,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,1098602.92
2022-06-29,10.09,10.47,9.98,10.47,2754,0.0377,0.0523,28834.38,1098602.92
2022-06-30,10.34,10.34,9.97,9.97,6225,-0.0358,-0.0478,62063.25,1101486.36
2022-07-01,9.93,9.93,9.93,9.93,1049,0.0,-0.004,10416.57,1107692.68
2022-07-05,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,1108734.34
2022-07-06,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,1104619.72
2022-07-07,9.9,10.0,9.9,9.99,18399,0.0091,0.006,183806.01,151429.92
2022-07-08,9.99,9.99,9.99,9.99,0,0.0,0.0,0.0,28810.52
