Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2012-02-10,11.75,12.25,11.33,12.0,2473200,0.0213,,29678400.0,
2012-02-13,12.07,12.69,11.93,12.69,332400,0.0514,0.0575,4218156.0,
2012-02-14,12.0,12.51,12.0,12.49,65600,0.0408,-0.0158,819344.0,
2012-02-15,12.76,12.77,12.26,12.52,155200,-0.0188,0.0024,1943104.0,
2012-02-16,12.57,12.58,12.56,12.56,4800,-0.0008,0.0032,60288.0,
2012-02-17,12.53,12.69,12.52,12.69,30800,0.0128,0.0104,390852.0,
2012-02-21,12.94,12.94,12.72,12.81,4800,-0.01,0.0095,61488.0,
2012-02-22,12.51,12.82,12.51,12.57,82400,0.0048,-0.0187,1035768.0,
2012-02-23,12.38,12.92,12.38,12.76,52000,0.0307,0.0151,663520.0,
2012-02-24,12.9,13.01,12.81,12.98,50400,0.0062,0.0172,654192.0,
2012-02-27,12.88,12.98,12.88,12.98,38000,0.0078,0.0,493240.0,3952511.2
2012-02-28,13.06,13.31,13.0,13.11,156400,0.0038,0.01,2050404.0,1033995.2
2012-02-29,13.31,13.31,13.19,13.25,8000,-0.0045,0.0107,106000.0,817220.0
2012-03-01,13.25,13.38,13.2,13.38,14400,0.0098,0.0098,192672.0,745885.6
2012-03-02,13.38,15.52,13.34,13.52,99600,0.0105,0.0105,1346592.0,570842.4
2012-03-05,13.52,13.52,13.32,13.38,25200,-0.0104,-0.0104,337176.0,699472.8
2012-03-06,13.26,13.31,13.12,13.12,20000,-0.0106,-0.0194,262400.0,694105.2
2012-03-07,13.16,13.16,13.0,13.06,21200,-0.0076,-0.0046,276872.0,714196.4
2012-03-08,13.15,13.15,12.98,13.06,18000,-0.0068,0.0,235080.0,638306.8
2012-03-09,13.4,13.4,13.02,13.33,34800,-0.0052,0.0207,463884.0,595462.8
2012-03-12,13.43,13.88,13.3,13.83,66600,0.0298,0.0375,921078.0,576432.0
2012-03-13,13.98,13.99,13.73,13.75,25000,-0.0165,-0.0058,343750.0,619215.8
2012-03-14,13.8,13.98,13.8,13.93,46600,0.0094,0.0131,649138.0,448550.4
2012-03-15,13.94,14.99,13.77,14.5,45000,0.0402,0.0409,652500.0,502864.2
2012-03-16,14.56,14.56,13.3,13.85,103000,-0.0488,-0.0448,1426550.0,548847.0
2012-03-19,14.0,14.15,13.93,13.97,34200,-0.0021,0.0087,477774.0,556842.8
2012-03-20,13.88,14.12,13.88,14.08,8400,0.0144,0.0079,118272.0,570902.6
2012-03-21,14.06,14.09,13.75,13.93,6000,-0.0092,-0.0107,83580.0,556489.8
2012-03-22,13.76,13.76,13.5,13.51,5000,-0.0182,-0.0302,67550.0,537160.6
2012-03-23,13.45,13.97,13.26,13.52,8600,0.0052,0.0007,116272.0,520407.6
2012-03-26,13.7,14.26,13.7,13.9,180000,0.0146,0.0281,2502000.0,485646.4
2012-03-27,14.02,14.03,13.28,13.62,66600,-0.0285,-0.0201,907092.0,643738.6
2012-03-28,13.54,13.99,13.54,13.8,25800,0.0192,0.0132,356040.0,700072.8
2012-03-29,13.8,13.8,13.4,13.48,91400,-0.0232,-0.0232,1232072.0,670763.0
2012-03-30,13.78,14.15,13.52,13.9,675000,0.0087,0.0312,9382500.0,728720.2
2012-04-02,13.78,14.0,13.65,13.98,164600,0.0145,0.0058,2301108.0,1524315.2
2012-04-03,13.95,14.02,13.57,13.9,165200,-0.0036,-0.0057,2296280.0,1706648.6
2012-04-04,13.75,13.98,13.75,13.97,15200,0.016,0.005,212344.0,1924449.4
2012-04-05,13.95,13.98,13.81,13.81,3400,-0.01,-0.0115,46954.0,1937325.8
2012-04-09,13.62,14.06,13.3,13.98,40400,0.0264,0.0123,564792.0,1935266.2
2012-04-10,13.97,13.98,13.56,13.62,19400,-0.0251,-0.0258,264228.0,1980118.2
2012-04-11,13.82,14.0,13.81,13.97,28000,0.0109,0.0257,391160.0,1756341.0
2012-04-12,13.98,14.05,13.98,14.05,170200,0.005,0.0057,2391310.0,1704747.8
2012-04-13,14.02,14.31,14.01,14.19,31800,0.0121,0.01,451242.0,1908274.8
2012-04-16,14.38,15.47,14.16,15.12,43600,0.0515,0.0655,659232.0,1830191.8
2012-04-17,15.26,16.59,15.12,16.24,164000,0.0642,0.0741,2663360.0,957865.0
2012-04-18,16.26,17.16,15.93,17.02,179800,0.0467,0.048,3060196.0,994090.2
2012-04-19,17.1,17.3,16.64,17.06,175600,-0.0023,0.0024,2995736.0,1070481.8
2012-04-20,17.32,17.32,16.45,16.99,76600,-0.0191,-0.0041,1301434.0,1348821.0
2012-04-23,16.67,16.93,16.1,16.13,42800,-0.0324,-0.0506,690364.0,1474269.0
2012-04-24,16.19,16.48,16.16,16.47,17400,0.0173,0.0211,286578.0,1486826.2
2012-04-25,16.52,16.55,16.16,16.55,66400,0.0018,0.0049,1098920.0,1489061.2
2012-04-26,16.5,16.52,16.42,16.47,76200,-0.0018,-0.0048,1255014.0,1559837.2
2012-04-27,16.43,16.75,16.42,16.75,120000,0.0195,0.017,2010000.0,1446207.6
2012-04-30,16.84,17.56,16.84,17.46,332800,0.0368,0.0424,5810688.0,1602083.4
2012-05-01,17.34,17.77,17.26,17.39,384000,0.0029,-0.004,6677760.0,2117229.0
2012-05-02,17.33,17.65,17.28,17.45,40000,0.0069,0.0035,698000.0,2518669.0
2012-05-03,17.5,17.66,17.02,17.15,41000,-0.02,-0.0172,703150.0,2282449.4
2012-05-04,17.05,17.11,16.66,16.92,36200,-0.0076,-0.0134,612504.0,2053190.8
2012-05-07,16.92,17.35,16.72,17.25,60000,0.0195,0.0195,1035000.0,1984297.8
2012-05-08,17.06,17.12,16.63,17.1,28800,0.0023,-0.0087,492480.0,2018761.4
2012-05-09,16.72,17.45,16.72,17.35,228400,0.0377,0.0146,3962740.0,2039351.6
2012-05-10,17.44,17.45,17.03,17.42,96000,-0.0011,0.004,1672320.0,2325733.6
2012-05-11,17.26,17.5,17.26,17.4,48000,0.0081,-0.0011,835200.0,2367464.2
2012-05-14,17.14,17.45,17.14,17.31,19400,0.0099,-0.0052,335814.0,2249984.2
2012-05-15,17.25,17.25,16.88,16.98,52200,-0.0157,-0.0191,886356.0,1702496.8
2012-05-16,16.97,16.97,16.31,16.57,36000,-0.0236,-0.0241,596520.0,1123356.4
2012-05-17,16.58,16.8,16.58,16.62,29000,0.0024,0.003,481980.0,1113208.4
2012-05-18,16.65,16.8,16.59,16.73,26000,0.0048,0.0066,434980.0,1091091.4
2012-05-21,16.69,16.95,16.53,16.59,59800,-0.006,-0.0084,992082.0,1073339.0
2012-05-22,16.59,16.75,16.47,16.6,21600,0.0006,0.0006,358560.0,1069047.2
2012-05-23,16.51,16.75,16.17,16.74,12600,0.0139,0.0084,210924.0,1055655.2
2012-05-24,16.77,17.25,16.75,17.25,34200,0.0286,0.0305,589950.0,680473.6
2012-05-25,17.22,17.45,17.1,17.26,42800,0.0023,0.0006,738728.0,572236.6
2012-05-29,17.26,17.44,17.12,17.25,12600,-0.0006,-0.0006,217350.0,562589.4
2012-05-30,17.0,17.0,16.54,16.61,20600,-0.0229,-0.0371,342166.0,550743.0
2012-05-31,16.6,16.64,16.16,16.5,101800,-0.006,-0.0066,1679700.0,496324.0
2012-06-01,16.19,16.64,16.07,16.22,43200,0.0019,-0.017,700704.0,604642.0
2012-06-04,16.26,16.51,16.18,16.3,35000,0.0025,0.0049,570500.0,626514.4
2012-06-05,16.55,16.55,16.25,16.33,42200,-0.0133,0.0018,689126.0,640066.4
2012-06-06,16.08,16.55,16.08,16.5,16800,0.0261,0.0104,277200.0,609770.8
2012-06-07,16.55,16.55,16.18,16.27,14800,-0.0169,-0.0139,240796.0,601634.8
2012-06-08,16.45,16.55,16.38,16.5,7600,0.003,0.0141,125400.0,604622.0
2012-06-11,16.55,16.55,16.3,16.4,23400,-0.0091,-0.0061,383760.0,558167.0
2012-06-12,16.41,16.53,16.22,16.5,10800,0.0055,0.0061,178200.0,522670.2
2012-06-13,16.44,16.55,16.25,16.35,21200,-0.0055,-0.0091,346620.0,518755.2
2012-06-14,16.33,16.55,15.53,16.11,30600,-0.0135,-0.0147,492966.0,519200.6
2012-06-15,16.02,16.51,16.02,16.06,38400,0.0025,-0.0031,616704.0,400527.2
2012-06-18,15.77,16.25,15.75,15.86,14600,0.0057,-0.0125,231556.0,392127.2
2012-06-19,15.89,16.38,15.77,16.38,12600,0.0308,0.0328,206388.0,358232.8
2012-06-20,16.28,16.31,15.88,16.11,78000,-0.0104,-0.0165,1256580.0,309959.0
2012-06-21,15.98,16.2,15.98,16.05,11400,0.0044,-0.0037,182970.0,407897.0
2012-06-22,16.12,16.68,16.12,16.51,266200,0.0242,0.0287,4394962.0,402114.4
2012-06-25,16.5,16.5,16.02,16.18,16800,-0.0194,-0.02,271824.0,829070.6
2012-06-26,16.15,16.18,15.76,15.86,58200,-0.018,-0.0198,923052.0,817877.0
2012-06-27,15.8,15.81,15.68,15.74,17400,-0.0038,-0.0076,273876.0,892362.2
2012-06-28,15.68,15.76,15.62,15.68,11000,0.0,-0.0038,172480.0,885087.8
2012-06-29,15.94,16.0,15.83,15.99,16000,0.0031,0.0198,255840.0,853039.2
2012-07-02,16.13,16.13,15.88,16.07,96000,-0.0037,0.005,1542720.0,816952.8
2012-07-03,16.02,16.11,15.96,16.1,8400,0.005,0.0019,135240.0,948069.2
2012-07-05,16.0,16.0,15.88,15.89,8600,-0.0069,-0.013,136654.0,940954.4
2012-07-06,15.77,15.98,15.64,15.68,13400,-0.0057,-0.0132,210112.0,828961.8
2012-07-09,15.49,16.11,15.39,15.78,9400,0.0187,0.0064,148332.0,831676.0
2012-07-10,15.83,16.24,15.83,16.24,31600,0.0259,0.0292,513184.0,407013.0
2012-07-11,15.88,17.31,15.88,16.95,30600,0.0674,0.0437,518670.0,431149.0
2012-07-12,16.81,17.61,16.81,17.48,35600,0.0399,0.0313,622288.0,390710.8
2012-07-13,17.51,19.0,17.23,18.76,393600,0.0714,0.0732,7383936.0,425552.0
2012-07-16,18.72,18.94,18.48,18.82,84000,0.0053,0.0032,1580880.0,1146697.6
2012-07-17,18.93,18.93,18.25,18.57,31600,-0.019,-0.0133,586812.0,1279201.6
2012-07-18,18.6,18.75,18.46,18.75,47800,0.0081,0.0097,896250.0,1183610.8
2012-07-19,18.47,18.52,18.25,18.48,18800,0.0005,-0.0144,347424.0,1259711.8
2012-07-20,18.25,18.25,17.85,17.85,16400,-0.0219,-0.0341,292740.0,1280788.8
2012-07-23,17.68,17.99,17.58,17.82,10000,0.0079,-0.0017,178200.0,1289051.6
2012-07-24,17.84,18.38,17.67,17.69,13200,-0.0084,-0.0073,233508.0,1292038.4
2012-07-25,17.9,18.0,17.61,17.85,9200,-0.0028,0.009,164220.0,1264070.8
2012-07-26,18.23,18.23,17.51,17.78,20000,-0.0247,-0.0039,355600.0,1228625.8
2012-07-27,17.31,18.02,17.31,18.0,39400,0.0399,0.0124,709200.0,1201957.0
2012-07-30,19.75,19.75,16.75,18.14,36000,-0.0815,0.0078,653040.0,534483.4
2012-07-31,18.14,18.57,18.12,18.33,10800,0.0105,0.0105,197964.0,441699.4
2012-08-01,18.25,18.25,17.0,17.0,43000,-0.0685,-0.0726,731000.0,402814.6
2012-08-02,16.41,17.0,16.41,16.79,69400,0.0232,-0.0124,1165226.0,386289.6
2012-08-03,17.18,17.8,16.81,17.48,17000,0.0175,0.0411,297160.0,468069.8
2012-08-06,18.0,18.25,17.53,18.05,37800,0.0028,0.0326,682290.0,468511.8
2012-08-07,18.1,18.47,17.88,18.47,32800,0.0204,0.0233,605816.0,518920.8
2012-08-08,18.43,18.5,18.26,18.5,16600,0.0038,0.0016,307100.0,556151.6
2012-08-09,18.05,18.46,18.05,18.22,17200,0.0094,-0.0151,313384.0,570439.6
2012-08-10,17.66,18.15,17.35,17.64,28400,-0.0011,-0.0318,500976.0,566218.0
2012-08-13,17.55,17.66,17.09,17.17,12400,-0.0217,-0.0266,212908.0,545395.6
2012-08-14,17.24,17.94,17.18,17.92,7400,0.0394,0.0437,132608.0,501382.4
2012-08-15,17.87,18.32,17.18,18.23,37200,0.0201,0.0173,678156.0,494846.8
2012-08-16,18.0,18.38,17.97,18.03,51400,0.0017,-0.011,926742.0,489562.4
