Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,27.0,27.12,26.67,26.92,4967200,-0.003,,133717024.0,
2003-12-02,26.92,27.15,26.83,26.97,2489000,0.0019,0.0019,67128330.0,
2003-12-03,26.25,26.86,26.25,26.53,3907600,0.0107,-0.0163,103668628.0,
2003-12-04,26.58,26.88,26.53,26.77,2514400,0.0071,0.009,67310488.0,
2003-12-05,26.6,26.62,26.33,26.33,2514200,-0.0102,-0.0164,66198886.0,
2003-12-08,26.33,26.42,26.14,26.36,2116000,0.0011,0.0011,55777760.0,
2003-12-09,26.37,26.37,25.83,25.86,3633600,-0.0193,-0.019,93964896.0,
2003-12-10,25.76,25.76,25.25,25.33,3186200,-0.0167,-0.0205,80706446.0,
2003-12-11,25.33,25.95,25.33,25.84,2442200,0.0201,0.0201,63106448.0,
2003-12-12,26.08,26.11,25.74,25.86,1547000,-0.0084,0.0008,40005420.0,
2003-12-15,25.83,25.91,25.64,25.73,3619400,-0.0039,-0.005,93127162.0,77158432.6
2003-12-16,25.7,26.13,25.7,26.08,2247200,0.0148,0.0136,58606976.0,73099446.4
2003-12-17,26.08,26.15,25.88,26.15,1537000,0.0027,0.0027,40192550.0,72247311.0
2003-12-18,26.15,26.6,26.14,26.6,2196800,0.0172,0.0172,58434880.0,65899703.2
2003-12-19,26.75,26.75,26.45,26.68,2067000,-0.0026,0.003,55147560.0,65012142.4
2003-12-22,26.62,26.68,26.51,26.66,1638600,0.0015,-0.0007,43685076.0,63907009.8
2003-12-23,26.68,27.0,26.67,27.0,2248800,0.012,0.0128,60717600.0,62697741.4
2003-12-24,27.0,27.01,26.92,26.95,868600,-0.0019,-0.0019,23408770.0,59373011.8
2003-12-26,26.95,27.12,26.95,27.02,788600,0.0026,0.0026,21307972.0,53643244.2
2003-12-29,27.0,27.39,27.0,27.35,2242800,0.013,0.0122,61340580.0,49463396.6
2003-12-30,27.38,27.68,27.34,27.66,2390800,0.0102,0.0113,66129528.0,51596912.6
2003-12-31,27.6,27.89,27.58,27.68,2255400,0.0029,0.0007,62429472.0,48897149.2
2004-01-02,27.7,28.05,27.7,27.86,2929600,0.0058,0.0065,81618656.0,49279398.8
2004-01-05,28.02,28.07,27.82,27.98,2495800,-0.0014,0.0043,69832484.0,53422009.4
2004-01-06,27.98,28.15,27.81,28.11,1854800,0.0046,0.0046,52138428.0,54561769.8
2004-01-07,28.0,28.0,27.62,27.83,2447800,-0.0061,-0.01,68122274.0,54260856.6
2004-01-08,27.98,28.0,27.3,27.41,3410600,-0.0204,-0.0151,93484546.0,56704576.4
2004-01-09,27.4,27.74,27.36,27.43,2201400,0.0011,0.0007,60384402.0,59981271.0
2004-01-12,27.38,27.62,27.31,27.49,2149000,0.004,0.0022,59076010.0,63678834.2
2004-01-13,27.52,27.7,27.35,27.36,1608200,-0.0058,-0.0047,44000352.0,67455638.0
2004-01-14,27.37,28.5,27.35,28.42,3428600,0.0384,0.0387,97440812.0,65721615.2
2004-01-15,28.43,28.92,28.42,28.84,2550600,0.0144,0.0148,73559304.0,68852743.6
2004-01-16,29.15,29.15,28.77,28.78,1557600,-0.0127,-0.0021,44827728.0,69965726.8
2004-01-20,28.79,29.07,28.62,28.95,1652000,0.0056,0.0059,47825400.0,66286634.0
2004-01-21,28.92,29.23,28.84,29.23,1634800,0.0107,0.0097,47785204.0,64085925.6
2004-01-22,29.27,29.75,29.26,29.71,2009200,0.015,0.0164,59693332.0,63650603.2
2004-01-23,29.8,30.09,29.38,29.42,3245800,-0.0128,-0.0098,95491436.0,62807709.0
2004-01-26,29.42,29.57,29.0,29.54,2063000,0.0041,0.0041,60941020.0,63008398.0
2004-01-27,29.36,29.52,29.24,29.46,1254600,0.0034,-0.0027,36960516.0,63064059.8
2004-01-28,29.47,29.84,29.0,29.0,2887800,-0.0159,-0.0156,83746200.0,60852510.4
2004-01-29,29.0,29.0,28.59,28.86,3470200,-0.0048,-0.0048,100149972.0,64827095.2
2004-01-30,28.86,29.05,28.7,28.97,1963400,0.0038,0.0038,56879698.0,65098011.2
2004-02-02,29.11,29.25,28.74,28.89,1587000,-0.0076,-0.0028,45848430.0,63430050.6
2004-02-03,28.9,29.76,28.8,29.51,2405400,0.0211,0.0215,70983354.0,63532120.8
2004-02-04,29.5,29.51,28.9,29.03,1870200,-0.0159,-0.0163,54291906.0,65847916.2
2004-02-05,29.03,29.25,28.85,29.17,2275200,0.0048,0.0048,66367584.0,66498586.4
2004-02-06,29.3,29.62,29.28,29.45,1263000,0.0051,0.0096,37195350.0,67166011.6
2004-02-09,29.55,30.34,29.55,30.24,2909800,0.0234,0.0268,87992352.0,61336403.0
2004-02-10,30.24,30.34,29.67,29.79,2624800,-0.0149,-0.0149,78192792.0,64041536.2
2004-02-11,29.8,30.5,29.78,30.35,2521400,0.0185,0.0188,76524490.0,68164763.8
2004-02-12,30.08,30.2,29.75,30.06,2164600,-0.0007,-0.0096,65067876.0,67442592.8
2004-02-13,30.0,30.05,29.78,29.85,1585400,-0.005,-0.007,47324190.0,63934383.2
2004-02-17,30.09,30.47,30.02,30.19,1909200,0.0033,0.0114,57638748.0,62978832.4
2004-02-18,30.23,30.23,29.93,30.11,1622200,-0.004,-0.0026,48844442.0,64157864.2
2004-02-19,30.17,30.18,29.77,29.8,1887200,-0.0123,-0.0103,56238560.0,61943973.0
2004-02-20,29.92,29.99,29.66,29.77,1843600,-0.005,-0.001,54883972.0,62138638.4
2004-02-23,29.83,29.83,29.38,29.48,1594000,-0.0117,-0.0097,46991120.0,60990277.2
2004-02-24,29.34,29.61,29.07,29.25,3035000,-0.0031,-0.0078,88773750.0,61969854.2
2004-02-25,28.48,29.18,26.96,27.2,13265400,-0.0449,-0.0701,360818880.0,62047994.0
2004-02-26,27.2,27.92,26.99,26.99,8360000,-0.0077,-0.0077,225636400.0,90310602.8
2004-02-27,27.08,27.25,26.82,27.02,4448800,-0.0022,0.0011,120206576.0,105221793.8
2004-03-01,27.05,27.23,26.73,26.92,4883600,-0.0048,-0.0037,131466512.0,110735663.8
