Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-08-19,39.99,43.0,36.0,37.01,3802800,-0.0745,,140741628.0,
2020-08-20,36.5,38.44,35.0,36.1,565900,-0.011,-0.0246,20428990.0,
2020-08-21,35.84,36.6,32.4,36.0,795000,0.0045,-0.0028,28620000.0,
2020-08-24,35.98,35.98,33.75,34.0,169400,-0.055,-0.0556,5759600.0,
2020-08-25,33.91,35.34,33.11,35.34,54800,0.0422,0.0394,1936632.0,
2020-08-26,35.49,35.76,33.88,34.0,119000,-0.042,-0.0379,4046000.0,
2020-08-27,33.62,34.83,31.88,32.65,194700,-0.0289,-0.0397,6356955.0,
2020-08-28,32.65,36.13,32.65,35.2,208200,0.0781,0.0781,7328640.0,
2020-08-31,35.72,36.9,34.49,35.42,266300,-0.0084,0.0062,9432346.0,
2020-09-01,36.4,38.71,36.25,38.6,141800,0.0604,0.0898,5473480.0,
2020-09-02,38.01,42.5,37.09,42.4,307900,0.1155,0.0984,13054960.0,23012427.1
2020-09-03,41.31,42.0,38.56,40.39,98500,-0.0223,-0.0474,3978415.0,10243760.3
2020-09-04,39.0,41.74,36.26,41.39,237800,0.0613,0.0248,9842542.0,8598702.8
2020-09-08,41.66,45.95,39.94,41.28,479100,-0.0091,-0.0027,19777248.0,6720957.0
2020-09-09,41.94,44.16,41.94,43.0,257600,0.0253,0.0417,11076800.0,8122721.8
2020-09-10,42.65,47.37,41.01,44.39,355500,0.0408,0.0323,15780645.0,9036738.6
2020-09-11,43.99,45.68,41.1,44.14,315000,0.0034,-0.0056,13904100.0,10210203.1
2020-09-14,43.48,44.99,39.55,39.82,403600,-0.0842,-0.0979,16071352.0,10964917.6
2020-09-15,39.3,41.12,35.0,35.6,306800,-0.0941,-0.106,10922080.0,11839188.8
2020-09-16,35.95,37.39,35.31,36.48,256900,0.0147,0.0247,9371712.0,11988162.2
2020-09-17,35.9,37.49,34.0,34.52,206800,-0.0384,-0.0537,7138736.0,12377985.4
2020-09-18,35.04,36.54,33.01,33.6,307900,-0.0411,-0.0267,10345440.0,11786363.0
2020-09-21,33.0,34.24,30.87,30.96,260000,-0.0618,-0.0786,8049600.0,12423065.5
2020-09-22,31.11,32.69,30.11,31.88,210200,0.0248,0.0297,6701176.0,12243771.3
2020-09-23,31.68,35.29,31.68,33.31,181600,0.0515,0.0449,6049096.0,10936164.1
2020-09-24,33.15,34.92,32.42,32.47,46100,-0.0205,-0.0252,1496867.0,10433393.7
2020-09-25,32.11,34.46,32.11,33.81,52400,0.0529,0.0413,1771644.0,9005015.9
2020-09-28,33.92,35.35,33.2,34.93,32100,0.0298,0.0331,1121253.0,7791770.3
2020-09-29,34.62,35.55,31.09,31.25,197500,-0.0973,-0.1054,6171875.0,6296760.4
2020-09-30,31.4,34.28,31.4,33.9,173300,0.0796,0.0848,5874870.0,5821739.9
2020-10-01,33.37,34.47,32.2,32.77,163300,-0.018,-0.0333,5351341.0,5472055.7
2020-10-02,32.5,33.77,32.32,32.85,474200,0.0108,0.0024,15577470.0,5293316.2
2020-10-05,33.1,33.3,32.09,32.47,372400,-0.019,-0.0116,12091828.0,5816519.2
2020-10-06,32.11,33.0,31.54,32.15,154200,0.0012,-0.0099,4957530.0,6220742.0
2020-10-07,32.22,33.71,28.97,31.79,392300,-0.0133,-0.0112,12471217.0,6046377.4
2020-10-08,31.78,32.79,30.63,31.74,161900,-0.0013,-0.0016,5138706.0,6688589.5
2020-10-09,31.83,35.79,31.2,34.27,167400,0.0767,0.0797,5736798.0,7052773.4
2020-10-12,34.3,35.07,33.52,33.7,216500,-0.0175,-0.0166,7296050.0,7449288.8
2020-10-13,33.81,35.87,33.61,35.12,156400,0.0387,0.0421,5492768.0,8066768.5
2020-10-14,35.9,39.09,35.9,37.6,322600,0.0474,0.0706,12129760.0,7998857.8
2020-10-15,36.78,38.99,35.42,37.2,327200,0.0114,-0.0106,12171840.0,8624346.8
2020-10-16,37.6,40.24,37.5,39.54,180500,0.0516,0.0629,7136970.0,9306396.7
2020-10-19,40.0,41.08,38.85,38.99,477100,-0.0252,-0.0139,18602129.0,8462346.7
2020-10-20,39.02,39.99,37.75,37.86,77400,-0.0297,-0.029,2930364.0,9113376.8
2020-10-21,38.08,38.74,37.48,38.0,86200,-0.0021,0.0037,3275600.0,8910660.2
2020-10-22,37.88,40.49,37.88,39.14,141800,0.0333,0.03,5550052.0,7991098.5
2020-10-23,39.35,40.77,39.04,40.56,77700,0.0307,0.0363,3151512.0,8032233.1
2020-10-26,40.03,41.12,39.4,39.89,222300,-0.0035,-0.0165,8867547.0,7773704.5
2020-10-27,39.96,42.16,39.96,41.44,125700,0.037,0.0389,5209008.0,7930854.2
2020-10-28,40.39,41.21,38.44,39.6,248300,-0.0196,-0.0444,9832680.0,7902478.2
2020-10-29,39.5,41.47,39.0,41.36,172100,0.0471,0.0444,7118056.0,7672770.2
2020-10-30,40.98,41.05,38.41,38.9,75100,-0.0508,-0.0595,2921390.0,7167391.8
2020-11-02,39.03,39.21,37.2,38.56,79000,-0.012,-0.0087,3046240.0,6745833.8
2020-11-03,38.75,39.74,37.88,38.97,35400,0.0057,0.0106,1379538.0,5190244.9
2020-11-04,39.0,44.16,39.0,43.13,178800,0.1059,0.1067,7711644.0,5035162.3
2020-11-05,43.66,48.24,42.9,47.77,117100,0.0941,0.1076,5593867.0,5478766.7
2020-11-06,47.3,47.88,44.51,45.65,60700,-0.0349,-0.0444,2770955.0,5483148.2
2020-11-09,47.27,48.94,46.04,48.79,110700,0.0322,0.0688,5401053.0,5445092.5
