Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-08-03,9.9,9.92,9.86,9.9,7442000,0.0,,73675800.0,
2021-08-04,9.86,9.9,9.86,9.89,282100,0.003,-0.001,2789969.0,
2021-08-05,9.87,9.89,9.87,9.88,151600,0.001,-0.001,1497808.0,
2021-08-06,9.86,9.9,9.86,9.88,1006600,0.002,0.0,9945208.0,
2021-08-09,9.88,9.9,9.87,9.88,137500,0.0,0.0,1358500.0,
2021-08-10,9.9,9.94,9.88,9.91,282900,0.001,0.003,2803539.0,
2021-08-11,9.92,9.94,9.92,9.94,242500,0.002,0.003,2410450.0,
2021-08-12,9.94,9.94,9.91,9.91,250100,-0.003,-0.003,2478491.0,
2021-08-13,9.95,9.97,9.94,9.94,251400,-0.001,0.003,2498916.0,
2021-08-16,9.95,9.97,9.86,9.87,254300,-0.008,-0.007,2509941.0,
2021-08-17,9.94,10.0,9.88,9.88,589500,-0.006,0.001,5824260.0,10196862.2
2021-08-18,9.9,9.9,9.9,9.9,2100,0.0,0.002,20790.0,3411708.2
2021-08-19,9.9,9.91,9.9,9.9,97800,0.0,0.0,968220.0,3134790.3
2021-08-20,9.93,9.93,9.93,9.93,200,0.0,0.003,1986.0,3081831.5
2021-08-23,9.86,9.93,9.86,9.93,101100,0.0071,0.0,1003923.0,2087509.3
2021-08-24,9.93,9.94,9.9,9.9,47500,-0.003,-0.003,470250.0,2052051.6
2021-08-25,9.9,9.9,9.86,9.86,300,-0.004,-0.004,2958.0,1818722.7
2021-08-26,9.85,9.95,9.85,9.93,113500,0.0081,0.0071,1127055.0,1577973.5
2021-08-27,9.85,9.85,9.85,9.85,5300,0.0,-0.0081,52205.0,1442829.9
2021-08-30,9.92,9.94,9.92,9.93,7800,0.001,0.0081,77454.0,1198158.8
2021-08-31,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,954910.1
2021-09-01,9.9,9.9,9.9,9.9,98800,0.0,-0.003,978120.0,372484.1
2021-09-02,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,468217.1
2021-09-03,9.9,9.9,9.9,9.9,100,0.0,0.0,990.0,371395.1
2021-09-07,9.92,9.92,9.92,9.92,2900,0.0,0.002,28768.0,371295.5
2021-09-08,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,273780.0
2021-09-09,9.9,9.9,9.9,9.9,3100,0.0,-0.002,30690.0,226755.0
2021-09-10,9.9,9.9,9.9,9.9,100,0.0,0.0,990.0,229528.2
2021-09-13,9.95,9.95,9.94,9.95,45700,0.0,0.0051,454715.0,116921.7
2021-09-14,9.9,9.9,9.9,9.9,100,0.0,-0.005,990.0,157172.7
2021-09-15,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,149526.3
2021-09-16,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,149526.3
2021-09-17,9.87,9.87,9.87,9.87,200,0.0,-0.003,1974.0,51714.3
2021-09-20,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,51911.7
2021-09-21,9.87,9.87,9.85,9.85,10100,-0.002,-0.002,99485.0,51812.7
2021-09-22,9.95,9.95,9.43,9.9,7800,-0.005,0.0051,77220.0,58884.4
2021-09-23,9.85,9.95,9.71,9.91,5600,0.0061,0.001,55496.0,66606.4
2021-09-24,9.87,9.91,9.87,9.91,1900,0.0041,0.0,18829.0,69087.0
2021-09-27,9.92,9.92,9.92,9.92,1700,0.0,0.001,16864.0,70870.9
2021-09-28,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,27085.8
2021-09-29,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,26986.8
2021-09-30,9.93,9.93,9.93,9.93,200,0.0,0.001,1986.0,26986.8
2021-10-01,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,27185.4
2021-10-04,9.89,9.93,9.89,9.93,700,0.004,0.0,6951.0,26988.0
2021-10-05,9.94,9.96,9.94,9.96,59500,0.002,0.003,592620.0,27683.1
2021-10-06,9.96,9.96,9.96,9.96,0,0.0,0.0,0.0,76996.6
2021-10-07,9.96,9.96,9.95,9.96,6900,0.0,0.0,68724.0,69274.6
2021-10-08,9.96,9.96,9.96,9.96,0,0.0,0.0,0.0,70597.4
2021-10-11,9.9,9.9,9.9,9.9,1000,0.0,-0.006,9900.0,68714.5
2021-10-12,9.95,9.95,9.92,9.92,35300,-0.003,0.002,350176.0,68018.1
2021-10-13,9.93,9.95,9.93,9.95,2000,0.002,0.003,19900.0,103035.7
2021-10-14,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,105025.7
2021-10-15,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,104827.1
2021-10-18,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,104827.1
2021-10-19,9.95,9.95,9.95,9.95,300,0.0,0.0,2985.0,104132.0
2021-10-20,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,45168.5
2021-10-21,9.89,9.89,9.89,9.89,100,0.0,-0.006,989.0,45168.5
2021-10-22,9.89,9.89,9.89,9.89,0,0.0,0.0,0.0,38395.0
