Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-01-02,9.99,9.99,9.95,9.95,19100,-0.004,,190045.0,
2020-01-03,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,
2020-01-06,9.99,9.99,9.99,9.99,20800,0.0,0.004,207792.0,
2020-01-07,10.03,10.03,10.02,10.02,220200,-0.001,0.003,2206404.0,
2020-01-08,9.99,10.03,9.98,10.03,107900,0.004,0.001,1082237.0,
2020-01-09,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,
2020-01-10,10.05,10.05,10.03,10.03,352100,-0.002,0.0,3531563.0,
2020-01-13,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,
2020-01-14,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,
2020-01-15,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,
2020-01-16,10.03,10.05,10.03,10.05,200400,0.002,0.002,2014020.0,721804.1
2020-01-17,10.05,10.05,10.03,10.04,9700,-0.001,-0.001,97388.0,904201.6
2020-01-21,10.04,10.05,10.03,10.03,39900,-0.001,-0.001,400197.0,913940.4
2020-01-22,10.04,10.04,10.03,10.03,49900,-0.001,0.0,500497.0,933180.9
2020-01-23,10.04,10.07,10.04,10.07,169200,0.003,0.004,1703844.0,762590.2
2020-01-24,10.08,10.08,10.03,10.03,753800,-0.005,-0.004,7560614.0,824750.9
2020-01-27,10.07,10.07,10.02,10.02,116900,-0.005,-0.001,1171338.0,1580812.3
2020-01-28,10.03,10.03,10.03,10.03,5500,0.0,0.001,55165.0,1344789.8
2020-01-29,10.04,10.04,10.03,10.03,108000,-0.001,0.0,1083240.0,1350306.3
2020-01-30,10.03,10.03,10.03,10.03,25200,0.0,0.0,252756.0,1458630.3
2020-01-31,10.03,10.03,10.03,10.03,50000,0.0,0.0,501500.0,1483905.9
2020-02-03,10.0,10.03,10.0,10.03,122400,0.003,0.0,1227672.0,1332653.9
2020-02-04,10.03,10.07,10.03,10.07,27700,0.004,0.004,278939.0,1445682.3
2020-02-05,10.07,10.07,10.07,10.07,0,0.0,0.0,0.0,1433556.5
2020-02-06,10.03,10.03,10.03,10.03,200,0.0,-0.004,2006.0,1383506.8
2020-02-07,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,1213323.0
2020-02-10,10.03,10.05,10.03,10.03,271800,0.0,0.0,2726154.0,457261.6
2020-02-11,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,612743.2
2020-02-12,10.03,10.05,10.03,10.05,400100,0.002,0.002,4021005.0,607226.7
2020-02-13,10.05,10.05,10.05,10.05,651100,0.0,0.0,6543555.0,901003.2
2020-02-14,10.08,10.08,10.05,10.05,126600,-0.003,0.0,1272330.0,1530083.1
2020-02-18,10.05,10.05,10.04,10.04,25600,-0.001,-0.001,257024.0,1607166.1
2020-02-19,10.04,10.04,10.04,10.04,500,0.0,0.0,5020.0,1510101.3
2020-02-20,10.04,10.04,10.04,10.04,0,0.0,0.0,0.0,1482709.4
2020-02-21,10.05,10.05,10.05,10.05,99200,0.0,0.001,996960.0,1482709.4
2020-02-24,10.05,10.07,10.05,10.05,261900,0.0,0.0,2632095.0,1582204.8
2020-02-25,10.05,10.05,10.05,10.05,110300,0.0,0.0,1108515.0,1845414.3
2020-02-26,10.05,10.06,10.04,10.04,252600,-0.001,-0.001,2536104.0,1683650.4
2020-02-27,10.04,10.05,10.03,10.03,93900,-0.001,-0.001,941817.0,1937260.8
2020-02-28,10.03,10.03,10.02,10.03,18000,0.0,0.0,180540.0,1629342.0
2020-03-02,10.07,10.07,10.07,10.07,100,0.0,0.004,1007.0,993040.5
2020-03-03,10.02,10.04,10.02,10.02,1000,0.0,-0.005,10020.0,865908.2
2020-03-04,10.02,10.02,10.02,10.02,1100,0.0,0.0,11022.0,841207.8
2020-03-05,10.08,10.08,10.05,10.05,100100,-0.003,0.003,1006005.0,841808.0
2020-03-06,10.06,10.07,10.04,10.07,27600,0.001,0.002,277932.0,942408.5
2020-03-09,10.07,10.07,10.07,10.07,0,0.0,0.0,0.0,870505.7
2020-03-10,10.05,10.05,10.05,10.05,200,0.0,-0.002,2010.0,607296.2
2020-03-11,10.05,10.05,10.05,10.05,0,0.0,0.0,0.0,496645.7
2020-03-12,10.0,10.0,9.95,9.95,10600,-0.005,-0.01,105470.0,243035.3
2020-03-13,9.95,9.95,9.84,9.85,453700,-0.0101,-0.0101,4468945.0,159400.6
2020-03-16,9.8,9.8,9.7,9.7,19300,-0.0102,-0.0152,187210.0,588241.1
2020-03-17,9.68,9.68,9.68,9.68,200,0.0,-0.0021,1936.0,606861.4
2020-03-18,9.6,9.65,9.5,9.55,1389400,-0.0052,-0.0134,13268770.0,606053.0
2020-03-19,9.67,9.67,9.62,9.62,300,-0.0052,0.0073,2886.0,1931827.8
2020-03-20,9.54,9.62,9.54,9.62,54400,0.0084,0.0,523328.0,1831515.9
2020-03-23,9.55,9.67,9.5,9.62,501800,0.0073,0.0,4827316.0,1856055.5
2020-03-24,9.7,9.7,9.65,9.65,2300,-0.0052,0.0031,22195.0,2338787.1
2020-03-25,9.7,9.7,9.7,9.7,100,0.0,0.0052,970.0,2340805.6
2020-03-26,9.6,9.8,9.6,9.8,2600,0.0208,0.0103,25480.0,2340902.6
2020-03-27,9.65,9.84,9.65,9.83,2600,0.0187,0.0031,25558.0,2332903.6
2020-03-30,9.83,9.83,9.83,9.83,0,0.0,0.0,0.0,1888564.9
2020-03-31,9.83,9.83,9.83,9.83,0,0.0,0.0,0.0,1869843.9
2020-04-01,9.78,10.05,9.78,9.9,3800,0.0123,0.0071,37620.0,1869650.3
2020-04-02,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,546535.3
2020-04-03,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,546246.7
