Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,27.05,27.19,26.78,27.18,22000,0.0048,,597960.0,
2003-12-02,27.15,27.76,26.83,27.64,43141,0.018,0.0169,1192417.24,
2003-12-03,27.21,27.46,26.86,27.43,43141,0.0081,-0.0076,1183357.63,
2003-12-04,27.62,27.62,27.07,27.07,12891,-0.0199,-0.0131,348959.37,
2003-12-05,27.08,27.64,26.83,26.83,11859,-0.0092,-0.0089,318176.97,
2003-12-08,27.47,27.47,26.83,26.83,17359,-0.0233,0.0,465741.97,
2003-12-09,26.82,27.18,26.59,26.91,9797,0.0034,0.003,263637.27,
2003-12-10,26.96,26.96,26.5,26.56,52422,-0.0148,-0.013,1392328.32,
2003-12-11,26.76,26.76,26.52,26.53,30250,-0.0086,-0.0011,802532.5,
2003-12-12,26.63,26.71,26.53,26.66,24750,0.0011,0.0049,659835.0,
2003-12-15,26.76,27.2,26.76,26.8,35234,0.0015,0.0053,944271.2,722494.63
2003-12-16,27.01,27.04,26.48,26.72,10828,-0.0107,-0.003,289324.16,757125.75
2003-12-17,26.76,27.05,26.73,26.86,14953,0.0037,0.0052,401637.58,666816.44
2003-12-18,27.02,27.35,26.66,27.35,17531,0.0122,0.0182,479472.85,588644.43
2003-12-19,27.15,27.35,26.97,27.21,20109,0.0022,-0.0051,547165.89,601695.78
2003-12-22,27.43,27.43,26.89,27.08,9109,-0.0128,-0.0048,246671.72,624594.67
2003-12-23,27.11,27.46,27.03,27.05,19937,-0.0022,-0.0011,539295.85,602687.65
2003-12-24,27.08,27.26,26.79,27.19,7219,0.0041,0.0052,196284.61,630253.51
2003-12-26,27.1,27.2,26.97,26.97,7906,-0.0048,-0.0081,213224.82,510649.14
2003-12-29,26.76,27.46,26.68,27.46,13234,0.0262,0.0182,363405.64,451718.37
2003-12-30,27.08,27.57,27.08,27.24,14781,0.0059,-0.008,402634.44,422075.43
2003-12-31,27.33,27.55,27.33,27.43,12031,0.0037,0.007,330010.33,367911.76
2004-01-02,27.05,27.21,26.85,26.95,30766,-0.0037,-0.0175,829143.7,371980.37
2004-01-05,27.17,27.17,26.76,26.76,74422,-0.0151,-0.0071,1991532.72,414730.98
2004-01-06,26.77,27.8,26.77,27.64,65484,0.0325,0.0329,1809977.76,565936.97
2004-01-07,27.64,27.78,27.64,27.69,60844,0.0018,0.0018,1684770.36,692218.16
2004-01-08,27.71,27.71,27.27,27.27,15641,-0.0159,-0.0152,426530.07,836028.02
2004-01-09,27.35,27.74,27.23,27.66,20109,0.0113,0.0143,556214.94,824751.44
2004-01-12,27.55,27.67,27.37,27.39,18047,-0.0058,-0.0098,494307.33,860744.48
2004-01-13,27.61,27.78,27.35,27.6,31281,-0.0004,0.0077,863355.6,888852.73
2004-01-14,27.93,28.33,27.69,27.81,46406,-0.0043,0.0076,1290550.86,938847.72
2004-01-15,27.86,28.22,27.62,28.21,52937,0.0126,0.0144,1493352.77,1027639.37
2004-01-16,27.93,28.51,27.85,28.27,18047,0.0122,0.0021,510188.69,1143973.61
2004-01-20,27.93,28.89,27.93,28.83,37125,0.0322,0.0198,1070313.75,1112078.11
2004-01-21,28.58,29.73,28.58,29.73,81641,0.0402,0.0312,2427186.93,1019956.21
2004-01-22,29.1,29.64,29.1,29.37,54828,0.0093,-0.0121,1610298.36,1081677.13
2004-01-23,29.15,29.61,28.82,29.61,53281,0.0158,0.0082,1577650.41,1074229.93
