Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2012-10-11,19.4,20.4,18.74,19.4,813300,0.0,,15778020.0,
2012-10-12,19.01,19.75,18.56,19.05,49900,0.0021,-0.018,950595.0,
2012-10-15,19.0,19.55,18.59,19.26,54300,0.0137,0.011,1045818.0,
2012-10-16,19.29,19.91,19.2,19.67,80500,0.0197,0.0213,1583435.0,
2012-10-17,20.0,20.0,19.26,19.78,13600,-0.011,0.0056,269008.0,
2012-10-18,19.58,20.01,19.58,20.0,29200,0.0215,0.0111,584000.0,
2012-10-19,19.92,20.3,19.65,19.97,114900,0.0025,-0.0015,2294553.0,
2012-10-22,19.22,19.99,19.05,19.5,4100,0.0146,-0.0235,79950.0,
2012-10-23,19.15,19.5,19.05,19.44,21100,0.0151,-0.0031,410184.0,
2012-10-24,19.1,19.25,19.0,19.2,10100,0.0052,-0.0123,193920.0,
2012-10-25,18.9,19.2,18.7,19.2,13900,0.0159,0.0,266880.0,2318948.3
2012-10-26,19.95,19.95,18.8,19.02,12800,-0.0466,-0.0094,243456.0,767834.3
2012-10-31,18.16,19.0,18.06,18.06,8300,-0.0055,-0.0505,149898.0,697120.4
2012-11-01,18.21,19.02,17.96,19.0,9000,0.0434,0.052,171000.0,607528.4
2012-11-02,18.51,19.0,18.17,18.75,24200,0.013,-0.0132,453750.0,466284.9
2012-11-05,19.0,20.93,18.79,19.27,7900,0.0142,0.0277,152233.0,484759.1
2012-11-06,19.57,21.0,19.57,21.0,30600,0.0731,0.0898,642600.0,441582.4
2012-11-07,20.54,21.35,19.0,20.2,48700,-0.0166,-0.0381,983740.0,276387.1
2012-11-08,22.0,22.0,19.03,20.1,131200,-0.0864,-0.005,2637120.0,366766.1
2012-11-09,19.52,21.35,19.24,20.0,40600,0.0246,-0.005,812000.0,589459.7
2012-11-12,20.81,21.0,20.5,21.0,36500,0.0091,0.05,766500.0,651267.7
2012-11-13,21.12,22.59,20.79,21.46,59400,0.0161,0.0219,1274724.0,701229.7
2012-11-14,21.5,22.0,21.24,21.99,23200,0.0228,0.0247,510168.0,804356.5
2012-11-15,22.0,22.8,20.06,22.12,17600,0.0055,0.0059,389312.0,840383.5
2012-11-16,22.18,22.18,21.1,21.5,14200,-0.0307,-0.028,305300.0,862214.7
2012-11-19,21.46,21.78,20.51,21.48,4000,0.0009,-0.0009,85920.0,847369.7
2012-11-20,21.51,21.59,21.02,21.5,3000,-0.0005,0.0009,64500.0,840738.4
2012-11-21,21.01,21.5,21.01,21.01,2300,0.0,-0.0228,48323.0,782928.4
2012-11-23,21.0,21.98,20.38,21.21,7100,0.01,0.0095,150591.0,689386.7
2012-11-26,21.07,22.0,20.75,21.06,28000,-0.0005,-0.0071,589680.0,440733.8
2012-11-27,21.32,21.97,21.04,21.05,3600,-0.0127,-0.0005,75780.0,418501.8
2012-11-28,21.01,21.5,20.58,21.5,26200,0.0233,0.0214,563300.0,349429.8
2012-11-29,21.71,22.43,21.5,22.0,14900,0.0134,0.0233,327800.0,278287.4
2012-11-30,22.3,23.37,22.07,23.37,1000,0.048,0.0623,23370.0,260050.6
2012-12-03,22.46,22.96,22.25,22.55,4000,0.004,-0.0351,90200.0,223456.4
