Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-07-29,30.01,49.99,23.0,34.97,3134200,0.1653,,109602974.0,
2021-07-30,31.35,39.0,24.85,24.85,777400,-0.2073,-0.2894,19318390.0,
2021-08-02,25.1,27.06,21.7,25.94,375100,0.0335,0.0439,9730094.0,
2021-08-03,25.5,29.95,25.0,27.71,158400,0.0867,0.0682,4389264.0,
2021-08-04,28.6,35.73,28.1,33.37,306800,0.1668,0.2043,10237916.0,
2021-08-05,32.78,34.0,31.16,32.93,196100,0.0046,-0.0132,6457573.0,
2021-08-06,34.0,34.8,25.62,29.33,465300,-0.1374,-0.1093,13647249.0,
2021-08-09,29.51,29.99,27.77,28.72,105300,-0.0268,-0.0208,3024216.0,
2021-08-10,29.07,33.0,28.04,31.68,141200,0.0898,0.1031,4473216.0,
2021-08-11,32.13,34.01,29.5,32.57,102800,0.0137,0.0281,3348196.0,
2021-08-12,32.57,34.37,30.97,33.02,66300,0.0138,0.0138,2189226.0,18422908.8
2021-08-13,33.1,33.81,31.02,32.76,67600,-0.0103,-0.0079,2214576.0,7681534.0
2021-08-16,32.51,33.35,30.5,32.2,180100,-0.0095,-0.0171,5799220.0,5971152.6
2021-08-17,32.35,34.16,31.71,33.66,161100,0.0405,0.0453,5422626.0,5578065.2
2021-08-18,33.27,34.23,32.86,33.95,222500,0.0204,0.0086,7553875.0,5681401.4
2021-08-19,33.61,36.23,33.0,34.09,243900,0.0143,0.0041,8314551.0,5412997.3
2021-08-20,33.59,34.88,32.23,34.6,158100,0.0301,0.015,5470260.0,5598695.1
2021-08-23,35.4,40.55,35.4,40.25,338300,0.137,0.1633,13616575.0,4780996.2
2021-08-24,40.95,41.24,38.11,38.63,125200,-0.0567,-0.0402,4836476.0,5840232.1
2021-08-25,38.96,39.55,36.58,37.0,140300,-0.0503,-0.0422,5191100.0,5876558.1
2021-08-26,37.3,37.8,35.08,35.45,124000,-0.0496,-0.0419,4395800.0,6060848.5
2021-08-27,35.58,40.61,34.76,39.59,263100,0.1127,0.1168,10416129.0,6281505.9
2021-08-30,39.59,40.52,38.12,38.13,235100,-0.0369,-0.0369,8964363.0,7101661.2
2021-08-31,38.49,40.92,36.52,37.72,353600,-0.02,-0.0108,13337792.0,7418175.5
2021-09-01,37.95,39.99,37.27,39.63,175700,0.0443,0.0506,6962991.0,8209692.1
2021-09-02,39.63,40.17,39.14,39.73,197000,0.0025,0.0025,7826810.0,8150603.7
2021-09-03,38.94,40.3,37.81,39.73,244000,0.0203,0.0,9694120.0,8101829.6
2021-09-07,39.97,40.57,34.5,39.6,304000,-0.0093,-0.0033,12038400.0,8524215.6
2021-09-08,39.85,39.99,37.5,39.41,182300,-0.011,-0.0048,7184443.0,8366398.1
2021-09-09,39.3,40.44,37.99,39.22,195900,-0.002,-0.0048,7683198.0,8601194.8
2021-09-10,39.35,40.91,37.94,38.72,130400,-0.016,-0.0127,5049088.0,8850404.6
2021-09-13,38.67,39.49,36.9,37.75,125500,-0.0238,-0.0251,4737625.0,8915733.4
2021-09-14,37.75,40.29,36.82,39.89,197800,0.0567,0.0567,7890242.0,8347883.0
2021-09-15,39.91,40.53,39.61,39.92,248800,0.0003,0.0008,9932096.0,8240470.9
2021-09-16,41.0,41.98,38.7,39.46,196600,-0.0376,-0.0115,7757836.0,7899901.3
2021-09-17,39.02,39.81,32.28,33.06,2207300,-0.1527,-0.1622,72973338.0,7979385.8
2021-09-20,32.65,32.68,27.97,28.27,196100,-0.1342,-0.1449,5543747.0,14494038.6
2021-09-21,28.27,28.88,27.4,27.71,163300,-0.0198,-0.0198,4525043.0,14079001.3
2021-09-22,27.7,28.0,25.06,25.97,112500,-0.0625,-0.0628,2921625.0,13327665.6
2021-09-23,26.02,28.25,25.34,28.1,67100,0.0799,0.082,1885510.0,12901383.8
2021-09-24,27.7,29.43,25.68,28.99,77700,0.0466,0.0317,2252523.0,12321615.0
2021-09-27,28.75,29.38,28.47,29.0,84400,0.0087,0.0003,2447600.0,12041958.5
2021-09-28,28.66,29.77,26.74,29.24,111100,0.0202,0.0083,3248564.0,11812956.0
2021-09-29,29.08,29.62,27.64,29.3,88000,0.0076,0.0021,2578400.0,11348788.2
2021-09-30,29.38,29.78,28.67,29.59,122900,0.0071,0.0099,3636611.0,10613418.6
2021-10-01,29.35,29.88,27.27,29.25,107800,-0.0034,-0.0115,3153150.0,10201296.1
2021-10-04,28.73,29.34,28.6,29.01,90200,0.0097,-0.0082,2616702.0,3219277.3
2021-10-05,28.99,32.17,28.81,32.05,108300,0.1056,0.1048,3471015.0,2926572.8
2021-10-06,31.62,33.74,30.26,32.25,128500,0.0199,0.0062,4144125.0,2821170.0
2021-10-07,32.58,33.85,31.45,32.9,71400,0.0098,0.0202,2349060.0,2943420.0
2021-10-08,32.76,33.52,29.32,30.39,145700,-0.0723,-0.0763,4427823.0,2989775.0
2021-10-11,30.49,30.49,26.31,26.46,67400,-0.1322,-0.1293,1783404.0,3207305.0
2021-10-12,27.34,27.82,23.0,24.83,206200,-0.0918,-0.0616,5119946.0,3140885.4
