Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-07-30,10.0,10.25,9.5,10.0,1514700,0.0,,15147000.0,
2021-08-02,10.22,10.25,9.9,10.0,105800,-0.0215,0.0,1058000.0,
2021-08-03,9.99,10.02,9.84,9.96,285300,-0.003,-0.004,2841588.0,
2021-08-04,9.96,9.98,9.85,9.87,27300,-0.009,-0.009,269451.0,
2021-08-05,9.82,9.88,9.78,9.88,81200,0.0061,0.001,802256.0,
2021-08-06,9.99,9.99,9.48,9.74,28400,-0.025,-0.0142,276616.0,
2021-08-09,9.7,9.95,9.67,9.94,38600,0.0247,0.0205,383684.0,
2021-08-10,9.76,9.89,9.71,9.79,3100,0.0031,-0.0151,30349.0,
2021-08-11,10.32,10.32,9.5,9.86,29400,-0.0446,0.0072,289884.0,
2021-08-12,9.94,9.94,9.47,9.56,12400,-0.0382,-0.0304,118544.0,
2021-08-13,9.6,9.7,9.26,9.35,18800,-0.026,-0.022,175780.0,2121737.2
2021-08-16,9.04,9.49,8.77,9.32,123600,0.031,-0.0032,1151952.0,624615.2
2021-08-17,9.25,9.49,8.99,9.1,47700,-0.0162,-0.0236,434070.0,634010.4
2021-08-18,9.13,9.22,7.8,7.96,37700,-0.1281,-0.1253,300092.0,393258.6
2021-08-19,7.69,8.48,7.69,7.88,27200,0.0247,-0.0101,214336.0,396322.7
2021-08-20,7.27,8.05,6.6,7.71,52500,0.0605,-0.0216,404775.0,337530.7
2021-08-23,8.31,8.78,7.94,8.09,38000,-0.0265,0.0493,307420.0,350346.6
2021-08-24,7.95,8.06,7.55,7.7,25500,-0.0314,-0.0482,196350.0,342720.2
2021-08-25,7.65,7.7,7.46,7.5,48200,-0.0196,-0.026,361500.0,359320.3
2021-08-26,7.5,7.8,7.5,7.5,6500,0.0,0.0,48750.0,366481.9
2021-08-27,7.5,7.9,7.04,7.35,37300,-0.02,-0.02,274155.0,359502.5
2021-08-30,6.61,7.36,6.1,7.1,58400,0.0741,-0.034,414640.0,369340.0
2021-08-31,7.16,7.29,6.75,6.8,26400,-0.0503,-0.0423,179520.0,295608.8
2021-09-01,6.7,7.23,6.7,6.76,25500,0.009,-0.0059,172380.0,270153.8
2021-09-02,6.73,7.22,6.73,7.1,12200,0.055,0.0503,86620.0,257382.6
