Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2006-04-05,11.67,11.67,11.67,11.67,0,0.0,,0.0,
2006-04-06,11.67,11.67,11.67,11.67,0,0.0,0.0,0.0,
2006-04-07,11.67,11.67,11.67,11.67,0,0.0,0.0,0.0,
2006-04-10,11.67,11.67,11.67,11.67,0,0.0,0.0,0.0,
2006-04-11,11.67,11.67,11.67,11.67,0,0.0,0.0,0.0,
2006-04-12,11.8,11.8,11.8,11.8,300,0.0,0.0111,3540.0,
2006-04-13,11.8,11.8,11.8,11.8,0,0.0,0.0,0.0,
2006-04-17,11.8,11.8,11.8,11.8,0,0.0,0.0,0.0,
2006-04-18,11.8,11.8,11.67,11.67,1050,-0.011,-0.011,12253.5,
2006-04-19,11.5,11.5,11.2,11.33,13500,-0.0148,-0.0291,152955.0,
2006-04-20,11.33,11.33,11.33,11.33,9000,0.0,0.0,101970.0,16874.85
2006-04-21,11.5,11.5,11.33,11.33,1500,-0.0148,0.0,16995.0,27071.85
2006-04-24,11.2,11.33,11.2,11.33,10950,0.0116,0.0,124063.5,28771.35
2006-04-25,11.67,11.67,11.33,11.33,9000,-0.0291,0.0,101970.0,41177.7
2006-04-26,11.33,11.33,11.23,11.23,2250,-0.0088,-0.0088,25267.5,51374.7
2006-04-27,11.23,11.23,11.23,11.23,0,0.0,0.0,0.0,53901.45
2006-04-28,11.2,11.23,11.03,11.23,1650,0.0027,0.0,18529.5,53547.45
2006-05-01,11.03,11.13,11.03,11.07,23250,0.0036,-0.0142,257377.5,55400.4
2006-05-02,11.03,11.07,11.0,11.0,15750,-0.0027,-0.0063,173250.0,81138.15
2006-05-03,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,97237.8
2006-05-04,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,81942.3
2006-05-05,10.93,11.0,10.93,11.0,24900,0.0064,0.0,273900.0,71745.3
2006-05-08,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,97435.8
2006-05-09,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,85029.45
2006-05-10,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,74832.45
2006-05-11,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,72305.7
2006-05-12,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,72305.7
2006-05-15,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,70452.75
2006-05-16,11.1,11.1,11.0,11.03,1200,-0.0063,0.0027,13236.0,44715.0
2006-05-17,11.33,11.33,10.8,10.8,1050,-0.0468,-0.0209,11340.0,28713.6
2006-05-18,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,29847.6
2006-05-19,10.8,10.8,10.8,10.8,600,0.0,0.0,6480.0,29847.6
2006-05-22,10.8,10.8,10.8,10.8,2250,0.0,0.0,24300.0,3105.6
2006-05-23,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,5535.6
2006-05-24,10.9,10.9,10.9,10.9,2550,0.0,0.0093,27795.0,5535.6
2006-05-25,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,8315.1
2006-05-26,10.8,11.0,10.8,11.0,4200,0.0185,0.0092,46200.0,8315.1
2006-05-30,11.0,11.0,11.0,11.0,750,0.0,0.0,8250.0,12935.1
2006-05-31,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,13760.1
2006-06-01,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,12436.5
2006-06-02,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,11302.5
2006-06-05,11.33,11.33,11.0,11.0,900,-0.0291,0.0,9900.0,11302.5
2006-06-06,10.93,10.93,10.93,10.93,600,0.0,-0.0064,6558.0,11644.5
2006-06-07,10.93,10.93,10.93,10.93,0,0.0,0.0,0.0,9870.3
2006-06-08,10.83,10.83,10.7,10.83,750,0.0,-0.0091,8122.5,9870.3
2006-06-09,10.7,10.7,10.7,10.7,1500,0.0,-0.012,16050.0,7903.05
2006-06-12,10.7,10.8,10.7,10.8,9750,0.0093,0.0093,105300.0,9508.05
2006-06-13,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,15418.05
2006-06-14,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,14593.05
2006-06-15,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,14593.05
2006-06-16,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,14593.05
2006-06-19,10.83,10.83,10.83,10.83,2250,0.0,0.0028,24367.5,14593.05
2006-06-20,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,16039.8
2006-06-21,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,15384.0
2006-06-22,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,15384.0
2006-06-23,11.1,11.1,10.77,10.77,1050,-0.0297,-0.0055,11308.5,14571.75
2006-06-26,10.77,10.77,10.77,10.77,0,0.0,0.0,0.0,14097.6
2006-06-27,10.77,10.77,10.77,10.77,0,0.0,0.0,0.0,3567.6
2006-06-28,10.77,10.77,10.77,10.77,0,0.0,0.0,0.0,3567.6
2006-06-29,10.83,10.83,10.83,10.83,1200,0.0,0.0056,12996.0,3567.6
2006-06-30,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,4867.2
2006-07-03,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,4867.2
2006-07-05,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,2430.45
2006-07-06,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,2430.45
2006-07-07,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,2430.45
2006-07-10,10.83,10.83,10.83,10.83,900,0.0,0.0,9747.0,2430.45
2006-07-11,10.7,10.87,10.7,10.87,3300,0.0159,0.0037,35871.0,2274.3
2006-07-12,10.7,10.7,10.7,10.7,600,0.0,-0.0156,6420.0,5861.4
2006-07-13,10.7,10.7,10.7,10.7,0,0.0,0.0,0.0,6503.4
2006-07-14,10.7,10.7,10.7,10.7,0,0.0,0.0,0.0,6503.4
2006-07-17,10.7,10.7,10.67,10.67,1200,-0.0028,-0.0028,12804.0,5203.8
2006-07-18,10.67,10.87,10.67,10.87,2100,0.0187,0.0187,22827.0,6484.2
2006-07-19,10.7,10.7,10.7,10.7,750,0.0,-0.0156,8025.0,8766.9
2006-07-20,10.73,11.5,10.7,10.87,5850,0.013,0.0159,63589.5,9569.4
2006-07-21,10.87,11.17,10.87,11.17,9300,0.0276,0.0276,103881.0,15928.35
2006-07-24,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,26316.45
2006-07-25,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,25341.75
2006-07-26,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,21754.65
2006-07-27,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,21112.65
2006-07-28,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,21112.65
2006-07-31,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,21112.65
2006-08-01,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,19832.25
2006-08-02,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,17549.55
2006-08-03,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,16747.05
2006-08-04,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,10388.1
2006-08-07,11.17,11.17,11.17,11.17,0,0.0,0.0,0.0,0.0
2006-08-08,10.93,11.17,10.87,11.17,3300,0.022,0.0,36861.0,0.0
2006-08-09,11.0,11.1,11.0,11.1,750,0.0091,-0.0063,8325.0,3686.1
2006-08-10,11.1,11.1,11.1,11.1,0,0.0,0.0,0.0,4518.6
2006-08-11,11.1,11.1,11.1,11.1,0,0.0,0.0,0.0,4518.6
2006-08-14,11.1,11.1,11.1,11.1,0,0.0,0.0,0.0,4518.6
2006-08-15,11.1,11.1,11.1,11.1,0,0.0,0.0,0.0,4518.6
2006-08-16,11.0,11.0,11.0,11.0,600,0.0,-0.009,6600.0,4518.6
2006-08-17,11.0,11.0,10.7,10.7,3750,-0.0273,-0.0273,40125.0,5178.6
2006-08-18,10.7,10.7,10.7,10.7,0,0.0,0.0,0.0,9191.1
2006-08-21,10.77,11.0,10.77,11.0,2100,0.0214,0.028,23100.0,9191.1
2006-08-22,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,11501.1
2006-08-23,11.0,11.0,11.0,11.0,300,0.0,0.0,3300.0,7815.0
2006-08-24,10.83,10.93,10.83,10.93,10800,0.0092,-0.0064,118044.0,7312.5
2006-08-25,10.93,10.93,10.93,10.93,0,0.0,0.0,0.0,19116.9
2006-08-28,11.3,11.3,10.87,11.1,4950,-0.0177,0.0156,54945.0,19116.9
2006-08-29,10.93,10.93,10.93,10.93,7200,0.0,-0.0153,78696.0,24611.4
2006-08-30,10.93,10.93,10.93,10.93,0,0.0,0.0,0.0,32481.0
2006-08-31,11.0,11.0,11.0,11.0,300,0.0,0.0064,3300.0,31821.0
2006-09-01,11.0,11.0,10.97,10.97,1050,-0.0027,-0.0027,11518.5,28138.5
2006-09-05,10.97,10.97,10.97,10.97,0,0.0,0.0,0.0,29290.35
2006-09-06,10.97,10.97,10.97,10.97,450,0.0,0.0,4936.5,26980.35
2006-09-07,10.97,10.97,10.97,10.97,0,0.0,0.0,0.0,27474.0
2006-09-08,11.07,11.07,11.07,11.07,600,0.0,0.0091,6642.0,27144.0
2006-09-11,11.07,11.07,11.07,11.07,150,0.0,0.0,1660.5,16003.8
2006-09-12,11.07,11.07,11.07,11.07,2100,0.0,0.0,23247.0,16169.85
2006-09-13,11.0,11.0,11.0,11.0,1050,0.0,-0.0063,11550.0,13000.05
2006-09-14,11.0,11.0,11.0,11.0,0,0.0,0.0,0.0,6285.45
2006-09-15,11.03,11.03,11.03,11.03,750,0.0,0.0027,8272.5,6285.45
2006-09-18,11.03,11.03,11.03,11.03,0,0.0,0.0,0.0,6782.7
2006-09-19,11.03,11.03,11.03,11.03,0,0.0,0.0,0.0,5630.85
2006-09-20,11.03,11.03,11.03,11.03,0,0.0,0.0,0.0,5630.85
2006-09-21,11.03,11.03,11.03,11.03,0,0.0,0.0,0.0,5137.2
2006-09-22,11.03,11.03,11.03,11.03,0,0.0,0.0,0.0,5137.2
2006-09-25,11.03,11.03,11.03,11.03,0,0.0,0.0,0.0,4473.0
2006-09-26,11.03,11.03,11.03,11.03,0,0.0,0.0,0.0,4306.95
2006-09-27,11.03,11.03,11.03,11.03,0,0.0,0.0,0.0,1982.25
2006-09-28,11.03,11.03,11.03,11.03,0,0.0,0.0,0.0,827.25
2006-09-29,10.97,11.01,10.97,11.01,7650,0.0036,-0.0018,84226.5,827.25
2006-10-02,10.97,11.0,10.93,10.97,4500,0.0,-0.0036,49365.0,8422.65
2006-10-03,10.83,10.83,10.83,10.83,300,0.0,-0.0128,3249.0,13359.15
2006-10-04,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,13684.05
2006-10-05,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,13684.05
2006-10-06,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,13684.05
2006-10-09,10.9,10.9,10.87,10.87,1050,-0.0028,0.0037,11413.5,13684.05
2006-10-10,10.87,10.87,10.87,10.87,1200,0.0,0.0,13044.0,14825.4
2006-10-11,10.87,10.87,10.87,10.87,0,0.0,0.0,0.0,16129.8
2006-10-12,10.87,10.87,10.87,10.87,0,0.0,0.0,0.0,16129.8
2006-10-13,10.87,10.9,10.87,10.9,5700,0.0028,0.0028,62130.0,16129.8
2006-10-16,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,13920.15
2006-10-17,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,8983.65
2006-10-18,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,8658.75
2006-10-19,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,8658.75
2006-10-20,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,8658.75
2006-10-23,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,8658.75
2006-10-24,10.87,10.87,10.8,10.8,1800,-0.0064,-0.0092,19440.0,7517.4
2006-10-25,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,8157.0
2006-10-26,10.8,10.9,10.8,10.9,6600,0.0093,0.0093,71940.0,8157.0
2006-10-27,10.8,10.8,10.8,10.8,1650,0.0,-0.0092,17820.0,15351.0
2006-10-30,10.83,10.87,10.83,10.83,7500,0.0,0.0028,81225.0,10920.0
2006-10-31,10.83,10.87,10.8,10.8,11400,-0.0028,-0.0028,123120.0,19042.5
2006-11-01,10.93,10.93,10.93,10.93,2550,0.0,0.012,27871.5,31354.5
2006-11-02,10.87,10.87,10.87,10.87,600,0.0,-0.0055,6522.0,34141.65
2006-11-03,10.87,10.87,10.87,10.87,0,0.0,0.0,0.0,34793.85
2006-11-06,10.93,10.93,10.83,10.83,22200,-0.0091,-0.0037,240426.0,34793.85
2006-11-07,10.8,10.8,10.77,10.77,50700,-0.0028,-0.0055,546039.0,58836.45
2006-11-08,10.77,10.77,10.77,10.77,10800,0.0,0.0,116316.0,111496.35
2006-11-09,10.73,10.77,10.73,10.73,3600,0.0,-0.0037,38628.0,123127.95
2006-11-10,10.73,10.73,10.73,10.73,0,0.0,0.0,0.0,119796.75
2006-11-13,10.78,10.78,10.73,10.73,600,-0.0046,0.0,6438.0,118014.75
2006-11-14,10.77,10.9,10.73,10.9,2400,0.0121,0.0158,26160.0,110536.05
2006-11-15,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,100840.05
2006-11-16,10.9,10.9,10.87,10.87,750,-0.0028,-0.0028,8152.5,98052.9
2006-11-17,10.9,10.9,10.77,10.77,900,-0.0119,-0.0092,9693.0,98215.95
2006-11-20,10.77,10.77,10.77,10.77,0,0.0,0.0,0.0,99185.25
2006-11-21,10.9,10.9,10.9,10.9,300,0.0,0.0121,3270.0,75142.65
2006-11-22,10.9,10.9,10.9,10.9,1050,0.0,0.0,11445.0,20865.75
2006-11-24,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,10378.65
2006-11-27,10.9,11.0,10.9,10.9,2100,0.0,0.0,22890.0,6515.85
2006-11-28,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,8804.85
2006-11-29,10.93,10.93,10.87,10.87,1800,-0.0055,-0.0028,19566.0,8161.05
2006-11-30,10.87,10.87,10.87,10.87,0,0.0,0.0,0.0,7501.65
2006-12-01,10.87,10.87,10.87,10.87,0,0.0,0.0,0.0,7501.65
2006-12-04,10.83,10.83,10.8,10.8,3750,-0.0028,-0.0064,40500.0,6686.4
2006-12-05,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,9767.1
2006-12-06,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,9767.1
2006-12-07,10.8,10.8,10.8,10.8,750,0.0,0.0,8100.0,9440.1
2006-12-08,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,9105.6
2006-12-11,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,9105.6
2006-12-12,10.8,10.8,10.8,10.8,4050,0.0,0.0,43740.0,6816.6
2006-12-13,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,11190.6
2006-12-14,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,9234.0
2006-12-15,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,9234.0
2006-12-18,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,9234.0
2006-12-19,10.8,10.83,10.8,10.83,3000,0.0028,0.0028,32490.0,5184.0
2006-12-20,10.8,10.8,10.8,10.8,300,0.0,-0.0028,3240.0,8433.0
2006-12-21,10.77,10.77,10.77,10.77,2250,0.0,-0.0028,24232.5,8757.0
2006-12-22,10.8,10.8,10.8,10.8,7800,0.0,0.0028,84240.0,10370.25
2006-12-26,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,18794.25
2006-12-27,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,18794.25
2006-12-28,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,14420.25
2006-12-29,10.8,10.8,10.77,10.77,6000,-0.0028,-0.0028,64620.0,14420.25
2007-01-03,10.77,10.77,10.77,10.77,300,0.0,0.0,3231.0,20882.25
2007-01-04,10.77,10.77,10.77,10.77,0,0.0,0.0,0.0,21205.35
2007-01-05,10.77,10.77,10.77,10.77,0,0.0,0.0,0.0,21205.35
2007-01-08,10.77,10.77,10.77,10.77,0,0.0,0.0,0.0,17956.35
2007-01-09,10.71,10.72,10.71,10.71,14100,0.0,-0.0056,151011.0,17632.35
2007-01-10,10.67,10.67,10.27,10.27,10500,-0.0375,-0.0411,107835.0,30310.2
2007-01-11,10.27,10.27,10.27,10.27,0,0.0,0.0,0.0,32669.7
2007-01-12,10.27,10.27,10.27,10.27,0,0.0,0.0,0.0,32669.7
2007-01-16,10.27,10.27,10.27,10.27,0,0.0,0.0,0.0,32669.7
2007-01-17,10.27,10.27,10.27,10.27,0,0.0,0.0,0.0,32669.7
2007-01-18,10.3,10.3,10.3,10.3,1050,0.0,0.0029,10815.0,26207.7
2007-01-19,10.3,10.3,10.3,10.3,0,0.0,0.0,0.0,26966.1
2007-01-22,10.33,10.33,10.33,10.33,7650,0.0,0.0029,79024.5,26966.1
2007-01-23,10.3,10.3,10.23,10.27,6900,-0.0029,-0.0058,70863.0,34868.55
2007-01-24,10.03,10.07,10.0,10.03,41400,0.0,-0.0234,415242.0,41954.85
2007-01-25,10.03,10.03,10.03,10.03,3300,0.0,0.0,33099.0,68377.95
2007-01-26,10.0,10.03,9.93,10.03,10800,0.003,0.0,108324.0,60904.35
2007-01-29,10.03,10.03,10.03,10.03,600,0.0,0.0,6018.0,71736.75
2007-01-30,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,72338.55
2007-01-31,10.07,10.37,10.07,10.37,1050,0.0298,0.0339,10888.5,72338.55
2007-02-01,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,73427.4
2007-02-02,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,72345.9
2007-02-05,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,72345.9
2007-02-06,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,64443.45
2007-02-07,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,57357.15
2007-02-08,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,15832.95
2007-02-09,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,12523.05
2007-02-12,10.33,10.33,10.33,10.33,750,0.0,-0.0039,7747.5,1690.65
2007-02-13,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,1863.6
2007-02-14,10.17,10.17,10.03,10.03,8400,-0.0138,-0.029,84252.0,1863.6
2007-02-15,10.03,10.03,10.03,10.03,600,0.0,0.0,6018.0,9199.95
2007-02-16,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,9801.75
2007-02-20,10.03,10.03,10.03,10.03,4350,0.0,0.0,43630.5,9801.75
2007-02-21,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,14164.8
2007-02-22,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,14164.8
2007-02-23,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,14164.8
2007-02-26,10.03,10.03,10.03,10.03,0,0.0,0.0,0.0,14164.8
2007-02-27,10.33,10.33,10.03,10.03,2850,-0.029,0.0,28585.5,14164.8
2007-02-28,10.33,10.33,10.33,10.33,1050,0.0,0.0299,10846.5,16248.6
2007-03-01,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,17333.25
2007-03-02,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,8908.05
2007-03-05,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,8306.25
2007-03-06,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,8306.25
2007-03-07,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,3943.2
2007-03-08,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,3943.2
2007-03-09,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,3943.2
2007-03-12,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,3943.2
2007-03-13,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,3943.2
2007-03-14,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,1084.65
2007-03-15,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,0.0
2007-03-16,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,0.0
2007-03-19,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,0.0
2007-03-20,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,0.0
2007-03-21,9.93,9.93,9.93,9.93,5250,0.0,-0.0387,52132.5,0.0
2007-03-22,9.93,9.93,9.77,9.77,12000,-0.0161,-0.0161,117240.0,5213.25
2007-03-23,9.77,9.77,9.77,9.77,0,0.0,0.0,0.0,16937.25
2007-03-26,9.8,9.8,9.8,9.8,1950,0.0,0.0031,19110.0,16937.25
2007-03-27,9.87,9.87,9.87,9.87,750,0.0,0.0071,7402.5,18848.25
2007-03-28,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,19588.5
2007-03-29,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,19588.5
2007-03-30,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,19588.5
2007-04-02,9.77,9.77,9.77,9.77,1500,0.0,-0.0101,14655.0,19588.5
2007-04-03,9.77,9.77,9.77,9.77,300,0.0,0.0,2931.0,21054.0
2007-04-04,9.77,9.77,9.77,9.77,0,0.0,0.0,0.0,21347.1
2007-04-05,9.77,9.77,9.77,9.77,2550,0.0,0.0,24913.5,16133.85
2007-04-09,9.77,9.77,9.77,9.77,0,0.0,0.0,0.0,6901.2
2007-04-10,9.77,9.77,9.77,9.77,0,0.0,0.0,0.0,6901.2
2007-04-11,9.77,9.77,9.33,9.33,1800,-0.045,-0.045,16794.0,4990.2
2007-04-12,9.37,9.5,9.37,9.47,7800,0.0107,0.015,73866.0,5929.35
2007-04-13,9.37,9.37,9.33,9.33,2400,-0.0043,-0.0148,22392.0,13315.95
2007-04-16,9.33,9.33,9.33,9.33,0,0.0,0.0,0.0,15555.15
2007-04-17,9.2,9.2,9.01,9.01,750,-0.0207,-0.0343,6757.5,15555.15
2007-04-18,9.17,9.33,9.17,9.33,4800,0.0174,0.0355,44784.0,14765.4
2007-04-19,9.33,9.67,9.33,9.5,6450,0.0182,0.0182,61275.0,18950.7
2007-04-20,9.73,9.73,9.4,9.4,600,-0.0339,-0.0105,5640.0,25078.2
2007-04-23,9.47,9.67,9.47,9.67,16350,0.0211,0.0287,158104.5,23150.85
2007-04-24,9.73,9.77,9.5,9.67,4200,-0.0062,0.0,40614.0,38961.3
2007-04-25,9.6,9.77,9.6,9.67,9900,0.0073,0.0,95733.0,43022.7
2007-04-26,9.63,9.7,9.63,9.7,1650,0.0073,0.0031,16005.0,50916.6
2007-04-27,9.7,9.7,9.7,9.7,750,0.0,0.0,7275.0,45130.5
2007-04-30,9.67,9.7,9.67,9.7,1950,0.0031,0.0,18915.0,43618.8
2007-05-01,9.6,9.63,9.6,9.63,4050,0.0031,-0.0072,39001.5,45510.3
2007-05-02,9.63,9.63,9.63,9.63,0,0.0,0.0,0.0,48734.7
2007-05-03,9.63,9.63,9.63,9.63,1650,0.0,0.0,15889.5,44256.3
2007-05-04,9.63,9.63,9.63,9.63,0,0.0,0.0,0.0,39717.75
2007-05-07,9.63,9.63,9.57,9.57,6300,-0.0062,-0.0062,60291.0,39153.75
2007-05-08,9.57,9.57,9.57,9.57,0,0.0,0.0,0.0,29372.4
2007-05-09,9.57,9.57,9.57,9.57,0,0.0,0.0,0.0,25311.0
2007-05-10,9.47,9.47,9.47,9.47,300,0.0,-0.0104,2841.0,15737.7
2007-05-11,9.47,9.47,9.47,9.47,0,0.0,0.0,0.0,14421.3
2007-05-14,9.47,9.47,9.47,9.47,0,0.0,0.0,0.0,13693.8
2007-05-15,9.47,9.47,9.47,9.47,0,0.0,0.0,0.0,11802.3
2007-05-16,9.47,9.47,9.47,9.47,0,0.0,0.0,0.0,7902.15
2007-05-17,9.47,9.47,9.47,9.47,0,0.0,0.0,0.0,7902.15
2007-05-18,9.47,9.47,9.47,9.47,450,0.0,0.0,4261.5,6313.2
2007-05-21,9.47,9.47,9.47,9.47,0,0.0,0.0,0.0,6739.35
2007-05-22,9.47,9.47,9.47,9.47,0,0.0,0.0,0.0,710.25
2007-05-23,9.5,9.5,9.5,9.5,300,0.0,0.0032,2850.0,710.25
2007-05-24,9.5,9.5,9.5,9.5,0,0.0,0.0,0.0,995.25
2007-05-25,9.5,9.5,9.5,9.5,450,0.0,0.0,4275.0,711.15
2007-05-29,9.5,9.53,9.33,9.33,9000,-0.0179,-0.0179,83970.0,1138.65
2007-05-30,9.33,9.33,9.33,9.33,0,0.0,0.0,0.0,9535.65
2007-05-31,9.33,9.33,9.33,9.33,0,0.0,0.0,0.0,9535.65
2007-06-01,9.5,9.5,9.4,9.4,1350,-0.0105,0.0075,12690.0,9535.65
2007-06-04,9.43,9.43,9.27,9.27,9450,-0.017,-0.0138,87601.5,10804.65
2007-06-05,9.27,9.27,9.27,9.27,300,0.0,0.0,2781.0,19138.65
2007-06-06,9.17,9.17,9.17,9.17,2100,0.0,-0.0108,19257.0,19416.75
2007-06-07,9.17,9.17,9.07,9.07,1050,-0.0109,-0.0109,9523.5,21342.45
2007-06-08,9.07,9.07,9.07,9.07,0,0.0,0.0,0.0,22009.8
2007-06-11,9.13,9.13,9.07,9.07,2250,-0.0066,0.0,20407.5,22009.8
2007-06-12,9.17,9.17,9.17,9.17,2250,0.0,0.011,20632.5,23623.05
