Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,17.4,17.67,17.4,17.58,225000,0.0103,,3955500.0,
2003-12-02,17.68,17.92,17.63,17.68,194400,0.0,0.0057,3436992.0,
2003-12-03,17.62,17.75,17.52,17.52,164400,-0.0057,-0.009,2880288.0,
2003-12-04,17.52,17.62,17.39,17.53,151000,0.0006,0.0006,2647030.0,
2003-12-05,17.5,17.67,17.45,17.48,141600,-0.0011,-0.0029,2475168.0,
2003-12-08,17.4,17.83,17.4,17.83,258000,0.0247,0.02,4600140.0,
2003-12-09,17.83,17.88,17.67,17.72,302400,-0.0062,-0.0062,5358528.0,
2003-12-10,17.7,17.7,17.49,17.64,183400,-0.0034,-0.0045,3235176.0,
2003-12-11,17.62,17.94,17.59,17.85,222000,0.0131,0.0119,3962700.0,
2003-12-12,17.9,18.0,17.83,17.94,203400,0.0022,0.005,3648996.0,
2003-12-15,17.98,18.12,17.66,17.67,181600,-0.0172,-0.0151,3208872.0,3620051.8
2003-12-16,17.7,17.7,17.43,17.58,216200,-0.0068,-0.0051,3800796.0,3545389.0
2003-12-17,17.55,17.6,17.33,17.5,167200,-0.0028,-0.0046,2926000.0,3581769.4
2003-12-18,17.51,17.6,17.39,17.42,247600,-0.0051,-0.0046,4313192.0,3586340.6
2003-12-19,17.42,17.47,17.21,17.42,377400,0.0,0.0,6574308.0,3752956.8
2003-12-22,17.45,17.57,17.32,17.51,202400,0.0034,0.0052,3544024.0,4162870.8
2003-12-23,17.46,17.61,17.41,17.61,153000,0.0086,0.0057,2694330.0,4057259.2
2003-12-24,17.59,17.65,17.46,17.46,60400,-0.0074,-0.0085,1054584.0,3790839.4
2003-12-26,17.38,17.65,17.38,17.65,52600,0.0155,0.0109,928390.0,3572780.2
2003-12-29,17.61,17.75,17.48,17.75,162200,0.008,0.0057,2879050.0,3269349.2
2003-12-30,17.69,17.72,17.58,17.62,172800,-0.004,-0.0073,3044736.0,3192354.6
2003-12-31,17.62,17.65,17.23,17.23,334400,-0.0221,-0.0221,5761712.0,3175941.0
2004-01-02,17.28,17.44,17.22,17.33,140200,0.0029,0.0058,2429666.0,3372032.6
2004-01-05,17.27,17.75,17.27,17.69,253200,0.0243,0.0208,4479108.0,3322399.2
2004-01-06,17.6,17.8,17.5,17.5,229400,-0.0057,-0.0107,4014500.0,3338990.8
2004-01-07,17.5,17.8,17.5,17.8,317800,0.0171,0.0171,5656840.0,3083010.0
2004-01-08,17.83,17.87,17.62,17.66,163800,-0.0095,-0.0079,2892708.0,3294291.6
2004-01-09,17.66,17.77,17.58,17.62,215600,-0.0023,-0.0023,3798872.0,3314129.4
2004-01-12,17.62,17.83,17.62,17.83,233600,0.0119,0.0119,4165088.0,3588558.2
2004-01-13,17.78,17.8,17.48,17.56,270800,-0.0124,-0.0151,4755248.0,3912228.0
2004-01-14,17.62,17.68,17.57,17.64,245400,0.0011,0.0046,4328856.0,4099847.8
2004-01-15,17.73,17.76,17.5,17.61,283400,-0.0068,-0.0017,4990674.0,4228259.8
2004-01-16,17.67,17.7,17.52,17.56,136200,-0.0062,-0.0028,2391672.0,4151156.0
2004-01-20,17.58,17.83,17.58,17.77,261000,0.0108,0.012,4637970.0,4147356.6
2004-01-21,17.81,17.95,17.76,17.92,165200,0.0062,0.0084,2960384.0,4163242.8
2004-01-22,17.9,17.93,17.59,17.62,161800,-0.0156,-0.0167,2850916.0,4057831.2
2004-01-23,17.62,17.7,17.55,17.69,294000,0.004,0.004,5200860.0,3777238.8
2004-01-26,17.7,17.73,17.62,17.69,263200,-0.0006,0.0,4656008.0,4008054.0
2004-01-27,17.69,17.71,17.63,17.68,390600,-0.0006,-0.0006,6905808.0,4093767.6
2004-01-28,17.66,17.66,17.46,17.5,247800,-0.0091,-0.0102,4336500.0,4367839.6
2004-01-29,17.77,17.81,17.5,17.55,568400,-0.0124,0.0029,9975420.0,4325964.8
2004-01-30,17.59,17.62,17.48,17.58,326000,-0.0006,0.0017,5731080.0,4890621.2
2004-02-02,17.65,17.74,17.45,17.57,180800,-0.0045,-0.0006,3176656.0,4964661.8
2004-02-03,17.58,17.77,17.5,17.75,175600,0.0097,0.0102,3116900.0,5043160.2
2004-02-04,17.74,17.75,17.36,17.38,245200,-0.0203,-0.0208,4261576.0,4891053.2
2004-02-05,17.45,17.55,17.32,17.49,211400,0.0023,0.0063,3697386.0,5021172.4
2004-02-06,17.45,17.58,17.4,17.54,283800,0.0052,0.0029,4977852.0,5105819.4
2004-02-09,17.61,17.99,17.51,17.75,416200,0.008,0.012,7387550.0,5083518.6
2004-02-10,17.73,18.35,17.73,18.35,498600,0.035,0.0338,9149310.0,5356672.8
2004-02-11,18.34,18.85,18.34,18.85,447800,0.0278,0.0272,8441030.0,5581023.0
2004-02-12,18.83,19.02,18.67,18.67,317000,-0.0085,-0.0095,5918390.0,5991476.0
2004-02-13,18.58,19.06,18.55,18.77,434400,0.0102,0.0054,8153688.0,5585773.0
2004-02-17,18.85,19.23,18.85,19.16,230600,0.0164,0.0208,4418296.0,5828033.8
2004-02-18,19.16,19.17,18.86,18.92,391200,-0.0125,-0.0125,7401504.0,5952197.8
2004-02-19,19.1,19.29,18.99,19.0,445200,-0.0052,0.0042,8458800.0,6380658.2
2004-02-20,19.08,19.09,18.77,18.78,269600,-0.0157,-0.0116,5063088.0,6800380.6
2004-02-23,18.85,18.85,18.32,18.32,363000,-0.0281,-0.0245,6650160.0,6936950.8
2004-02-24,18.33,18.66,18.3,18.52,329000,0.0104,0.0109,6093080.0,7104181.6
2004-02-25,18.5,18.68,18.35,18.67,164800,0.0092,0.0081,3076816.0,6974734.6
2004-02-26,18.62,18.97,18.58,18.87,206400,0.0134,0.0107,3894768.0,6367485.2
2004-02-27,18.85,19.13,18.82,18.95,184400,0.0053,0.0042,3494380.0,5912859.0
2004-03-01,18.97,19.25,18.92,19.2,204800,0.0121,0.0132,3932160.0,5670458.0
2004-03-02,19.19,19.19,18.87,18.88,279600,-0.0162,-0.0167,5278848.0,5248305.2
2004-03-03,18.8,19.23,18.7,19.12,213600,0.017,0.0127,4084032.0,5334360.4
2004-03-04,19.15,19.38,19.02,19.38,192600,0.012,0.0136,3732588.0,5002613.2
2004-03-05,19.35,19.57,19.3,19.4,201200,0.0026,0.001,3903280.0,4529992.0
2004-03-08,19.37,19.58,19.14,19.18,157200,-0.0098,-0.0113,3015096.0,4414011.2
2004-03-09,19.1,19.28,19.03,19.23,167800,0.0068,0.0026,3226794.0,4050504.8
2004-03-10,19.17,19.58,19.15,19.3,331600,0.0068,0.0036,6399880.0,3763876.2
2004-03-11,19.23,19.43,18.86,18.87,328000,-0.0187,-0.0223,6189360.0,4096182.6
2004-03-12,18.86,19.51,18.84,19.51,367800,0.0345,0.0339,7175778.0,4325641.8
2004-03-15,19.45,19.45,18.86,18.86,297200,-0.0303,-0.0333,5605192.0,4693781.6
2004-03-16,18.86,19.05,18.62,18.98,318200,0.0064,0.0064,6039436.0,4861084.8
2004-03-17,19.02,19.91,19.02,19.39,609800,0.0195,0.0216,11824022.0,4937143.6
2004-03-18,19.39,19.58,19.23,19.48,285600,0.0046,0.0046,5563488.0,5711142.6
2004-03-19,19.55,19.57,19.2,19.48,306000,-0.0036,0.0,5960880.0,5894232.6
2004-03-22,19.45,19.46,19.01,19.17,264400,-0.0144,-0.0159,5068548.0,6099992.6
2004-03-23,19.15,19.23,18.95,19.08,349000,-0.0037,-0.0047,6658920.0,6305337.8
