Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-06-30,25.25,30.0,24.94,28.0,4946900,0.1089,,138513200.0,
2021-07-01,27.09,28.0,26.05,27.4,1075700,0.0114,-0.0214,29474180.0,
2021-07-02,26.5,27.75,26.36,26.77,569300,0.0102,-0.023,15240161.0,
2021-07-06,26.77,28.6,26.68,28.07,779800,0.0486,0.0486,21888986.0,
2021-07-07,28.07,29.24,27.74,28.69,1800700,0.0221,0.0221,51662083.0,
2021-07-08,28.0,28.8,26.97,27.71,512600,-0.0104,-0.0342,14204146.0,
2021-07-09,27.74,28.39,27.67,27.83,208400,0.0032,0.0043,5799772.0,
2021-07-12,27.97,28.07,27.35,27.6,203300,-0.0132,-0.0083,5611080.0,
2021-07-13,27.85,28.56,27.6,27.84,150900,-0.0004,0.0087,4201056.0,
2021-07-14,27.76,28.87,27.6,28.0,348700,0.0086,0.0057,9763600.0,
2021-07-15,27.81,28.3,27.07,27.87,164200,0.0022,-0.0046,4576254.0,29635826.4
2021-07-16,27.81,28.43,26.81,27.98,356800,0.0061,0.0039,9983264.0,16242131.8
2021-07-19,27.71,28.48,27.12,28.02,117900,0.0112,0.0014,3303558.0,14293040.2
2021-07-20,28.21,28.3,27.67,27.99,148700,-0.0078,-0.0011,4162113.0,13099379.9
2021-07-21,27.85,29.23,27.55,28.86,122500,0.0363,0.0311,3535350.0,11326692.6
2021-07-22,28.85,30.16,28.01,29.85,190100,0.0347,0.0343,5674485.0,6514019.3
2021-07-23,30.61,33.26,30.5,31.86,342300,0.0408,0.0673,10905678.0,5661053.2
2021-07-26,32.01,33.24,32.01,32.91,381900,0.0281,0.033,12568329.0,6171643.8
2021-07-27,32.92,34.25,32.46,33.13,622500,0.0064,0.0067,20623425.0,6867368.7
2021-07-28,33.63,33.63,30.8,32.58,188700,-0.0312,-0.0166,6147846.0,8509605.6
2021-07-29,32.59,33.29,31.45,32.82,147400,0.0071,0.0074,4837668.0,8148030.2
2021-07-30,32.74,34.19,31.85,33.9,332000,0.0354,0.0329,11254800.0,8174171.6
2021-08-02,34.22,35.88,33.23,35.14,215600,0.0269,0.0366,7576184.0,8301325.2
2021-08-03,35.33,35.6,34.24,34.44,158000,-0.0252,-0.0199,5441520.0,8728587.8
2021-08-04,34.19,34.91,33.19,33.68,63400,-0.0149,-0.0221,2135312.0,8856528.5
2021-08-05,33.85,34.36,31.97,33.18,157200,-0.0198,-0.0148,5215896.0,8716524.7
2021-08-06,33.24,34.48,32.98,33.99,58800,0.0226,0.0244,1998612.0,8670665.8
2021-08-09,34.52,34.52,33.2,34.0,83000,-0.0151,0.0003,2822000.0,7779959.2
2021-08-10,34.45,34.45,32.39,32.45,133700,-0.0581,-0.0456,4338565.0,6805326.3
2021-08-11,32.75,33.96,32.0,32.86,110800,0.0034,0.0126,3640888.0,5176840.3
2021-08-12,32.73,33.93,31.88,32.2,114200,-0.0162,-0.0201,3677240.0,4926144.5
2021-08-13,32.48,34.17,31.12,34.0,90500,0.0468,0.0559,3077000.0,4810101.7
2021-08-16,33.99,34.55,33.5,34.2,109800,0.0062,0.0059,3755160.0,3992321.7
2021-08-17,34.0,34.0,32.41,32.57,122700,-0.0421,-0.0477,3996339.0,3610219.3
2021-08-18,32.63,33.92,31.39,32.47,269700,-0.0049,-0.0031,8757159.0,3465701.2
2021-08-19,32.4,37.47,32.4,35.82,470200,0.1056,0.1032,16842564.0,4127885.9
2021-08-20,36.48,40.76,36.26,38.25,230900,0.0485,0.0678,8831925.0,5290552.7
2021-08-23,38.11,40.91,37.99,39.08,81400,0.0255,0.0217,3181112.0,5973884.0
2021-08-24,39.13,40.36,38.05,40.05,59400,0.0235,0.0248,2378970.0,6009795.2
2021-08-25,40.11,40.11,37.52,37.78,67000,-0.0581,-0.0567,2531260.0,5813835.7
2021-08-26,38.0,40.1,38.0,39.99,106800,0.0524,0.0585,4270932.0,5702872.9
2021-08-27,40.03,40.1,38.51,38.98,150900,-0.0262,-0.0253,5882082.0,5762242.1
2021-08-30,38.99,38.99,33.68,35.08,277900,-0.1003,-0.1001,9748732.0,6042750.3
2021-08-31,35.75,37.58,34.17,36.5,192500,0.021,0.0405,7026250.0,6642107.5
2021-09-01,36.51,37.37,35.5,37.11,129500,0.0164,0.0167,4805745.0,6945098.6
2021-09-02,37.02,38.61,36.51,38.18,79700,0.0313,0.0288,3042946.0,6549957.2
2021-09-03,38.32,39.79,37.72,38.7,270500,0.0099,0.0136,10468350.0,5169995.4
2021-09-07,38.9,40.06,36.77,37.26,168700,-0.0422,-0.0372,6285762.0,5333637.9
2021-09-08,37.27,37.98,36.35,37.22,86000,-0.0013,-0.0011,3200920.0,5644102.9
2021-09-09,39.07,39.88,37.98,38.5,207000,-0.0146,0.0344,7969500.0,5726297.9
2021-09-10,38.99,39.48,37.47,37.66,92200,-0.0341,-0.0218,3472252.0,6270121.9
2021-09-13,37.26,38.39,34.75,35.3,172700,-0.0526,-0.0627,6096310.0,6190253.9
2021-09-14,34.63,36.36,32.35,33.37,196400,-0.0364,-0.0547,6553868.0,6211676.7
2021-09-15,32.67,34.56,32.67,33.86,189500,0.0364,0.0147,6416470.0,5892190.3
