Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-05-12,21.25,21.3,20.27,21.1,10933700,-0.0071,,230701070.0,
2017-05-15,21.01,22.3,21.01,22.02,3487300,0.0481,0.0436,76790346.0,
2017-05-16,22.19,22.41,22.05,22.1,1289300,-0.0041,0.0036,28493530.0,
2017-05-17,22.15,22.51,21.67,22.1,1583700,-0.0023,0.0,34999770.0,
2017-05-18,22.19,23.63,21.98,22.5,4075200,0.014,0.0181,91692000.0,
2017-05-19,22.56,23.49,22.32,22.72,1248600,0.0071,0.0098,28368192.0,
2017-05-22,22.8,23.09,22.52,22.89,383100,0.0039,0.0075,8769159.0,
2017-05-23,22.99,23.61,22.65,23.45,704000,0.02,0.0245,16508800.0,
2017-05-24,23.54,23.59,23.01,23.35,408800,-0.0081,-0.0043,9545480.0,
2017-05-25,23.42,23.82,22.31,22.51,1080700,-0.0389,-0.036,24326557.0,
2017-05-26,22.55,23.24,22.35,23.03,721100,0.0213,0.0231,16606933.0,55019490.4
2017-05-30,23.0,23.29,22.59,22.95,843100,-0.0022,-0.0035,19349145.0,33610076.7
2017-05-31,22.97,23.18,22.67,22.93,484400,-0.0017,-0.0009,11107292.0,27865956.6
2017-06-01,22.91,23.43,22.81,22.93,486400,0.0009,0.0,11153152.0,26127332.8
2017-06-02,22.89,23.1,22.6,22.65,546600,-0.0105,-0.0122,12380490.0,23742671.0
2017-06-05,22.61,22.91,21.92,22.63,422200,0.0009,-0.0009,9554386.0,15811520.0
2017-06-06,21.83,22.71,21.83,22.29,1089500,0.0211,-0.015,24284955.0,13930139.4
2017-06-07,22.4,22.79,21.57,21.76,733500,-0.0286,-0.0238,15960960.0,15481719.0
2017-06-08,21.75,21.93,21.61,21.65,432600,-0.0046,-0.0051,9365790.0,15426935.0
2017-06-09,21.68,22.82,21.68,22.49,565900,0.0374,0.0388,12727091.0,15408966.0
2017-06-12,22.46,23.58,21.89,23.03,826200,0.0254,0.024,19027386.0,14249019.4
2017-06-13,22.99,24.24,22.8,23.49,927300,0.0217,0.02,21782277.0,14491064.7
2017-06-14,23.57,23.71,22.55,23.25,1988500,-0.0136,-0.0102,46232625.0,14734377.9
2017-06-15,23.08,24.55,22.77,22.99,1510300,-0.0039,-0.0112,34721797.0,18246911.2
2017-06-16,23.0,24.0,23.0,23.92,2465600,0.04,0.0405,58977152.0,20603775.7
2017-06-19,24.06,24.21,23.54,23.92,460200,-0.0058,0.0,11007984.0,25263441.9
2017-06-20,23.72,23.72,22.21,22.62,1043700,-0.0464,-0.0543,23608494.0,25408801.7
2017-06-21,22.54,22.75,20.63,20.72,1275400,-0.0807,-0.084,26426288.0,25341155.6
2017-06-22,20.72,21.07,19.91,21.06,1321900,0.0164,0.0164,27839214.0,26387688.4
2017-06-23,21.03,21.1,20.24,20.47,3690400,-0.0266,-0.028,75542488.0,28235030.8
2017-06-26,20.42,21.05,20.08,20.5,790800,0.0039,0.0015,16211400.0,34516570.5
2017-06-27,20.56,21.63,20.42,21.29,1029100,0.0355,0.0385,21909539.0,34234971.9
2017-06-28,21.28,21.64,21.14,21.27,737600,-0.0005,-0.0009,15688752.0,34247698.1
2017-06-29,21.33,21.54,21.04,21.43,796200,0.0047,0.0075,17062566.0,31193310.8
2017-06-30,21.54,21.74,21.24,21.61,250800,0.0032,0.0084,5419788.0,29427387.7
2017-07-03,21.75,22.4,21.39,22.34,396500,0.0271,0.0338,8857810.0,24071651.3
2017-07-05,22.38,22.41,21.76,21.82,765800,-0.025,-0.0233,16709756.0,23856633.9
2017-07-06,21.61,21.61,20.9,20.97,1184400,-0.0296,-0.039,24836868.0,23166760.1
2017-07-07,20.99,21.22,20.58,20.67,953900,-0.0152,-0.0143,19717113.0,23007818.1
2017-07-10,20.63,21.48,20.55,21.34,826900,0.0344,0.0324,17646046.0,22195608.0
2017-07-11,21.23,21.8,21.02,21.73,656100,0.0236,0.0183,14257053.0,16405963.8
2017-07-12,21.78,22.34,21.73,22.13,1091800,0.0161,0.0184,24161534.0,16210529.1
2017-07-13,22.11,22.26,21.86,22.06,1577700,-0.0023,-0.0032,34804062.0,16435728.6
2017-07-14,22.13,22.29,21.99,22.08,211300,-0.0023,0.0009,4665504.0,18347259.6
2017-07-17,22.06,23.12,21.92,22.97,1357100,0.0413,0.0403,31172587.0,17107553.4
2017-07-18,22.83,23.21,22.81,23.04,962700,0.0092,0.003,22180608.0,19682833.3
2017-07-19,23.03,23.42,23.0,23.42,742400,0.0169,0.0165,17387008.0,21015113.1
2017-07-20,23.41,23.62,23.0,23.55,454400,0.006,0.0056,10701120.0,21082838.3
2017-07-21,23.44,23.69,22.82,23.01,1163200,-0.0183,-0.0229,26765232.0,19669263.5
2017-07-24,22.93,23.15,22.71,23.14,724400,0.0092,0.0056,16762616.0,20374075.4
2017-07-25,23.28,23.56,22.99,23.45,1832300,0.0073,0.0134,42967435.0,20285732.4
2017-07-26,23.6,23.6,22.64,22.82,781200,-0.0331,-0.0269,17826984.0,23156770.6
2017-07-27,22.81,23.25,22.75,23.23,314200,0.0184,0.018,7298866.0,22523315.6
2017-07-28,23.08,23.22,22.88,23.09,260800,0.0004,-0.006,6021872.0,19772796.0
2017-07-31,23.23,23.23,22.91,22.96,536900,-0.0116,-0.0056,12327224.0,19908432.8
2017-08-01,23.0,23.0,22.39,22.5,998200,-0.0217,-0.02,22459500.0,18023896.5
2017-08-02,22.5,23.13,22.5,23.02,1444100,0.0231,0.0231,33243182.0,18051785.7
