Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-08-12,307.8,314.4,304.8,309.0,8913,0.0039,,2754117.0,
2020-08-13,309.0,318.75,307.5,316.2,1637,0.0233,0.0233,517619.4,
2020-08-14,327.6,329.7,312.9,313.2,1873,-0.044,-0.0095,586623.6,
2020-08-17,311.1,327.0,311.1,315.0,237,0.0125,0.0057,74655.0,
2020-08-18,317.25,322.5,309.0,309.0,137,-0.026,-0.019,42333.0,
2020-08-19,311.4,324.6,309.0,310.2,450,-0.0039,0.0039,139590.0,
2020-08-20,311.1,320.7,311.1,311.7,1093,0.0019,0.0048,340688.1,
2020-08-21,313.5,315.0,309.0,309.0,937,-0.0144,-0.0087,289533.0,
2020-08-24,309.0,322.05,309.0,310.8,273,0.0058,0.0058,84848.4,
2020-08-25,314.7,317.25,309.3,309.3,1883,-0.0172,-0.0048,582411.9,
2020-08-26,309.6,318.6,309.3,316.5,617,0.0223,0.0233,195280.5,541241.94
2020-08-27,312.0,330.0,312.0,330.0,377,0.0577,0.0427,124410.0,285358.29
2020-08-28,330.0,330.0,330.0,330.0,23,0.0,0.0,7590.0,246037.35
2020-08-31,330.0,330.0,330.0,330.0,0,0.0,0.0,0.0,188133.99
2020-09-01,316.5,317.1,316.5,317.1,13,0.0019,-0.0391,4122.3,180668.49
2020-09-02,318.0,321.0,318.0,321.0,50,0.0094,0.0123,16050.0,176847.42
2020-09-03,316.5,316.5,316.5,316.5,13,0.0,-0.014,4114.5,164493.42
2020-09-04,328.5,328.5,326.7,326.7,13,-0.0055,0.0322,4247.1,130836.06
2020-09-08,303.0,313.5,303.0,313.5,77,0.0347,-0.0404,24139.5,102307.47
2020-09-09,313.5,313.5,313.5,313.5,0,0.0,0.0,0.0,96236.58
2020-09-10,315.0,315.0,315.0,315.0,143,0.0,0.0048,45045.0,37995.39
2020-09-11,326.7,326.7,326.7,326.7,37,0.0,0.0371,12087.9,22971.84
2020-09-14,328.5,328.5,322.5,322.5,23,-0.0183,-0.0129,7417.5,11739.63
2020-09-15,315.0,318.0,315.0,316.5,37,0.0048,-0.0186,11710.5,11722.38
2020-09-16,315.0,320.1,315.0,320.1,63,0.0162,0.0114,20166.3,12893.43
2020-09-17,334.2,339.0,317.7,317.7,137,-0.0494,-0.0075,43524.9,14497.83
2020-09-18,324.39,333.63,321.6,325.5,197,0.0034,0.0246,64123.5,17245.32
2020-09-21,338.4,348.9,338.4,340.08,67,0.005,0.0448,22785.36,23246.22
2020-09-22,340.2,340.2,318.0,320.01,43,-0.0593,-0.059,13760.43,25100.05
2020-09-23,344.1,378.0,344.1,345.6,130,0.0044,0.08,44928.0,24062.14
2020-09-24,315.3,315.3,315.3,315.3,23,0.0,-0.0877,7251.9,28554.94
2020-09-25,351.72,351.72,351.72,351.72,27,0.0,0.1155,9496.44,24775.63
2020-09-28,327.0,335.85,327.0,335.85,27,0.0271,-0.0451,9067.95,24516.48
2020-09-29,335.85,335.85,335.85,335.85,0,0.0,0.0,0.0,24681.53
2020-09-30,334.5,336.0,334.2,335.94,343,0.0043,0.0003,115227.42,23510.48
2020-10-01,335.7,335.7,335.7,335.7,53,0.0,-0.0007,17792.1,33016.59
2020-10-02,336.0,336.0,325.5,325.5,117,-0.0312,-0.0304,38083.5,30443.31
2020-10-05,332.7,332.7,330.0,330.0,117,-0.0081,0.0138,38610.0,27839.31
2020-10-06,331.35,331.35,330.0,330.0,47,-0.0041,0.0,15510.0,29421.77
2020-10-07,330.0,330.0,330.0,330.0,30,0.0,0.0,9900.0,29596.73
