Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,10.38,11.56,10.07,11.36,415950,0.0944,,4725192.0,
2003-12-02,11.37,11.67,11.17,11.53,283200,0.0141,0.015,3265296.0,
2003-12-03,11.33,11.46,11.2,11.2,275100,-0.0115,-0.0286,3081120.0,
2003-12-04,11.42,11.42,10.53,10.76,277950,-0.0578,-0.0393,2990742.0,
2003-12-05,10.54,10.83,10.29,10.51,65250,-0.0028,-0.0232,685777.5,
2003-12-08,10.72,10.73,9.88,10.48,76500,-0.0224,-0.0029,801720.0,
2003-12-09,10.97,11.06,10.4,11.0,159000,0.0027,0.0496,1749000.0,
2003-12-10,11.09,11.09,10.35,10.57,106800,-0.0469,-0.0391,1128876.0,
2003-12-11,10.29,11.08,10.17,10.88,120450,0.0573,0.0293,1310496.0,
2003-12-12,10.95,11.18,10.78,11.06,89700,0.01,0.0165,992082.0,
2003-12-15,11.26,11.53,10.95,11.05,125700,-0.0187,-0.0009,1388985.0,2073030.15
2003-12-16,11.05,11.05,10.25,10.33,78000,-0.0652,-0.0652,805740.0,1739409.45
2003-12-17,10.3,10.66,10.09,10.2,79200,-0.0097,-0.0126,807840.0,1493453.85
2003-12-18,10.1,11.47,10.1,10.91,195000,0.0802,0.0696,2127450.0,1266125.85
2003-12-19,10.97,11.04,10.49,10.7,69900,-0.0246,-0.0192,747930.0,1179796.65
2003-12-22,10.79,10.82,10.28,10.67,166800,-0.0111,-0.0028,1779756.0,1186011.9
2003-12-23,10.79,12.0,10.63,11.85,537300,0.0982,0.1106,6367005.0,1283815.5
2003-12-24,11.7,12.07,11.69,12.01,97500,0.0265,0.0135,1170975.0,1745616.0
2003-12-26,12.16,12.17,11.97,12.13,65400,-0.0025,0.01,793302.0,1749825.9
2003-12-29,12.17,12.17,11.61,11.69,92250,-0.0394,-0.0363,1078402.5,1698106.5
2003-12-30,11.33,11.45,10.83,11.29,121950,-0.0035,-0.0342,1376815.5,1706738.55
2003-12-31,11.25,11.25,10.83,10.83,51300,-0.0373,-0.0407,555579.0,1705521.6
2004-01-02,11.0,11.1,10.67,10.81,42750,-0.0173,-0.0018,462127.5,1680505.5
2004-01-05,10.98,11.38,10.66,11.06,129300,0.0073,0.0231,1430058.0,1645934.25
2004-01-06,10.74,11.03,10.74,10.83,51150,0.0084,-0.0208,553954.5,1576195.05
2004-01-07,11.02,11.22,10.77,11.03,70050,0.0009,0.0185,772651.5,1556797.5
2004-01-08,11.04,11.04,10.09,10.12,123300,-0.0833,-0.0825,1247796.0,1456087.05
2004-01-09,9.99,10.87,9.42,10.15,471300,0.016,0.003,4783695.0,944166.15
2004-01-12,10.41,10.43,10.04,10.39,58500,-0.0019,0.0236,607815.0,1305438.15
