Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,41.95,42.49,41.75,42.22,429700,0.0064,,18141934.0,
2003-12-02,42.32,42.87,42.0,42.53,329100,0.005,0.0073,13996623.0,
2003-12-03,42.6,42.79,40.97,40.97,156800,-0.0383,-0.0367,6424096.0,
2003-12-04,41.07,41.2,40.47,40.8,140200,-0.0066,-0.0041,5720160.0,
2003-12-05,40.8,40.8,40.38,40.44,173900,-0.0088,-0.0088,7032516.0,
2003-12-08,40.44,41.02,40.44,40.75,89400,0.0077,0.0077,3643050.0,
2003-12-09,40.67,41.0,40.14,40.65,516900,-0.0005,-0.0025,21011985.0,
2003-12-10,41.95,41.95,41.17,41.17,192400,-0.0186,0.0128,7921108.0,
2003-12-11,41.42,41.84,41.36,41.47,155600,0.0012,0.0073,6452732.0,
2003-12-12,41.95,42.05,41.65,41.65,94200,-0.0072,0.0043,3923430.0,
2003-12-15,42.25,42.37,41.15,41.15,105000,-0.026,-0.012,4320750.0,9426763.4
2003-12-16,42.15,42.15,40.72,41.4,106800,-0.0178,0.0061,4421520.0,8044645.0
2003-12-17,41.8,41.81,41.01,41.18,112900,-0.0148,-0.0053,4649222.0,7087134.7
2003-12-18,41.43,42.57,40.96,42.57,103600,0.0275,0.0338,4410252.0,6909647.3
2003-12-19,42.57,42.57,41.4,41.6,88200,-0.0228,-0.0228,3669120.0,6778656.5
2003-12-22,41.55,41.63,41.25,41.39,62600,-0.0039,-0.005,2591014.0,6442316.9
2003-12-23,41.64,42.59,41.64,42.59,67200,0.0228,0.029,2862048.0,6337113.3
2003-12-24,42.91,42.91,42.27,42.4,37000,-0.0119,-0.0045,1568800.0,4522119.6
2003-12-26,42.5,42.5,41.9,41.9,37300,-0.0141,-0.0118,1562870.0,3886888.8
2003-12-29,42.15,42.5,41.92,42.5,122100,0.0083,0.0143,5189250.0,3397902.6
2003-12-30,42.65,43.31,42.44,43.05,99900,0.0094,0.0129,4300695.0,3524484.6
2003-12-31,43.25,43.25,42.27,42.27,96100,-0.0227,-0.0181,4062147.0,3522479.1
2004-01-02,42.52,43.2,42.5,42.85,74800,0.0078,0.0137,3205180.0,3486541.8
2004-01-05,43.2,43.59,42.99,43.05,427100,-0.0035,0.0047,18386655.0,3342137.6
2004-01-06,43.05,43.05,42.1,42.22,205700,-0.0193,-0.0193,8684654.0,4739777.9
2004-01-07,42.35,42.56,42.34,42.37,187400,0.0005,0.0036,7940138.0,5241331.3
2004-01-08,42.37,43.05,42.25,42.95,168900,0.0137,0.0137,7254255.0,5776243.7
2004-01-09,42.9,43.37,42.65,43.01,75700,0.0026,0.0014,3255857.0,6215464.4
2004-01-12,43.26,43.95,43.15,43.95,132200,0.016,0.0219,5810190.0,6384170.1
2004-01-13,44.0,44.89,44.0,44.69,158000,0.0157,0.0168,7061020.0,6808902.1
