Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2022-12-09,8.6,11.94,4.06,4.74,1444100,-0.4488,,6845034.0,
2022-12-12,5.11,5.6,4.6,4.75,550800,-0.0705,0.0021,2616300.0,
2022-12-13,4.18,4.72,3.62,3.75,517700,-0.1029,-0.2105,1941375.0,
2022-12-14,3.65,3.78,3.1,3.32,630300,-0.0904,-0.1147,2092596.0,
2022-12-15,3.75,4.2,3.5,3.94,319600,0.0507,0.1867,1259224.0,
2022-12-16,3.9,4.24,3.74,3.9,226800,0.0,-0.0102,884520.0,
2022-12-19,3.86,4.0,3.64,3.65,123800,-0.0544,-0.0641,451870.0,
2022-12-20,3.95,4.14,3.7,3.95,139900,0.0,0.0822,552605.0,
2022-12-21,3.89,4.18,3.6,3.73,124500,-0.0411,-0.0557,464385.0,
2022-12-22,3.6,3.82,3.15,3.6,115200,0.0,-0.0349,414720.0,
2022-12-23,3.57,3.69,3.4,3.59,58500,0.0056,-0.0028,210015.0,1752262.9
2022-12-27,3.7,3.7,3.25,3.5,65900,-0.0541,-0.0251,230650.0,1088761.0
2022-12-28,3.43,3.62,2.81,3.07,62700,-0.105,-0.1229,192489.0,850196.0
2022-12-29,2.84,3.4,2.75,3.11,78400,0.0951,0.013,243824.0,675307.4
2022-12-30,2.92,3.14,2.8,3.1,47700,0.0616,-0.0032,147870.0,490430.2
2023-01-03,3.12,3.24,2.6,2.84,117700,-0.0897,-0.0839,334268.0,379294.8
2023-01-04,2.75,2.9,2.25,2.64,51900,-0.04,-0.0704,137016.0,324269.6
2023-01-05,2.63,2.79,2.4,2.63,135800,0.0,-0.0038,357154.0,292784.2
2023-01-06,2.67,2.74,2.31,2.48,64700,-0.0712,-0.057,160456.0,273239.1
2023-01-09,2.74,3.13,2.46,2.75,91900,0.0036,0.1089,252725.0,242846.2
2023-01-10,2.79,3.1,2.78,3.06,70100,0.0968,0.1127,214506.0,226646.7
2023-01-11,3.05,3.74,3.0,3.51,281000,0.1508,0.1471,986310.0,227095.8
2023-01-12,3.65,3.72,3.15,3.2,261300,-0.1233,-0.0883,836160.0,302661.8
2023-01-13,3.25,3.53,2.68,3.0,98600,-0.0769,-0.0625,295800.0,367028.9
2023-01-17,2.95,2.95,2.75,2.83,32900,-0.0407,-0.0567,93107.0,372226.5
2023-01-18,3.25,3.38,2.7,2.84,106200,-0.1262,0.0035,301608.0,366750.2
2023-01-19,3.0,3.0,2.5,2.5,137100,-0.1667,-0.1197,342750.0,363484.2
2023-01-20,2.69,2.69,2.31,2.42,165900,-0.1004,-0.032,401478.0,384057.6
2023-01-23,2.65,2.77,2.55,2.7,94000,0.0189,0.1157,253800.0,388490.0
2023-01-24,2.77,2.84,2.5,2.55,51200,-0.0794,-0.0556,130560.0,397824.4
2023-01-25,2.59,2.65,2.4,2.56,103000,-0.0116,0.0039,263680.0,385607.9
2023-01-26,2.74,2.74,2.45,2.53,101900,-0.0766,-0.0117,257807.0,390525.3
2023-01-27,2.56,2.59,2.42,2.49,65700,-0.0273,-0.0158,163593.0,317675.0
2023-01-30,2.68,2.94,2.51,2.63,219700,-0.0187,0.0562,577811.0,250418.3
2023-01-31,2.64,2.64,2.2,2.2,273300,-0.1667,-0.1635,601260.0,278619.4
2023-02-01,2.15,2.3,2.08,2.12,141400,-0.014,-0.0364,299768.0,329434.7
2023-02-02,2.24,2.25,2.03,2.11,163600,-0.058,-0.0047,345196.0,329250.7
2023-02-03,2.05,2.22,2.05,2.13,113600,0.039,0.0095,241968.0,329495.3
2023-02-06,2.17,2.17,2.05,2.13,80800,-0.0184,0.0,172104.0,313544.3
2023-02-07,2.13,2.31,1.53,1.67,357200,-0.216,-0.216,596524.0,305374.7
2023-02-08,1.8,1.86,1.55,1.7,358200,-0.0556,0.018,608940.0,351971.1
2023-02-09,1.72,1.75,1.5,1.54,137100,-0.1047,-0.0941,211134.0,386497.1
2023-02-10,1.56,1.6,1.45,1.58,167900,0.0128,0.026,265282.0,381829.8
2023-02-13,1.71,1.71,1.5,1.56,113400,-0.0877,-0.0127,176904.0,391998.7
2023-02-14,1.6,1.61,1.5,1.5,106700,-0.0625,-0.0385,160050.0,351908.0
2023-02-15,1.53,1.55,1.46,1.5,68400,-0.0196,0.0,102600.0,307787.0
2023-02-16,1.5,1.57,1.49,1.5,99500,0.0,0.0,149250.0,288070.2
2023-02-17,1.46,1.53,1.45,1.52,25400,0.0411,0.0133,38608.0,268475.6
2023-02-21,1.53,1.6,1.47,1.52,221500,-0.0065,0.0,336680.0,248139.6
2023-02-22,1.76,2.16,1.42,1.54,4714400,-0.125,0.0132,7260176.0,264597.2
2023-02-23,1.52,1.62,1.45,1.56,614800,0.0263,0.013,959088.0,930962.4
2023-02-24,1.51,1.59,1.5,1.5,280200,-0.0066,-0.0385,420300.0,965977.2
2023-02-27,1.49,1.55,1.46,1.49,102200,0.0,-0.0067,152278.0,986893.8
2023-02-28,1.51,1.55,1.45,1.46,267800,-0.0331,-0.0201,390988.0,975593.4
2023-03-01,1.46,1.49,1.42,1.49,163300,0.0205,0.0205,243317.0,997001.8
2023-03-02,1.49,1.49,1.43,1.49,43700,0.0,0.0,65113.0,1005328.5
