Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-08-15,217.6,274.6,191.0,195.2,123000,-0.1029,,24009600.0,
2019-08-16,194.0,210.0,188.2,199.6,38630,0.0289,0.0225,7710548.0,
2019-08-19,196.0,200.0,190.6,194.4,14120,-0.0082,-0.0261,2744928.0,
2019-08-20,196.2,248.82,192.2,240.0,16430,0.2232,0.2346,3943200.0,
2019-08-21,240.0,297.6,212.0,212.0,17290,-0.1167,-0.1167,3665480.0,
2019-08-22,218.0,243.42,214.6,227.4,14850,0.0431,0.0726,3376890.0,
2019-08-23,221.4,228.6,211.2,212.2,11295,-0.0416,-0.0668,2396799.0,
2019-08-26,213.0,219.6,206.2,217.0,3015,0.0188,0.0226,654255.0,
2019-08-27,217.0,228.0,209.6,227.4,17075,0.0479,0.0479,3882855.0,
2019-08-28,227.4,233.2,222.0,225.9,975,-0.0066,-0.0066,220252.5,
2019-08-29,230.6,247.8,226.0,226.16,2310,-0.0193,0.0012,522429.6,5260480.75
2019-08-30,224.2,226.0,217.0,217.2,1655,-0.0312,-0.0396,359466.0,2911763.71
2019-09-03,217.8,227.8,214.8,225.0,6080,0.0331,0.0359,1368000.0,2176655.51
2019-09-04,225.0,252.0,221.0,236.4,8520,0.0507,0.0507,2014128.0,2038962.71
2019-09-05,240.0,274.6,240.0,267.0,31790,0.1125,0.1294,8487930.0,1846055.51
2019-09-06,268.0,279.0,258.0,258.0,26880,-0.0373,-0.0337,6935040.0,2328300.51
2019-09-09,260.0,260.0,213.22,236.6,8320,-0.09,-0.0829,1968512.0,2684115.51
2019-09-10,232.2,232.2,210.2,210.4,3940,-0.0939,-0.1107,828976.0,2641286.81
2019-09-11,216.8,223.72,210.0,210.0,1665,-0.0314,-0.0019,349650.0,2658758.91
2019-09-12,208.4,212.96,195.9,198.2,2245,-0.0489,-0.0562,444959.0,2305438.41
2019-09-13,204.4,204.8,200.0,203.0,1510,-0.0068,0.0242,306530.0,2327909.06
2019-09-16,204.8,214.0,203.2,207.6,2060,0.0137,0.0227,427656.0,2306319.1
2019-09-17,207.6,226.0,203.1,224.4,10585,0.0809,0.0809,2375274.0,2313138.1
2019-09-18,225.4,225.4,215.6,218.0,2140,-0.0328,-0.0285,466520.0,2413865.5
2019-09-19,218.0,219.0,212.4,216.0,1350,-0.0092,-0.0092,291600.0,2259104.7
2019-09-20,222.0,222.0,210.4,216.2,1010,-0.0261,0.0009,218362.0,1439471.7
2019-09-23,208.0,211.74,202.0,205.6,1285,-0.0115,-0.049,264196.0,767803.9
2019-09-24,205.8,211.14,205.8,206.6,990,0.0039,0.0049,204534.0,597372.3
2019-09-25,210.4,220.0,202.4,216.6,4700,0.0295,0.0484,1018020.0,534928.1
2019-09-26,208.6,223.0,208.6,218.8,4220,0.0489,0.0102,923336.0,601765.1
2019-09-27,213.0,224.0,202.2,207.0,5900,-0.0282,-0.0539,1221300.0,649602.8
2019-09-30,204.6,224.8,204.02,223.2,5390,0.0909,0.0783,1203048.0,741079.8
2019-10-01,217.2,241.4,206.6,236.0,35620,0.0866,0.0573,8406320.0,818619.0
2019-10-02,233.2,256.8,226.6,254.6,7105,0.0918,0.0788,1808933.0,1421723.6
2019-10-03,243.8,251.8,228.6,237.0,3995,-0.0279,-0.0691,946815.0,1555964.9
2019-10-04,236.2,244.8,230.0,242.0,1775,0.0246,0.0211,429550.0,1621486.4
2019-10-07,237.2,245.2,222.0,242.0,810,0.0202,0.0,196020.0,1642605.2
2019-10-08,241.8,241.8,234.0,239.8,820,-0.0083,-0.0091,196636.0,1635787.6
2019-10-09,228.2,238.2,228.2,234.2,920,0.0263,-0.0234,215464.0,1634997.8
2019-10-10,238.6,238.8,230.1,235.0,935,-0.0151,0.0034,219725.0,1554742.2
2019-10-11,238.0,240.4,236.0,240.0,215,0.0084,0.0213,51600.0,1484381.1
2019-10-14,236.0,236.0,234.0,234.0,90,-0.0085,-0.025,21060.0,1367411.1
2019-10-15,239.8,239.8,230.4,235.0,715,-0.02,0.0043,168025.0,1249212.3
2019-10-16,233.0,239.6,233.0,237.8,420,0.0206,0.0119,99876.0,425382.8
2019-10-17,238.2,241.0,234.22,240.0,1195,0.0076,0.0093,286800.0,254477.1
2019-10-18,239.4,246.52,234.6,238.0,440,-0.0058,-0.0083,104720.0,188475.6
2019-10-21,237.4,242.0,234.6,242.0,535,0.0194,0.0168,129470.0,155992.6
2019-10-22,238.2,240.0,230.0,230.0,11590,-0.0344,-0.0496,2665700.0,149337.6
2019-10-23,230.4,237.0,230.2,232.4,4585,0.0087,0.0104,1065554.0,396244.0
2019-10-24,237.0,238.0,233.0,234.8,555,-0.0093,0.0103,130314.0,481253.0
2019-10-25,237.8,265.78,235.4,247.4,2170,0.0404,0.0537,536858.0,472311.9
2019-10-28,250.94,250.94,242.66,242.66,95,-0.033,-0.0192,23052.7,520837.7
2019-10-29,259.6,276.0,250.2,266.0,15600,0.0247,0.0962,4149600.0,521036.97
2019-10-30,262.2,264.0,237.0,240.2,1655,-0.0839,-0.097,397531.0,919194.47
2019-10-31,237.0,239.4,223.0,228.8,2465,-0.0346,-0.0475,563992.0,948959.97
2019-11-01,238.0,238.0,220.2,229.0,2330,-0.0378,0.0009,533570.0,976679.17
2019-11-04,232.6,232.6,226.34,230.0,430,-0.0112,0.0044,98900.0,1019564.17
2019-11-05,228.56,233.72,227.8,230.8,350,0.0098,0.0035,80780.0,1016507.17
2019-11-06,231.06,233.6,229.0,229.0,315,-0.0089,-0.0078,72135.0,758015.17
2019-11-07,238.48,238.6,231.0,231.0,75,-0.0314,0.0087,17325.0,658673.27
2019-11-08,244.0,244.0,224.6,227.0,175,-0.0697,-0.0173,39725.0,647374.37
2019-11-11,224.6,226.84,223.4,223.6,265,-0.0045,-0.015,59254.0,597661.07
2019-11-12,221.4,228.28,211.84,220.0,745,-0.0063,-0.0161,163900.0,601281.2
2019-11-13,218.84,220.8,218.84,220.2,35,0.0062,0.0009,7707.0,202711.2
2019-11-14,220.2,220.7,215.2,220.0,710,-0.0009,-0.0009,156200.0,163728.8
2019-11-15,227.3,227.3,217.6,220.4,415,-0.0304,0.0018,91466.0,122949.6
2019-11-18,218.0,221.6,216.4,218.0,180,0.0,-0.0109,39240.0,78739.2
2019-11-19,213.4,221.78,213.4,216.2,450,0.0131,-0.0083,97290.0,72773.2
2019-11-20,214.0,216.2,214.0,216.18,535,0.0102,-0.0001,115656.3,74424.2
2019-11-21,213.4,216.0,213.4,216.0,330,0.0122,-0.0008,71280.0,78776.33
2019-11-22,218.6,218.6,214.2,214.2,50,-0.0201,-0.0083,10710.0,84171.83
2019-11-25,215.0,222.36,210.6,216.0,505,0.0047,0.0084,109080.0,81270.33
2019-11-26,212.64,215.8,211.6,215.8,230,0.0149,-0.0009,49634.0,86252.93
2019-11-27,211.2,222.6,210.3,212.3,110,0.0052,-0.0162,23353.0,74826.33
2019-11-29,211.0,213.84,206.4,206.4,180,-0.0218,-0.0278,37152.0,76390.93
2019-12-02,207.8,210.0,206.8,210.0,350,0.0106,0.0174,73500.0,64486.13
2019-12-03,209.94,211.38,206.0,208.0,275,-0.0092,-0.0095,57200.0,62689.53
2019-12-04,205.6,205.6,200.0,202.0,1165,-0.0175,-0.0288,235330.0,64485.53
2019-12-05,193.6,200.0,193.0,196.0,710,0.0124,-0.0297,139160.0,78289.53
2019-12-06,192.52,196.94,192.0,192.0,140,-0.0027,-0.0204,26880.0,80639.9
2019-12-09,192.2,192.4,176.0,190.0,1050,-0.0114,-0.0104,199500.0,76199.9
2019-12-10,187.8,187.8,168.2,172.8,1050,-0.0799,-0.0905,181440.0,95078.9
2019-12-11,169.5,195.0,166.8,190.4,2460,0.1233,0.1019,468384.0,102314.9
2019-12-12,190.6,194.4,174.1,191.2,770,0.0031,0.0042,147224.0,144189.9
2019-12-13,192.86,199.78,178.0,190.4,1030,-0.0128,-0.0042,196112.0,156577.0
2019-12-16,187.0,191.0,180.8,190.4,565,0.0182,0.0,107576.0,172473.0
2019-12-17,182.14,190.2,182.14,188.4,1215,0.0344,-0.0105,228906.0,175880.6
2019-12-18,182.6,200.0,182.6,195.0,1140,0.0679,0.035,222300.0,193051.2
2019-12-19,197.8,200.0,197.4,200.0,395,0.0111,0.0256,79000.0,191748.2
2019-12-20,196.88,200.0,188.0,191.2,1520,-0.0289,-0.044,290624.0,185732.2
2019-12-23,194.4,194.4,181.6,190.4,470,-0.0206,-0.0042,89488.0,212106.6
2019-12-24,190.0,199.0,184.1,190.04,860,0.0002,-0.0019,163434.4,201105.4
2019-12-26,190.0,195.0,170.6,190.0,915,0.0,-0.0002,173850.0,199304.84
2019-12-27,190.0,190.2,177.8,190.0,625,0.0,0.0,118750.0,169851.44
2019-12-30,180.6,192.0,179.7,192.0,310,0.0631,0.0105,59520.0,167004.04
2019-12-31,189.6,192.0,179.92,192.0,370,0.0127,0.0,71040.0,153344.84
2020-01-02,187.0,191.66,171.6,190.0,2780,0.016,-0.0104,528200.0,149691.24
2020-01-03,182.2,190.0,182.2,190.0,30,0.0428,0.0,5700.0,179620.64
2020-01-06,184.2,190.0,183.1,190.0,225,0.0315,0.0,42750.0,157960.64
2020-01-07,196.2,196.8,184.7,190.0,4465,-0.0316,0.0,848350.0,154335.64
2020-01-08,186.06,191.4,184.2,187.0,520,0.0051,-0.0158,97240.0,210108.24
2020-01-09,190.0,196.0,184.5,189.6,765,-0.0021,0.0139,145044.0,210883.44
2020-01-10,190.0,190.0,182.8,189.6,1130,-0.0021,0.0,214248.0,209044.4
2020-01-13,190.0,190.2,187.04,190.2,445,0.0011,0.0032,84639.0,213084.2
2020-01-14,189.94,190.0,187.8,190.0,705,0.0003,-0.0011,133950.0,209673.1
2020-01-15,189.8,190.0,188.0,190.0,275,0.0011,0.0,52250.0,217116.1
2020-01-16,190.0,190.0,187.0,190.0,425,0.0,0.0,80750.0,215237.1
2020-01-17,187.8,190.0,180.6,188.0,1100,0.0011,-0.0105,206800.0,170492.1
2020-01-21,187.6,189.4,183.2,189.4,665,0.0096,0.0074,125951.0,190602.1
2020-01-22,189.4,190.2,185.2,190.2,1005,0.0042,0.0042,191151.0,198922.2
2020-01-23,187.8,190.6,183.6,190.0,940,0.0117,-0.0011,178600.0,133202.3
2020-01-24,189.4,190.2,186.0,190.0,530,0.0032,0.0,100700.0,141338.3
2020-01-27,187.4,219.8,184.0,202.2,6950,0.079,0.0642,1405290.0,136903.9
2020-01-28,216.8,216.8,198.0,198.2,9895,-0.0858,-0.0198,1961189.0,256008.1
2020-01-29,190.2,196.1,184.06,189.6,5380,-0.0032,-0.0434,1020048.0,443663.1
2020-01-30,184.6,189.4,183.0,189.2,630,0.0249,-0.0021,119196.0,532272.9
