Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-05-14,25.29,25.34,25.0,25.33,20231964,0.0016,,512475648.12,
2021-05-17,25.5,25.58,25.33,25.52,4257139,0.0008,0.0075,108642187.28,
2021-05-18,25.52,25.52,25.52,25.52,0,0.0,0.0,0.0,
2021-05-19,25.5,25.5,25.35,25.41,1127321,-0.0035,-0.0043,28645226.61,
2021-05-20,25.3,25.55,25.3,25.5,1326878,0.0079,0.0035,33835389.0,
2021-05-21,25.5,25.5,25.5,25.5,0,0.0,0.0,0.0,
2021-05-24,25.5,25.5,25.5,25.5,0,0.0,0.0,0.0,
2021-05-25,25.91,26.0,25.78,25.84,1927763,-0.0027,0.0133,49813395.92,
2021-05-26,25.85,25.92,25.83,25.88,2578291,0.0012,0.0015,66726171.08,
2021-05-27,25.88,26.0,25.86,25.98,1737836,0.0039,0.0039,45148979.28,
2021-05-28,26.05,26.35,25.88,26.25,10807703,0.0077,0.0104,283702203.75,84528699.73
2021-06-01,26.18,26.23,25.97,26.1,913769,-0.0031,-0.0057,23849370.9,61651355.29
2021-06-02,26.15,26.2,26.04,26.19,865329,0.0015,0.0034,22662966.51,53172073.65
2021-06-03,26.17,26.2,26.07,26.15,489157,-0.0008,-0.0015,12791455.55,55438370.3
2021-06-04,26.15,26.17,25.92,26.07,621059,-0.0031,-0.0031,16191008.13,53852993.2
2021-06-07,26.07,26.17,26.01,26.13,406008,0.0023,0.0023,10608989.04,52088555.11
2021-06-08,26.19,26.24,26.11,26.21,514797,0.0008,0.0031,13492829.37,53149454.02
2021-06-09,26.24,26.31,26.24,26.27,598211,0.0011,0.0023,15715002.97,54498736.95
2021-06-10,26.29,26.35,26.25,26.35,685649,0.0023,0.003,18066851.15,51088897.66
2021-06-11,26.35,26.35,26.2,26.29,381562,-0.0023,-0.0023,10031264.98,46222965.67
2021-06-14,26.3,26.34,26.24,26.25,358302,-0.0019,-0.0015,9405427.5,42711194.24
2021-06-15,26.29,26.3,26.14,26.2,365835,-0.0034,-0.0019,9584877.0,15281516.61
2021-06-16,26.2,26.26,26.12,26.16,347661,-0.0015,-0.0015,9094811.76,13855067.22
2021-06-17,26.19,26.31,26.19,26.29,338450,0.0038,0.005,8897850.5,12498251.74
2021-06-18,26.28,26.3,26.22,26.25,212041,-0.0011,-0.0015,5566076.25,12108891.24
2021-06-21,26.24,26.27,26.22,26.25,101858,0.0004,0.0,2673772.5,11046398.05
2021-06-22,26.25,26.35,26.25,26.3,188585,0.0019,0.0019,4959785.5,10252876.4
2021-06-23,26.34,26.39,26.28,26.39,599216,0.0019,0.0034,15813310.24,9399572.01
2021-06-24,26.39,26.5,26.3,26.4,210841,0.0004,0.0004,5566202.4,9409402.74
2021-06-25,26.44,26.47,26.37,26.42,208686,-0.0008,0.0008,5513484.12,8159337.86
2021-06-28,26.42,26.5,26.36,26.48,168850,0.0023,0.0023,4471148.0,7707559.78
2021-06-29,26.48,26.54,26.43,26.54,213757,0.0023,0.0023,5673110.78,7214131.83
2021-06-30,26.53,26.73,26.51,26.63,812762,0.0038,0.0034,21643852.06,6822955.21
2021-07-01,26.72,26.76,26.63,26.68,178027,-0.0015,0.0019,4749760.36,8077859.24
2021-07-02,26.77,26.77,26.67,26.68,173027,-0.0034,0.0,4616360.36,7663050.22
2021-07-06,26.75,26.82,26.63,26.78,364844,0.0011,0.0037,9770522.32,7568078.63
2021-07-07,26.92,26.92,26.77,26.89,384734,-0.0011,0.0041,10345497.26,8277753.61
2021-07-08,26.8,26.86,26.67,26.73,356788,-0.0026,-0.006,9536943.24,8816324.79
2021-07-09,26.8,26.8,26.68,26.69,114387,-0.0041,-0.0015,3052989.03,8188688.09
2021-07-12,26.76,26.76,26.42,26.65,438791,-0.0041,-0.0015,11693780.15,7937366.75
2021-07-13,26.62,26.64,26.51,26.61,508882,-0.0004,-0.0015,13541350.02,8555396.36
2021-07-14,26.6,26.75,26.56,26.69,226999,0.0034,0.003,6058603.31,9462416.56
2021-07-15,26.7,26.73,26.5,26.56,200572,-0.0052,-0.0049,5327192.32,9500965.81
2021-07-16,26.62,26.69,26.51,26.54,384544,-0.003,-0.0008,10205797.76,7869299.84
2021-07-19,26.49,26.57,26.37,26.49,535225,0.0,-0.0019,14178110.25,8414903.58
2021-07-20,26.47,26.56,26.45,26.5,711369,0.0011,0.0004,18851278.5,9371078.57
2021-07-21,26.54,26.54,26.25,26.31,520422,-0.0087,-0.0072,13692302.82,10279154.18
2021-07-22,26.32,26.32,26.1,26.31,961406,-0.0004,0.0,25294591.86,10613834.74
2021-07-23,26.29,26.4,26.23,26.4,949445,0.0042,0.0034,25065348.0,12189599.6
2021-07-26,26.38,26.42,26.27,26.34,344679,-0.0015,-0.0023,9078844.86,14390835.5
2021-07-27,26.34,26.37,26.16,26.37,399697,0.0011,0.0011,10540009.89,14129341.97
2021-07-28,26.36,26.44,26.33,26.4,171675,0.0015,0.0011,4532220.0,13829207.96
