Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-06-18,10.08,10.1,10.05,10.05,5701258.0,-0.003,,57297642.9,
2021-06-21,10.06,10.08,10.02,10.03,339056.0,-0.003,-0.002,3400731.68,
2021-06-22,10.04,10.2,10.04,10.07,1000430.0,0.003,0.004,10074330.1,
2021-06-23,10.05,10.08,10.04,10.05,45326.0,0.0,-0.002,455526.3,
2021-06-24,10.19,10.19,10.04,10.07,43669.0,-0.0118,0.002,439746.83,
2021-06-25,10.06,10.08,10.05,10.08,50080.0,0.002,0.001,504806.4,
2021-06-28,10.08,10.08,10.05,10.05,11237.0,-0.003,-0.003,112931.85,
2021-06-29,10.12,10.12,10.06,10.06,15342.0,-0.0059,0.001,154340.52,
2021-06-30,10.06,10.06,10.06,10.06,72590.0,0.0,0.0,730255.4,
2021-07-01,10.06,10.1,10.05,10.06,372693.0,0.0,0.0,3749291.58,
2021-07-02,10.05,10.06,10.05,10.05,12304.0,0.0,-0.001,123655.2,7691960.36
2021-07-06,10.07,10.09,10.07,10.07,815.0,0.0,0.002,8207.05,1974561.59
2021-07-07,10.05,10.06,10.05,10.05,11293.0,0.0,-0.002,113494.65,1635309.12
2021-07-08,10.08,10.08,10.05,10.05,7732.0,-0.003,0.0,77706.6,639225.58
2021-07-09,10.06,10.06,10.05,10.05,76164.0,-0.001,0.0,765448.2,601443.61
2021-07-12,10.04,10.05,10.04,10.05,11272.0,0.001,0.0,113283.6,634013.74
2021-07-13,10.05,10.05,10.05,10.05,1006.0,0.0,0.0,10110.3,594861.46
2021-07-14,10.13,10.13,10.04,10.04,14612.0,-0.0089,-0.001,146704.48,584579.31
2021-07-15,10.04,10.04,10.04,10.04,0.0,0.0,0.0,0.0,583815.71
2021-07-16,10.04,10.06,10.04,10.04,6995.0,0.0,0.0,70229.8,510790.17
2021-07-19,10.02,10.04,10.0,10.0,346575.0,-0.002,-0.004,3465750.0,142883.99
