Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-12-23,9.8,9.8,9.8,9.8,100,0.0,,980.0,
2021-12-27,9.79,9.86,9.79,9.82,251000,0.0031,0.002,2464820.0,
2021-12-28,9.82,9.86,9.8,9.86,312000,0.0041,0.0041,3076320.0,
2021-12-29,9.86,9.88,9.85,9.86,72100,0.0,0.0,710906.0,
2021-12-30,9.72,10.06,9.72,9.83,18800,0.0113,-0.003,184804.0,
2021-12-31,10.05,10.05,10.05,10.05,200,0.0,0.0224,2010.0,
2022-01-03,9.81,9.86,9.8,9.84,20600,0.0031,-0.0209,202704.0,
2022-01-04,9.85,9.87,9.84,9.86,633200,0.001,0.002,6243352.0,
2022-01-05,10.12,10.12,9.86,9.86,8200,-0.0257,0.0,80852.0,
2022-01-06,9.86,9.87,9.85,9.86,18700,0.0,0.0,184382.0,
2022-01-07,9.86,9.89,9.86,9.89,16200,0.003,0.003,160218.0,1315113.0
2022-01-10,9.87,9.9,9.87,9.9,900,0.003,0.001,8910.0,1331036.8
2022-01-11,9.9,9.9,9.89,9.9,13400,0.0,0.0,132660.0,1085445.8
2022-01-12,9.91,9.91,9.9,9.91,1200,0.0,0.001,11892.0,791079.8
2022-01-13,9.9,9.9,9.9,9.9,13300,0.0,-0.001,131670.0,721178.4
2022-01-14,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,715865.0
2022-01-18,9.97,9.97,9.87,9.88,3900,-0.009,-0.002,38532.0,715664.0
2022-01-19,9.87,9.89,9.87,9.89,2100,0.002,0.001,20769.0,699246.8
2022-01-20,9.86,9.89,9.84,9.89,50400,0.003,0.0,498456.0,76988.5
2022-01-21,9.95,9.95,9.84,9.87,61500,-0.008,-0.002,607005.0,118748.9
2022-01-24,9.84,9.87,9.84,9.87,27700,0.003,0.0,273399.0,161011.2
2022-01-25,9.87,9.87,9.84,9.84,24700,-0.003,-0.003,243048.0,172329.3
2022-01-26,9.8,9.82,9.8,9.82,300,0.002,-0.002,2946.0,195743.1
2022-01-27,9.82,9.82,9.8,9.8,60500,-0.002,-0.002,592900.0,182771.7
2022-01-28,9.87,9.87,9.8,9.8,35800,-0.0071,0.0,350840.0,240872.5
2022-01-31,9.82,9.84,9.82,9.84,2200,0.002,0.0041,21648.0,262789.5
