Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,34.56,35.24,34.56,35.12,1341600,0.0162,,47116992.0,
2003-12-02,35.1,35.14,34.55,34.94,1966200,-0.0046,-0.0051,68699028.0,
2003-12-03,34.94,35.08,34.32,34.4,1564800,-0.0155,-0.0155,53829120.0,
2003-12-04,34.31,34.65,33.53,33.86,1958600,-0.0131,-0.0157,66318196.0,
2003-12-05,33.75,34.31,33.71,33.92,1236600,0.005,0.0018,41945472.0,
2003-12-08,33.95,35.12,33.95,35.12,1915600,0.0345,0.0354,67275872.0,
2003-12-09,35.12,35.12,34.17,34.21,2745400,-0.0259,-0.0259,93920134.0,
2003-12-10,34.21,34.22,32.13,32.56,3955600,-0.0482,-0.0482,128794336.0,
2003-12-11,33.0,33.45,32.96,33.24,1741600,0.0073,0.0209,57890784.0,
2003-12-12,33.35,33.67,33.25,33.38,979000,0.0009,0.0042,32679020.0,
2003-12-15,33.6,33.7,32.85,32.95,1991800,-0.0193,-0.0129,65629810.0,65846895.4
2003-12-16,32.95,33.33,32.05,32.9,3117200,-0.0015,-0.0015,102555880.0,67698177.2
2003-12-17,33.06,33.56,32.8,33.0,1965600,-0.0018,0.003,64864800.0,71083862.4
2003-12-18,33.12,33.85,32.96,33.59,1496600,0.0142,0.0179,50270794.0,72187430.4
2003-12-19,34.05,35.11,33.91,35.0,3944200,0.0279,0.042,138047000.0,70582690.2
2003-12-22,35.67,36.5,35.47,36.4,3182200,0.0205,0.04,115832080.0,80192843.0
2003-12-23,36.53,37.19,36.36,37.15,2973800,0.017,0.0206,110476670.0,85048463.8
2003-12-24,37.05,37.05,36.42,36.81,898600,-0.0065,-0.0092,33077466.0,86704117.4
2003-12-26,36.97,37.48,36.94,37.23,507200,0.007,0.0114,18883056.0,77132430.4
2003-12-29,37.23,37.3,36.74,36.94,1400400,-0.0078,-0.0078,51730776.0,73231657.6
2003-12-30,36.94,36.97,36.31,36.5,1670000,-0.0119,-0.0119,60955000.0,75136833.2
2003-12-31,36.5,36.7,36.08,36.26,1376400,-0.0066,-0.0066,49908264.0,74669352.2
2004-01-02,36.26,36.45,34.99,35.27,2058400,-0.0273,-0.0273,72599768.0,69404590.6
2004-01-05,35.27,35.35,33.52,34.15,3652600,-0.0318,-0.0318,124736290.0,70178087.4
2004-01-06,34.38,35.07,34.33,34.95,2038400,0.0166,0.0234,71242080.0,77624637.0
2004-01-07,34.85,34.9,33.7,34.57,2211200,-0.008,-0.0109,76441184.0,70944145.0
2004-01-08,34.49,34.49,32.23,33.15,4907000,-0.0389,-0.0411,162667050.0,67005055.4
2004-01-09,33.42,34.5,33.42,33.61,3307200,0.0057,0.0139,111154992.0,72224093.4
2004-01-12,33.71,34.01,32.74,33.13,2694000,-0.0172,-0.0143,89252220.0,80031846.0
2004-01-13,33.22,33.55,32.33,32.98,2616400,-0.0072,-0.0045,86288872.0,87068762.4
2004-01-14,33.25,33.8,33.19,33.63,2111600,0.0114,0.0197,71013108.0,90524572.0
2004-01-15,33.97,34.62,33.62,34.24,2466000,0.0079,0.0181,84435840.0,91530382.8
2004-01-16,34.5,34.59,34.17,34.42,1819400,-0.0023,0.0053,62623748.0,94983140.4
2004-01-20,34.45,34.5,33.22,33.9,1938600,-0.016,-0.0151,65718540.0,93985538.4
2004-01-21,34.5,35.57,34.5,35.45,2854400,0.0275,0.0457,101188480.0,88083763.4
2004-01-22,36.0,36.17,35.36,35.75,1954000,-0.0069,0.0085,69855500.0,91078403.4
2004-01-23,35.8,36.08,35.22,35.45,1543400,-0.0098,-0.0084,54713530.0,90419835.0
2004-01-26,35.45,35.56,35.03,35.26,1052000,-0.0054,-0.0054,37093520.0,79624483.0
2004-01-27,35.31,35.68,35.19,35.58,1340600,0.0076,0.0091,47698548.0,72218335.8
2004-01-28,35.45,35.46,33.15,33.28,3150400,-0.0612,-0.0646,104845312.0,68062968.6
2004-01-29,33.03,33.55,32.27,33.53,2852400,0.0151,0.0075,95640972.0,69918612.6
2004-01-30,33.45,34.08,33.35,33.77,1418600,0.0096,0.0072,47906122.0,72381399.0
2004-02-02,34.12,34.42,33.51,34.31,1804800,0.0056,0.016,61922688.0,68728427.2
2004-02-03,34.22,34.99,34.1,34.51,1512400,0.0085,0.0058,52192924.0,68658321.2
2004-02-04,34.25,34.31,33.62,33.66,1591600,-0.0172,-0.0246,53573256.0,67305759.6
2004-02-05,33.42,34.12,33.1,33.49,1853400,0.0021,-0.0051,62070366.0,62544237.2
2004-02-06,33.83,34.99,33.83,34.94,1557000,0.0328,0.0433,54401580.0,61765723.8
2004-02-09,34.81,35.05,34.2,34.35,1747000,-0.0132,-0.0169,60009450.0,61734528.8
2004-02-10,34.25,34.38,33.78,34.15,1170400,-0.0029,-0.0058,39969160.0,64026121.8
2004-02-11,34.13,35.26,33.71,35.08,1718600,0.0278,0.0272,60288488.0,63253183.0
2004-02-12,35.05,35.25,34.71,34.78,1188400,-0.0077,-0.0086,41332552.0,58797500.6
2004-02-13,35.0,35.2,34.57,34.6,842400,-0.0114,-0.0052,29147040.0,53366658.6
2004-02-17,35.0,35.74,34.91,35.3,1271200,0.0086,0.0202,44873360.0,51490750.4
2004-02-18,35.2,35.3,34.67,34.79,1819800,-0.0116,-0.0144,63310842.0,49785817.6
2004-02-19,35.1,35.2,34.69,34.76,1119400,-0.0097,-0.0009,38910344.0,50897609.4
2004-02-20,34.76,35.22,33.85,33.85,2166200,-0.0262,-0.0262,73325870.0,49431318.2
2004-02-23,34.25,34.31,33.51,33.54,1630800,-0.0207,-0.0092,54697032.0,50556868.6
2004-02-24,33.54,34.04,33.51,33.69,1547800,0.0045,0.0045,52145382.0,50586413.8
