Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,11.48,11.68,11.43,11.62,1085200,0.0122,,12610024.0,
2003-12-02,11.53,11.53,11.33,11.38,605000,-0.013,-0.0207,6884900.0,
2003-12-03,10.9,11.05,10.9,10.95,888700,0.0046,-0.0378,9731265.0,
2003-12-04,10.8,10.8,10.6,10.7,563500,-0.0093,-0.0228,6029450.0,
2003-12-05,10.35,10.39,10.31,10.32,618300,-0.0029,-0.0355,6380856.0,
2003-12-08,10.5,10.66,10.5,10.64,402700,0.0133,0.031,4284728.0,
2003-12-09,10.53,10.7,10.5,10.51,493500,-0.0019,-0.0122,5186685.0,
2003-12-10,10.56,10.58,10.48,10.49,201800,-0.0066,-0.0019,2116882.0,
2003-12-11,10.46,10.48,10.3,10.39,351900,-0.0067,-0.0095,3656241.0,
2003-12-12,10.25,10.25,10.16,10.22,500000,-0.0029,-0.0164,5110000.0,
2003-12-15,10.3,10.44,10.29,10.35,379500,0.0049,0.0127,3927825.0,6199103.1
2003-12-16,10.25,10.34,10.25,10.26,534600,0.001,-0.0087,5484996.0,5330883.2
2003-12-17,10.14,10.19,10.11,10.12,529300,-0.002,-0.0136,5356516.0,5190892.8
2003-12-18,10.25,10.68,10.19,10.53,791200,0.0273,0.0405,8331336.0,4753417.9
2003-12-19,10.55,10.55,10.31,10.44,428500,-0.0104,-0.0085,4473540.0,4983606.5
2003-12-22,10.4,10.55,10.36,10.55,434700,0.0144,0.0105,4586085.0,4792874.9
2003-12-23,10.6,10.78,10.49,10.78,643500,0.017,0.0218,6936930.0,4823010.6
2003-12-24,10.75,10.75,10.6,10.69,256900,-0.0056,-0.0083,2746261.0,4998035.1
2003-12-26,10.3,10.45,10.17,10.44,174600,0.0136,-0.0234,1822824.0,5060973.0
2003-12-29,10.4,10.45,10.37,10.43,541400,0.0029,-0.001,5646802.0,4877631.3
2003-12-30,10.41,10.42,10.31,10.36,238500,-0.0048,-0.0067,2470860.0,4931311.5
2003-12-31,10.35,10.39,10.31,10.39,267200,0.0039,0.0029,2776208.0,4785615.0
2004-01-02,10.39,10.49,10.39,10.4,372900,0.001,0.001,3878160.0,4514736.2
2004-01-05,10.33,10.5,10.33,10.47,1067400,0.0136,0.0067,11175678.0,4366900.6
2004-01-06,10.35,10.4,10.27,10.27,1130800,-0.0077,-0.0191,11613316.0,4651334.8
2004-01-07,10.25,10.26,10.18,10.22,620700,-0.0029,-0.0049,6343554.0,5365312.4
2004-01-08,10.22,10.22,10.09,10.09,920200,-0.0127,-0.0127,9284818.0,5541059.3
2004-01-09,10.03,10.04,9.91,9.91,823500,-0.012,-0.0178,8160885.0,5775848.1
2004-01-12,9.91,9.92,9.78,9.79,1141400,-0.0121,-0.0121,11174306.0,6317310.5
2004-01-13,9.79,9.79,9.7,9.76,885400,-0.0031,-0.0031,8641504.0,7252458.7
2004-01-14,9.9,10.05,9.9,10.05,1039500,0.0152,0.0297,10446975.0,7551928.9
2004-01-15,10.2,10.23,10.04,10.05,511800,-0.0147,0.0,5143590.0,8349540.4
2004-01-16,10.05,10.1,9.87,10.07,742300,0.002,0.002,7474961.0,8586278.6
2004-01-20,10.08,10.08,10.0,10.05,492900,-0.003,-0.002,4953645.0,8945958.7
