Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,4.15,4.3,4.15,4.3,1420,0.0361,,6106.0,
2003-12-02,4.5,4.5,4.2,4.2,5400,-0.0667,-0.0233,22680.0,
2003-12-03,4.25,4.5,4.0,4.15,3840,-0.0235,-0.0119,15936.0,
2003-12-04,4.3,4.3,4.3,4.3,160,0.0,0.0361,688.0,
2003-12-05,4.1,4.2,4.1,4.2,360,0.0244,-0.0233,1512.0,
2003-12-08,4.2,4.2,4.2,4.2,0,0.0,0.0,0.0,
2003-12-09,4.5,4.5,4.5,4.5,400,0.0,0.0714,1800.0,
2003-12-10,4.3,4.3,4.25,4.25,880,-0.0116,-0.0556,3740.0,
2003-12-11,4.25,4.25,4.25,4.25,0,0.0,0.0,0.0,
2003-12-12,4.1,4.1,4.1,4.1,240,0.0,-0.0353,984.0,
2003-12-15,4.1,4.1,4.1,4.1,200,0.0,0.0,820.0,5344.6
2003-12-16,4.1,4.25,4.1,4.25,320,0.0366,0.0366,1360.0,4816.0
2003-12-17,4.25,4.25,4.25,4.25,0,0.0,0.0,0.0,2684.0
2003-12-18,4.25,4.25,4.25,4.25,0,0.0,0.0,0.0,1090.4
2003-12-19,4.25,4.25,4.25,4.25,0,0.0,0.0,0.0,1021.6
2003-12-22,4.25,4.25,4.25,4.25,5080,0.0,0.0,21590.0,870.4
2003-12-23,4.2,4.2,4.2,4.2,400,0.0,-0.0118,1680.0,3029.4
2003-12-24,4.2,4.2,4.2,4.2,0,0.0,0.0,0.0,3017.4
2003-12-26,4.2,4.2,4.2,4.2,0,0.0,0.0,0.0,2643.4
2003-12-29,4.2,4.2,4.2,4.2,100,0.0,0.0,420.0,2643.4
2003-12-30,4.2,4.75,4.2,4.75,880,0.131,0.131,4180.0,2587.0
2003-12-31,4.2,4.75,4.2,4.75,120,0.131,0.0,570.0,2923.0
2004-01-02,4.75,4.75,4.75,4.75,0,0.0,0.0,0.0,2844.0
2004-01-05,5.1,5.1,4.2,4.2,1040,-0.1765,-0.1158,4368.0,2844.0
2004-01-06,5.05,5.1,4.25,4.25,2900,-0.1584,0.0119,12325.0,3280.8
2004-01-07,4.25,4.25,4.0,4.05,1900,-0.0471,-0.0471,7695.0,4513.3
2004-01-08,4.5,4.5,4.5,4.5,1200,0.0,0.1111,5400.0,3123.8
2004-01-09,4.5,4.55,4.5,4.55,600,0.0111,0.0111,2730.0,3495.8
2004-01-12,4.25,5.05,4.25,4.95,1600,0.1647,0.0879,7920.0,3768.8
2004-01-13,5.05,5.05,5.05,5.05,21840,0.0,0.0202,110292.0,4560.8
2004-01-14,5.0,5.35,5.0,5.35,19740,0.07,0.0594,105609.0,15548.0
2004-01-15,5.35,5.35,5.35,5.35,0,0.0,0.0,0.0,25690.9
2004-01-16,5.35,5.35,5.35,5.35,0,0.0,0.0,0.0,25633.9
2004-01-20,5.35,6.25,5.25,6.0,22600,0.1215,0.1215,135600.0,25633.9
2004-01-21,6.5,6.75,6.0,6.0,15200,-0.0769,0.0,91200.0,38757.1
2004-01-22,5.75,5.75,5.5,5.5,400,-0.0435,-0.0833,2200.0,46644.6
2004-01-23,5.5,5.5,5.5,5.5,200,0.0,0.0,1100.0,46095.1
2004-01-26,6.05,6.05,6.05,6.05,180,0.0,0.1,1089.0,45665.1
2004-01-27,5.5,5.75,5.5,5.5,980,0.0,-0.0909,5390.0,45501.0
2004-01-28,5.5,5.75,5.5,5.5,2240,0.0,0.0,12320.0,45248.0
2004-01-29,5.1,5.1,5.1,5.1,20,0.0,-0.0727,102.0,35450.8
2004-01-30,5.1,5.8,4.75,5.1,5760,0.0,0.0,29376.0,24900.1
2004-02-02,5.4,5.4,4.75,4.75,3420,-0.1204,-0.0686,16245.0,27837.7
2004-02-03,4.75,4.8,4.75,4.8,1760,0.0105,0.0105,8448.0,29462.2
2004-02-04,5.2,6.0,5.0,5.25,5500,0.0096,0.0938,28875.0,16747.0
2004-02-05,5.25,5.25,5.25,5.25,0,0.0,0.0,0.0,10514.5
2004-02-06,5.35,5.35,4.75,4.75,480,-0.1121,-0.0952,2280.0,10294.5
2004-02-09,4.75,4.8,4.75,4.8,400,0.0105,0.0105,1920.0,10412.5
2004-02-10,4.8,4.8,4.8,4.8,0,0.0,0.0,0.0,10495.6
2004-02-11,4.8,4.8,4.8,4.8,0,0.0,0.0,0.0,9956.6
2004-02-12,5.35,5.9,5.35,5.5,4620,0.028,0.1458,25410.0,8724.6
2004-02-13,5.4,5.4,5.25,5.35,7200,-0.0093,-0.0273,38520.0,11255.4
2004-02-17,5.4,5.75,5.25,5.5,16540,0.0185,0.028,90970.0,12169.8
2004-02-18,5.5,5.75,5.15,5.45,17800,-0.0091,-0.0091,97010.0,19642.3
2004-02-19,5.4,6.65,5.4,6.65,28000,0.2315,0.2202,186200.0,28498.5
2004-02-20,6.65,7.0,6.15,6.45,15120,-0.0301,-0.0301,97524.0,44231.0
2004-02-23,6.55,6.7,6.25,6.5,8840,-0.0076,0.0078,57460.0,53983.4
2004-02-24,6.7,6.7,6.25,6.55,1440,-0.0224,0.0077,9432.0,59501.4
2004-02-25,6.5,6.55,6.15,6.15,7000,-0.0538,-0.0611,43050.0,60252.6
