Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,59.0,59.65,57.95,58.99,8012500,-0.0002,,472657375.0,
2003-12-02,59.2,59.49,58.3,58.83,6602700,-0.0063,-0.0027,388436841.0,
2003-12-03,59.17,60.13,58.02,58.26,11093900,-0.0154,-0.0097,646330614.0,
2003-12-04,58.26,58.62,55.87,57.41,7978400,-0.0146,-0.0146,458039944.0,
2003-12-05,56.69,57.15,55.3,55.62,7191100,-0.0189,-0.0312,399968982.0,
2003-12-08,55.42,56.23,54.76,55.48,5715500,0.0011,-0.0025,317095940.0,
2003-12-09,55.8,56.01,53.03,53.2,8912000,-0.0466,-0.0411,474118400.0,
2003-12-10,53.52,54.33,52.74,53.71,10119900,0.0036,0.0096,543539829.0,
2003-12-11,53.51,56.45,53.48,56.0,10267600,0.0465,0.0426,574985600.0,
2003-12-12,56.27,57.0,55.62,56.85,7688100,0.0103,0.0152,437068485.0,
2003-12-15,58.12,58.22,55.65,55.8,10876900,-0.0399,-0.0185,606931020.0,471224201.0
2003-12-16,55.85,56.18,53.81,55.08,12840300,-0.0138,-0.0129,707243724.0,484651565.5
2003-12-17,55.09,55.55,54.12,54.35,8970500,-0.0134,-0.0133,487546675.0,516532253.8
2003-12-18,54.65,56.05,54.49,55.75,7927900,0.0201,0.0258,441980425.0,500653859.9
2003-12-19,55.99,56.51,55.18,55.55,8753900,-0.0079,-0.0036,486279145.0,499047908.0
2003-12-22,55.3,56.39,55.21,56.18,4559300,0.0159,0.0113,256141474.0,507678924.3
2003-12-23,56.09,57.18,55.95,56.66,4351500,0.0102,0.0085,246555990.0,501583477.7
2003-12-24,56.61,57.34,56.5,56.56,1719900,-0.0009,-0.0018,97277544.0,478827236.7
2003-12-26,56.76,57.05,56.44,56.58,852900,-0.0032,0.0004,48257082.0,434201008.2
2003-12-29,56.94,57.66,56.15,57.62,4717700,0.0119,0.0184,271833874.0,381528156.4
2003-12-30,57.68,58.47,57.45,58.34,5802000,0.0114,0.0125,338488680.0,365004695.3
2003-12-31,58.58,58.86,57.82,58.54,4844700,-0.0007,0.0034,283608738.0,338160461.3
2004-01-02,58.8,58.89,56.15,56.44,7893500,-0.0401,-0.0359,445509140.0,295796962.7
2004-01-05,57.21,59.63,57.1,59.24,10735400,0.0355,0.0496,635965096.0,291593209.2
2004-01-06,59.13,59.29,58.12,58.95,7279400,-0.003,-0.0049,429120630.0,310991676.3
2004-01-07,58.7,58.78,57.9,58.58,6632200,-0.002,-0.0063,388514276.0,305275824.8
2004-01-08,58.87,59.64,58.25,59.45,6943900,0.0099,0.0149,412814855.0,318513105.0
2004-01-09,58.98,62.0,58.6,60.81,12500400,0.031,0.0229,760149324.0,335138991.5
2004-01-12,60.63,62.6,60.0,62.6,7451500,0.0325,0.0294,466463900.0,401426169.5
2004-01-13,62.45,62.56,60.29,60.86,8419200,-0.0255,-0.0278,512392512.0,443246851.3
2004-01-14,60.81,61.05,59.8,60.61,6985300,-0.0033,-0.0041,423379033.0,467302715.1
2004-01-15,59.97,62.26,59.96,61.68,10469300,0.0285,0.0177,645746424.0,475791750.4
2004-01-16,61.5,62.32,60.8,62.1,6203600,0.0098,0.0068,385243560.0,512005519.0
2004-01-20,61.99,62.82,61.32,62.52,5249200,0.0085,0.0068,328179984.0,505978961.0
2004-01-21,62.24,62.26,60.59,61.5,6900500,-0.0119,-0.0163,424380750.0,475200449.8
2004-01-22,61.71,62.74,60.57,60.81,8212800,-0.0146,-0.0112,499420368.0,474726461.8
