Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-01-17,34.04,34.04,33.82,33.82,529302,-0.0065,,17900993.64,
2018-01-18,34.04,34.04,33.79,33.82,86412,-0.0065,0.0,2922453.84,
2018-01-19,33.75,33.82,33.75,33.82,228,0.0021,0.0,7710.96,
2018-01-22,33.79,33.91,33.79,33.82,137940,0.0009,0.0,4665130.8,
2018-01-23,33.75,34.04,33.75,33.94,277790,0.0056,0.0035,9428192.6,
2018-01-24,34.04,34.04,33.79,33.79,200,-0.0073,-0.0044,6758.0,
2018-01-25,33.79,33.79,33.79,33.79,100235,0.0,0.0,3386940.65,
2018-01-26,33.86,33.86,33.79,33.79,3107,-0.0021,0.0,104985.53,
2018-01-29,33.93,33.93,33.86,33.86,57143,-0.0021,0.0021,1934861.98,
2018-01-30,33.86,33.86,33.86,33.86,0,0.0,0.0,0.0,
2018-01-31,34.0,34.0,33.86,33.86,1881,-0.0041,0.0,63690.66,4035802.8
2018-02-01,34.04,34.04,34.04,34.04,1254,0.0,0.0053,42686.16,2252072.5
2018-02-02,33.75,34.04,33.75,34.04,278559,0.0086,0.0,9482148.36,1964095.73
2018-02-05,34.04,34.04,34.02,34.04,110723,0.0,0.0,3769010.92,2911539.47
2018-02-06,34.04,34.11,33.96,34.04,76152,0.0,0.0,2592214.08,2821927.49
2018-02-07,34.04,34.11,34.04,34.11,228,0.0021,0.0021,7777.08,2138329.63
2018-02-08,34.11,34.11,34.11,34.11,0,0.0,0.0,0.0,2138431.54
2018-02-09,34.11,35.86,33.93,34.42,8921,0.0091,0.0091,307060.82,1799737.48
2018-02-12,34.04,34.39,33.75,34.21,3278,0.005,-0.0061,112140.38,1819945.01
2018-02-13,34.21,34.21,34.21,34.21,0,0.0,0.0,0.0,1637672.85
2018-02-14,34.21,34.21,34.21,34.21,0,0.0,0.0,0.0,1637672.85
2018-02-15,34.21,34.21,34.21,34.21,0,0.0,0.0,0.0,1631303.78
2018-02-16,34.39,34.39,34.35,34.39,627,0.0,0.0053,21562.53,1627035.16
2018-02-20,34.39,34.39,34.39,34.39,0,0.0,0.0,0.0,680976.58
2018-02-21,34.39,34.39,34.39,34.39,0,0.0,0.0,0.0,304075.49
2018-02-22,34.39,34.39,34.39,34.39,0,0.0,0.0,0.0,44854.08
2018-02-23,34.39,34.39,34.39,34.39,0,0.0,0.0,0.0,44076.37
2018-02-26,34.39,34.39,34.39,34.39,246468,0.0,0.0,8476034.52,44076.37
2018-02-27,34.39,34.39,34.39,34.39,0,0.0,0.0,0.0,860973.74
2018-02-28,34.39,34.39,34.39,34.39,0,0.0,0.0,0.0,849759.7
2018-03-01,34.11,34.28,34.11,34.25,912,0.0041,-0.0041,31236.0,849759.7
2018-03-02,34.25,34.25,34.25,34.25,0,0.0,0.0,0.0,852883.3
2018-03-05,34.25,34.25,34.25,34.25,0,0.0,0.0,0.0,852883.3
