Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,19.23,19.6,19.23,19.4,373400,0.0088,,7243960.0,
2003-12-02,19.5,19.5,19.27,19.28,159000,-0.0113,-0.0062,3065520.0,
2003-12-03,19.35,19.6,19.3,19.56,508400,0.0109,0.0145,9944304.0,
2003-12-04,19.52,19.56,19.34,19.53,179800,0.0005,-0.0015,3511494.0,
2003-12-05,19.48,19.66,19.42,19.44,188200,-0.0021,-0.0046,3658608.0,
2003-12-08,19.44,19.69,19.31,19.69,244400,0.0129,0.0129,4812236.0,
2003-12-09,19.69,19.78,19.37,19.38,313000,-0.0157,-0.0157,6065940.0,
2003-12-10,19.4,19.4,19.08,19.25,196000,-0.0077,-0.0067,3773000.0,
2003-12-11,19.27,19.84,19.27,19.75,394600,0.0249,0.026,7793350.0,
2003-12-12,19.76,19.88,19.63,19.82,243400,0.003,0.0035,4824188.0,
2003-12-15,19.99,20.46,19.82,19.82,675000,-0.0085,0.0,13378500.0,5469260.0
2003-12-16,19.83,20.0,19.81,19.96,1005400,0.0066,0.0071,20067784.0,6082714.0
2003-12-17,19.95,19.95,19.66,19.8,179000,-0.0075,-0.008,3544200.0,7782940.4
2003-12-18,19.77,19.9,19.61,19.88,447400,0.0056,0.004,8894312.0,7142930.0
2003-12-19,19.95,19.95,19.71,19.92,429600,-0.0015,0.002,8557632.0,7681211.8
2003-12-22,19.88,20.08,19.88,20.02,335000,0.007,0.005,6706700.0,8171114.2
2003-12-23,20.02,20.02,19.94,20.0,177800,-0.001,-0.001,3556000.0,8360560.6
2003-12-24,19.92,19.97,19.79,19.85,62000,-0.0035,-0.0075,1230700.0,8109566.6
2003-12-26,19.85,19.87,19.75,19.78,43600,-0.0035,-0.0035,862408.0,7855336.6
2003-12-29,19.77,20.03,19.38,20.0,243200,0.0116,0.0111,4864000.0,7162242.4
2003-12-30,20.0,20.05,19.95,20.02,665200,0.001,0.001,13317304.0,7166223.6
2003-12-31,20.02,20.17,19.88,19.88,370200,-0.007,-0.007,7359576.0,7160104.0
2004-01-02,19.98,20.22,19.85,19.9,243800,-0.004,0.001,4851620.0,5889283.2
2004-01-05,20.0,20.24,19.99,20.2,176000,0.01,0.0151,3555200.0,6020025.2
2004-01-06,20.15,20.2,19.95,20.11,507400,-0.002,-0.0045,10203814.0,5486114.0
2004-01-07,20.15,20.58,20.12,20.56,342000,0.0203,0.0224,7031520.0,5650732.2
2004-01-08,20.58,20.75,20.5,20.72,383400,0.0068,0.0078,7944048.0,5683214.2
2004-01-09,20.7,21.01,20.65,20.77,465600,0.0034,0.0024,9670512.0,6122019.0
2004-01-12,20.85,21.13,20.72,21.13,874200,0.0134,0.0173,18471846.0,6966000.2
2004-01-13,21.12,21.35,21.08,21.25,505000,0.0062,0.0057,10731250.0,8726944.0
2004-01-14,21.27,21.79,21.25,21.78,403000,0.024,0.0249,8777340.0,9313669.0
2004-01-15,21.78,21.9,21.57,21.77,576400,-0.0005,-0.0005,12548228.0,8859672.6
2004-01-16,21.75,21.77,21.23,21.3,578600,-0.0207,-0.0216,12324180.0,9378537.8
2004-01-20,21.33,21.58,21.17,21.58,849800,0.0117,0.0131,18338684.0,10125793.8
2004-01-21,21.58,21.83,21.27,21.78,555000,0.0093,0.0093,12087900.0,11604142.2
2004-01-22,21.75,21.85,21.64,21.78,416600,0.0014,0.0,9073548.0,11792550.8
2004-01-23,21.91,22.18,21.67,21.72,774000,-0.0087,-0.0028,16811280.0,11996753.6
2004-01-26,21.73,21.9,21.48,21.65,373800,-0.0037,-0.0032,8092770.0,12883476.8
2004-01-27,21.67,21.81,21.5,21.6,751200,-0.0032,-0.0023,16225920.0,12725702.6
2004-01-28,21.88,21.88,21.42,21.48,515200,-0.0183,-0.0056,11066496.0,12501110.0
2004-01-29,21.48,21.53,21.2,21.28,424600,-0.0093,-0.0093,9035488.0,12534634.6
2004-01-30,21.23,21.23,21.08,21.2,212600,-0.0014,-0.0038,4507120.0,12560449.4
2004-02-02,21.17,21.22,20.83,20.87,263600,-0.0142,-0.0156,5501332.0,11756338.6
2004-02-03,20.86,21.1,20.73,20.92,301400,0.0029,0.0024,6305288.0,11074053.8
2004-02-04,20.88,20.88,20.4,20.43,303200,-0.0216,-0.0234,6194376.0,9870714.2
2004-02-05,20.49,20.88,20.41,20.74,356600,0.0122,0.0152,7395884.0,9281361.8
2004-02-06,20.73,20.98,20.7,20.96,422000,0.0111,0.0106,8845120.0,9113595.4
2004-02-09,21.0,21.14,20.98,21.03,179000,0.0014,0.0033,3764370.0,8316979.4
2004-02-10,21.03,21.1,20.91,21.02,319800,-0.0005,-0.0005,6722196.0,7884139.4
2004-02-11,21.0,21.21,21.0,21.18,460600,0.0086,0.0076,9755508.0,6933767.0
2004-02-12,21.18,21.33,21.08,21.25,560600,0.0033,0.0033,11912750.0,6802668.2
2004-02-13,21.18,21.35,21.17,21.25,520200,0.0033,0.0,11054250.0,7090394.4
2004-02-17,21.35,21.42,21.23,21.42,597400,0.0033,0.008,12796308.0,7745107.4
2004-02-18,21.48,21.48,21.36,21.38,158800,-0.0047,-0.0019,3395144.0,8474605.0
2004-02-19,21.41,21.45,21.2,21.23,325600,-0.0084,-0.007,6912488.0,8183590.6
2004-02-20,21.2,21.26,21.01,21.15,364000,-0.0024,-0.0038,7698600.0,8255401.8
2004-02-23,21.23,21.25,21.08,21.11,399000,-0.0057,-0.0019,8422890.0,8285673.4
2004-02-24,21.06,21.23,21.01,21.08,621800,0.0009,-0.0014,13107544.0,8243450.4
2004-02-25,21.08,21.49,21.08,21.31,367200,0.0109,0.0109,7825032.0,9177767.8
2004-02-26,21.32,21.5,21.3,21.5,252600,0.0084,0.0089,5430900.0,9288051.4
2004-02-27,21.07,21.75,21.07,21.7,275800,0.0299,0.0093,5984860.0,8855590.6
2004-03-01,21.68,21.91,21.68,21.86,216600,0.0083,0.0074,4734876.0,8262801.6
2004-03-02,21.88,21.89,21.62,21.78,474600,-0.0046,-0.0037,10336788.0,7630864.2
2004-03-03,21.75,21.75,21.41,21.6,324400,-0.0069,-0.0083,7007040.0,7384912.2
2004-03-04,21.6,21.6,21.38,21.58,285200,-0.0009,-0.0009,6154616.0,7746101.8
2004-03-05,21.45,21.81,21.25,21.51,327400,0.0028,-0.0032,7042374.0,7670314.6
2004-03-08,21.64,21.66,21.22,21.22,225200,-0.0194,-0.0135,4778744.0,7604692.0
2004-03-09,21.25,21.36,21.1,21.35,409000,0.0047,0.0061,8732150.0,7240277.4
2004-03-10,21.4,21.47,21.04,21.05,367400,-0.0164,-0.0141,7733770.0,6802738.0
2004-03-11,21.05,21.15,20.59,20.59,473800,-0.0219,-0.0219,9755542.0,6793611.8
2004-03-12,20.59,20.6,20.27,20.48,1301200,-0.0053,-0.0053,26648576.0,7226076.0
2004-03-15,20.48,20.48,19.97,20.0,877200,-0.0234,-0.0234,17544000.0,9292447.6
2004-03-16,20.02,20.15,19.75,19.93,941400,-0.0045,-0.0035,18762102.0,10573360.0
2004-03-17,19.98,20.18,19.92,20.13,878400,0.0075,0.01,17682192.0,11415891.4
2004-03-18,20.15,20.24,19.9,20.17,491400,0.001,0.002,9911538.0,12483406.6
2004-03-19,20.17,20.18,19.92,20.01,365600,-0.0079,-0.0079,7315656.0,12859098.8
2004-03-22,20.01,20.01,19.6,19.6,501400,-0.0205,-0.0205,9827440.0,12886427.0
2004-03-23,20.12,20.12,19.43,19.59,389600,-0.0263,-0.0005,7632264.0,13391296.6
2004-03-24,19.59,19.59,19.14,19.27,876200,-0.0163,-0.0163,16884374.0,13281308.0
2004-03-25,19.38,19.75,19.35,19.7,909000,0.0165,0.0223,17907300.0,14196368.4
2004-03-26,19.67,19.9,19.67,19.7,431200,0.0015,0.0,8494640.0,15011544.2
2004-03-29,19.73,20.25,19.72,20.25,548800,0.0264,0.0279,11113200.0,13196150.6
2004-03-30,20.25,20.47,20.23,20.47,251800,0.0109,0.0109,5154346.0,12553070.6
2004-03-31,20.45,20.65,20.42,20.64,381400,0.0093,0.0083,7872096.0,11192295.0
2004-04-01,20.6,20.67,20.5,20.57,413600,-0.0015,-0.0034,8507752.0,10211285.4
2004-04-02,20.75,21.17,20.75,21.11,283200,0.0173,0.0263,5978352.0,10070906.8
2004-04-05,21.15,21.36,21.08,21.36,251200,0.0099,0.0118,5365632.0,9937176.4
2004-04-06,21.36,21.4,21.11,21.19,336800,-0.008,-0.008,7136792.0,9490995.6
2004-04-07,21.17,21.44,20.9,21.11,314000,-0.0028,-0.0038,6628540.0,9441448.4
2004-04-08,21.22,21.29,21.0,21.07,129200,-0.0071,-0.0019,2722244.0,8415865.0
2004-04-12,21.19,21.4,21.08,21.17,176800,-0.0009,0.0047,3742856.0,6897359.4
2004-04-13,21.23,21.27,20.86,20.88,364000,-0.0165,-0.0137,7600320.0,6422181.0
2004-04-14,20.88,21.11,20.58,20.68,339200,-0.0096,-0.0096,7014656.0,6070893.0
2004-04-15,20.75,21.01,20.65,20.8,413000,0.0024,0.0058,8590400.0,6256924.0
2004-04-16,21.02,21.85,20.94,21.48,412600,0.0219,0.0327,8862648.0,6328754.4
2004-04-19,22.92,23.1,22.4,22.85,1430600,-0.0031,0.0638,32689210.0,6364244.0
2004-04-20,22.85,23.09,22.45,22.46,647200,-0.0171,-0.0171,14536112.0,9035329.8
2004-04-21,22.5,22.85,22.38,22.85,624200,0.0156,0.0174,14262970.0,9952377.8
2004-04-22,22.87,23.07,22.75,22.88,593800,0.0004,0.0013,13586144.0,10664995.6
2004-04-23,22.67,23.05,22.55,22.75,382600,0.0035,-0.0057,8704150.0,11360756.0
2004-04-26,22.67,22.75,21.95,22.25,625400,-0.0185,-0.022,13915150.0,11958946.6
2004-04-27,22.27,23.06,22.26,22.65,353400,0.0171,0.018,8004510.0,12976176.0
2004-04-28,22.52,22.52,22.17,22.24,323600,-0.0124,-0.0181,7196864.0,13016595.0
2004-04-29,22.36,22.58,21.7,21.92,308200,-0.0197,-0.0144,6755744.0,13034815.8
2004-04-30,22.02,22.07,21.49,21.58,495600,-0.02,-0.0155,10695048.0,12851350.2
2004-05-03,21.6,21.72,21.5,21.68,447600,0.0037,0.0046,9703968.0,13034590.2
2004-05-04,21.83,22.48,21.77,22.23,553800,0.0183,0.0254,12310974.0,10736066.0
2004-05-05,22.2,22.31,22.06,22.12,369200,-0.0036,-0.0049,8166704.0,10513552.2
2004-05-06,22.08,22.12,21.73,21.88,400000,-0.0091,-0.0108,8752000.0,9903925.6
2004-05-07,21.8,21.87,20.95,21.03,463000,-0.0353,-0.0388,9736890.0,9420511.2
2004-05-10,21.01,21.08,20.42,20.92,613200,-0.0043,-0.0052,12828144.0,9523785.2
2004-05-11,20.98,21.2,20.9,21.13,381600,0.0071,0.01,8063208.0,9415084.6
2004-05-12,21.06,21.3,20.75,21.2,492600,0.0066,0.0033,10443120.0,9420954.4
2004-05-13,21.2,21.25,20.94,21.06,200400,-0.0066,-0.0066,4220424.0,9745580.0
2004-05-14,20.93,21.24,20.9,21.12,281000,0.0091,0.0028,5934720.0,9492048.0
2004-05-17,21.02,21.02,20.33,20.67,443200,-0.0167,-0.0213,9160944.0,9016015.2
2004-05-18,20.58,20.58,20.24,20.44,662000,-0.0068,-0.0111,13531280.0,8961712.8
2004-05-19,20.69,20.98,20.3,20.33,367600,-0.0174,-0.0054,7473308.0,9083743.4
2004-05-20,20.33,20.44,20.12,20.37,395800,0.002,0.002,8062446.0,9014403.8
2004-05-21,20.37,20.5,20.17,20.38,397400,0.0005,0.0005,8099012.0,8945448.4
2004-05-24,20.48,20.85,20.45,20.78,257800,0.0146,0.0196,5357084.0,8781660.6
2004-05-25,20.73,21.32,20.67,21.19,365000,0.0222,0.0197,7734350.0,8034554.6
