Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2013-04-10,23.0,23.0,21.76,21.79,5488900,-0.0526,,119603131.0,
2013-04-11,21.75,22.09,21.35,21.97,602900,0.0101,0.0083,13245713.0,
2013-04-12,22.0,22.37,21.53,22.23,543800,0.0105,0.0118,12088674.0,
2013-04-15,22.0,22.35,21.98,22.24,259000,0.0109,0.0004,5760160.0,
2013-04-16,22.11,22.19,21.9,22.19,134000,0.0036,-0.0022,2973460.0,
2013-04-17,22.1,22.23,21.99,22.06,159700,-0.0018,-0.0059,3522982.0,
2013-04-18,21.98,22.05,21.96,22.04,232500,0.0027,-0.0009,5124300.0,
2013-04-19,22.02,22.1,21.99,22.07,253000,0.0023,0.0014,5583710.0,
2013-04-22,22.03,22.25,21.96,22.2,34900,0.0077,0.0059,774780.0,
2013-04-23,22.43,22.43,22.12,22.22,44300,-0.0094,0.0009,984346.0,
2013-04-24,22.1,22.16,22.05,22.13,16500,0.0014,-0.0041,365145.0,16966125.6
2013-04-25,22.03,22.28,22.03,22.28,24600,0.0113,0.0068,548088.0,5042327.0
2013-04-26,22.2,22.35,22.14,22.3,32000,0.0045,0.0009,713600.0,3772564.5
2013-04-29,22.45,22.45,22.3,22.44,46500,-0.0004,0.0063,1043460.0,2635057.1
2013-04-30,22.33,22.55,22.3,22.4,177700,0.0031,-0.0018,3980480.0,2163387.1
2013-05-01,22.49,22.58,22.18,22.49,124200,0.0,0.004,2793258.0,2264089.1
2013-05-02,22.31,22.75,22.26,22.7,89500,0.0175,0.0093,2031650.0,2191116.7
2013-05-03,22.75,22.9,22.5,22.85,80800,0.0044,0.0066,1846280.0,1881851.7
2013-05-06,22.94,23.11,22.85,22.99,158800,0.0022,0.0061,3650812.0,1508108.7
2013-05-07,23.1,23.47,22.77,23.4,95100,0.013,0.0178,2225340.0,1795711.9
2013-05-08,23.28,24.0,23.11,23.51,142600,0.0099,0.0047,3352526.0,1919811.3
2013-05-09,23.36,23.52,22.78,23.41,56500,0.0021,-0.0043,1322665.0,2218549.4
2013-05-10,23.29,23.49,23.05,23.39,26500,0.0043,-0.0009,619835.0,2296007.1
2013-05-13,23.5,23.88,23.3,23.75,72800,0.0106,0.0154,1729000.0,2286630.6
2013-05-14,23.64,23.71,23.32,23.5,42600,-0.0059,-0.0105,1001100.0,2355184.6
2013-05-15,23.64,23.64,22.98,23.3,135000,-0.0144,-0.0085,3145500.0,2057246.6
2013-05-16,23.25,23.75,22.85,23.3,60600,0.0022,0.0,1411980.0,2092470.8
2013-05-17,23.24,23.73,23.11,23.64,5900,0.0172,0.0146,139476.0,2030503.8
2013-05-20,23.66,24.3,23.16,24.12,23300,0.0194,0.0203,561996.0,1859823.4
2013-05-21,24.06,24.55,23.81,24.55,18600,0.0204,0.0178,456630.0,1550941.8
2013-05-22,24.03,24.71,24.01,24.5,21300,0.0196,-0.002,521850.0,1374070.8
2013-05-23,24.41,24.49,23.72,24.05,65400,-0.0147,-0.0184,1572870.0,1091003.2
2013-05-24,24.25,24.35,23.79,24.11,29700,-0.0058,0.0025,716067.0,1116023.7
2013-05-28,24.33,24.52,23.95,24.15,21600,-0.0074,0.0017,521640.0,1125646.9
2013-05-29,24.19,24.19,23.7,24.02,51300,-0.007,-0.0054,1232226.0,1004910.9
2013-05-30,23.89,24.05,23.6,24.0,26200,0.0046,-0.0008,628800.0,1028023.5
2013-05-31,23.4,23.81,23.0,23.34,46300,-0.0026,-0.0275,1080642.0,776353.5
2013-06-03,23.4,23.66,23.0,23.38,49400,-0.0009,0.0017,1154972.0,743219.7
2013-06-04,23.13,23.72,23.13,23.52,24700,0.0169,0.006,580944.0,844769.3
2013-06-05,23.32,23.36,22.47,22.82,74300,-0.0214,-0.0298,1695526.0,846664.1
2013-06-06,22.75,23.09,22.59,22.81,33000,0.0026,-0.0004,752730.0,970553.7
2013-06-07,23.07,23.07,22.7,22.98,22900,-0.0039,0.0075,526242.0,993641.7
2013-06-10,22.82,23.0,22.46,22.86,46800,0.0018,-0.0052,1069848.0,888978.9
2013-06-11,22.63,22.74,22.32,22.5,29800,-0.0057,-0.0157,670500.0,924357.0
2013-06-12,22.62,22.74,22.51,22.6,20100,-0.0009,0.0044,454260.0,939243.0
2013-06-13,22.52,22.74,22.31,22.74,43700,0.0098,0.0062,993738.0,861446.4
2013-06-14,22.73,22.94,22.53,22.88,28400,0.0066,0.0062,649792.0,897940.2
2013-06-17,22.76,23.1,22.61,22.85,8600,0.004,-0.0013,196510.0,854855.2
2013-06-18,22.35,22.92,22.35,22.75,13100,0.0179,-0.0044,298025.0,759009.0
2013-06-19,22.75,23.25,22.33,22.54,44700,-0.0092,-0.0092,1007538.0,730717.1
2013-06-20,22.3,22.49,22.09,22.09,23900,-0.0094,-0.02,527951.0,661918.3
2013-06-21,22.3,22.67,21.55,21.82,38900,-0.0215,-0.0122,848798.0,639440.4
2013-06-24,21.79,21.89,20.68,21.5,57300,-0.0133,-0.0147,1231950.0,671696.0
2013-06-25,21.5,21.93,21.07,21.1,75300,-0.0186,-0.0186,1588830.0,687906.2
2013-06-26,21.3,22.01,21.3,21.75,21600,0.0211,0.0308,469800.0,779739.2
2013-06-27,21.75,22.37,21.75,22.19,20100,0.0202,0.0202,446019.0,781293.2
2013-06-28,21.1,22.31,21.1,22.02,10400,0.0436,-0.0077,229008.0,726521.3
