Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-10-04,10.0,11.1,9.72,10.16,2409300,0.016,,24478488.0,
2018-10-05,10.35,10.79,10.1,10.43,192300,0.0077,0.0266,2005689.0,
2018-10-08,10.5,10.5,9.25,10.02,117900,-0.0457,-0.0393,1181358.0,
2018-10-09,9.9,9.99,9.61,9.9,44300,0.0,-0.012,438570.0,
2018-10-10,9.96,10.0,9.65,9.7,80000,-0.0261,-0.0202,776000.0,
2018-10-11,9.95,9.99,9.66,9.9,30700,-0.005,0.0206,303930.0,
2018-10-12,10.1,10.1,9.9,10.05,51700,-0.005,0.0152,519585.0,
2018-10-15,10.05,10.05,9.9,9.98,28200,-0.007,-0.007,281436.0,
2018-10-16,10.2,10.2,9.9,9.97,34400,-0.0225,-0.001,342968.0,
2018-10-17,9.85,9.95,9.81,9.89,22300,0.0041,-0.008,220547.0,
2018-10-18,9.84,9.93,9.5,9.74,118900,-0.0102,-0.0152,1158086.0,3054857.1
2018-10-19,9.85,9.94,9.28,9.7,50500,-0.0152,-0.0041,489850.0,722816.9
2018-10-22,9.76,10.13,9.6,9.88,75500,0.0123,0.0186,745940.0,571233.0
2018-10-23,9.75,9.99,9.5,9.61,42600,-0.0144,-0.0273,409386.0,527691.2
2018-10-24,9.64,9.95,9.25,9.27,134400,-0.0384,-0.0354,1245888.0,524772.8
2018-10-25,9.25,9.94,9.25,9.56,42900,0.0335,0.0313,410124.0,571761.6
2018-10-26,9.59,10.13,9.46,9.98,37500,0.0407,0.0439,374250.0,582381.0
2018-10-29,9.99,10.2,9.33,9.75,93900,-0.024,-0.023,915525.0,567847.5
2018-10-30,9.73,9.99,9.32,9.88,146800,0.0154,0.0133,1450384.0,631256.4
2018-10-31,9.94,9.99,9.75,9.91,152700,-0.003,0.003,1513257.0,741998.0
2018-11-01,9.9,10.13,9.71,9.99,172200,0.0091,0.0081,1720278.0,871269.0
2018-11-02,10.0,10.07,9.56,9.79,45100,-0.021,-0.02,441529.0,927488.2
2018-11-05,9.82,10.03,9.39,9.39,60000,-0.0438,-0.0409,563400.0,922656.1
2018-11-06,9.3,9.86,8.98,9.13,54300,-0.0183,-0.0277,495759.0,904402.1
2018-11-07,8.96,9.11,8.14,8.82,88700,-0.0156,-0.034,782334.0,913039.4
2018-11-08,8.71,8.99,8.7,8.85,33000,0.0161,0.0034,292050.0,866684.0
2018-11-09,8.36,9.0,8.36,8.64,68100,0.0335,-0.0237,588384.0,854876.6
2018-11-12,8.64,8.64,7.82,8.0,53400,-0.0741,-0.0741,427200.0,876290.0
2018-11-13,8.0,8.27,8.0,8.15,51000,0.0188,0.0188,415650.0,827457.5
2018-11-14,8.17,9.4,8.17,8.64,90700,0.0575,0.0601,783648.0,723984.1
2018-11-15,8.59,9.28,8.59,8.7,37900,0.0128,0.0069,329730.0,651023.2
2018-11-16,8.54,9.69,8.26,9.56,75000,0.1194,0.0989,717000.0,511968.4
2018-11-19,9.6,9.6,8.72,8.79,57300,-0.0844,-0.0805,503667.0,539515.5
2018-11-20,8.04,8.94,7.76,7.77,113200,-0.0336,-0.116,879564.0,533542.2
2018-11-21,7.8,9.77,7.8,9.77,39200,0.2526,0.2574,382984.0,571922.7
2018-11-23,9.7,9.7,9.05,9.5,8000,-0.0206,-0.0276,76000.0,531987.7
2018-11-26,9.12,9.4,9.0,9.28,90800,0.0175,-0.0232,842624.0,510382.7
2018-11-27,9.32,9.56,9.04,9.38,27500,0.0064,0.0108,257950.0,535806.7
2018-11-28,9.35,9.4,8.74,9.22,32400,-0.0139,-0.0171,298728.0,518881.7
2018-11-29,9.23,9.23,8.89,9.01,45500,-0.0238,-0.0228,409955.0,507189.5
2018-11-30,9.07,9.45,8.65,9.25,37200,0.0198,0.0266,344100.0,469820.2
2018-12-03,9.37,9.68,7.95,7.95,106500,-0.1515,-0.1405,846675.0,471257.2
2018-12-04,7.93,8.28,7.38,7.6,61700,-0.0416,-0.044,468920.0,484224.7
2018-12-06,7.54,9.32,7.25,9.3,87400,0.2334,0.2237,812820.0,480750.0
2018-12-07,9.33,10.5,8.22,10.0,142900,0.0718,0.0753,1429000.0,474075.6
2018-12-10,10.0,10.0,8.36,8.45,35700,-0.155,-0.155,301665.0,578677.2
2018-12-11,8.46,8.75,8.21,8.66,29700,0.0236,0.0249,257202.0,601243.7
2018-12-12,8.56,8.56,7.78,8.23,38400,-0.0386,-0.0497,316032.0,542701.5
2018-12-13,8.07,8.26,7.51,7.71,30300,-0.0446,-0.0632,233613.0,548509.7
2018-12-14,7.65,7.65,6.74,7.01,51900,-0.0837,-0.0908,363819.0,541998.2
2018-12-17,7.1,7.3,6.5,6.66,53300,-0.062,-0.0499,354978.0,537384.6
2018-12-18,6.75,8.01,6.75,6.82,100500,0.0104,0.024,685410.0,538472.4
2018-12-19,6.76,6.93,6.55,6.68,106200,-0.0118,-0.0205,709416.0,522345.9
2018-12-20,6.51,6.87,5.95,6.52,164500,0.0015,-0.024,1072540.0,546395.5
2018-12-21,6.55,6.55,5.65,6.11,930900,-0.0672,-0.0629,5687799.0,572367.5
2018-12-24,6.41,7.67,6.15,7.34,60600,0.1451,0.2013,444804.0,998247.4
2018-12-26,7.42,9.34,6.64,8.22,126500,0.1078,0.1199,1039830.0,1012561.3
2018-12-27,8.06,8.19,7.04,7.25,93200,-0.1005,-0.118,675700.0,1090824.1
2018-12-28,7.23,7.25,6.5,6.62,157700,-0.0844,-0.0869,1043974.0,1126790.9
2018-12-31,6.65,7.32,6.5,7.1,62500,0.0677,0.0725,443750.0,1207827.0
2019-01-02,7.06,7.86,6.55,7.34,66500,0.0397,0.0338,488110.0,1215820.1
2019-01-03,7.32,7.95,6.84,7.93,66700,0.0833,0.0804,528931.0,1229133.3
2019-01-04,8.07,8.07,7.08,7.55,73600,-0.0644,-0.0479,555680.0,1213485.4
2019-01-07,7.61,8.25,7.56,8.16,24900,0.0723,0.0808,203184.0,1198111.8
2019-01-08,8.24,8.95,7.72,8.93,56900,0.0837,0.0944,508117.0,1111176.2
2019-01-09,8.91,9.7,8.78,9.44,50300,0.0595,0.0571,474832.0,593208.0
2019-01-10,9.37,10.0,8.7,9.08,18500,-0.0309,-0.0381,167980.0,596210.8
