Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2013-09-23,19.25,19.5,19.25,19.4,87200,0.0078,,1691680.0,
2013-09-24,21.0,23.0,21.0,22.9,65000,0.0905,0.1804,1488500.0,
2013-09-25,24.0,24.0,21.95,23.05,118400,-0.0396,0.0066,2729120.0,
2013-09-26,23.1,24.5,23.1,24.5,192400,0.0606,0.0629,4713800.0,
2013-09-27,24.75,26.25,24.65,25.5,193700,0.0303,0.0408,4939350.0,
2013-09-30,26.5,26.5,25.0,25.0,32200,-0.0566,-0.0196,805000.0,
2013-10-01,25.5,25.75,25.25,25.65,160800,0.0059,0.026,4124520.0,
2013-10-02,25.65,26.05,25.5,25.65,27800,0.0,0.0,713070.0,
2013-10-03,25.5,28.0,25.5,28.0,22200,0.098,0.0916,621600.0,
2013-10-04,27.0,28.12,27.0,28.05,136000,0.0389,0.0018,3814800.0,
2013-10-07,29.0,30.0,28.75,29.0,10200,0.0,0.0339,295800.0,2564144.0
2013-10-08,29.0,29.0,28.0,28.0,7800,-0.0345,-0.0345,218400.0,2424556.0
2013-10-09,27.5,27.5,26.5,27.0,4400,-0.0182,-0.0357,118800.0,2297546.0
2013-10-10,26.9,27.5,26.9,27.0,10800,0.0037,0.0,291600.0,2036514.0
2013-10-11,27.5,27.5,26.75,27.0,81200,-0.0182,0.0,2192400.0,1594294.0
2013-10-14,27.5,27.5,25.5,25.5,0,-0.0727,-0.0556,0.0,1319599.0
2013-10-15,25.5,26.75,25.5,26.0,5600,0.0196,0.0196,145600.0,1239099.0
2013-10-16,26.5,26.5,25.55,25.75,1200,-0.0283,-0.0096,30900.0,841207.0
2013-10-17,26.5,27.25,25.55,25.55,0,-0.0358,-0.0078,0.0,772990.0
2013-10-18,26.0,26.0,24.64,25.05,0,-0.0365,-0.0196,0.0,710830.0
2013-10-21,25.0,25.25,24.5,24.5,18800,-0.02,-0.022,460600.0,329350.0
2013-10-22,24.25,24.5,23.5,23.5,78200,-0.0309,-0.0408,1837700.0,345830.0
2013-10-23,24.5,24.5,23.05,23.25,104000,-0.051,-0.0106,2418000.0,507760.0
2013-10-24,24.0,24.0,23.0,23.11,89200,-0.0371,-0.006,2061412.0,737680.0
2013-10-25,23.0,23.0,22.8,22.8,40600,-0.0087,-0.0134,925680.0,914661.2
2013-10-28,22.8,23.0,22.5,22.75,12600,-0.0022,-0.0022,286650.0,787989.2
2013-10-29,22.75,23.5,22.0,22.62,108800,-0.0057,-0.0057,2461056.0,816654.2
