Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-11-08,13.0,14.5,12.58,13.06,479100,0.0046,,6257046.0,
2019-11-11,12.72,12.78,10.7,10.74,226200,-0.1557,-0.1776,2429388.0,
2019-11-12,10.33,10.96,8.91,8.92,186800,-0.1365,-0.1695,1666256.0,
2019-11-13,8.88,9.73,8.72,9.21,117000,0.0372,0.0325,1077570.0,
2019-11-14,9.04,9.49,9.04,9.2,59700,0.0177,-0.0011,549240.0,
2019-11-15,9.17,10.0,9.0,9.98,88900,0.0883,0.0848,887222.0,
2019-11-18,9.85,9.87,9.41,9.6,21700,-0.0254,-0.0381,208320.0,
2019-11-19,9.6,9.6,9.05,9.35,20500,-0.026,-0.026,191675.0,
2019-11-20,9.22,9.22,9.02,9.03,22500,-0.0206,-0.0342,203175.0,
2019-11-21,9.04,9.05,8.71,8.73,24300,-0.0343,-0.0332,212139.0,
2019-11-22,8.79,8.9,8.66,8.8,12100,0.0011,0.008,106480.0,1368203.1
2019-11-25,8.88,8.88,8.55,8.61,25100,-0.0304,-0.0216,216111.0,753146.5
2019-11-26,8.58,8.58,8.32,8.35,27200,-0.0268,-0.0302,227120.0,531818.8
2019-11-27,8.32,8.65,8.32,8.64,27900,0.0385,0.0347,241056.0,387905.2
2019-11-29,8.9,8.9,8.47,8.47,7200,-0.0483,-0.0197,60984.0,304253.8
2019-12-02,8.5,8.79,8.5,8.5,11800,0.0,0.0035,100300.0,255428.2
2019-12-03,8.48,8.69,8.46,8.68,7100,0.0236,0.0212,61628.0,176736.0
2019-12-04,8.87,9.49,8.77,9.43,33600,0.0631,0.0864,316848.0,162066.8
2019-12-05,9.41,9.41,9.0,9.11,28200,-0.0319,-0.0339,256902.0,174584.1
2019-12-06,9.18,9.18,8.7,8.84,31100,-0.037,-0.0296,274924.0,179956.8
2019-12-09,8.96,9.15,8.75,9.0,24100,0.0045,0.0181,216900.0,186235.3
2019-12-10,9.3,9.3,8.77,8.8,13900,-0.0538,-0.0222,122320.0,197277.3
2019-12-11,8.81,8.92,8.7,8.71,9400,-0.0114,-0.0102,81874.0,187898.2
2019-12-12,8.71,8.96,8.7,8.8,9800,0.0103,0.0103,86240.0,173373.6
2019-12-13,8.8,8.86,8.71,8.72,7100,-0.0091,-0.0091,61912.0,157892.0
2019-12-16,8.84,8.84,8.1,8.1,34000,-0.0837,-0.0711,275400.0,157984.8
2019-12-17,8.1,8.15,8.1,8.1,6300,0.0,0.0,51030.0,175494.8
