Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-04-01,9.65,9.65,9.65,9.65,150000,0.0,,1447500.0,
2021-04-05,9.52,9.96,9.52,9.7,11100,0.0189,0.0052,107670.0,
2021-04-06,9.98,9.98,9.61,9.61,1300,-0.0371,-0.0093,12493.0,
2021-04-07,9.7,9.79,9.7,9.79,1000,0.0093,0.0187,9790.0,
2021-04-08,9.66,9.95,9.66,9.95,2800,0.03,0.0163,27860.0,
2021-04-09,9.76,9.99,9.66,9.87,19600,0.0113,-0.008,193452.0,
2021-04-12,9.87,9.87,9.8,9.83,26100,-0.0041,-0.0041,256563.0,
2021-04-13,9.79,9.87,9.71,9.87,2600,0.0082,0.0041,25662.0,
2021-04-14,9.73,9.85,9.73,9.82,479200,0.0092,-0.0051,4705744.0,
2021-04-15,9.82,9.82,9.82,9.82,300,0.0,0.0,2946.0,
2021-04-16,9.73,9.82,9.73,9.82,12000,0.0092,0.0,117840.0,678968.0
2021-04-19,9.88,9.88,9.8,9.88,11000,0.0,0.0061,108680.0,546002.0
2021-04-20,9.79,9.79,9.74,9.77,1100,-0.002,-0.0111,10747.0,546103.0
2021-04-21,9.74,9.95,9.74,9.84,8200,0.0103,0.0072,80688.0,545928.4
2021-04-22,9.96,9.96,9.75,9.78,1200,-0.0181,-0.0061,11736.0,553018.2
2021-04-23,9.73,9.85,9.7,9.85,61800,0.0123,0.0072,608730.0,551405.8
2021-04-26,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,592933.6
2021-04-27,9.89,9.89,9.73,9.77,4700,-0.0121,-0.0081,45919.0,567277.3
2021-04-28,9.69,9.75,9.68,9.74,208700,0.0052,-0.0031,2032738.0,569303.0
2021-04-29,9.74,9.75,9.72,9.74,12600,0.0,0.0,122724.0,302002.4
2021-04-30,9.71,9.79,9.71,9.79,20000,0.0082,0.0051,195800.0,313980.2
2021-05-03,9.79,9.86,9.71,9.72,28300,-0.0072,-0.0072,275076.0,321776.2
2021-05-04,9.71,9.74,9.71,9.74,5500,0.0031,0.0021,53570.0,338415.8
2021-05-05,9.71,9.75,9.68,9.75,65600,0.0041,0.001,639600.0,342698.1
2021-05-06,9.7,9.74,9.69,9.72,3800,0.0021,-0.0031,36936.0,398589.3
2021-05-07,9.69,9.78,9.69,9.74,36800,0.0052,0.0021,358432.0,401109.3
2021-05-10,9.71,9.71,9.71,9.71,81500,0.0,-0.0031,791365.0,376079.5
2021-05-11,9.71,9.71,9.7,9.7,1300,-0.001,-0.001,12610.0,455216.0
2021-05-12,9.73,9.73,9.7,9.7,2200,-0.0031,0.0,21340.0,451885.1
2021-05-13,9.7,9.72,9.7,9.71,1200,0.001,0.001,11652.0,250745.3
2021-05-14,9.7,9.72,9.7,9.7,2500,0.0,-0.001,24250.0,239638.1
2021-05-17,9.68,9.7,9.66,9.66,6900,-0.0021,-0.0041,66654.0,222483.1
2021-05-18,9.67,9.82,9.62,9.67,172700,0.0,0.001,1670009.0,201640.9
2021-05-19,9.75,9.75,9.69,9.73,3400,-0.0021,0.0062,33082.0,363284.8
2021-05-20,9.66,9.69,9.64,9.69,10100,0.0031,-0.0041,97869.0,302633.0
2021-05-21,9.68,9.74,9.68,9.7,3000,0.0021,0.001,29100.0,308726.3
2021-05-24,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,275793.1
2021-05-25,9.69,9.7,9.67,9.7,101700,0.001,0.0,986490.0,196656.6
2021-05-26,9.74,9.76,9.66,9.7,41500,-0.0041,0.0,402550.0,294044.6
2021-05-27,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,332165.6
2021-05-28,9.69,9.69,9.69,9.69,1500,0.0,-0.001,14535.0,331000.4
2021-06-01,9.69,9.74,9.69,9.69,6700,0.0,0.0,64923.0,330028.9
2021-06-02,9.74,9.74,9.64,9.66,2200,-0.0082,-0.0031,21252.0,329855.8
2021-06-03,9.66,9.66,9.64,9.66,4600,0.0,0.0,44436.0,164980.1
2021-06-04,9.65,9.74,9.65,9.66,10000,0.001,0.0,96600.0,166115.5
