Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2005-02-24,11.48,11.73,11.0,11.39,5993283,-0.0078,,68263493.37,
2005-02-25,11.3,11.49,11.25,11.31,1399311,0.0009,-0.007,15826207.41,
2005-02-28,11.14,11.37,11.14,11.29,1420294,0.0135,-0.0018,16035119.26,
2005-03-01,11.38,11.42,11.27,11.42,676258,0.0035,0.0115,7722866.36,
2005-03-02,11.4,11.46,11.31,11.43,826584,0.0026,0.0009,9447855.12,
2005-03-03,11.44,11.55,11.35,11.5,731612,0.0052,0.0061,8413538.0,
2005-03-04,11.49,11.69,11.47,11.69,567620,0.0174,0.0165,6635477.8,
2005-03-07,11.74,11.98,11.69,11.95,817473,0.0179,0.0222,9768802.35,
2005-03-08,12.0,12.02,11.75,11.95,365530,-0.0042,0.0,4368083.5,
2005-03-09,11.95,11.99,11.51,11.75,211753,-0.0167,-0.0167,2488097.75,
2005-03-10,11.78,11.78,11.45,11.64,325222,-0.0119,-0.0094,3785584.08,14896954.09
2005-03-11,11.68,11.75,11.55,11.63,57149,-0.0043,-0.0009,664642.87,8449163.16
2005-03-14,11.8,11.8,11.6,11.69,137626,-0.0093,0.0052,1608847.94,6933006.71
2005-03-15,11.69,11.69,11.56,11.64,191185,-0.0043,-0.0043,2225393.4,5490379.58
2005-03-16,11.65,11.65,11.26,11.4,256754,-0.0215,-0.0206,2926995.6,4940632.28
2005-03-17,11.5,11.5,11.25,11.32,316388,-0.0157,-0.007,3581512.16,4288546.33
2005-03-18,11.5,11.5,11.28,11.4,358628,-0.0087,0.0071,4088359.2,3805343.74
2005-03-21,11.44,11.44,11.27,11.42,81582,-0.0017,0.0018,931666.44,3550631.88
2005-03-22,11.29,11.29,11.15,11.18,266693,-0.0097,-0.021,2981627.74,2666918.29
2005-03-23,11.14,11.15,10.95,11.08,462158,-0.0054,-0.0089,5120710.64,2528272.72
2005-03-24,11.0,11.2,10.97,11.13,187734,0.0118,0.0045,2089479.42,2791534.01
2005-03-28,11.1,11.27,11.05,11.15,60185,0.0045,0.0018,671062.75,2621923.54
2005-03-29,11.05,11.5,11.01,11.5,616763,0.0407,0.0314,7092774.5,2622565.53
2005-03-30,11.45,11.53,11.3,11.47,226110,0.0017,-0.0026,2593481.7,3170958.18
2005-03-31,11.4,11.6,11.08,11.12,1533762,-0.0246,-0.0305,17055433.44,3207767.02
2005-04-01,11.17,11.4,11.08,11.1,316664,-0.0063,-0.0018,3514970.4,4620610.8
2005-04-04,11.09,11.41,11.03,11.03,195879,-0.0054,-0.0063,2160545.37,4613956.62
2005-04-05,11.14,11.22,10.86,11.06,298581,-0.0072,0.0027,3302305.86,4421175.24
2005-04-06,11.1,11.12,10.77,10.86,160126,-0.0216,-0.0181,1738968.36,4658239.18
2005-04-07,10.76,10.89,10.7,10.79,279531,0.0028,-0.0064,3016139.49,4533973.24
2005-04-08,10.83,10.83,10.7,10.7,170894,-0.012,-0.0083,1828565.8,4323516.13
2005-04-11,10.65,10.8,10.5,10.65,295406,0.0,-0.0047,3146073.9,4297424.77
2005-04-12,10.71,10.71,10.11,10.4,419227,-0.0289,-0.0235,4359960.8,4544925.88
2005-04-13,10.4,10.49,10.25,10.25,185664,-0.0144,-0.0144,1903056.0,4271644.51
2005-04-14,10.25,10.29,10.15,10.25,310866,0.0,0.0,3186376.5,4202601.94
2005-04-15,10.27,10.27,10.0,10.1,345238,-0.0166,-0.0146,3486903.8,2815696.25
2005-04-18,10.0,10.5,10.0,10.41,276218,0.041,0.0307,2875429.38,2812889.59
2005-04-19,10.48,11.0,10.4,10.99,264071,0.0487,0.0557,2902140.29,2884377.99
2005-04-20,11.0,11.0,10.5,10.62,155295,-0.0345,-0.0337,1649232.9,2844361.43
2005-04-21,10.67,10.8,10.59,10.71,69158,0.0037,0.0085,740682.18,2835387.89
2005-04-22,10.73,10.73,10.4,10.5,251233,-0.0214,-0.0196,2637946.5,2607842.16
2005-04-25,10.42,10.8,10.4,10.53,119267,0.0106,0.0029,1255881.51,2688780.22
2005-04-26,10.5,10.65,10.26,10.33,88070,-0.0162,-0.019,909763.1,2499760.99
2005-04-27,10.26,10.5,10.25,10.41,77993,0.0146,0.0077,811907.13,2154741.22
2005-04-28,10.3,10.48,10.27,10.28,33268,-0.0019,-0.0125,341995.04,2045626.33
2005-04-29,10.31,10.39,10.25,10.39,92763,0.0078,0.0107,963807.57,1761188.18
2005-05-02,10.35,10.53,10.23,10.5,97732,0.0145,0.0106,1026186.0,1508878.56
2005-05-03,10.36,10.58,10.23,10.26,23467,-0.0097,-0.0229,240771.42,1323954.22
2005-05-04,10.2,10.65,10.2,10.42,116920,0.0216,0.0156,1218306.4,1057817.34
2005-05-05,10.45,10.61,10.27,10.49,87103,0.0038,0.0067,913710.47,1014724.68
2005-05-06,10.39,10.61,10.28,10.6,50661,0.0202,0.0105,537006.6,1032027.51
2005-05-09,10.6,10.7,10.36,10.67,81168,0.0066,0.0066,866062.56,821933.52
2005-05-10,10.6,10.65,10.41,10.53,42102,-0.0066,-0.0131,443334.06,782951.63
2005-05-11,10.36,10.46,10.25,10.34,53283,-0.0019,-0.018,550946.22,736308.72
2005-05-12,10.46,10.46,10.26,10.27,34372,-0.0182,-0.0068,353000.44,710212.63
2005-05-13,10.46,10.46,10.25,10.26,22224,-0.0191,-0.001,228018.24,711313.17
2005-05-16,10.29,10.49,10.27,10.46,35476,0.0165,0.0195,371078.96,637734.24
2005-05-17,10.5,10.75,10.28,10.64,69158,0.0133,0.0172,735841.12,572223.54
2005-05-18,10.6,10.8,10.4,10.75,123408,0.0142,0.0103,1326636.0,621730.51
2005-05-19,10.62,10.73,10.46,10.63,162611,0.0009,-0.0112,1728554.93,632563.47
2005-05-20,10.55,10.75,10.48,10.73,40308,0.0171,0.0094,432504.84,714047.91
2005-05-23,10.61,10.75,10.45,10.6,60738,-0.0009,-0.0121,643822.8,703597.74
2005-05-24,10.52,10.65,10.45,10.5,126997,-0.0019,-0.0094,1333468.5,681373.76
2005-05-25,10.48,10.59,10.44,10.45,71919,-0.0029,-0.0048,751553.55,770387.2
2005-05-26,10.6,10.6,10.45,10.5,50937,-0.0094,0.0048,534838.5,790447.94
2005-05-27,10.45,10.65,10.45,10.55,75922,0.0096,0.0048,800977.1,808631.74
2005-05-31,10.66,10.67,10.49,10.49,61842,-0.0159,-0.0057,648722.58,865927.63
2005-06-01,10.47,10.75,10.47,10.73,86827,0.0248,0.0229,931653.71,893691.99
2005-06-02,10.74,10.74,10.55,10.69,33406,-0.0047,-0.0037,357110.14,913273.25
2005-06-03,10.62,10.74,10.53,10.67,49004,0.0047,-0.0019,522872.68,816320.66
2005-06-06,10.59,10.81,10.59,10.81,155157,0.0208,0.0131,1677247.17,695752.44
2005-06-07,10.83,10.85,10.61,10.67,88760,-0.0148,-0.013,947069.2,820226.67
2005-06-08,10.63,10.75,10.45,10.66,56320,0.0028,-0.0009,600371.2,850551.31
2005-06-09,10.64,10.8,10.64,10.79,42654,0.0141,0.0122,460236.66,777241.58
2005-06-10,10.81,10.85,10.75,10.84,51489,0.0028,0.0046,558140.76,748109.89
2005-06-13,10.75,10.86,10.71,10.85,60047,0.0093,0.0009,651509.95,750440.12
2005-06-14,10.89,10.9,10.7,10.9,80753,0.0009,0.0046,880207.7,735493.4
2005-06-15,10.9,10.95,10.76,10.95,117472,0.0046,0.0046,1286318.4,758641.92
2005-06-16,10.86,11.05,10.8,11.05,134175,0.0175,0.0091,1482633.75,794108.39
2005-06-17,11.0,11.25,10.98,11.25,430409,0.0227,0.0181,4842101.25,906660.75
2005-06-20,11.22,11.39,11.14,11.31,94557,0.008,0.0053,1069439.67,1338583.6
2005-06-21,11.3,11.69,11.22,11.62,381405,0.0283,0.0274,4431926.1,1277802.85
2005-06-22,11.64,11.8,11.6,11.77,132518,0.0112,0.0129,1559736.86,1626288.54
2005-06-23,11.9,11.9,11.55,11.71,135693,-0.016,-0.0051,1588965.03,1722225.11
2005-06-24,11.55,11.95,11.5,11.95,579354,0.0346,0.0205,6923280.3,1835097.95
2005-06-27,11.86,11.86,11.65,11.86,48038,0.0,-0.0075,569730.68,2471611.9
2005-06-28,11.85,11.9,11.7,11.9,78407,0.0042,0.0034,933043.3,2463433.97
2005-06-29,11.87,11.87,11.7,11.87,34510,0.0,-0.0025,409633.7,2468717.53
2005-06-30,11.85,11.94,11.75,11.8,25123,-0.0042,-0.0059,296451.4,2381049.06
