Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-09-20,10.5,11.31,10.26,10.64,456500,0.0133,,4857160.0,
2017-09-21,10.55,10.86,10.2,10.25,70800,-0.0284,-0.0367,725700.0,
2017-09-22,10.23,10.28,10.0,10.06,168800,-0.0166,-0.0185,1698128.0,
2017-09-25,10.18,10.19,9.42,9.75,76500,-0.0422,-0.0308,745875.0,
2017-09-26,9.86,10.08,9.85,9.85,18600,-0.001,0.0103,183210.0,
2017-09-27,10.9,10.9,10.0,10.05,9400,-0.078,0.0203,94470.0,
2017-09-28,10.39,10.39,9.87,10.08,17600,-0.0298,0.003,177408.0,
2017-09-29,9.82,10.13,9.82,9.97,14300,0.0153,-0.0109,142571.0,
2017-10-02,10.0,10.0,9.92,9.98,18700,-0.002,0.001,186626.0,
2017-10-03,9.97,9.98,9.85,9.91,61000,-0.006,-0.007,604510.0,
2017-10-04,9.89,9.93,9.8,9.9,6600,0.001,-0.001,65340.0,941565.8
2017-10-05,9.82,10.06,9.8,10.06,17800,0.0244,0.0162,179068.0,462383.8
2017-10-06,10.06,10.08,9.9,9.94,8600,-0.0119,-0.0119,85484.0,407720.6
2017-10-09,10.02,10.02,9.95,9.95,8800,-0.007,0.001,87560.0,246456.2
2017-10-10,10.09,10.39,9.95,10.06,34300,-0.003,0.0111,345058.0,180624.7
2017-10-11,10.03,10.11,10.02,10.1,5600,0.007,0.004,56560.0,196809.5
2017-10-12,10.0,10.01,9.99,10.01,2100,0.001,-0.0089,21021.0,193018.5
2017-10-13,10.11,10.11,10.0,10.0,4300,-0.0109,-0.001,43000.0,177379.8
2017-10-16,9.96,9.98,9.52,9.56,17600,-0.0402,-0.044,168256.0,167422.7
2017-10-17,9.55,9.99,9.55,9.71,27400,0.0168,0.0157,266054.0,165585.7
2017-10-18,9.83,11.98,9.83,11.19,164400,0.1384,0.1524,1839636.0,131740.1
2017-10-19,11.05,11.22,10.3,10.66,61400,-0.0353,-0.0474,654524.0,309169.7
2017-10-20,10.76,10.76,9.77,9.99,51500,-0.0716,-0.0629,514485.0,356715.3
2017-10-23,9.89,10.12,9.01,9.31,39800,-0.0586,-0.0681,370538.0,399615.4
2017-10-24,9.22,9.96,9.1,9.67,27600,0.0488,0.0387,266892.0,427913.2
2017-10-25,9.5,10.49,9.5,10.1,47000,0.0632,0.0445,474700.0,420096.6
2017-10-26,10.19,10.42,9.55,9.7,25700,-0.0481,-0.0396,249290.0,461910.6
2017-10-27,9.51,10.19,9.29,10.04,36600,0.0557,0.0351,367464.0,484737.5
2017-10-30,9.84,9.92,9.16,9.51,21000,-0.0335,-0.0528,199710.0,517183.9
2017-10-31,9.45,9.9,9.16,9.9,12700,0.0476,0.041,125730.0,520329.3
