Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2005-09-08,12.35,12.45,11.98,11.98,8704000,-0.03,,104273920.0,
2005-09-09,12.0,12.12,11.76,12.02,6069600,0.0017,0.0033,72956592.0,
2005-09-12,11.98,12.9,11.98,12.82,4062800,0.0701,0.0666,52085096.0,
2005-09-13,12.72,13.03,12.65,12.99,2285200,0.0212,0.0133,29684748.0,
2005-09-14,12.62,13.19,12.6,13.02,6112400,0.0317,0.0023,79583448.0,
2005-09-15,12.97,13.04,12.85,12.91,1121400,-0.0046,-0.0084,14477274.0,
2005-09-16,12.76,13.06,12.75,12.9,1735000,0.011,-0.0008,22381500.0,
2005-09-19,12.82,13.05,12.5,12.52,2627600,-0.0234,-0.0295,32897552.0,
2005-09-20,12.94,12.94,12.59,12.75,1373000,-0.0147,0.0184,17505750.0,
2005-09-21,12.85,12.9,12.58,12.63,3027000,-0.0171,-0.0094,38231010.0,
2005-09-22,12.6,12.66,12.48,12.49,2100000,-0.0087,-0.0111,26229000.0,46407689.0
2005-09-23,12.52,12.9,12.45,12.74,1359600,0.0176,0.02,17321304.0,38603197.0
2005-09-26,12.74,12.86,12.48,12.48,1013000,-0.0204,-0.0204,12642240.0,33039668.2
2005-09-27,12.67,12.67,12.5,12.5,1860600,-0.0134,0.0016,23257500.0,29095382.6
2005-09-28,12.48,12.6,12.32,12.32,1641000,-0.0128,-0.0144,20217120.0,28452657.8
2005-09-29,12.32,12.45,12.01,12.15,3970600,-0.0138,-0.0138,48242790.0,22516025.0
2005-09-30,12.02,12.94,12.02,12.88,3393200,0.0715,0.0601,43704416.0,25892576.6
2005-10-03,12.93,13.01,12.55,12.77,2520200,-0.0124,-0.0085,32182954.0,28024868.2
2005-10-04,12.67,12.99,12.65,12.93,2201200,0.0205,0.0125,28461516.0,27953408.4
2005-10-05,12.81,13.0,12.76,12.77,2986000,-0.0031,-0.0124,38131220.0,29048985.0
2005-10-06,12.75,12.95,12.69,12.75,1042000,0.0,-0.0016,13285500.0,29039006.0
2005-10-07,12.66,12.92,12.49,12.54,1250600,-0.0095,-0.0165,15682524.0,27744656.0
2005-10-10,12.4,12.52,12.38,12.4,423200,0.0,-0.0112,5247680.0,27580778.0
2005-10-11,12.38,12.56,12.29,12.34,7816400,-0.0032,-0.0048,96454376.0,26841322.0
2005-10-12,12.28,12.35,11.95,12.05,3273000,-0.0187,-0.0235,39439650.0,34161009.6
2005-10-13,11.98,12.06,11.5,11.65,3515000,-0.0275,-0.0332,40949750.0,36083262.6
2005-10-14,11.7,11.87,11.4,11.82,1237600,0.0103,0.0146,14628432.0,35353958.6
2005-10-17,11.77,11.81,11.63,11.7,2007400,-0.0059,-0.0102,23486580.0,32446360.2
2005-10-18,11.82,11.91,11.52,11.61,2749600,-0.0178,-0.0077,31922856.0,31576722.8
2005-10-19,11.55,11.69,11.27,11.65,1957200,0.0087,0.0034,22801380.0,31922856.8
2005-10-20,11.61,11.9,11.61,11.78,815800,0.0146,0.0112,9610124.0,30389872.8
2005-10-21,11.77,12.02,11.74,11.99,1290800,0.0187,0.0178,15476692.0,30022335.2
2005-10-24,11.94,12.18,11.88,12.16,799000,0.0184,0.0142,9715840.0,30001752.0
2005-10-25,11.98,12.23,11.98,12.15,626800,0.0142,-0.0008,7615620.0,30448568.0
2005-10-26,12.05,12.19,11.98,11.98,1196200,-0.0058,-0.014,14330476.0,21564692.4
2005-10-27,11.98,12.12,11.65,11.68,1527000,-0.025,-0.025,17835360.0,19053775.0
2005-10-28,11.66,11.82,11.55,11.66,1115600,0.0,-0.0017,13007896.0,16742336.0
2005-10-31,11.69,11.86,11.55,11.84,2314400,0.0128,0.0154,27402496.0,16580282.4
2005-11-01,11.79,11.9,11.55,11.57,1313800,-0.0187,-0.0228,15200666.0,16971874.0
2005-11-02,11.5,11.73,11.45,11.67,2005600,0.0148,0.0086,23405352.0,15299655.0
2005-11-03,11.6,11.92,11.6,11.88,730800,0.0241,0.018,8681904.0,15360052.2
2005-11-04,11.86,11.98,11.77,11.85,546800,-0.0008,-0.0025,6479580.0,15267230.2
2005-11-07,11.88,11.98,11.78,11.94,621000,0.0051,0.0076,7414740.0,14367519.0
2005-11-08,11.8,12.15,11.8,12.07,1021600,0.0229,0.0109,12330712.0,14137409.0
