Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,20.35,20.48,20.26,20.45,464400,0.0049,,9496980.0,
2003-12-02,20.32,20.4,20.21,20.33,586800,0.0005,-0.0059,11929644.0,
2003-12-03,20.38,20.5,20.22,20.5,701200,0.0059,0.0084,14374600.0,
2003-12-04,20.49,20.59,20.41,20.56,599400,0.0034,0.0029,12323664.0,
2003-12-05,20.56,20.58,20.4,20.45,407200,-0.0054,-0.0054,8327240.0,
2003-12-08,20.3,20.47,20.25,20.36,331700,0.003,-0.0044,6753412.0,
2003-12-09,20.58,21.07,20.49,21.01,1382200,0.0209,0.0319,29040022.0,
2003-12-10,21.13,21.13,20.83,21.05,968100,-0.0038,0.0019,20378505.0,
2003-12-11,21.0,21.18,21.0,21.15,712500,0.0071,0.0048,15069375.0,
2003-12-12,21.15,21.15,20.93,21.03,646000,-0.0057,-0.0057,13585380.0,
2003-12-15,21.35,21.49,21.09,21.11,585300,-0.0112,0.0038,12355683.0,14127882.2
2003-12-16,20.99,21.17,20.81,20.9,430100,-0.0043,-0.0099,8989090.0,14413752.5
2003-12-17,20.9,21.01,20.69,20.79,410900,-0.0053,-0.0053,8542611.0,14119697.1
2003-12-18,20.79,21.0,20.65,20.93,565500,0.0067,0.0067,11835915.0,13536498.2
2003-12-19,21.05,21.05,20.7,21.0,791000,-0.0024,0.0033,16611000.0,13487723.3
2003-12-22,21.0,21.24,20.78,21.23,634800,0.011,0.011,13476804.0,14316099.3
2003-12-23,21.3,21.41,21.21,21.41,735000,0.0052,0.0085,15736350.0,14988438.5
2003-12-24,21.31,21.36,21.12,21.36,135900,0.0023,-0.0023,2902824.0,13658071.3
2003-12-26,21.28,21.4,21.18,21.37,90200,0.0042,0.0005,1927574.0,11910503.2
2003-12-29,21.4,21.45,21.3,21.45,384800,0.0023,0.0037,8253960.0,10596323.1
2003-12-30,21.45,21.55,21.38,21.52,321200,0.0033,0.0033,6912224.0,10063181.1
2003-12-31,21.54,21.69,21.46,21.63,575800,0.0042,0.0051,12454554.0,9518835.2
2004-01-02,21.61,21.78,21.38,21.5,463500,-0.0051,-0.006,9965250.0,9865381.6
2004-01-05,21.9,22.04,21.7,22.04,902800,0.0064,0.0251,19897712.0,10007645.5
2004-01-06,21.85,21.89,21.59,21.83,583200,-0.0009,-0.0095,12731256.0,10813825.2
2004-01-07,21.83,21.83,21.4,21.44,565400,-0.0179,-0.0179,12122176.0,10425850.8
2004-01-08,21.58,21.6,21.29,21.45,779600,-0.006,0.0005,16722420.0,10290388.0
2004-01-09,21.35,21.64,21.19,21.56,542300,0.0098,0.0051,11691988.0,10388995.0
2004-01-12,21.66,21.78,21.5,21.64,443900,-0.0009,0.0037,9605996.0,11267911.4
2004-01-13,21.64,21.65,21.21,21.35,464000,-0.0134,-0.0134,9906400.0,12035753.6
2004-01-14,21.5,21.93,21.45,21.89,360400,0.0181,0.0253,7889156.0,12200997.6
2004-01-15,21.95,21.99,21.69,21.82,425400,-0.0059,-0.0032,9282228.0,12298690.8
2004-01-16,21.95,22.12,21.81,21.97,442100,0.0009,0.0069,9712937.0,11981458.2
2004-01-20,21.72,22.0,21.61,21.98,382200,0.012,0.0005,8400756.0,11956226.9
2004-01-21,22.0,22.42,21.98,22.4,347800,0.0182,0.0191,7790720.0,10806531.3
2004-01-22,22.35,22.55,22.15,22.55,535600,0.0089,0.0067,12077780.0,10312477.7
2004-01-23,22.6,22.68,22.48,22.65,621000,0.0022,0.0044,14065650.0,10308038.1
2004-01-26,22.55,22.62,22.25,22.48,496000,-0.0031,-0.0075,11150080.0,10042361.1
2004-01-27,22.49,22.49,22.08,22.19,335300,-0.0133,-0.0129,7440307.0,9988170.3
2004-01-28,22.19,22.3,21.63,21.7,611500,-0.0221,-0.0221,13269550.0,9771601.4
2004-01-29,23.35,25.74,23.35,25.45,3214700,0.0899,0.1728,81814115.0,10107916.4
2004-01-30,25.15,25.15,24.35,24.64,1320600,-0.0203,-0.0318,32539584.0,17500412.3
2004-02-02,24.73,24.94,24.52,24.73,1006400,0.0,0.0037,24888272.0,19826147.9
2004-02-03,24.68,24.84,24.25,24.69,633700,0.0004,-0.0016,15646053.0,21343681.4
2004-02-04,24.7,24.7,24.19,24.48,511600,-0.0089,-0.0085,12523968.0,22068211.1
2004-02-05,24.48,24.55,24.3,24.39,637800,-0.0037,-0.0037,15555942.0,22541535.9
2004-02-06,24.5,24.9,24.31,24.84,424400,0.0139,0.0185,10542096.0,22889352.1
2004-02-09,24.8,24.85,24.48,24.61,410200,-0.0077,-0.0093,10095022.0,22536996.7
2004-02-10,24.61,24.61,24.04,24.29,632700,-0.013,-0.013,15368283.0,22431490.9
2004-02-11,24.35,24.64,23.9,24.61,540500,0.0107,0.0132,13301705.0,23224288.5
2004-02-12,24.65,24.85,24.44,24.47,308200,-0.0073,-0.0057,7541654.0,23227504.0
2004-02-13,24.62,24.64,24.16,24.28,361800,-0.0138,-0.0078,8784504.0,15800257.9
2004-02-17,24.28,24.55,24.22,24.33,301100,0.0021,0.0021,7325763.0,13424749.9
2004-02-18,24.45,24.52,24.08,24.24,389700,-0.0086,-0.0037,9446328.0,11668499.0
2004-02-19,24.22,24.98,24.2,24.61,629600,0.0161,0.0153,15494456.0,11048526.5
2004-02-20,24.8,24.8,24.5,24.61,443200,-0.0077,0.0,10907152.0,11345575.3
2004-02-23,24.63,24.74,24.43,24.48,336600,-0.0061,-0.0053,8239968.0,10880696.3
2004-02-24,24.4,24.78,24.3,24.43,491200,0.0012,-0.002,12000016.0,10650483.5
2004-02-25,24.27,24.4,24.16,24.26,254900,-0.0004,-0.007,6183874.0,10840982.9
2004-02-26,24.3,24.43,24.1,24.26,410500,-0.0016,0.0,9958730.0,9922542.0
2004-02-27,24.38,24.7,24.15,24.47,612100,0.0037,0.0087,14978087.0,9588244.5
2004-03-01,24.72,24.95,24.64,24.93,426200,0.0085,0.0188,10625166.0,10331887.8
2004-03-02,24.8,25.15,24.76,24.9,514300,0.004,-0.0012,12806070.0,10515954.0
2004-03-03,24.93,24.99,24.6,24.72,414700,-0.0084,-0.0072,10251384.0,11063984.7
2004-03-04,24.83,24.92,24.72,24.83,247900,0.0,0.0044,6155357.0,11144490.3
2004-03-05,24.83,25.05,24.77,24.79,437000,-0.0016,-0.0016,10833230.0,10210580.4
2004-03-08,24.89,24.89,24.51,24.58,298200,-0.0125,-0.0085,7329756.0,10203188.2
2004-03-09,24.63,24.66,24.38,24.47,220400,-0.0065,-0.0045,5393188.0,10112167.0
2004-03-10,24.43,24.64,23.78,23.8,388500,-0.0258,-0.0274,9246300.0,9451484.2
2004-03-11,23.6,23.76,23.5,23.56,565200,-0.0017,-0.0101,13316112.0,9757726.8
2004-03-12,23.53,23.95,23.5,23.75,411800,0.0093,0.0081,9780250.0,10093465.0
2004-03-15,23.63,23.69,23.21,23.24,534400,-0.0165,-0.0215,12419456.0,9573681.3
2004-03-16,23.3,23.36,22.89,23.09,661800,-0.009,-0.0065,15280962.0,9753110.3
2004-03-17,23.2,23.29,23.09,23.24,406800,0.0017,0.0065,9454032.0,10000599.5
2004-03-18,23.24,23.25,22.8,23.17,354600,-0.003,-0.003,8216082.0,9920864.3
2004-03-19,22.95,23.06,22.83,22.89,480300,-0.0026,-0.0121,10994067.0,10126936.8
2004-03-22,22.89,22.9,22.4,22.62,623700,-0.0118,-0.0118,14108094.0,10143020.5
2004-03-23,22.6,22.97,22.6,22.65,651600,0.0022,0.0013,14758740.0,10820854.3
2004-03-24,22.48,22.67,22.41,22.62,479200,0.0062,-0.0013,10839504.0,11757409.5
2004-03-25,22.69,23.1,22.69,22.97,397900,0.0123,0.0155,9139763.0,11916729.9
2004-03-26,23.1,23.33,23.0,23.05,420700,-0.0022,0.0035,9697135.0,11499095.0
2004-03-29,23.1,23.36,23.04,23.24,505700,0.0061,0.0082,11752468.0,11490783.5
2004-03-30,23.27,23.6,23.06,23.56,298800,0.0125,0.0138,7039728.0,11424084.7
2004-03-31,23.5,23.89,23.47,23.71,430700,0.0089,0.0064,10211897.0,10599961.3
2004-04-01,23.71,24.15,23.71,24.0,522500,0.0122,0.0122,12540000.0,10675747.8
2004-04-02,24.25,24.25,23.98,24.06,403300,-0.0078,0.0025,9703398.0,11108139.6
2004-04-05,23.91,24.36,23.88,24.32,356000,0.0171,0.0108,8657920.0,10979072.7
2004-04-06,24.32,24.32,23.95,24.1,277200,-0.009,-0.009,6680520.0,10434055.3
2004-04-07,24.09,24.09,23.75,23.92,561200,-0.0071,-0.0075,13423904.0,9626233.3
2004-04-08,23.67,23.92,23.44,23.65,520400,-0.0008,-0.0113,12307460.0,9884673.3
2004-04-12,23.7,23.89,23.68,23.74,262500,0.0017,0.0038,6231750.0,10201443.0
2004-04-13,23.7,23.85,23.15,23.29,519500,-0.0173,-0.019,12099155.0,9854904.5
2004-04-14,22.95,23.26,22.72,23.26,529500,0.0135,-0.0013,12316170.0,9889573.2
2004-04-15,23.26,23.42,23.05,23.23,336900,-0.0013,-0.0013,7826187.0,10417217.4
2004-04-16,23.48,23.59,23.25,23.47,739300,-0.0004,0.0103,17351371.0,10178646.4
2004-04-19,23.53,23.53,23.17,23.4,191600,-0.0055,-0.003,4483440.0,10659783.5
2004-04-20,23.55,23.55,22.89,22.9,374500,-0.0276,-0.0214,8576050.0,10137787.7
2004-04-21,22.45,22.59,22.18,22.4,1124100,-0.0022,-0.0218,25179840.0,10129600.7
2004-04-22,23.0,23.93,22.81,23.76,1267900,0.033,0.0607,30125304.0,11979532.7
2004-04-23,23.86,24.22,23.76,23.97,737600,0.0046,0.0088,17680272.0,13649672.7
2004-04-26,24.07,24.14,23.64,23.74,671500,-0.0137,-0.0096,15941410.0,14186953.9
2004-04-27,23.84,23.94,23.7,23.72,564100,-0.005,-0.0008,13380452.0,15157919.9
2004-04-28,23.62,23.67,23.17,23.25,576500,-0.0157,-0.0198,13403625.0,15286049.6
2004-04-29,23.31,23.35,22.55,22.76,793000,-0.0236,-0.0211,18048680.0,15394795.1
2004-04-30,22.9,22.95,22.59,22.6,738600,-0.0131,-0.007,16692360.0,16417044.4
2004-05-03,22.75,23.1,22.63,23.04,550700,0.0127,0.0195,12688128.0,16351143.3
2004-05-04,23.03,23.1,22.61,22.98,537700,-0.0022,-0.0026,12356346.0,17171612.1
2004-05-05,22.97,23.08,22.85,22.89,351300,-0.0035,-0.0039,8041257.0,17549641.7
2004-05-06,22.69,22.73,22.29,22.61,715200,-0.0035,-0.0122,16170672.0,15835783.4
2004-05-07,22.58,22.67,22.13,22.14,487900,-0.0195,-0.0208,10802106.0,14440320.2
2004-05-10,21.9,22.22,21.8,22.02,464300,0.0055,-0.0054,10223886.0,13752503.6
2004-05-11,22.02,22.34,22.01,22.33,291500,0.0141,0.0141,6509195.0,13180751.2
2004-05-12,22.38,22.54,22.18,22.46,961300,0.0036,0.0058,21590798.0,12493625.5
2004-05-13,22.47,22.51,22.0,22.45,550100,-0.0009,-0.0004,12349745.0,13312342.8
2004-05-14,22.46,22.49,22.07,22.33,562700,-0.0058,-0.0053,12565091.0,12742449.3
2004-05-17,22.2,22.48,21.98,22.37,552500,0.0077,0.0018,12359425.0,12329722.4
2004-05-18,22.44,22.69,22.44,22.68,411200,0.0107,0.0139,9326016.0,12296852.1
2004-05-19,22.97,23.22,22.8,22.99,816400,0.0009,0.0137,18769036.0,11993819.1
2004-05-20,22.95,23.22,22.9,23.15,561300,0.0087,0.007,12994095.0,13066597.0
2004-05-21,23.35,23.62,23.24,23.55,609300,0.0086,0.0173,14349015.0,12748939.3
2004-05-24,23.79,23.98,23.53,23.92,782600,0.0055,0.0157,18719792.0,13103630.2
2004-05-25,23.8,24.21,23.54,24.19,898500,0.0164,0.0113,21734715.0,13953220.8
2004-05-26,24.15,24.21,23.95,24.13,548400,-0.0008,-0.0025,13232892.0,15475772.8
2004-05-27,24.3,24.54,24.25,24.54,635500,0.0099,0.017,15595170.0,14639982.2
