Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-01-15,720.0,720.0,345.6,366.0,427,-0.4917,,156282.0,
2019-01-16,332.7,332.7,189.0,213.3,1173,-0.3589,-0.4172,250200.9,
2019-01-17,240.0,240.0,202.5,210.0,303,-0.125,-0.0155,63630.0,
2019-01-18,210.0,231.3,207.6,210.0,620,0.0,0.0,130200.0,
2019-01-22,217.5,596.4,217.5,405.0,3850,0.8621,0.9286,1559250.0,
2019-01-23,450.0,450.0,305.7,375.0,1063,-0.1667,-0.0741,398625.0,
2019-01-24,390.0,405.0,347.4,354.0,330,-0.0923,-0.056,116820.0,
2019-01-25,366.99,405.0,325.5,360.0,1030,-0.019,0.0169,370800.0,
2019-01-28,416.4,416.4,339.0,359.97,133,-0.1355,-0.0001,47876.01,
2019-01-29,392.1,392.1,349.65,375.0,123,-0.0436,0.0418,46125.0,
2019-01-30,360.0,360.0,342.0,347.1,87,-0.0358,-0.0744,30197.7,313980.89
2019-01-31,346.5,360.0,345.0,348.0,100,0.0043,0.0026,34800.0,301372.46
2019-02-01,354.0,405.0,343.5,356.1,287,0.0059,0.0233,102200.7,279832.37
2019-02-04,360.0,360.0,306.9,339.0,190,-0.0583,-0.048,64410.0,283689.44
2019-02-05,350.94,350.94,315.9,341.7,27,-0.0263,0.008,9225.9,277110.44
2019-02-06,341.7,344.4,337.68,344.4,33,0.0079,0.0079,11365.2,122108.03
2019-02-07,336.0,344.7,330.0,344.7,173,0.0259,0.0009,59633.1,83382.05
2019-02-08,354.6,354.6,327.0,329.97,27,-0.0695,-0.0427,8909.19,77663.36
2019-02-11,336.0,345.0,303.6,341.7,150,0.017,0.0355,51255.0,41474.28
2019-02-12,336.0,338.4,304.5,328.47,303,-0.0224,-0.0387,99526.41,41812.18
2019-02-13,325.5,330.0,300.6,310.5,487,-0.0461,-0.0547,151213.5,47152.32
2019-02-14,308.1,315.0,270.0,283.5,380,-0.0798,-0.087,107730.0,59253.9
2019-02-15,306.0,306.0,255.0,259.44,683,-0.1522,-0.0849,177197.52,66546.9
2019-02-19,272.7,279.6,226.5,258.0,823,-0.0539,-0.0056,212334.0,74046.58
2019-02-20,243.3,258.0,243.3,256.5,467,0.0543,-0.0058,119785.5,88838.98
2019-02-21,257.4,267.0,242.7,253.5,1053,-0.0152,-0.0117,266935.5,99894.94
2019-02-22,253.2,267.9,229.8,249.0,1627,-0.0166,-0.0178,405123.0,125451.97
2019-02-25,266.4,266.4,242.16,250.2,547,-0.0608,0.0048,136859.4,160000.96
2019-02-26,260.1,260.1,240.0,251.1,253,-0.0346,0.0036,63528.3,172795.98
2019-02-27,257.7,260.34,246.0,247.5,97,-0.0396,-0.0143,24007.5,174023.31
2019-02-28,260.1,260.1,236.4,242.1,697,-0.0692,-0.0218,168743.7,166471.42
2019-03-01,246.6,252.0,241.8,247.8,83,0.0049,0.0235,20567.4,168224.44
2019-03-04,247.5,268.5,242.7,252.9,637,0.0218,0.0206,161097.3,159508.18
2019-03-05,271.5,279.0,243.6,261.6,2780,-0.0365,0.0344,727248.0,157898.16
2019-03-06,255.0,255.0,243.0,246.6,2090,-0.0329,-0.0573,515394.0,209389.56
2019-03-07,246.3,254.1,237.3,247.8,1083,0.0061,0.0049,268367.4,248950.41
2019-03-08,242.4,248.4,237.0,243.81,627,0.0058,-0.0161,152868.87,249093.6
2019-03-11,240.6,250.2,228.0,234.0,1083,-0.0274,-0.0402,253422.0,223868.19
2019-03-12,230.1,247.5,230.1,234.0,570,0.0169,0.0,133380.0,235524.45
2019-03-13,239.7,240.0,232.5,240.0,237,0.0013,0.0256,56880.0,242509.62
2019-03-14,237.0,237.0,225.0,228.3,1477,-0.0367,-0.0487,337199.1,245796.87
