Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,24.3,24.97,24.24,24.9,33500,0.0247,,834150.0,
2003-12-02,24.9,24.9,24.66,24.82,22600,-0.0032,-0.0032,560932.0,
2003-12-03,24.85,24.85,24.47,24.7,29600,-0.006,-0.0048,731120.0,
2003-12-04,24.7,24.9,24.69,24.82,80100,0.0049,0.0049,1988082.0,
2003-12-05,24.75,24.8,24.53,24.58,14600,-0.0069,-0.0097,358868.0,
2003-12-08,24.53,24.85,24.53,24.65,19400,0.0049,0.0028,478210.0,
2003-12-09,24.73,24.8,24.55,24.7,25300,-0.0012,0.002,624910.0,
2003-12-10,24.7,24.79,24.23,24.73,21600,0.0012,0.0012,534168.0,
2003-12-11,24.78,24.97,24.78,24.79,20700,0.0004,0.0024,513153.0,
2003-12-12,24.95,25.19,24.88,24.99,31100,0.0016,0.0081,777189.0,
2003-12-15,25.15,25.24,24.69,24.69,39800,-0.0183,-0.012,982662.0,740078.2
2003-12-16,24.65,25.84,24.41,25.2,36700,0.0223,0.0207,924840.0,754929.4
2003-12-17,25.3,25.33,25.03,25.1,26200,-0.0079,-0.004,657620.0,791320.2
2003-12-18,25.05,25.65,24.5,25.0,41700,-0.002,-0.004,1042500.0,783970.2
2003-12-19,25.0,25.0,24.18,24.5,68700,-0.02,-0.02,1683150.0,689412.0
2003-12-22,24.5,24.7,24.39,24.5,30100,0.0,0.0,737450.0,821840.2
2003-12-23,24.5,25.54,24.45,25.54,44200,0.0424,0.0424,1128868.0,847764.2
2003-12-24,25.2,25.35,25.14,25.22,33300,0.0008,-0.0125,839826.0,898160.0
2003-12-26,25.17,25.17,25.0,25.01,19400,-0.0064,-0.0083,485194.0,928725.8
2003-12-29,25.0,25.29,25.0,25.25,40300,0.01,0.0096,1017575.0,925929.9
2003-12-30,25.26,26.14,25.26,25.3,40100,0.0016,0.002,1014530.0,949968.5
2003-12-31,25.5,25.63,25.25,25.25,30800,-0.0098,-0.002,777700.0,953155.3
2004-01-02,25.3,25.55,25.25,25.31,23500,0.0004,0.0024,594785.0,938441.3
2004-01-05,25.4,25.84,25.25,25.84,23600,0.0173,0.0209,609824.0,932157.8
2004-01-06,25.88,25.9,25.36,25.36,22400,-0.0201,-0.0186,568064.0,888890.2
2004-01-07,25.3,26.02,25.3,25.75,23500,0.0178,0.0154,605125.0,777381.6
2004-01-08,25.75,26.4,25.67,26.36,31800,0.0237,0.0237,838248.0,764149.1
2004-01-09,26.3,26.3,25.98,25.99,15200,-0.0118,-0.014,395048.0,735087.1
