Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-11-01,21.65,22.15,21.25,21.35,18872200,-0.0139,,402921470.0,
2017-11-02,21.1,21.65,21.0,21.51,1508800,0.0194,0.0075,32454288.0,
2017-11-03,21.51,22.15,21.4,21.5,1790200,-0.0005,-0.0005,38489300.0,
2017-11-06,21.76,21.88,21.41,21.63,718400,-0.006,0.006,15538992.0,
2017-11-07,21.64,21.66,21.0,21.19,1556500,-0.0208,-0.0203,32982235.0,
2017-11-08,21.3,22.33,21.21,22.21,839100,0.0427,0.0481,18636411.0,
2017-11-09,22.09,22.17,21.34,21.67,743200,-0.019,-0.0243,16105144.0,
2017-11-10,21.73,21.9,21.12,21.32,474600,-0.0189,-0.0162,10118472.0,
2017-11-13,21.21,21.5,21.1,21.32,449800,0.0052,0.0,9589736.0,
2017-11-14,21.34,21.4,20.8,21.0,2422400,-0.0159,-0.015,50870400.0,
2017-11-15,21.0,21.28,20.9,21.12,1762600,0.0057,0.0057,37226112.0,62770644.8
2017-11-16,21.5,22.08,21.44,21.98,630600,0.0223,0.0407,13860588.0,26201109.0
2017-11-17,22.0,22.35,21.82,22.02,293300,0.0009,0.0018,6458466.0,24341739.0
2017-11-20,22.0,22.59,22.0,22.4,334700,0.0182,0.0173,7497280.0,21138655.6
2017-11-21,22.42,23.32,22.26,23.14,558000,0.0321,0.033,12912120.0,20334484.4
2017-11-22,23.14,23.92,22.84,23.52,713700,0.0164,0.0164,16786224.0,18327472.9
2017-11-24,23.49,23.63,23.49,23.6,100200,0.0047,0.0034,2364720.0,18142454.2
2017-11-27,23.36,23.4,22.51,22.65,553400,-0.0304,-0.0403,12534510.0,16768411.8
2017-11-28,22.76,23.28,22.68,22.78,240800,0.0009,0.0057,5485424.0,17010015.6
2017-11-29,22.85,22.85,21.62,22.09,237200,-0.0333,-0.0303,5239748.0,16599584.4
2017-11-30,21.93,22.52,21.76,22.08,760000,0.0068,-0.0005,16780800.0,12036519.2
2017-12-01,22.3,22.49,21.83,22.0,592900,-0.0135,-0.0036,13043800.0,9991988.0
2017-12-04,22.06,22.09,21.32,21.48,409100,-0.0263,-0.0236,8787468.0,9910309.2
2017-12-05,21.49,21.67,21.0,21.24,596900,-0.0116,-0.0112,12678156.0,10143209.4
2017-12-06,21.29,21.6,21.08,21.46,598700,0.008,0.0104,12848102.0,10661297.0
2017-12-07,21.42,21.83,21.21,21.73,468600,0.0145,0.0126,10182678.0,10654895.2
2017-12-08,21.63,22.35,21.63,21.92,256300,0.0134,0.0087,5618096.0,9994540.6
2017-12-11,21.82,22.34,21.52,22.14,415000,0.0147,0.01,9188100.0,10319878.2
2017-12-12,22.08,22.76,21.6,22.43,396600,0.0159,0.0131,8895738.0,9985237.2
2017-12-13,22.39,22.39,21.82,22.24,149300,-0.0067,-0.0085,3320432.0,10326268.6
2017-12-14,22.34,22.5,20.87,21.61,517300,-0.0327,-0.0283,11178853.0,10134337.0
2017-12-15,21.5,21.89,21.39,21.49,196300,-0.0005,-0.0056,4218487.0,9574142.3
2017-12-18,21.57,21.9,21.29,21.58,298700,0.0005,0.0042,6445946.0,8691611.0
2017-12-19,21.71,22.79,21.55,22.38,510400,0.0309,0.0371,11422752.0,8457458.8
2017-12-20,22.31,22.87,22.0,22.5,554200,0.0085,0.0054,12469500.0,8331918.4
2017-12-21,22.48,22.63,22.22,22.3,303400,-0.008,-0.0089,6765820.0,8294058.2
2017-12-22,22.34,22.5,21.75,22.18,118300,-0.0072,-0.0054,2623894.0,7952372.4
2017-12-26,22.18,22.89,22.03,22.41,160100,0.0104,0.0104,3587841.0,7652952.2
2017-12-27,22.5,22.98,22.45,22.75,214900,0.0111,0.0152,4888975.0,7092926.3
2017-12-28,22.69,23.1,22.14,22.75,240700,0.0026,0.0,5475925.0,6692250.0
2017-12-29,22.63,23.19,22.56,23.04,689200,0.0181,0.0127,15879168.0,6907799.3
2018-01-02,23.17,25.0,23.12,24.8,821500,0.0703,0.0764,20373200.0,7377830.8
2018-01-03,24.9,25.07,23.68,24.15,891600,-0.0301,-0.0262,21532140.0,8993302.1
2018-01-04,24.35,25.24,24.35,24.45,887600,0.0041,0.0124,21701820.0,10501921.5
2018-01-05,24.64,24.99,23.96,24.18,265600,-0.0187,-0.011,6422208.0,11529828.3
2018-01-08,24.25,24.44,21.53,23.71,777000,-0.0223,-0.0194,18422670.0,10925099.1
2018-01-09,23.81,23.96,22.87,23.57,549200,-0.0101,-0.0059,12944644.0,12090784.1
2018-01-10,23.57,24.63,23.46,23.71,579000,0.0059,0.0059,13728090.0,13122859.1
2018-01-11,23.85,24.97,23.85,24.64,632100,0.0331,0.0392,15574944.0,14136884.0
2018-01-12,24.55,25.28,24.29,25.0,384000,0.0183,0.0146,9600000.0,15205480.9
2018-01-16,25.41,25.85,24.06,24.27,650300,-0.0449,-0.0292,15782781.0,15617888.4
2018-01-17,24.28,24.79,23.99,24.51,328800,0.0095,0.0099,8058888.0,15608249.7
2018-01-18,24.67,24.93,24.07,24.27,178900,-0.0162,-0.0098,4341903.0,14376818.5
2018-01-19,24.2,26.89,24.2,24.65,217400,0.0186,0.0157,5358910.0,12657794.8
2018-01-22,24.8,25.05,24.49,25.02,323800,0.0089,0.015,8101476.0,11023503.8
2018-01-23,24.9,24.9,23.91,24.4,441500,-0.0201,-0.0248,10772600.0,11191430.6
2018-01-24,24.64,24.8,23.33,23.39,450300,-0.0507,-0.0414,10532517.0,10426423.6
2018-01-25,23.61,24.24,23.4,24.04,522200,0.0182,0.0278,12553688.0,10185210.9
2018-01-26,24.15,24.69,23.85,24.09,313100,-0.0025,0.0021,7542579.0,10067770.7
2018-01-29,24.03,24.08,23.04,23.35,432800,-0.0283,-0.0307,10105880.0,9264534.2
2018-01-30,23.12,23.25,22.22,22.93,307500,-0.0082,-0.018,7050975.0,9315122.2
2018-01-31,23.16,23.99,23.01,23.76,466600,0.0259,0.0362,11086416.0,8441941.6
2018-02-01,23.98,24.25,23.46,23.79,247700,-0.0079,0.0013,5892783.0,8744694.4
2018-02-02,23.42,23.83,22.85,22.99,538100,-0.0184,-0.0336,12370919.0,8899782.4
2018-02-05,22.58,22.87,21.63,21.77,672600,-0.0359,-0.0531,14642502.0,9600983.3
2018-02-06,21.23,22.54,20.03,22.5,903700,0.0598,0.0335,20333250.0,10255085.9
2018-02-07,22.57,22.84,21.68,21.89,508500,-0.0301,-0.0271,11131065.0,11211150.9
2018-02-08,21.93,22.36,21.09,21.16,320000,-0.0351,-0.0333,6771200.0,11271005.7
2018-02-09,21.47,21.57,20.99,21.53,242100,0.0028,0.0175,5212413.0,10692756.9
2018-02-12,21.45,22.19,21.23,22.0,118700,0.0256,0.0218,2611400.0,10459740.3
2018-02-13,22.05,22.17,21.8,22.11,162200,0.0027,0.005,3586242.0,9710292.3
2018-02-14,22.03,23.43,21.7,23.02,432100,0.0449,0.0412,9946942.0,9363819.0
2018-02-15,23.22,23.4,22.57,22.85,378300,-0.0159,-0.0074,8644155.0,9249871.6
2018-02-16,22.99,23.17,22.62,22.7,301300,-0.0126,-0.0066,6839510.0,9525008.8
2018-02-20,22.63,23.18,22.34,22.74,225000,0.0049,0.0018,5116500.0,8971867.9
2018-02-21,22.71,23.02,22.38,22.62,306700,-0.004,-0.0053,6937554.0,8019267.7
2018-02-22,22.62,22.94,22.57,22.59,270900,-0.0013,-0.0013,6119631.0,6679698.1
2018-02-23,22.52,22.77,21.94,22.04,206000,-0.0213,-0.0243,4540240.0,6178554.7
2018-02-26,22.18,22.48,21.97,22.3,160300,0.0054,0.0118,3574690.0,5955458.7
2018-02-27,22.22,22.48,21.87,21.99,1157100,-0.0104,-0.0139,25444629.0,5791686.4
2018-02-28,22.06,22.18,21.54,21.77,313500,-0.0131,-0.01,6824895.0,8075009.3
2018-03-01,21.94,21.94,21.3,21.44,223000,-0.0228,-0.0152,4781120.0,8398874.6
2018-03-02,21.32,21.43,20.88,21.25,388700,-0.0033,-0.0089,8259875.0,7882292.4
2018-03-05,21.09,22.6,21.01,21.97,631200,0.0417,0.0339,13867464.0,7843864.4
2018-03-06,22.27,22.35,21.52,22.03,384500,-0.0108,0.0027,8470535.0,8546659.8
2018-03-07,21.85,22.21,21.83,21.9,209000,0.0023,-0.0059,4577100.0,8882063.3
2018-03-08,22.08,22.26,21.31,21.88,260800,-0.0091,-0.0009,5706304.0,8646017.9
2018-03-09,22.37,22.59,21.9,22.0,475200,-0.0165,0.0055,10454400.0,8604685.2
2018-03-12,22.11,22.48,21.75,22.02,222200,-0.0041,0.0009,4892844.0,9196101.2
2018-03-13,22.09,22.57,22.07,22.18,331100,0.0041,0.0073,7343798.0,9327916.6
2018-03-14,22.31,22.31,21.62,21.95,252200,-0.0161,-0.0104,5535790.0,7517833.5
2018-03-15,21.97,22.28,21.68,22.05,390600,0.0036,0.0046,8612730.0,7388923.0
2018-03-16,22.16,22.41,21.96,22.17,436200,0.0005,0.0054,9670554.0,7772084.0
2018-03-19,22.2,22.26,21.36,21.58,202100,-0.0279,-0.0266,4361318.0,7913151.9
2018-03-20,21.72,21.72,21.0,21.35,408300,-0.017,-0.0107,8717205.0,6962537.3
2018-03-21,21.38,21.96,21.06,21.29,410300,-0.0042,-0.0028,8735287.0,6987204.3
2018-03-22,21.18,21.39,20.34,20.75,514600,-0.0203,-0.0254,10677950.0,7403023.0
2018-03-23,20.56,21.16,20.28,20.82,650400,0.0126,0.0034,13541328.0,7900187.6
2018-03-26,21.14,21.22,20.49,20.99,508900,-0.0071,0.0082,10681811.0,8208880.4
2018-03-27,21.07,21.67,20.66,21.44,181300,0.0176,0.0214,3887072.0,8787777.1
2018-03-28,21.55,21.7,21.09,21.36,218900,-0.0088,-0.0037,4675704.0,8442104.5
2018-03-29,21.45,21.47,21.0,21.32,190200,-0.0061,-0.0019,4055064.0,8356095.9
2018-04-02,21.42,21.56,21.26,21.4,233100,-0.0009,0.0038,4988340.0,7900329.3
2018-04-03,21.58,21.69,21.27,21.54,234600,-0.0019,0.0065,5053284.0,7432107.9
2018-04-04,21.27,21.79,21.1,21.7,245800,0.0202,0.0074,5333860.0,7501304.5
2018-04-05,21.79,21.86,21.41,21.73,124900,-0.0028,0.0014,2714077.0,7162970.0
2018-04-06,21.59,22.07,21.53,21.99,385900,0.0185,0.012,8485941.0,6560849.0
2018-04-09,21.91,22.09,21.45,21.5,485400,-0.0187,-0.0223,10436100.0,6341648.1
2018-04-10,21.55,22.21,21.44,21.99,240700,0.0204,0.0228,5292993.0,6031125.3
2018-04-11,21.82,21.96,21.54,21.68,472600,-0.0064,-0.0141,10245968.0,5492243.5
2018-04-12,21.62,22.04,21.55,21.83,131300,0.0097,0.0069,2866279.0,6128133.1
2018-04-13,21.86,21.86,21.39,21.54,552600,-0.0146,-0.0133,11903004.0,5947190.6
2018-04-16,21.49,21.72,20.88,21.24,347900,-0.0116,-0.0139,7389396.0,6731984.6
2018-04-17,21.17,21.6,21.17,21.35,337300,0.0085,0.0052,7201355.0,6972090.2
2018-04-18,21.49,21.67,21.44,21.6,176100,0.0051,0.0117,3803760.0,7186897.3
2018-04-19,21.51,21.56,21.06,21.09,271000,-0.0195,-0.0236,5715390.0,7033887.3
2018-04-20,21.02,21.34,20.89,21.27,708400,0.0119,0.0085,15067668.0,7334018.6
2018-04-23,21.42,21.73,21.36,21.53,267200,0.0051,0.0122,5752816.0,7992191.3
2018-04-24,21.64,21.72,20.54,20.79,357500,-0.0393,-0.0344,7432425.0,7523862.9
2018-04-25,20.61,20.81,20.12,20.78,804500,0.0082,-0.0005,16717510.0,7737806.1
2018-04-26,20.68,20.87,20.08,20.12,402000,-0.0271,-0.0318,8088240.0,8384960.3
2018-04-27,20.15,20.61,20.09,20.46,449800,0.0154,0.0169,9202908.0,8907156.4
2018-04-30,20.6,20.99,20.49,20.74,505200,0.0068,0.0137,10477848.0,8637146.8
2018-05-01,20.66,20.96,20.26,20.43,293900,-0.0111,-0.0149,6004377.0,8945992.0
2018-05-02,20.35,20.61,19.04,19.25,757600,-0.0541,-0.0578,14583800.0,8826294.2
2018-05-03,18.96,19.07,18.09,18.28,1861600,-0.0359,-0.0504,34030048.0,9904298.2
2018-05-04,18.33,18.84,17.93,17.99,1525500,-0.0185,-0.0159,27443745.0,12735764.0
2018-05-07,18.0,18.7,17.7,17.88,544100,-0.0067,-0.0061,9728508.0,13973371.7
2018-05-08,18.81,19.37,16.22,17.04,1680200,-0.0941,-0.047,28630608.0,14370940.9
2018-05-09,17.97,17.99,16.58,17.18,1066800,-0.044,0.0082,18327624.0,16490759.2
2018-05-10,17.45,18.38,17.32,17.99,925300,0.0309,0.0471,16646147.0,16651770.6
2018-05-11,17.9,17.9,16.87,16.9,485600,-0.0559,-0.0606,8206640.0,17507561.3
2018-05-14,16.08,16.1,14.12,14.15,2336600,-0.12,-0.1627,33062890.0,17407934.5
2018-05-15,14.16,15.49,13.27,14.93,3778900,0.0544,0.0551,56418977.0,19666438.7
2018-05-16,15.1,15.25,14.54,15.15,737000,0.0033,0.0147,11165550.0,24707898.7
2018-05-17,15.14,15.36,14.95,15.35,335300,0.0139,0.0132,5146855.0,24366073.7
2018-05-18,15.22,16.01,14.95,15.26,706500,0.0026,-0.0059,10781190.0,21477754.4
2018-05-21,15.33,15.78,15.12,15.17,415300,-0.0104,-0.0059,6300101.0,19811498.9
2018-05-22,15.14,15.3,14.61,15.18,495200,0.0026,0.0007,7517136.0,19468658.2
