Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-01-25,61.1,91.0,61.1,78.6,580,0.2864,,45588.0,
2017-01-26,101.0,101.0,82.8,84.7,3260,-0.1614,0.0776,276122.0,
2017-01-27,84.7,84.7,75.0,77.7,1780,-0.0826,-0.0826,138306.0,
2017-01-30,77.0,77.0,71.9,73.0,810,-0.0519,-0.0605,59130.0,
2017-01-31,71.8,72.3,61.0,64.24,2510,-0.1053,-0.12,161242.4,
2017-02-01,61.0,64.5,60.96,63.5,1500,0.041,-0.0115,95250.0,
2017-02-02,60.6,63.02,60.1,60.3,1290,-0.005,-0.0504,77787.0,
2017-02-03,64.9,69.4,64.9,67.9,1510,0.0462,0.126,102529.0,
2017-02-06,68.0,68.0,66.0,66.05,420,-0.0287,-0.0272,27741.0,
2017-02-07,66.0,72.4,65.0,72.4,1270,0.097,0.0961,91948.0,
2017-02-08,77.0,77.0,70.11,70.11,730,-0.0895,-0.0316,51180.3,107564.34
2017-02-09,73.48,73.48,70.0,72.0,1670,-0.0201,0.027,120240.0,108123.57
2017-02-10,72.0,92.0,70.41,82.0,6670,0.1389,0.1389,546940.0,92535.37
2017-02-13,83.24,89.0,80.24,80.94,3950,-0.0276,-0.0129,319713.0,133398.77
2017-02-14,79.2,85.81,78.65,81.12,720,0.0242,0.0022,58406.4,159457.07
2017-02-15,82.6,82.6,76.2,77.8,1290,-0.0581,-0.0409,100362.0,149173.47
2017-02-16,77.63,77.63,75.0,75.1,370,-0.0326,-0.0347,27787.0,149684.67
2017-02-17,75.0,75.2,75.0,75.2,540,0.0027,0.0013,40608.0,144684.67
2017-02-21,75.0,75.2,70.7,70.84,1330,-0.0555,-0.058,94217.2,138492.57
2017-02-22,70.5,73.0,70.2,73.0,1110,0.0355,0.0305,81030.0,145140.19
2017-02-23,73.5,73.83,70.0,70.0,2080,-0.0476,-0.0411,145600.0,144048.39
2017-02-24,68.0,80.3,67.5,70.7,1380,0.0397,0.01,97566.0,153490.36
2017-02-27,69.4,70.7,68.1,70.7,900,0.0187,0.0,63630.0,151222.96
2017-02-28,70.1,75.0,68.54,71.4,1390,0.0185,0.0099,99246.0,102891.96
2017-03-01,76.4,81.4,72.0,81.4,7330,0.0654,0.1401,596662.0,80845.26
2017-03-02,82.7,87.0,77.12,78.6,8990,-0.0496,-0.0344,706614.0,134670.82
2017-03-03,76.7,82.03,75.0,77.88,1160,0.0154,-0.0092,90340.8,195296.02
2017-03-06,75.3,79.9,75.3,78.5,1470,0.0425,0.008,115395.0,201551.4
