Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2007-12-13,19.75,25.75,19.75,24.55,4289300,0.243,,105302315.0,
2007-12-14,24.7,25.9,23.81,25.5,329300,0.0324,0.0387,8397150.0,
2007-12-17,25.75,26.28,24.74,24.98,195100,-0.0299,-0.0204,4873598.0,
2007-12-18,25.0,26.0,25.0,25.64,64000,0.0256,0.0264,1640960.0,
2007-12-19,25.5,30.5,25.1,29.0,170000,0.1373,0.131,4930000.0,
2007-12-20,29.5,31.0,26.8,27.11,196200,-0.081,-0.0652,5318982.0,
2007-12-21,27.35,28.9,27.11,28.41,95700,0.0388,0.048,2718837.0,
2007-12-24,30.0,30.0,28.48,28.48,16900,-0.0507,0.0025,481312.0,
2007-12-26,28.11,29.01,27.25,28.29,23200,0.0064,-0.0067,656328.0,
2007-12-27,27.95,28.36,27.28,27.29,28600,-0.0236,-0.0353,780494.0,
2007-12-28,27.09,27.11,25.82,26.01,111600,-0.0399,-0.0469,2902716.0,13509997.6
2007-12-31,25.6,26.1,25.35,25.87,128700,0.0105,-0.0054,3329469.0,3270037.7
2008-01-02,25.1,27.89,24.98,26.36,50800,0.0502,0.0189,1339088.0,2763269.6
2008-01-03,26.0,29.43,26.0,27.81,148000,0.0696,0.055,4115880.0,2409818.6
2008-01-04,26.51,28.0,26.51,27.46,60700,0.0358,-0.0126,1666822.0,2657310.6
2008-01-07,27.0,27.25,25.4,25.8,110900,-0.0444,-0.0605,2861220.0,2330992.8
2008-01-08,25.8,26.04,25.5,26.04,123900,0.0093,0.0093,3226356.0,2085216.6
2008-01-09,25.84,26.41,25.84,26.1,102100,0.0101,0.0023,2664810.0,2135968.5
2008-01-10,25.9,26.32,25.9,26.32,9000,0.0162,0.0084,236880.0,2354318.3
2008-01-11,26.1,26.19,26.0,26.19,21300,0.0034,-0.0049,557847.0,2312373.5
2008-01-14,26.0,26.08,22.76,23.35,202800,-0.1019,-0.1084,4735380.0,2290108.8
2008-01-15,23.0,23.0,19.66,20.03,155200,-0.1291,-0.1422,3108656.0,2473375.2
2008-01-16,19.8,21.5,18.61,21.15,92900,0.0682,0.0559,1964835.0,2451293.9
2008-01-17,21.0,21.42,20.62,21.3,33900,0.0143,0.0071,722070.0,2513868.6
2008-01-18,21.3,21.99,21.0,21.78,26300,0.0225,0.0225,572814.0,2174487.6
2008-01-22,21.66,23.25,20.0,22.98,36400,0.0609,0.0551,836472.0,2065086.8
2008-01-23,22.9,24.31,21.98,24.0,66600,0.048,0.0444,1598400.0,1862612.0
2008-01-24,23.55,25.94,23.5,25.5,63700,0.0828,0.0625,1624350.0,1699816.4
2008-01-25,25.6,25.6,24.98,25.29,27400,-0.0121,-0.0082,692946.0,1595770.4
2008-01-28,24.98,25.2,24.35,24.87,44100,-0.0044,-0.0166,1096767.0,1641377.0
2008-01-29,25.0,25.15,23.5,24.21,20400,-0.0316,-0.0265,493884.0,1695269.0
2008-01-30,24.94,24.94,22.56,23.0,55000,-0.0778,-0.05,1265000.0,1271119.4
2008-01-31,23.05,24.0,22.8,23.0,62500,-0.0022,0.0,1437500.0,1086753.8
2008-02-01,23.1,23.33,22.84,23.0,35000,-0.0043,0.0,805000.0,1034020.3
2008-02-04,23.12,24.5,23.07,23.7,57800,0.0251,0.0304,1369860.0,1042313.3
2008-02-05,23.7,23.76,22.98,22.98,31600,-0.0304,-0.0304,726168.0,1122017.9
2008-02-06,23.18,23.61,22.92,23.05,18400,-0.0056,0.003,424120.0,1110987.5
2008-02-07,23.25,23.5,22.81,23.0,13200,-0.0108,-0.0022,303600.0,993559.5
2008-02-08,22.88,23.05,22.7,22.82,21900,-0.0026,-0.0078,499758.0,861484.5
2008-02-11,23.0,23.0,22.0,22.03,19600,-0.0422,-0.0346,431788.0,842165.7
2008-02-12,22.0,22.33,21.02,22.25,7500,0.0114,0.01,166875.0,775667.8
2008-02-13,22.1,24.0,21.85,24.0,12800,0.086,0.0787,307200.0,742966.9
2008-02-14,23.57,24.79,23.35,23.58,21200,0.0004,-0.0175,499896.0,647186.9
2008-02-15,23.8,26.25,22.31,25.08,192000,0.0538,0.0636,4815360.0,553426.5
2008-02-19,25.6,27.48,25.45,26.96,31200,0.0531,0.075,841152.0,954462.5
2008-02-20,27.01,27.36,26.56,27.34,51500,0.0122,0.0141,1408010.0,901591.7
2008-02-21,27.6,27.6,25.81,26.32,11400,-0.0464,-0.0373,300048.0,969775.9
2008-02-22,26.19,27.48,26.16,26.7,11100,0.0195,0.0144,296370.0,957368.7
2008-02-25,27.5,27.82,26.54,27.59,17900,0.0033,0.0333,493861.0,956645.7
2008-02-26,27.8,27.8,26.1,26.45,4900,-0.0486,-0.0413,129605.0,956056.0
2008-02-27,26.32,27.78,25.78,27.78,23900,0.0555,0.0503,663942.0,925837.7
2008-02-28,27.15,27.25,25.38,27.2,25400,0.0018,-0.0209,690880.0,975544.4
2008-02-29,27.12,28.05,26.8,27.12,56000,0.0,-0.0029,1518720.0,1013912.4
2008-03-03,27.36,27.84,26.58,26.82,18100,-0.0197,-0.0111,485442.0,1115794.8
2008-03-04,27.82,27.82,25.17,26.34,22300,-0.0532,-0.0179,587382.0,682803.0
2008-03-05,26.35,26.35,25.0,25.1,98400,-0.0474,-0.0471,2469840.0,657426.0
2008-03-06,25.0,25.75,23.32,23.48,75400,-0.0608,-0.0645,1770392.0,763609.0
2008-03-07,23.25,23.86,22.88,23.86,12100,0.0262,0.0162,288706.0,910643.4
2008-03-10,24.23,24.23,22.0,22.21,6900,-0.0834,-0.0692,153249.0,909877.0
2008-03-11,22.6,23.43,22.55,22.98,28300,0.0168,0.0347,650334.0,875815.8
2008-03-12,23.2,23.2,20.99,21.02,35800,-0.094,-0.0853,752516.0,927888.7
2008-03-13,20.85,21.12,18.97,20.92,156400,0.0034,-0.0048,3271888.0,936746.1
2008-03-14,21.2,21.2,20.14,20.5,10400,-0.033,-0.0201,213200.0,1194846.9
2008-03-17,20.25,22.0,19.89,20.8,10800,0.0272,0.0146,224640.0,1064294.9
2008-03-18,21.0,23.1,20.43,22.65,33900,0.0786,0.0889,767835.0,1038214.7
2008-03-19,22.85,22.85,20.9,20.9,33400,-0.0853,-0.0773,698060.0,1056260.0
2008-03-20,20.6,23.0,20.6,22.4,22100,0.0874,0.0718,495040.0,879082.0
2008-03-24,22.65,23.38,21.69,23.0,54000,0.0155,0.0268,1242000.0,751546.8
2008-03-25,23.3,23.87,22.77,22.77,32500,-0.0227,-0.01,740025.0,846876.2
2008-03-26,22.55,22.94,22.3,22.3,8200,-0.0111,-0.0206,182860.0,905553.8
