Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,34.5,34.5,31.62,31.62,1400,-0.0835,,44268.0,
2003-12-02,31.8,31.8,31.5,31.5,2233,-0.0094,-0.0038,70339.5,
2003-12-03,32.04,32.04,31.5,31.5,250,-0.0169,0.0,7875.0,
2003-12-04,32.1,32.1,32.1,32.1,217,0.0,0.019,6965.7,
2003-12-05,31.5,31.8,31.5,31.5,333,0.0,-0.0187,10489.5,
2003-12-08,31.5,31.5,31.5,31.5,0,0.0,0.0,0.0,
2003-12-09,31.5,31.5,31.5,31.5,0,0.0,0.0,0.0,
2003-12-10,32.4,32.4,31.5,31.5,50,-0.0278,0.0,1575.0,
2003-12-11,31.5,32.1,30.6,32.1,333,0.019,0.019,10689.3,
2003-12-12,30.9,30.9,30.9,30.9,117,0.0,-0.0374,3615.3,
2003-12-15,30.9,30.9,30.9,30.9,33,0.0,0.0,1019.7,15581.73
2003-12-16,30.9,30.9,30.9,30.9,0,0.0,0.0,0.0,11256.9
2003-12-17,32.4,32.4,31.5,31.5,383,-0.0278,0.0194,12064.5,4222.95
2003-12-18,31.5,32.58,31.5,32.58,1267,0.0343,0.0343,41278.86,4641.9
2003-12-19,32.58,32.58,32.58,32.58,0,0.0,0.0,0.0,8073.22
2003-12-22,31.5,31.5,31.5,31.5,50,0.0,-0.0331,1575.0,7024.27
2003-12-23,33.0,33.0,31.8,31.8,1883,-0.0364,0.0095,59879.4,7181.77
2003-12-24,31.8,31.8,31.8,31.8,0,0.0,0.0,0.0,13169.71
2003-12-26,31.8,31.8,31.8,31.8,0,0.0,0.0,0.0,13012.21
2003-12-29,31.8,32.1,31.8,32.1,683,0.0094,0.0094,21924.3,11943.28
2003-12-30,33.0,33.0,30.0,32.4,5850,-0.0182,0.0093,189540.0,13774.18
2003-12-31,32.4,32.4,32.4,32.4,0,0.0,0.0,0.0,32626.21
2004-01-02,33.3,33.3,33.3,33.3,33,0.0,0.0278,1098.9,32626.21
2004-01-05,33.3,33.3,31.32,31.92,683,-0.0414,-0.0414,21801.36,31529.65
2004-01-06,33.3,33.3,33.0,33.3,417,0.0,0.0432,13886.1,29581.9
2004-01-07,33.6,37.2,33.3,37.2,2133,0.1071,0.1171,79347.6,30970.51
2004-01-08,37.2,39.6,36.0,39.6,1717,0.0645,0.0645,67993.2,38747.77
2004-01-09,41.4,43.2,40.2,42.0,3450,0.0145,0.0606,144900.0,39559.15
2004-01-12,42.3,43.5,40.2,40.2,3683,-0.0496,-0.0429,148056.6,54049.15
2004-01-13,39.9,39.9,39.9,39.9,200,0.0,-0.0075,7980.0,68854.81
2004-01-14,39.9,40.2,39.66,39.66,667,-0.006,-0.006,26453.22,67460.38
2004-01-15,39.0,39.6,39.0,39.6,200,0.0154,-0.0015,7920.0,51151.7
2004-01-16,39.0,41.7,39.0,39.9,1733,0.0231,0.0076,69146.7,51943.7
2004-01-20,39.66,42.0,39.66,41.4,6317,0.0439,0.0376,261523.8,58748.48
2004-01-21,41.4,42.9,41.4,42.3,1950,0.0217,0.0217,82485.0,82720.72
2004-01-22,42.0,42.3,42.0,42.0,317,0.0,-0.0071,13314.0,89580.61
2004-01-23,42.3,42.6,42.3,42.6,1267,0.0071,0.0143,53974.2,82977.25
2004-01-26,41.46,42.6,41.46,41.46,200,0.0,-0.0268,8292.0,81575.35
2004-01-27,42.6,42.6,42.06,42.06,800,-0.0127,0.0145,33648.0,67914.55
2004-01-28,42.6,45.0,42.6,43.8,2717,0.0282,0.0414,119004.6,56473.69
2004-01-29,43.32,44.4,43.32,43.32,750,0.0,-0.011,32490.0,67576.15
2004-01-30,44.4,44.4,44.1,44.1,500,-0.0068,0.018,22050.0,68179.83
2004-02-02,43.2,43.2,42.6,42.6,1017,-0.0139,-0.034,43324.2,69592.83
2004-02-03,42.6,42.6,42.6,42.6,0,0.0,0.0,0.0,67010.58
2004-02-04,44.1,44.1,42.78,43.5,1550,-0.0136,0.0211,67425.0,40858.2
2004-02-05,43.5,44.4,43.02,43.8,1983,0.0069,0.0069,86855.4,39352.2
2004-02-06,43.2,43.2,43.2,43.2,383,0.0,-0.0137,16545.6,46706.34
2004-02-09,43.8,43.8,42.96,43.2,2167,-0.0137,0.0,93614.4,42963.48
2004-02-10,43.5,43.5,42.48,43.08,917,-0.0097,-0.0028,39504.36,51495.72
2004-02-11,42.72,43.2,42.6,43.2,1100,0.0112,0.0028,47520.0,52081.36
2004-02-12,43.38,52.2,43.2,52.2,3283,0.2033,0.2083,171372.6,44932.9
2004-02-13,52.2,57.0,52.2,55.2,6800,0.0575,0.0575,375360.0,58821.16
2004-02-17,55.8,55.8,52.2,52.2,2600,-0.0645,-0.0543,135720.0,94152.16
2004-02-18,51.6,54.6,51.0,54.6,2983,0.0581,0.046,162871.8,103391.74
2004-02-19,54.6,54.6,52.2,53.7,1467,-0.0165,-0.0165,78777.9,119678.92
2004-02-20,53.7,54.0,51.6,53.4,1233,-0.0056,-0.0056,65842.2,120814.21
2004-02-23,51.6,52.5,50.4,50.4,683,-0.0233,-0.0562,34423.2,118712.89
2004-02-24,50.4,55.5,50.4,53.52,1200,0.0619,0.0619,64224.0,120500.65
2004-02-25,52.2,54.0,52.2,54.0,717,0.0345,0.009,38718.0,117561.61
2004-02-26,52.2,54.0,52.2,52.8,1267,0.0115,-0.0222,66897.6,117482.97
2004-02-27,53.4,58.5,52.8,54.0,3317,0.0112,0.0227,179118.0,119420.73
