Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,18.12,18.22,17.76,17.88,186000,-0.0132,,3325680.0,
2003-12-02,17.94,18.2,17.75,18.1,301600,0.0089,0.0123,5458960.0,
2003-12-03,18.16,18.24,17.65,17.7,213600,-0.0253,-0.0221,3780720.0,
2003-12-04,18.0,18.3,17.63,18.11,299600,0.0061,0.0232,5425756.0,
2003-12-05,18.18,18.48,18.01,18.15,410200,-0.0017,0.0022,7445130.0,
2003-12-08,18.44,18.52,17.88,18.47,347200,0.0016,0.0176,6412784.0,
2003-12-09,18.55,19.34,18.52,19.09,803600,0.0291,0.0336,15340724.0,
2003-12-10,19.2,19.2,18.9,19.0,275400,-0.0104,-0.0047,5232600.0,
2003-12-11,19.09,19.4,18.88,19.4,225200,0.0162,0.0211,4368880.0,
2003-12-12,19.42,19.7,19.13,19.42,309800,0.0,0.001,6016316.0,
2003-12-15,19.73,19.98,19.25,19.38,406800,-0.0177,-0.0021,7883784.0,6280755.0
2003-12-16,18.51,19.19,18.33,18.59,638400,0.0043,-0.0408,11867856.0,6736565.4
2003-12-17,18.69,18.9,18.48,18.75,445000,0.0032,0.0086,8343750.0,7377455.0
2003-12-18,18.9,18.97,18.47,18.89,338200,-0.0005,0.0075,6388598.0,7833758.0
2003-12-19,19.02,19.19,18.6,18.92,603200,-0.0053,0.0016,11412544.0,7930042.2
2003-12-22,19.08,19.2,18.92,19.08,169800,0.0,0.0085,3239784.0,8326783.6
2003-12-23,19.2,19.36,19.0,19.34,422600,0.0073,0.0136,8173084.0,8009483.6
2003-12-24,19.3,19.33,19.01,19.08,101000,-0.0114,-0.0134,1927080.0,7292719.6
2003-12-26,19.11,19.25,19.0,19.19,61400,0.0042,0.0058,1178266.0,6962167.6
2003-12-29,19.3,19.65,19.13,19.45,300600,0.0078,0.0135,5846670.0,6643106.2
2003-12-30,19.44,19.74,19.34,19.53,186200,0.0046,0.0041,3636486.0,6626141.6
2003-12-31,19.43,19.53,19.0,19.02,390600,-0.0211,-0.0261,7429212.0,6201411.8
2004-01-02,19.03,19.24,18.82,18.85,386000,-0.0095,-0.0089,7276100.0,5757547.4
2004-01-05,18.3,18.95,18.2,18.65,779000,0.0191,-0.0106,14528350.0,5650782.4
2004-01-06,18.87,18.99,18.49,18.75,233800,-0.0064,0.0054,4383750.0,6464757.6
2004-01-07,18.94,19.52,18.7,19.52,282600,0.0306,0.0411,5516352.0,5761878.2
2004-01-08,19.5,19.67,19.25,19.67,236600,0.0087,0.0077,4653922.0,5989535.0
2004-01-09,19.77,19.77,19.25,19.33,182400,-0.0223,-0.0173,3525792.0,5637618.8
2004-01-12,19.55,19.86,19.51,19.82,338400,0.0138,0.0253,6707088.0,5797490.0
2004-01-13,19.82,19.82,19.33,19.77,206800,-0.0025,-0.0025,4088436.0,6350372.2
2004-01-14,19.82,19.83,19.63,19.75,211400,-0.0035,-0.001,4175150.0,6174548.8
2004-01-15,19.88,19.88,19.25,19.38,205400,-0.0252,-0.0187,3980652.0,6228415.2
2004-01-16,19.58,19.6,18.71,18.73,542800,-0.0434,-0.0335,10166644.0,5883559.2
2004-01-20,19.02,19.02,18.5,18.67,443600,-0.0184,-0.0032,8282012.0,6172613.6
2004-01-21,18.55,19.3,18.51,19.12,371800,0.0307,0.0241,7108816.0,5547979.8
2004-01-22,18.92,19.39,18.58,18.58,264800,-0.018,-0.0282,4919984.0,5820486.4
2004-01-23,18.56,19.0,18.5,19.0,310400,0.0237,0.0226,5897600.0,5760849.6
2004-01-26,19.5,20.12,18.68,18.85,660600,-0.0333,-0.0079,12452310.0,5885217.4
2004-01-27,18.84,19.05,18.15,18.16,391800,-0.0361,-0.0366,7115088.0,6777869.2
2004-01-28,18.83,19.58,18.53,18.93,1008200,0.0053,0.0424,19085226.0,6818669.2
2004-01-29,18.63,19.42,18.5,18.56,335800,-0.0038,-0.0195,6232448.0,8318348.2
2004-01-30,18.5,18.8,17.83,17.91,510800,-0.0319,-0.035,9148428.0,8524078.0
2004-02-02,18.42,18.51,17.72,17.83,591000,-0.032,-0.0045,10537530.0,9040855.6
2004-02-03,18.0,18.05,17.68,17.82,480200,-0.01,-0.0006,8557164.0,9077944.2
2004-02-04,17.88,17.88,17.19,17.19,403600,-0.0386,-0.0354,6937884.0,9105459.4
2004-02-05,17.5,17.55,17.19,17.38,404600,-0.0069,0.0111,7031948.0,9088366.2
2004-02-06,17.6,17.94,17.23,17.88,476200,0.0159,0.0288,8514456.0,9299562.6
2004-02-09,18.0,18.1,17.73,17.77,473000,-0.0128,-0.0062,8405210.0,9561248.2
2004-02-10,17.77,17.94,17.47,17.68,577200,-0.0051,-0.0051,10204896.0,9156538.2
2004-02-11,17.52,17.71,17.3,17.66,594600,0.008,-0.0011,10500636.0,9465519.0
2004-02-12,17.6,18.08,17.55,18.03,365200,0.0244,0.021,6584556.0,8607060.0
2004-02-13,18.0,18.09,17.29,17.29,573000,-0.0394,-0.041,9907170.0,8642270.8
2004-02-17,18.25,18.48,17.95,18.08,695600,-0.0093,0.0457,12576448.0,8718145.0
2004-02-18,17.97,18.09,17.43,17.53,569000,-0.0245,-0.0304,9974570.0,8922036.8
