Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2022-08-12,4.16,5.0,3.13,3.7,8200200.0,-0.1106,,30340740.0,
2022-08-15,3.1,3.54,2.88,3.39,1378900.0,0.0935,-0.0838,4674471.0,
2022-08-16,3.48,3.78,3.31,3.37,1292900.0,-0.0316,-0.0059,4357073.0,
2022-08-17,3.12,3.22,2.92,3.08,268100.0,-0.0128,-0.0861,825748.0,
2022-08-18,2.97,3.08,2.81,2.88,244200.0,-0.0303,-0.0649,703296.0,
2022-08-19,2.73,2.8,2.59,2.62,266600.0,-0.0403,-0.0903,698492.0,
2022-08-22,2.78,3.02,2.56,2.69,370400.0,-0.0324,0.0267,996376.0,
2022-08-23,2.69,2.78,2.42,2.5,175800.0,-0.0706,-0.0706,439500.0,
2022-08-24,2.36,2.57,2.35,2.56,82400.0,0.0847,0.024,210944.0,
2022-08-25,2.56,2.69,2.41,2.47,196100.0,-0.0352,-0.0352,484367.0,
2022-08-26,2.5,3.18,2.42,2.65,2206300.0,0.06,0.0729,5846695.0,4373100.7
2022-08-29,2.47,2.79,2.4,2.58,200500.0,0.0445,-0.0264,517290.0,1923696.2
2022-08-30,2.51,2.85,2.38,2.64,125500.0,0.0518,0.0233,331320.0,1507978.1
2022-08-31,2.54,2.79,2.47,2.69,99200.0,0.0591,0.0189,266848.0,1105402.8
2022-09-01,2.7,2.86,2.5,2.78,208800.0,0.0296,0.0335,580464.0,1049512.8
2022-09-02,2.88,2.98,2.72,2.81,107800.0,-0.0243,0.0108,302918.0,1037229.6
2022-09-06,2.83,2.99,2.71,2.84,151700.0,0.0035,0.0107,430828.0,997672.2
2022-09-07,2.9,2.9,2.53,2.59,143500.0,-0.1069,-0.088,371665.0,941117.4
2022-09-08,2.53,2.9,2.53,2.55,86500.0,0.0079,-0.0154,220575.0,934333.9
2022-09-09,2.66,2.77,2.57,2.68,76300.0,0.0075,0.051,204484.0,935297.0
2022-09-12,2.7,2.72,2.5,2.58,124700.0,-0.0444,-0.0373,321726.0,907308.7
2022-09-13,2.51,2.57,2.45,2.47,37100.0,-0.0159,-0.0426,91637.0,354811.8
2022-09-14,2.39,2.39,2.26,2.29,53500.0,-0.0418,-0.0729,122515.0,312246.5
2022-09-15,2.38,2.38,2.0,2.1,70800.0,-0.1176,-0.083,148680.0,291366.0
2022-09-16,2.09,2.2,1.99,1.99,60000.0,-0.0478,-0.0524,119400.0,279549.2
2022-09-19,2.11,2.11,1.85,1.89,70700.0,-0.1043,-0.0503,133623.0,233442.8
2022-09-20,2.0,2.11,1.99,2.01,42500.0,0.005,0.0635,85425.0,216513.3
2022-09-21,1.96,2.06,1.96,2.03,49700.0,0.0357,0.01,100891.0,181973.0
2022-09-22,1.98,2.01,1.79,1.99,58000.0,0.0051,-0.0197,115420.0,154895.6
2022-09-23,1.88,1.89,1.71,1.77,62400.0,-0.0585,-0.1106,110448.0,144380.1
2022-09-26,1.87,1.87,1.47,1.63,261300.0,-0.1283,-0.0791,425919.0,134976.5
2022-09-27,1.88,1.96,1.6,1.86,187000.0,-0.0106,0.1411,347820.0,145395.8
2022-09-28,1.8,1.9,1.72,1.8,43000.0,0.0,-0.0323,77400.0,171014.1
2022-09-29,1.85,2.01,1.66,1.98,69600.0,0.0703,0.1,137808.0,166502.6
2022-09-30,1.98,1.98,1.78,1.89,41600.0,-0.0455,-0.0455,78624.0,165415.4
2022-10-03,1.91,2.09,1.87,2.0,24800.0,0.0471,0.0582,49600.0,161337.8
2022-10-04,1.89,2.26,1.87,2.01,131600.0,0.0635,0.005,264516.0,152935.5
2022-10-05,2.12,2.27,2.0,2.08,72800.0,-0.0189,0.0348,151424.0,170844.6
2022-10-06,2.18,2.18,1.74,1.98,126500.0,-0.0917,-0.0481,250470.0,175897.9
2022-10-07,2.09,2.09,1.77,1.84,12500.0,-0.1196,-0.0707,23000.0,189402.9
2022-10-10,1.86,1.86,1.78,1.79,6400.0,-0.0376,-0.0272,11456.0,180658.1
2022-10-11,1.96,1.96,1.43,1.58,133400.0,-0.1939,-0.1173,210772.0,139211.8
2022-10-12,1.72,1.73,1.46,1.56,10500.0,-0.093,-0.0127,16380.0,125507.0
2022-10-13,1.6,1.6,1.52,1.52,6900.0,-0.05,-0.0256,10488.0,119405.0
2022-10-14,1.62,1.62,1.52,1.52,7900.0,-0.0617,0.0,12008.0,106673.0
2022-10-17,1.6,1.63,1.52,1.55,13100.0,-0.0312,0.0197,20305.0,100011.4
2022-10-18,1.65,1.65,1.52,1.53,13000.0,-0.0727,-0.0129,19890.0,97081.9
2022-10-19,1.58,1.58,1.45,1.53,10200.0,-0.0316,0.0,15606.0,72619.3
2022-10-20,1.58,1.58,1.45,1.5,6600.0,-0.0506,-0.0196,9900.0,59037.5
2022-10-21,1.46,1.51,1.3,1.35,39400.0,-0.0753,-0.1,53190.0,34980.5
2022-10-24,1.36,1.36,1.3,1.3,23000.0,-0.0441,-0.037,29900.0,37999.5
2022-10-25,1.3,1.39,1.24,1.31,29200.0,0.0077,0.0077,38252.0,39843.9
2022-10-26,1.45,1.45,1.31,1.41,2700.0,-0.0276,0.0763,3807.0,22591.9
2022-10-27,1.31,1.35,1.31,1.33,1400.0,0.0153,-0.0567,1862.0,21334.6
2022-10-28,1.3,1.43,1.3,1.34,5600.0,0.0308,0.0075,7504.0,20472.0
2022-10-31,1.32,1.33,1.25,1.25,42200.0,-0.053,-0.0672,52750.0,20021.6
2022-11-01,1.32,1.36,1.3,1.35,4400.0,0.0227,0.08,5940.0,23266.1
2022-11-02,1.34,1.35,1.32,1.32,6500.0,-0.0149,-0.0222,8580.0,21871.1
2022-11-03,1.34,1.34,1.3,1.3,4200.0,-0.0299,-0.0152,5460.0,21168.5
2022-11-04,1.33,1.34,1.26,1.3,5400.0,-0.0226,0.0,7020.0,20724.5
2022-11-08,1.57,1.99,1.44,1.61,66200.0,0.0255,0.2385,106582.0,16107.5
2022-11-09,1.59,1.7,1.46,1.64,33900.0,0.0314,0.0186,55596.0,23775.7
2022-11-10,1.55,1.69,1.51,1.62,9600.0,0.0452,-0.0122,15552.0,25510.1
2022-11-11,1.66,1.79,1.62,1.74,22000.0,0.0482,0.0741,38280.0,26684.6
2022-11-14,1.74,1.79,1.55,1.73,28300.0,-0.0057,-0.0057,48959.0,30326.4
2022-11-15,1.65,1.76,1.65,1.75,16300.0,0.0606,0.0116,28525.0,34471.9
2022-11-16,1.77,1.9,1.71,1.75,38500.0,-0.0113,0.0,67375.0,32049.4
2022-11-17,1.68,1.68,1.52,1.58,11300.0,-0.0595,-0.0971,17854.0,38192.9
2022-11-18,1.59,1.59,1.5,1.5,18600.0,-0.0566,-0.0506,27900.0,39120.3
2022-11-21,1.54,1.54,1.5,1.5,3100.0,-0.026,0.0,4650.0,41364.3
2022-11-22,1.5,1.51,1.46,1.49,6500.0,-0.0067,-0.0067,9685.0,41127.3
2022-11-23,1.48,1.49,1.27,1.41,33300.0,-0.0473,-0.0537,46953.0,31437.6
2022-11-25,1.46,1.46,1.46,1.46,1500.0,0.0,0.0355,2190.0,30573.3
2022-11-28,1.37,1.42,1.35,1.4,15300.0,0.0219,-0.0411,21420.0,29237.1
2022-11-29,1.4,1.42,1.4,1.4,2000.0,0.0,0.0,2800.0,27551.1
2022-11-30,1.42,1.44,1.4,1.4,15600.0,-0.0141,0.0,21840.0,22935.2
2022-12-01,1.49,1.56,1.46,1.56,21700.0,0.047,0.1143,33852.0,22266.7
2022-12-02,1.59,1.6,1.5,1.5,30500.0,-0.0566,-0.0385,45750.0,18914.4
2022-12-05,1.55,1.77,1.55,1.63,23800.0,0.0516,0.0867,38794.0,21704.0
2022-12-06,1.7,1.7,1.63,1.65,13400.0,-0.0294,0.0123,22110.0,22793.4
2022-12-07,1.62,1.65,1.6,1.65,16900.0,0.0185,0.0,27885.0,24539.4
2022-12-08,1.7,1.7,1.62,1.66,10300.0,-0.0235,0.0061,17098.0,26359.4
2022-12-09,1.66,1.76,1.62,1.62,5800.0,-0.0241,-0.0241,9396.0,23373.9
2022-12-12,1.65,1.88,1.65,1.85,26200.0,0.1212,0.142,48470.0,24094.5
2022-12-13,1.84,1.87,1.7,1.76,52900.0,-0.0435,-0.0486,93104.0,26799.5
2022-12-14,1.97,1.97,1.67,1.69,13300.0,-0.1421,-0.0398,22477.0,35829.9
2022-12-15,1.69,1.89,1.63,1.63,10000.0,-0.0355,-0.0355,16300.0,35893.6
2022-12-16,1.55,1.84,1.55,1.7,19700.0,0.0968,0.0429,33490.0,34138.4
2022-12-19,1.67,1.75,1.67,1.73,41400.0,0.0359,0.0176,71622.0,32912.4
2022-12-20,1.65,1.83,1.65,1.69,11500.0,0.0242,-0.0231,19435.0,36195.2
2022-12-21,1.84,1.84,1.65,1.72,20600.0,-0.0652,0.0178,35432.0,35927.7
2022-12-22,1.79,1.79,1.6,1.77,28300.0,-0.0112,0.0291,50091.0,36682.4
2022-12-23,1.7,1.78,1.55,1.68,31700.0,-0.0118,-0.0508,53256.0,39981.7
2022-12-27,1.56,1.71,1.41,1.71,26000.0,0.0962,0.0179,44460.0,44367.7
2022-12-28,1.63,1.68,1.59,1.62,10500.0,-0.0061,-0.0526,17010.0,43966.7
2022-12-29,1.64,1.68,1.47,1.65,21300.0,0.0061,0.0185,35145.0,36357.3
2022-12-30,1.65,1.7,1.62,1.7,43900.0,0.0303,0.0303,74630.0,37624.1
2023-01-03,1.65,1.71,1.62,1.66,20800.0,0.0061,-0.0235,34528.0,43457.1
2023-01-04,1.62,1.79,1.62,1.76,17700.0,0.0864,0.0602,31152.0,43560.9
2023-01-05,1.75,1.81,1.66,1.7,29300.0,-0.0286,-0.0341,49810.0,39513.9
2023-01-06,1.68,1.83,1.66,1.71,27200.0,0.0179,0.0059,46512.0,42551.4
2023-01-09,1.8,1.8,1.68,1.76,26300.0,-0.0222,0.0292,46288.0,43659.4
2023-01-10,1.68,1.79,1.67,1.77,30200.0,0.0536,0.0057,53454.0,43279.1
2023-01-11,1.77,1.88,1.67,1.8,71700.0,0.0169,0.0169,129060.0,43298.9
2023-01-12,1.75,1.86,1.68,1.74,35200.0,-0.0057,-0.0333,61248.0,51758.9
2023-01-13,1.85,1.85,1.67,1.74,16200.0,-0.0595,0.0,28188.0,56182.7
2023-01-17,1.67,1.75,1.63,1.75,64700.0,0.0479,0.0057,113225.0,55487.0
2023-01-18,1.69,1.78,1.67,1.72,44000.0,0.0178,-0.0171,75680.0,59346.5
2023-01-19,1.67,1.74,1.62,1.7,45300.0,0.018,-0.0116,77010.0,63461.7
2023-01-20,1.65,1.74,1.63,1.65,53300.0,0.0,-0.0294,87945.0,68047.5
2023-01-23,1.66,1.74,1.64,1.74,34800.0,0.0482,0.0545,60552.0,71861.0
2023-01-24,1.65,1.72,1.64,1.72,34500.0,0.0424,-0.0115,59340.0,73265.0
2023-01-25,1.66,1.7,1.58,1.64,37300.0,-0.012,-0.0465,61172.0,74570.2
2023-01-26,1.59,1.69,1.55,1.65,587200.0,0.0377,0.0061,968880.0,75342.0
2023-01-27,1.7,1.74,1.67,1.71,43200.0,0.0059,0.0364,73872.0,159324.0
2023-01-30,1.68,1.7,1.68,1.68,22300.0,0.0,-0.0175,37464.0,160586.4
2023-01-31,1.61,1.74,1.6,1.72,30600.0,0.0683,0.0238,52632.0,161514.0
2023-02-01,1.62,1.72,1.62,1.67,7800.0,0.0309,-0.0291,13026.0,155454.7
2023-02-02,1.71,1.71,1.62,1.69,14100.0,-0.0117,0.012,23829.0,149189.3
2023-02-03,1.62,1.7,1.61,1.62,32600.0,0.0,-0.0414,52812.0,143871.2
2023-02-06,1.68,1.68,1.63,1.67,4400.0,-0.006,0.0309,7348.0,140357.9
2023-02-07,1.66,1.67,1.62,1.62,11000.0,-0.0241,-0.0299,17820.0,135037.5
2023-02-08,1.69,1.84,1.68,1.79,151900.0,0.0592,0.1049,271901.0,130885.5
2023-02-09,1.83,1.88,1.78,1.8,75400.0,-0.0164,0.0056,135720.0,151958.4
2023-02-10,1.83,1.88,1.77,1.85,103800.0,0.0109,0.0278,192030.0,68642.4
2023-02-13,1.9,2.5,1.9,2.47,629800.0,0.3,0.3351,1555606.0,80458.2
2023-02-14,2.46,2.56,2.35,2.55,145300.0,0.0366,0.0324,370515.0,232272.4
2023-02-15,2.56,2.75,2.38,2.65,155300.0,0.0352,0.0392,411545.0,264060.7
2023-02-16,2.63,2.78,2.44,2.75,58400.0,0.0456,0.0377,160600.0,303912.6
2023-02-17,2.75,2.75,2.45,2.45,125300.0,-0.1091,-0.1091,306985.0,317589.7
2023-02-21,2.39,2.57,2.39,2.48,93500.0,0.0377,0.0122,231880.0,343007.0
2023-02-22,2.56,2.62,2.47,2.55,19300.0,-0.0039,0.0282,49215.0,365460.2
2023-02-23,2.56,2.59,2.51,2.53,18700.0,-0.0117,-0.0078,47311.0,368599.7
2023-02-24,2.52,2.6,2.47,2.55,9200.0,0.0119,0.0079,23460.0,346140.7
2023-02-27,2.5,2.54,2.45,2.5,13300.0,0.0,-0.0196,33250.0,334914.7
2023-02-28,2.53,2.53,2.46,2.49,6700.0,-0.0158,-0.004,16683.0,319036.7
2023-03-01,2.49,2.59,2.49,2.58,23600.0,0.0361,0.0361,60888.0,165144.4
2023-03-02,2.44,2.58,2.44,2.52,32500.0,0.0328,-0.0233,81900.0,134181.7
