Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2005-12-21,11.0,11.05,10.55,10.85,5796900,-0.0136,,62896365.0,
2005-12-22,10.6,11.12,10.59,10.6,4152500,0.0,-0.023,44016500.0,
2005-12-23,10.9,12.78,10.9,11.95,8844700,0.0963,0.1274,105694165.0,
2005-12-27,12.2,12.79,12.13,12.5,3324100,0.0246,0.046,41551250.0,
2005-12-28,12.25,14.0,12.25,13.3,3187700,0.0857,0.064,42396410.0,
2005-12-29,13.8,13.83,13.21,13.21,1092100,-0.0428,-0.0068,14426641.0,
2005-12-30,13.65,13.65,12.66,13.1,1208400,-0.0403,-0.0083,15830040.0,
2006-01-03,12.9,13.5,12.81,13.5,1875500,0.0465,0.0305,25319250.0,
2006-01-04,13.47,13.85,13.0,13.0,2342000,-0.0349,-0.037,30446000.0,
2006-01-05,13.3,13.31,12.95,13.0,2880600,-0.0226,0.0,37447800.0,
2006-01-06,13.0,13.08,12.77,12.93,1627700,-0.0054,-0.0054,21046161.0,42002442.1
2006-01-09,12.83,13.75,12.82,13.75,1133300,0.0717,0.0634,15582875.0,37817421.7
2006-01-10,13.85,13.85,13.45,13.65,1382200,-0.0144,-0.0073,18867030.0,34974059.2
2006-01-11,13.6,14.6,13.48,14.32,2884200,0.0529,0.0491,41301744.0,26291345.7
2006-01-12,14.0,14.65,13.9,14.4,2363900,0.0286,0.0056,34040160.0,26266395.1
2006-01-13,14.4,14.77,14.37,14.77,2023000,0.0257,0.0257,29879710.0,25430770.1
2006-01-17,14.45,15.14,14.4,14.87,1754300,0.0291,0.0068,26086441.0,26976077.0
2006-01-18,14.4,14.65,14.31,14.49,1714500,0.0063,-0.0256,24843105.0,28001717.1
2006-01-19,14.4,15.22,14.3,15.22,4355100,0.0569,0.0504,66284622.0,27954102.6
2006-01-20,15.4,16.75,15.3,16.56,3528300,0.0753,0.088,58428648.0,31537964.8
2006-01-23,16.57,18.5,16.57,17.59,3088500,0.0616,0.0622,54326715.0,33636049.6
2006-01-24,17.39,17.8,17.3,17.59,1375600,0.0115,0.0,24196804.0,36964105.0
2006-01-25,17.65,17.65,16.36,16.73,1517700,-0.0521,-0.0489,25391121.0,37825497.9
2006-01-26,16.8,17.45,16.45,16.57,811900,-0.0137,-0.0096,13453183.0,38477907.0
2006-01-27,16.57,17.4,16.57,17.05,1063900,0.029,0.029,18139495.0,35693050.9
2006-01-30,17.06,17.3,16.78,17.24,941200,0.0106,0.0111,16226288.0,34102984.4
2006-01-31,17.2,18.0,17.2,17.75,1478000,0.032,0.0296,26234500.0,32737642.2
2006-02-01,17.76,17.85,17.26,17.51,403700,-0.0141,-0.0135,7068787.0,32752448.1
2006-02-02,17.5,17.58,17.25,17.4,804400,-0.0057,-0.0063,13996560.0,30975016.3
2006-02-03,17.28,17.74,17.25,17.65,243700,0.0214,0.0144,4301305.0,25746210.1
2006-02-06,17.7,17.75,17.49,17.64,338300,-0.0034,-0.0006,5967612.0,20333475.8
2006-02-07,17.75,18.15,17.54,17.76,322000,0.0006,0.0068,5718720.0,15497565.5
2006-02-08,17.76,17.87,17.51,17.87,210600,0.0062,0.0062,3763422.0,13649757.1
2006-02-09,17.92,19.0,17.9,18.95,836800,0.0575,0.0604,15857360.0,11486987.2
2006-02-10,19.0,19.3,18.98,19.07,456100,0.0037,0.0063,8697827.0,11727404.9
2006-02-13,19.0,19.56,19.0,19.4,718000,0.0211,0.0173,13929200.0,10783238.1
2006-02-14,19.4,19.4,18.92,19.02,436300,-0.0196,-0.0196,8298426.0,10553529.3
