Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,47.2,47.54,47.12,47.54,450400,0.0072,,21412016.0,
2003-12-02,47.54,48.09,47.29,47.48,546000,-0.0013,-0.0013,25924080.0,
2003-12-03,47.78,47.9,47.05,47.17,431800,-0.0128,-0.0065,20368006.0,
2003-12-04,47.15,47.16,46.2,46.76,590400,-0.0083,-0.0087,27607104.0,
2003-12-05,46.6,46.65,46.14,46.46,807000,-0.003,-0.0064,37493220.0,
2003-12-08,46.46,46.88,46.37,46.48,634500,0.0004,0.0004,29491560.0,
2003-12-09,46.5,46.51,45.39,45.4,375700,-0.0237,-0.0232,17056780.0,
2003-12-10,45.7,45.7,45.1,45.23,552700,-0.0103,-0.0037,24998621.0,
2003-12-11,45.1,45.35,44.35,45.23,1538500,0.0029,0.0,69586355.0,
2003-12-12,45.23,45.64,45.22,45.6,654800,0.0082,0.0082,29858880.0,
2003-12-15,45.78,46.0,45.3,45.45,387700,-0.0072,-0.0033,17620965.0,30379662.2
2003-12-16,45.25,45.58,45.11,45.48,979600,0.0051,0.0007,44552208.0,30000557.1
2003-12-17,45.5,46.83,45.42,46.6,896500,0.0242,0.0246,41776900.0,31863369.9
2003-12-18,46.7,47.32,46.65,47.32,809700,0.0133,0.0155,38315004.0,34004259.3
2003-12-19,47.4,47.43,46.19,46.35,602000,-0.0222,-0.0205,27902700.0,35075049.3
2003-12-22,46.34,47.01,46.25,46.84,419900,0.0108,0.0106,19668116.0,34115997.3
2003-12-23,47.01,47.28,46.71,46.95,522300,-0.0013,0.0023,24521985.0,33133652.9
2003-12-24,47.0,47.42,46.94,46.95,184000,-0.0011,0.0,8638800.0,33880173.4
2003-12-26,46.96,47.38,46.76,46.9,163700,-0.0013,-0.0011,7677530.0,32244191.3
2003-12-29,46.9,47.37,46.74,47.06,288400,0.0034,0.0034,13572104.0,26053308.8
2003-12-30,46.9,47.14,46.8,46.94,204800,0.0009,-0.0025,9613312.0,24424631.2
2003-12-31,47.06,47.3,46.85,47.08,296200,0.0004,0.003,13945096.0,23623865.9
2004-01-02,47.15,47.84,47.1,47.19,288100,0.0008,0.0023,13595439.0,20563154.7
2004-01-05,47.28,48.5,47.25,48.3,1020300,0.0216,0.0235,49280490.0,17745008.6
2004-01-06,48.36,48.75,48.29,48.51,1397600,0.0031,0.0043,67797576.0,18841557.2
2004-01-07,48.58,48.8,48.49,48.75,930200,0.0035,0.0049,45347250.0,22831044.8
2004-01-08,49.0,49.31,48.72,48.85,824200,-0.0031,0.0021,40262170.0,25398958.2
2004-01-09,48.69,48.69,47.9,47.9,746200,-0.0162,-0.0194,35742980.0,26972976.7
2004-01-12,47.85,47.9,47.1,47.6,1083200,-0.0052,-0.0063,51560320.0,29683394.7
2004-01-13,47.6,47.85,47.56,47.81,858100,0.0044,0.0044,41025761.0,34071673.7
2004-01-14,47.95,48.96,47.9,48.83,1341300,0.0184,0.0213,65495679.0,36817039.4
2004-01-15,49.0,49.57,48.91,49.14,1072400,0.0029,0.0063,52697736.0,42405276.1
