Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,28.96,28.96,28.87,28.87,300,-0.0031,,8661.0,
2003-12-02,29.5,30.24,29.08,29.21,2600,-0.0098,0.0118,75946.0,
2003-12-03,30.35,30.35,27.95,28.41,16400,-0.0639,-0.0274,465924.0,
2003-12-04,28.11,28.23,27.98,28.02,4800,-0.0032,-0.0137,134496.0,
2003-12-05,28.0,28.5,28.0,28.5,2300,0.0179,0.0171,65550.0,
2003-12-08,28.21,28.77,28.09,28.45,1600,0.0085,-0.0018,45520.0,
2003-12-09,28.8,29.2,28.8,29.2,1200,0.0139,0.0264,35040.0,
2003-12-10,29.1,29.18,28.2,29.16,4300,0.0021,-0.0014,125388.0,
2003-12-11,29.17,29.35,29.17,29.35,2000,0.0062,0.0065,58700.0,
2003-12-12,29.4,30.0,29.4,30.0,3400,0.0204,0.0221,102000.0,
2003-12-15,29.99,30.0,29.63,29.89,1300,-0.0033,-0.0037,38857.0,111722.5
2003-12-16,29.98,30.0,29.85,29.99,2800,0.0003,0.0033,83972.0,114742.1
2003-12-17,29.86,30.33,29.86,29.95,2200,0.003,-0.0013,65890.0,115544.7
2003-12-18,30.25,30.33,30.15,30.33,2500,0.0026,0.0127,75825.0,75541.3
2003-12-19,30.38,30.46,30.2,30.29,1700,-0.003,-0.0013,51493.0,69674.2
2003-12-22,30.3,30.84,30.3,30.84,3900,0.0178,0.0182,120276.0,68268.5
2003-12-23,30.84,30.84,30.54,30.77,2000,-0.0023,-0.0023,61540.0,75744.1
2003-12-24,30.61,30.61,30.26,30.5,3000,-0.0036,-0.0088,91500.0,78394.1
2003-12-26,30.45,30.59,30.45,30.59,1400,0.0046,0.003,42826.0,75005.3
2003-12-29,30.7,31.0,30.5,30.5,3200,-0.0065,-0.0029,97600.0,73417.9
2003-12-30,30.71,32.49,30.61,32.49,3600,0.058,0.0652,116964.0,72977.9
2003-12-31,32.16,32.3,32.0,32.0,700,-0.005,-0.0151,22400.0,80788.6
2004-01-02,32.2,32.35,32.0,32.0,5900,-0.0062,0.0,188800.0,74631.4
2004-01-05,32.18,32.35,32.08,32.18,3600,0.0,0.0056,115848.0,86922.4
2004-01-06,32.3,32.89,32.18,32.85,4100,0.017,0.0208,134685.0,90924.7
2004-01-07,32.98,33.0,32.95,33.0,800,0.0006,0.0046,26400.0,99243.9
2004-01-08,33.0,33.0,32.84,32.95,900,-0.0015,-0.0015,29655.0,89856.3
2004-01-09,32.86,33.17,32.71,32.93,5100,0.0021,-0.0006,167943.0,86667.8
2004-01-12,33.47,33.47,33.03,33.3,1500,-0.0051,0.0112,49950.0,94312.1
2004-01-13,33.3,33.47,32.26,32.52,7300,-0.0234,-0.0234,237396.0,95024.5
2004-01-14,32.07,33.09,32.07,32.64,1600,0.0178,0.0037,52224.0,109004.1
2004-01-15,32.5,32.95,32.5,32.95,2000,0.0138,0.0095,65900.0,102530.1
2004-01-16,32.9,32.9,32.6,32.9,900,0.0,-0.0015,29610.0,106880.1
2004-01-20,33.44,33.45,32.5,33.44,4400,0.0,0.0164,147136.0,90961.1
2004-01-21,33.45,33.45,32.81,33.25,800,-0.006,-0.0057,26600.0,94089.9
2004-01-22,32.8,33.5,31.0,32.72,7000,-0.0024,-0.0159,229040.0,83281.4
2004-01-23,32.89,33.0,32.89,33.0,2100,0.0033,0.0086,69300.0,103545.4
2004-01-26,33.75,33.75,32.2,32.99,3400,-0.0225,-0.0003,112166.0,107509.9
2004-01-27,33.5,33.5,32.95,33.45,1300,-0.0015,0.0139,43485.0,101932.2
2004-01-28,33.43,33.5,33.43,33.5,3000,0.0021,0.0015,100500.0,101285.7
2004-01-29,32.13,33.5,32.13,33.5,1700,0.0426,0.0,56950.0,87596.1
2004-01-30,33.7,33.96,33.5,33.89,1100,0.0056,0.0116,37279.0,88068.7
2004-02-02,33.52,34.5,33.52,34.45,3100,0.0277,0.0165,106795.0,85206.6
2004-02-03,34.45,34.6,33.53,33.53,3900,-0.0267,-0.0267,130767.0,92925.1
2004-02-04,34.64,34.64,31.8,33.24,4100,-0.0404,-0.0086,136284.0,91288.2
2004-02-05,32.0,33.02,32.0,32.85,800,0.0266,-0.0117,26280.0,102256.6
2004-02-06,31.0,32.3,31.0,32.16,3700,0.0374,-0.021,118992.0,81980.6
2004-02-09,32.0,33.0,32.0,32.5,2200,0.0156,0.0106,71500.0,86949.8
2004-02-10,32.5,33.0,32.28,32.5,3900,0.0,0.0,126750.0,82883.2
2004-02-11,33.0,33.0,32.0,32.15,3300,-0.0258,-0.0108,106095.0,91209.7
2004-02-12,32.0,33.0,32.0,33.0,200,0.0312,0.0264,6600.0,91769.2
2004-02-13,33.0,33.0,32.68,32.68,800,-0.0097,-0.0097,26144.0,86734.2
2004-02-17,32.65,32.75,32.65,32.75,1900,0.0031,0.0021,62225.0,85620.7
2004-02-18,32.75,32.75,32.11,32.18,3200,-0.0174,-0.0174,102976.0,81163.7
2004-02-19,32.37,32.87,32.37,32.4,2100,0.0009,0.0068,68040.0,78384.6
2004-02-20,32.44,32.86,32.44,32.75,3300,0.0096,0.0108,108075.0,71560.2
2004-02-23,32.14,32.84,32.14,32.84,1100,0.0218,0.0027,36124.0,79739.7
2004-02-24,32.87,32.87,32.2,32.2,4400,-0.0204,-0.0195,141680.0,71452.9
