Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,2.1,2.28,2.1,2.28,33,0.0857,,75.24,
2003-12-02,2.22,2.45,2.22,2.4,68,0.0811,0.0526,163.2,
2003-12-03,2.37,2.4,2.25,2.28,27,-0.038,-0.05,61.56,
2003-12-04,2.2,2.29,2.18,2.26,21,0.0273,-0.0088,47.46,
2003-12-05,2.21,2.26,2.15,2.2,10,-0.0045,-0.0265,22.0,
2003-12-08,2.25,2.25,2.01,2.1,22,-0.0667,-0.0455,46.2,
2003-12-09,2.08,2.14,2.05,2.08,14,0.0,-0.0095,29.12,
2003-12-10,2.13,2.13,1.94,2.0,44,-0.061,-0.0385,88.0,
2003-12-11,2.0,2.04,1.96,2.02,26,0.01,0.01,52.52,
2003-12-12,2.0,2.04,1.98,2.01,10,0.005,-0.005,20.1,
2003-12-15,2.1,2.1,1.96,1.99,13,-0.0524,-0.01,25.87,60.54
2003-12-16,1.97,2.0,1.9,1.98,14,0.0051,-0.005,27.72,55.6
2003-12-17,2.0,2.0,1.91,1.92,11,-0.04,-0.0303,21.12,42.06
2003-12-18,1.98,1.98,1.92,1.97,7,-0.0051,0.026,13.79,38.01
2003-12-19,1.97,1.99,1.92,1.93,8,-0.0203,-0.0203,15.44,34.64
2003-12-22,1.92,2.06,1.91,2.04,16,0.0625,0.057,32.64,33.99
2003-12-23,1.94,2.05,1.94,2.04,12,0.0515,0.0,24.48,32.63
2003-12-24,2.04,2.08,1.98,2.05,12,0.0049,0.0049,24.6,32.17
2003-12-26,1.98,2.1,1.98,2.0,10,0.0101,-0.0244,20.0,25.83
2003-12-29,2.0,2.04,1.98,2.0,18,0.0,0.0,36.0,22.58
2003-12-30,2.0,2.05,1.97,2.01,26,0.005,0.005,52.26,24.17
2003-12-31,2.0,2.06,1.98,1.98,18,-0.01,-0.0149,35.64,26.8
2004-01-02,2.0,2.05,1.98,1.99,17,-0.005,0.0051,33.83,27.6
2004-01-05,2.2,2.26,2.12,2.17,92,-0.0136,0.0905,199.64,28.87
2004-01-06,2.24,2.24,2.15,2.19,35,-0.0223,0.0092,76.65,47.45
2004-01-07,2.2,2.24,2.1,2.16,35,-0.0182,-0.0137,75.6,53.57
2004-01-08,2.19,2.23,2.1,2.21,40,0.0091,0.0231,88.4,57.87
2004-01-09,2.15,2.21,2.11,2.16,39,0.0047,-0.0226,84.24,64.26
2004-01-12,2.11,2.17,2.0,2.08,38,-0.0142,-0.037,79.04,70.23
2004-01-13,2.02,2.13,2.02,2.09,20,0.0347,0.0048,41.8,76.13
2004-01-14,2.1,2.18,2.05,2.15,34,0.0238,0.0287,73.1,76.71
2004-01-15,2.16,2.19,2.1,2.18,21,0.0093,0.014,45.78,78.79
2004-01-16,2.18,2.18,2.11,2.16,23,-0.0092,-0.0092,49.68,79.81
2004-01-20,2.14,2.19,2.12,2.17,20,0.014,0.0046,43.4,81.39
2004-01-21,2.17,2.42,2.12,2.37,146,0.0922,0.0922,346.02,65.77
2004-01-22,2.38,2.69,2.22,2.5,174,0.0504,0.0549,435.0,92.71
2004-01-23,2.58,2.66,2.34,2.34,56,-0.093,-0.064,131.04,128.65
2004-01-26,2.4,2.48,2.26,2.39,58,-0.0042,0.0214,138.62,132.91
2004-01-27,2.42,2.44,2.34,2.36,33,-0.0248,-0.0126,77.88,138.35
2004-01-28,2.39,2.5,2.25,2.25,54,-0.0586,-0.0466,121.5,138.23
2004-01-29,2.27,2.33,2.1,2.2,64,-0.0308,-0.0222,140.8,146.2
2004-01-30,2.18,2.23,2.14,2.15,21,-0.0138,-0.0227,45.15,152.97
2004-02-02,2.17,2.23,2.12,2.19,24,0.0092,0.0186,52.56,152.91
2004-02-03,2.2,2.2,2.1,2.18,19,-0.0091,-0.0046,41.42,153.2
2004-02-04,2.17,2.19,2.04,2.06,26,-0.0507,-0.055,53.56,153.0
2004-02-05,2.12,2.12,2.03,2.06,27,-0.0283,0.0,55.62,123.75
2004-02-06,2.08,2.09,2.02,2.04,24,-0.0192,-0.0097,48.96,85.82
2004-02-09,2.04,2.12,1.99,2.06,16,0.0098,0.0098,32.96,77.61
2004-02-10,2.07,2.2,2.07,2.12,26,0.0242,0.0291,55.12,67.04
2004-02-11,2.1,2.15,2.07,2.1,19,0.0,-0.0094,39.9,64.77
2004-02-12,2.15,2.35,2.11,2.34,142,0.0884,0.1143,332.28,56.6
2004-02-13,2.33,2.35,2.16,2.19,57,-0.0601,-0.0641,124.83,75.75
