Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2016-08-11,28.15,28.74,27.1,27.79,5356300,-0.0128,,148851577.0,
2016-08-12,27.55,28.5,27.13,28.04,472700,0.0178,0.009,13254508.0,
2016-08-15,28.29,29.6,27.91,29.22,620600,0.0329,0.0421,18133932.0,
2016-08-16,29.56,29.98,29.2,29.32,315200,-0.0081,0.0034,9241664.0,
2016-08-17,29.43,29.79,28.12,28.14,507900,-0.0438,-0.0402,14292306.0,
2016-08-18,28.23,28.84,27.72,27.77,330700,-0.0163,-0.0131,9183539.0,
2016-08-19,27.77,28.9,27.6,28.53,267800,0.0274,0.0274,7640334.0,
2016-08-22,28.9,29.69,28.77,29.26,527000,0.0125,0.0256,15420020.0,
2016-08-23,29.87,29.87,28.72,29.19,425000,-0.0228,-0.0024,12405750.0,
2016-08-24,29.06,29.3,27.79,28.08,406100,-0.0337,-0.038,11403288.0,
2016-08-25,27.89,28.45,27.6,27.69,148900,-0.0072,-0.0139,4123041.0,25982691.8
2016-08-26,27.6,28.09,26.51,27.13,255200,-0.017,-0.0202,6923576.0,11509838.2
2016-08-29,27.0,28.2,27.0,28.2,288700,0.0444,0.0394,8141340.0,10876745.0
2016-08-30,28.56,28.56,27.09,27.86,184300,-0.0245,-0.0121,5134598.0,9877485.8
2016-08-31,27.98,28.5,27.47,28.25,228900,0.0096,0.014,6466425.0,9466779.2
2016-09-01,28.37,29.45,28.01,29.25,266600,0.031,0.0354,7798050.0,8684191.1
2016-09-02,29.76,31.14,29.05,30.7,1127800,0.0316,0.0496,34623460.0,8545642.2
2016-09-06,30.74,31.0,29.05,30.48,674900,-0.0085,-0.0072,20570952.0,11243954.8
2016-09-07,30.53,30.53,29.12,29.4,264100,-0.037,-0.0354,7764540.0,11759048.0
2016-09-08,29.18,30.18,27.34,30.05,590900,0.0298,0.0221,17756545.0,11294927.0
2016-09-09,29.74,29.86,29.0,29.55,249400,-0.0064,-0.0166,7369770.0,11930252.7
2016-09-12,29.25,29.95,29.0,29.75,204800,0.0171,0.0068,6092800.0,12254925.6
2016-09-13,29.5,30.46,29.5,29.82,112100,0.0108,0.0024,3342822.0,12171848.0
2016-09-14,30.0,31.35,29.82,30.14,311500,0.0047,0.0107,9388610.0,11691996.2
2016-09-15,30.23,31.23,29.5,30.01,79700,-0.0073,-0.0043,2391797.0,12117397.4
2016-09-16,29.98,31.18,29.5,30.45,513100,0.0157,0.0147,15623895.0,11709934.6
2016-09-19,30.7,31.0,30.1,30.57,151700,-0.0042,0.0039,4637469.0,12492519.1
2016-09-20,30.74,30.88,30.24,30.44,110100,-0.0098,-0.0043,3351444.0,9493920.0
2016-09-21,30.25,30.82,29.38,30.03,202400,-0.0073,-0.0135,6078072.0,7771969.2
2016-09-22,30.31,30.33,29.5,29.95,172000,-0.0119,-0.0027,5151400.0,7603322.4
2016-09-23,29.94,30.09,29.36,29.55,158700,-0.013,-0.0134,4689585.0,6342807.9
