Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-07-23,16.5,22.91,16.41,22.0,5042000,0.3333,,110924000.0,
2020-07-24,20.06,24.69,19.71,22.39,1023800,0.1162,0.0177,22922882.0,
2020-07-27,22.39,22.7,21.75,21.75,340200,-0.0286,-0.0286,7399350.0,
2020-07-28,21.15,22.23,20.0,21.48,268100,0.0156,-0.0124,5758788.0,
2020-07-29,21.28,23.26,20.93,22.28,321000,0.047,0.0372,7151880.0,
2020-07-30,21.74,22.75,21.04,22.22,280100,0.0221,-0.0027,6223822.0,
2020-07-31,22.53,22.62,21.18,21.75,150800,-0.0346,-0.0212,3279900.0,
2020-08-03,21.78,24.87,21.75,23.99,270700,0.1015,0.103,6494093.0,
2020-08-04,24.21,24.5,23.39,24.37,323000,0.0066,0.0158,7871510.0,
2020-08-05,24.5,25.92,23.86,24.06,241300,-0.018,-0.0127,5805678.0,
2020-08-06,24.02,25.0,23.22,25.0,141800,0.0408,0.0391,3545000.0,18383190.3
2020-08-07,24.63,24.85,23.11,23.25,166700,-0.056,-0.07,3875775.0,7645290.3
2020-08-10,23.26,23.3,21.96,22.8,188400,-0.0198,-0.0194,4295520.0,5740579.6
2020-08-11,22.58,22.98,21.96,22.46,64800,-0.0053,-0.0149,1455408.0,5430196.6
2020-08-12,22.42,24.67,22.11,23.7,120100,0.0571,0.0552,2846370.0,4999858.6
2020-08-13,23.86,25.0,22.83,24.74,212400,0.0369,0.0439,5254776.0,4569307.6
2020-08-14,24.4,26.0,23.78,25.72,195400,0.0541,0.0396,5025688.0,4472403.0
2020-08-17,25.61,25.61,23.81,23.81,176300,-0.0703,-0.0743,4197703.0,4646981.8
2020-08-18,23.88,26.49,23.26,26.04,294500,0.0905,0.0937,7668780.0,4417342.8
2020-08-19,26.25,26.7,25.39,25.62,176800,-0.024,-0.0161,4529616.0,4397069.8
2020-08-20,24.96,26.93,24.86,25.17,173600,0.0084,-0.0176,4369512.0,4269463.6
2020-08-21,25.33,26.48,25.18,26.14,122400,0.032,0.0385,3199536.0,4351914.8
2020-08-24,26.14,26.92,24.04,25.24,215000,-0.0344,-0.0344,5426600.0,4284290.9
2020-08-25,24.67,26.22,24.34,26.22,130000,0.0628,0.0388,3408600.0,4397398.9
2020-08-26,26.2,27.51,25.35,27.51,55800,0.05,0.0492,1535058.0,4592718.1
2020-08-27,27.4,27.75,26.01,27.08,115300,-0.0117,-0.0156,3122324.0,4461586.9
2020-08-28,27.08,29.12,26.87,28.8,172600,0.0635,0.0635,4970880.0,4248341.7
2020-08-31,29.42,29.9,28.02,28.19,192700,-0.0418,-0.0212,5432213.0,4242860.9
2020-09-01,26.6,28.54,26.58,28.2,227400,0.0602,0.0004,6412680.0,4366311.9
2020-09-02,27.88,33.1,27.77,31.42,283400,0.127,0.1142,8904428.0,4240701.9
2020-09-03,31.06,31.06,28.3,29.22,256400,-0.0592,-0.07,7492008.0,4678183.1
2020-09-04,29.16,29.59,28.45,28.94,184300,-0.0075,-0.0096,5333642.0,4990432.7
2020-09-08,28.51,31.21,28.51,30.64,189200,0.0747,0.0587,5797088.0,5203843.3
2020-09-09,30.48,31.75,28.83,29.0,231600,-0.0486,-0.0535,6716400.0,5240892.1
2020-09-10,29.11,30.97,28.6,30.05,138500,0.0323,0.0362,4161925.0,5571672.1
2020-09-11,29.84,30.34,28.61,29.07,195600,-0.0258,-0.0326,5686092.0,5834358.8
2020-09-14,29.0,30.61,28.8,29.59,197800,0.0203,0.0179,5852902.0,6090735.6
2020-09-15,29.37,29.48,26.96,26.98,142400,-0.0814,-0.0882,3841952.0,6178937.8
2020-09-16,27.23,27.93,26.72,26.75,331300,-0.0176,-0.0085,8862275.0,6019911.7
2020-09-17,26.08,27.1,25.22,25.7,299400,-0.0146,-0.0393,7694580.0,6264871.2
2020-09-18,25.38,26.63,24.3,24.45,1854100,-0.0366,-0.0486,45332745.0,6143886.4
2020-09-21,23.81,24.29,22.36,22.37,323400,-0.0605,-0.0851,7234458.0,9927960.1
2020-09-22,22.75,24.5,22.4,24.12,378800,0.0602,0.0782,9136656.0,10118041.7
2020-09-23,23.94,24.68,23.42,23.54,231200,-0.0167,-0.024,5442448.0,10451998.5
2020-09-24,23.21,24.14,23.14,23.91,173700,0.0302,0.0157,4153167.0,10324603.3
2020-09-25,23.76,24.41,23.43,24.18,136700,0.0177,0.0113,3305406.0,10323727.5
2020-09-28,24.28,24.87,23.95,24.66,103400,0.0157,0.0199,2549844.0,10085658.9
2020-09-29,24.46,25.0,23.95,24.69,72900,0.0094,0.0012,1799901.0,9755353.1
2020-09-30,24.98,25.16,23.42,23.82,114700,-0.0464,-0.0352,2732154.0,9551148.0
2020-10-01,23.94,24.57,23.31,24.54,91900,0.0251,0.0302,2255226.0,8938135.9
2020-10-02,24.0,24.46,23.44,23.96,81500,-0.0017,-0.0236,1952740.0,8394200.5
2020-10-05,24.16,24.5,23.98,24.35,54100,0.0079,0.0163,1317335.0,4056200.0
2020-10-06,24.25,24.57,22.89,23.26,160500,-0.0408,-0.0448,3733230.0,3464487.7
2020-10-07,23.67,23.9,23.02,23.31,160700,-0.0152,0.0021,3745917.0,2924145.1
2020-10-08,23.39,23.61,23.07,23.12,101300,-0.0115,-0.0082,2342056.0,2754492.0
2020-10-09,23.1,23.54,22.66,23.37,80000,0.0117,0.0108,1869600.0,2573380.9
2020-10-12,23.41,23.58,22.43,22.47,65600,-0.0402,-0.0385,1474032.0,2429800.3
2020-10-13,22.65,24.66,21.98,24.48,175300,0.0808,0.0895,4291344.0,2322219.1
2020-10-14,24.4,24.76,23.45,24.24,76500,-0.0066,-0.0098,1854360.0,2571363.4
2020-10-15,23.94,25.64,23.57,25.34,73400,0.0585,0.0454,1859956.0,2483584.0
2020-10-16,25.19,27.08,25.03,26.52,95400,0.0528,0.0466,2530008.0,2444057.0
2020-10-19,26.75,27.12,26.0,26.05,59900,-0.0262,-0.0177,1560395.0,2501783.8
2020-10-20,26.47,26.7,26.08,26.55,45500,0.003,0.0192,1208025.0,2526089.8
2020-10-21,26.86,29.09,26.49,28.32,166400,0.0544,0.0667,4712448.0,2273569.3
2020-10-22,28.61,28.75,27.82,28.04,99800,-0.0199,-0.0099,2798392.0,2370222.4
2020-10-23,28.29,28.9,27.14,27.67,98100,-0.0219,-0.0132,2714427.0,2415856.0
2020-10-26,27.21,27.69,25.9,26.1,36300,-0.0408,-0.0567,947430.0,2500338.7
2020-10-27,25.98,26.13,25.5,25.87,58800,-0.0042,-0.0088,1521156.0,2447678.5
2020-10-28,24.98,26.95,24.93,26.77,106400,0.0717,0.0348,2848328.0,2170659.7
2020-10-29,26.64,26.95,25.55,26.79,57000,0.0056,0.0007,1527030.0,2270056.5
2020-10-30,26.57,27.54,25.87,27.03,60500,0.0173,0.009,1635315.0,2236763.9
2020-11-02,27.33,27.68,26.24,26.6,52600,-0.0267,-0.0159,1399160.0,2147294.6
2020-11-03,27.05,27.92,26.76,27.78,62600,0.027,0.0444,1739028.0,2131171.1
2020-11-04,27.96,28.33,26.97,27.6,26600,-0.0129,-0.0065,734160.0,2184271.4
2020-11-05,27.82,30.4,27.82,29.8,99300,0.0712,0.0797,2959140.0,1786442.6
2020-11-06,30.12,30.21,28.09,28.35,48900,-0.0588,-0.0487,1386315.0,1802517.4
2020-11-09,29.55,30.39,28.0,28.57,69400,-0.0332,0.0078,1982758.0,1669706.2
2020-11-10,28.57,30.2,28.57,29.53,75400,0.0336,0.0336,2226562.0,1773239.0
2020-11-11,30.37,31.73,30.37,31.09,160100,0.0237,0.0528,4977509.0,1843779.6
2020-11-12,31.23,31.65,29.81,30.0,75900,-0.0394,-0.0351,2277000.0,2056697.7
2020-11-13,30.25,31.34,29.9,30.93,186300,0.0225,0.031,5762259.0,2131694.7
2020-11-16,31.48,33.88,31.48,33.09,132700,0.0511,0.0698,4391043.0,2544389.1
2020-11-17,32.79,35.1,32.6,34.71,79900,0.0586,0.049,2773329.0,2843577.4
2020-11-18,34.81,35.89,34.31,34.38,83200,-0.0124,-0.0095,2860416.0,2947007.5
2020-11-19,34.17,34.82,33.63,34.62,52600,0.0132,0.007,1821012.0,3159633.1
2020-11-20,34.44,35.06,33.3,33.67,56200,-0.0224,-0.0274,1892254.0,3045820.3
2020-11-23,32.44,32.44,28.59,29.93,647100,-0.0774,-0.1111,19367703.0,3096414.2
2020-11-24,29.91,29.93,27.35,27.81,677300,-0.0702,-0.0708,18835713.0,4834908.7
2020-11-25,28.8,30.17,27.52,29.58,2151700,0.0271,0.0636,63647286.0,6495823.8
2020-11-27,29.25,30.0,27.98,28.44,189600,-0.0277,-0.0385,5392224.0,12362801.5
2020-11-30,29.75,29.89,27.21,27.39,554100,-0.0793,-0.0369,15176799.0,12674323.9
2020-12-01,27.5,32.31,26.89,29.78,999300,0.0829,0.0873,29759154.0,13615777.9
2020-12-02,29.34,29.34,27.25,27.68,311800,-0.0566,-0.0705,8630624.0,16152589.0
