Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-03-29,24.69,24.69,24.58,24.61,63200,-0.0032,,1555352.0,
2019-04-01,24.68,24.78,24.6,24.78,186100,0.0041,0.0069,4611558.0,
2019-04-02,24.81,24.88,24.76,24.88,483900,0.0028,0.004,12039432.0,
2019-04-03,24.92,25.2,24.87,25.18,529300,0.0104,0.0121,13327774.0,
2019-04-04,25.15,25.23,25.0,25.18,311500,0.0012,0.0,7843570.0,
2019-04-05,25.16,25.2,25.05,25.08,147300,-0.0032,-0.004,3694284.0,
2019-04-08,25.06,25.15,25.06,25.15,330700,0.0036,0.0028,8317105.0,
2019-04-09,25.15,25.15,25.02,25.05,152300,-0.004,-0.004,3815115.0,
2019-04-10,25.08,25.2,25.05,25.13,140200,0.002,0.0032,3523226.0,
2019-04-11,25.17,25.38,25.17,25.24,722800,0.0028,0.0044,18243472.0,
2019-04-12,25.33,25.34,25.18,25.2,58000,-0.0051,-0.0016,1461600.0,7697088.8
2019-04-15,25.25,25.33,25.24,25.33,77200,0.0032,0.0052,1955476.0,7687713.6
2019-04-16,25.33,25.44,25.29,25.33,98400,0.0,0.0,2492472.0,7422105.4
2019-04-17,25.31,25.37,25.14,25.19,77300,-0.0047,-0.0055,1947187.0,6467409.4
2019-04-18,25.22,25.24,25.15,25.2,46500,-0.0008,0.0004,1171800.0,5329350.7
2019-04-22,25.23,25.26,25.13,25.19,118200,-0.0016,-0.0004,2977458.0,4662173.7
2019-04-23,25.2,25.24,25.12,25.24,107800,0.0016,0.002,2720872.0,4590491.1
2019-04-24,25.25,25.27,25.21,25.24,87800,-0.0004,0.0,2216072.0,4030867.8
2019-04-25,25.24,25.27,25.22,25.27,66000,0.0012,0.0012,1667820.0,3870963.5
2019-04-26,25.25,25.35,25.21,25.35,61200,0.004,0.0032,1551420.0,3685422.9
2019-04-29,25.38,25.44,25.33,25.36,247700,-0.0008,0.0004,6281672.0,2016217.7
