Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-07-19,2.49,2.5,2.3,2.41,364400,-0.0321,,878204.0,
2021-07-20,2.4,2.6,2.35,2.57,251000,0.0708,0.0664,645070.0,
2021-07-21,2.75,2.75,2.56,2.57,124500,-0.0655,0.0,319965.0,
2021-07-22,2.5,2.69,2.41,2.44,232100,-0.024,-0.0506,566324.0,
2021-07-23,2.46,2.65,2.38,2.57,227700,0.0447,0.0533,585189.0,
2021-07-26,2.55,2.6,2.5,2.56,190500,0.0039,-0.0039,487680.0,
2021-07-27,2.51,2.58,2.46,2.48,44700,-0.012,-0.0312,110856.0,
2021-07-28,2.59,2.75,2.54,2.72,141100,0.0502,0.0968,383792.0,
2021-07-29,2.72,2.8,2.64,2.69,119000,-0.011,-0.011,320110.0,
2021-07-30,2.65,2.8,2.65,2.78,85700,0.0491,0.0335,238246.0,
2021-08-02,2.72,2.8,2.7,2.8,91400,0.0294,0.0072,255920.0,453543.6
2021-08-03,2.8,2.8,2.75,2.78,64100,-0.0071,-0.0071,178198.0,391315.2
2021-08-04,2.78,2.8,2.7,2.77,42400,-0.0036,-0.0036,117448.0,344628.0
2021-08-05,2.7,2.8,2.65,2.69,74500,-0.0037,-0.0289,200405.0,324376.3
2021-08-06,2.69,2.7,2.58,2.7,42900,0.0037,0.0037,115830.0,287784.4
2021-08-09,2.73,2.76,2.62,2.69,61700,-0.0147,-0.0037,165973.0,240848.5
2021-08-10,2.72,2.83,2.68,2.83,175000,0.0404,0.052,495250.0,208677.8
2021-08-11,2.77,2.79,2.69,2.75,124400,-0.0072,-0.0283,342100.0,247117.2
2021-08-12,2.76,2.79,2.65,2.71,54600,-0.0181,-0.0145,147966.0,242948.0
2021-08-13,2.65,2.74,2.55,2.64,46800,-0.0038,-0.0258,123552.0,225733.6
2021-08-16,2.66,2.7,2.58,2.68,34500,0.0075,0.0152,92460.0,214264.2
2021-08-17,2.64,2.64,2.53,2.55,78300,-0.0341,-0.0485,199665.0,197918.2
2021-08-18,2.57,2.7,2.55,2.6,37200,0.0117,0.0196,96720.0,200064.9
2021-08-19,2.61,2.7,2.51,2.59,66700,-0.0077,-0.0038,172753.0,197992.1
2021-08-20,2.6,2.6,2.51,2.59,19600,-0.0038,0.0,50764.0,195226.9
2021-08-23,2.65,2.65,2.51,2.6,32300,-0.0189,0.0039,83980.0,188720.3
2021-08-24,2.6,2.6,2.51,2.57,86900,-0.0115,-0.0115,223333.0,180521.0
2021-08-25,2.6,2.66,2.51,2.53,49900,-0.0269,-0.0156,126247.0,153329.3
2021-08-26,2.52,2.54,2.51,2.51,27500,-0.004,-0.0079,69025.0,131744.0
2021-08-27,2.53,2.54,2.5,2.52,52800,-0.004,0.004,133056.0,123849.9
2021-08-30,2.55,2.6,2.5,2.52,51900,-0.0118,0.0,130788.0,124800.3
2021-08-31,2.55,2.59,2.51,2.56,38100,0.0039,0.0159,97536.0,128633.1
2021-09-01,2.59,2.72,2.57,2.72,83100,0.0502,0.0625,226032.0,118420.2
2021-09-02,2.72,2.75,2.61,2.68,50300,-0.0147,-0.0147,134804.0,131351.4
2021-09-03,2.7,2.7,2.62,2.68,36700,-0.0074,0.0,98356.0,127556.5
2021-09-07,2.7,2.75,2.59,2.72,112700,0.0074,0.0149,306544.0,132315.7
2021-09-08,2.75,2.75,2.65,2.71,84000,-0.0145,-0.0037,227640.0,154572.1
2021-09-09,2.7,2.87,2.68,2.84,169000,0.0519,0.048,479960.0,155002.8
2021-09-10,2.88,2.88,2.64,2.73,132500,-0.0521,-0.0387,361725.0,190374.1
2021-09-13,2.75,2.85,2.67,2.83,160800,0.0291,0.0366,455064.0,219644.1
2021-09-14,2.87,2.88,2.77,2.83,76000,-0.0139,0.0,215080.0,251844.9
2021-09-15,2.87,2.88,2.7,2.7,101400,-0.0592,-0.0459,273780.0,260274.1
2021-09-16,2.75,2.83,2.63,2.69,85900,-0.0218,-0.0037,231071.0,277898.5
2021-09-17,2.66,2.79,2.41,2.41,400400,-0.094,-0.1041,964964.0,278402.4
2021-09-20,2.55,2.58,2.4,2.4,118300,-0.0588,-0.0041,283920.0,361418.4
2021-09-21,2.45,2.59,2.4,2.42,164600,-0.0122,0.0083,398332.0,379974.8
2021-09-22,2.48,2.56,2.4,2.51,68000,0.0121,0.0372,170680.0,389153.6
2021-09-23,2.48,2.6,2.43,2.47,36000,-0.004,-0.0159,88920.0,383457.6
2021-09-24,2.45,2.47,2.4,2.4,53000,-0.0204,-0.0283,127200.0,344353.6
2021-09-27,2.45,2.47,2.41,2.45,27000,0.0,0.0208,66150.0,320901.1
2021-09-28,2.4,2.47,2.38,2.41,42000,0.0042,-0.0163,101220.0,282009.7
2021-09-29,2.41,2.48,2.4,2.4,37300,-0.0041,-0.0041,89520.0,270623.7
2021-09-30,2.4,2.42,2.4,2.41,12900,0.0042,0.0042,31089.0,252197.7
2021-10-01,2.41,2.42,2.39,2.41,39900,0.0,0.0,96159.0,232199.5
2021-10-04,2.38,2.39,2.21,2.32,159600,-0.0252,-0.0373,370272.0,145319.0
2021-10-05,2.31,2.34,2.3,2.3,22000,-0.0043,-0.0086,50600.0,153954.2
2021-10-06,2.3,2.34,2.27,2.29,51600,-0.0043,-0.0043,118164.0,119181.0
