Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,4.46,5.5,4.46,5.35,1515200,0.1996,,8106320.0,
2003-12-02,5.47,5.47,5.11,5.19,499900,-0.0512,-0.0299,2594481.0,
2003-12-03,5.23,6.13,5.22,5.67,1168100,0.0841,0.0925,6623127.0,
2003-12-04,5.7,5.82,5.46,5.59,334000,-0.0193,-0.0141,1867060.0,
2003-12-05,5.3,5.3,5.0,5.18,258300,-0.0226,-0.0733,1337994.0,
2003-12-08,5.15,5.18,4.56,4.75,382200,-0.0777,-0.083,1815450.0,
2003-12-09,5.0,5.29,4.76,5.0,430600,0.0,0.0526,2153000.0,
2003-12-10,5.1,5.1,4.6,4.8,177000,-0.0588,-0.04,849600.0,
2003-12-11,4.9,5.0,4.82,4.98,194700,0.0163,0.0375,969606.0,
2003-12-12,5.1,5.35,4.85,5.2,910900,0.0196,0.0442,4736680.0,
2003-12-15,5.58,5.6,5.3,5.39,2012300,-0.0341,0.0365,10846297.0,3105331.8
2003-12-16,5.44,5.5,4.76,4.94,722300,-0.0919,-0.0835,3568162.0,3379329.5
2003-12-17,5.01,5.18,4.85,5.0,299500,-0.002,0.0121,1497500.0,3476697.6
2003-12-18,5.08,5.3,5.06,5.3,198100,0.0433,0.06,1049930.0,2964134.9
2003-12-19,5.48,5.48,5.07,5.26,195400,-0.0401,-0.0075,1027804.0,2882421.9
2003-12-22,5.25,5.4,5.25,5.34,154500,0.0171,0.0152,825030.0,2851402.9
2003-12-23,5.35,5.4,5.24,5.34,147500,-0.0019,0.0,787650.0,2752360.9
2003-12-24,5.3,5.55,5.25,5.39,138800,0.017,0.0094,748132.0,2615825.9
2003-12-26,5.5,5.92,5.45,5.9,361400,0.0727,0.0946,2132260.0,2605679.1
2003-12-29,5.99,6.38,5.9,6.34,1182500,0.0584,0.0746,7497050.0,2721944.5
2003-12-30,6.2,6.4,5.9,5.98,388500,-0.0355,-0.0568,2323230.0,2997981.5
2003-12-31,6.18,6.33,5.95,6.0,255600,-0.0291,0.0033,1533600.0,2145674.8
2004-01-02,6.05,6.3,5.97,6.12,127700,0.0116,0.02,781524.0,1942218.6
2004-01-05,6.42,6.52,6.27,6.33,295500,-0.014,0.0343,1870515.0,1870621.0
2004-01-06,6.47,6.53,5.82,6.2,477600,-0.0417,-0.0205,2961120.0,1952679.5
2004-01-07,6.14,6.2,6.0,6.04,145900,-0.0163,-0.0258,881236.0,2146011.1
2004-01-08,6.26,6.26,5.57,5.74,362800,-0.0831,-0.0497,2082472.0,2151631.7
2004-01-09,5.75,5.85,5.46,5.65,415000,-0.0174,-0.0157,2344750.0,2281113.9
2004-01-12,5.77,5.8,5.3,5.42,932100,-0.0607,-0.0407,5051982.0,2440775.7
2004-01-13,5.55,5.65,5.45,5.48,410200,-0.0126,0.0111,2247896.0,2732747.9
2004-01-14,5.76,5.89,5.5,5.65,651900,-0.0191,0.031,3683235.0,2207832.5
2004-01-15,5.74,5.89,5.6,5.8,233000,0.0105,0.0265,1351400.0,2343833.0
2004-01-16,5.77,6.11,5.77,5.87,529000,0.0173,0.0121,3105230.0,2325613.0
2004-01-20,6.13,6.21,5.92,5.94,260200,-0.031,0.0119,1545588.0,2557983.6
2004-01-21,5.77,5.82,5.56,5.71,261000,-0.0104,-0.0387,1490310.0,2525490.9
2004-01-22,5.55,5.65,5.23,5.34,318400,-0.0378,-0.0648,1700256.0,2378409.9
2004-01-23,5.31,5.49,5.01,5.12,349400,-0.0358,-0.0412,1788928.0,2460311.9
2004-01-26,5.18,5.82,5.08,5.72,323400,0.1042,0.1172,1849848.0,2430957.5
2004-01-27,5.56,5.8,5.56,5.64,86200,0.0144,-0.014,486168.0,2381467.3
2004-01-28,5.77,5.77,5.32,5.42,117100,-0.0607,-0.039,634682.0,1924885.9
2004-01-29,5.35,5.62,5.1,5.31,130600,-0.0075,-0.0203,693486.0,1763564.5
2004-01-30,5.5,5.5,5.11,5.14,112000,-0.0655,-0.032,575680.0,1464589.6
2004-02-02,5.15,5.39,5.12,5.13,136600,-0.0039,-0.0019,700758.0,1387017.6
2004-02-03,5.12,5.2,4.58,4.93,425300,-0.0371,-0.039,2096729.0,1146570.4
2004-02-04,4.99,5.05,4.92,4.97,330000,-0.004,0.0081,1640100.0,1201684.5
2004-02-05,5.0,5.27,5.0,5.15,134600,0.03,0.0362,693190.0,1216663.5
2004-02-06,5.29,5.33,5.18,5.28,112100,-0.0019,0.0252,591888.0,1115956.9
2004-02-09,5.39,5.49,5.33,5.36,160900,-0.0056,0.0152,862424.0,996252.9
2004-02-10,5.5,5.5,5.13,5.4,121500,-0.0182,0.0075,656100.0,897510.5
2004-02-11,5.7,6.25,5.64,6.25,1280200,0.0965,0.1574,8001250.0,914503.7
2004-02-12,6.27,6.74,5.85,6.03,666500,-0.0383,-0.0352,4018995.0,1651160.5
2004-02-13,5.98,6.04,5.75,5.9,229400,-0.0134,-0.0216,1353460.0,1983711.4
2004-02-17,6.12,6.13,5.86,5.9,236100,-0.0359,0.0,1392990.0,2061489.4
2004-02-18,5.83,5.9,5.47,5.66,406600,-0.0292,-0.0407,2301356.0,2130712.6
2004-02-19,5.61,5.75,5.19,5.25,288600,-0.0642,-0.0724,1515150.0,2151175.3
2004-02-20,5.28,5.38,5.16,5.22,425200,-0.0114,-0.0057,2219544.0,2138680.3
2004-02-23,5.35,5.47,5.25,5.25,138100,-0.0187,0.0057,725025.0,2291315.7
2004-02-24,5.33,5.33,5.0,5.04,126200,-0.0544,-0.04,636048.0,2304629.4
2004-02-25,5.1,5.2,5.04,5.12,90000,0.0039,0.0159,460800.0,2281991.8
2004-02-26,5.1,5.35,4.89,5.1,82600,0.0,-0.0039,421260.0,2262461.8
2004-02-27,5.1,5.1,4.95,5.07,166000,-0.0059,-0.0059,841620.0,1504462.8
2004-03-01,5.05,5.1,4.93,5.0,278100,-0.0099,-0.0138,1390500.0,1186725.3
2004-03-02,4.98,5.0,4.68,4.99,279200,0.002,-0.002,1393208.0,1190429.3
2004-03-03,5.0,5.25,4.96,5.03,294200,0.006,0.008,1479826.0,1190451.1
2004-03-04,5.1,5.18,5.0,5.05,217100,-0.0098,0.004,1096355.0,1108298.1
2004-03-05,4.95,5.18,4.86,5.13,84600,0.0364,0.0158,433998.0,1066418.6
2004-03-08,5.26,5.26,4.93,4.99,97800,-0.0513,-0.0273,488022.0,887864.0
2004-03-09,5.0,5.02,4.86,4.9,79600,-0.02,-0.018,390040.0,864163.7
2004-03-10,4.88,4.9,4.4,4.41,451700,-0.0963,-0.1,1991997.0,839562.9
2004-03-11,4.51,4.63,4.47,4.48,253400,-0.0067,0.0159,1135232.0,992682.6
2004-03-12,4.48,4.62,4.48,4.6,71300,0.0268,0.0268,327980.0,1064079.8
2004-03-15,4.68,4.79,4.52,4.56,72200,-0.0256,-0.0087,329232.0,1012715.8
2004-03-16,4.69,4.75,4.25,4.44,262800,-0.0533,-0.0263,1166832.0,906589.0
