Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2016-10-07,9.1,9.99,8.0,8.02,1793700,-0.1187,,14385474.0,
2016-10-10,8.0,8.38,8.0,8.0,267600,0.0,-0.0025,2140800.0,
2016-10-11,8.0,8.14,7.45,7.5,282400,-0.0625,-0.0625,2118000.0,
2016-10-12,7.5,7.59,7.5,7.5,99000,0.0,0.0,742500.0,
2016-10-13,7.5,7.63,6.15,6.78,145400,-0.096,-0.096,985812.0,
2016-10-14,6.58,6.8,6.28,6.5,115300,-0.0122,-0.0413,749450.0,
2016-10-17,6.65,6.69,6.25,6.69,162200,0.006,0.0292,1085118.0,
2016-10-18,6.75,6.75,6.4,6.62,82100,-0.0193,-0.0105,543502.0,
2016-10-19,6.75,6.75,6.4,6.56,22000,-0.0281,-0.0091,144320.0,
2016-10-20,6.41,6.68,6.41,6.61,49400,0.0312,0.0076,326534.0,
2016-10-21,6.51,6.65,6.45,6.5,90500,-0.0015,-0.0166,588250.0,2322151.0
2016-10-24,6.54,6.59,6.43,6.46,19100,-0.0122,-0.0062,123386.0,942428.6
2016-10-25,6.46,6.69,6.25,6.33,57100,-0.0201,-0.0201,361443.0,740687.2
2016-10-26,6.29,7.36,6.26,7.36,98000,0.1701,0.1627,721280.0,565031.5
2016-10-27,7.3,7.65,6.86,7.5,275300,0.0274,0.019,2064750.0,562909.5
2016-10-28,7.51,7.52,6.59,6.82,55300,-0.0919,-0.0907,377146.0,670803.3
2016-10-31,6.88,6.9,6.59,6.66,39600,-0.032,-0.0235,263736.0,633572.9
2016-11-01,6.4,7.3,6.4,7.25,19000,0.1328,0.0886,137750.0,551434.7
2016-11-02,7.42,7.42,6.75,6.98,54100,-0.0593,-0.0372,377618.0,510859.5
2016-11-03,7.2,7.2,6.45,6.59,68400,-0.0847,-0.0559,450756.0,534189.3
2016-11-04,6.93,7.0,6.47,6.87,44300,-0.0087,0.0425,304341.0,546611.5
2016-11-07,7.25,7.25,6.75,6.84,24000,-0.0566,-0.0044,164160.0,518220.6
2016-11-08,6.87,7.19,6.75,7.04,19300,0.0247,0.0292,135872.0,522298.0
2016-11-09,6.98,7.25,6.9,6.92,13200,-0.0086,-0.017,91344.0,499740.9
2016-11-10,7.25,7.25,6.9,7.03,9600,-0.0303,0.0159,67488.0,436747.3
2016-11-11,7.0,7.0,6.8,6.8,9700,-0.0286,-0.0327,65960.0,237021.1
2016-11-14,6.8,7.16,6.77,6.93,36100,0.0191,0.0191,250173.0,205902.5
2016-11-15,7.49,7.6,6.81,6.91,33900,-0.0774,-0.0029,234249.0,204546.2
2016-11-16,7.2,7.53,6.95,6.96,17600,-0.0333,0.0072,122496.0,214196.1
2016-11-17,7.04,7.04,6.86,6.86,22800,-0.0256,-0.0144,156408.0,188683.9
2016-11-18,7.48,7.48,6.8,7.2,30800,-0.0374,0.0496,221760.0,159249.1
2016-11-21,7.19,7.22,7.0,7.22,36600,0.0042,0.0028,264252.0,150991.0
2016-11-22,7.2,7.25,7.15,7.23,27000,0.0042,0.0014,195210.0,161000.2
2016-11-23,7.28,7.28,6.9,7.07,136900,-0.0288,-0.0221,967883.0,166934.0
2016-11-25,7.07,7.29,7.07,7.29,9500,0.0311,0.0311,69255.0,254587.9
2016-11-28,7.17,7.24,7.0,7.23,18400,0.0084,-0.0082,133032.0,254764.6
2016-11-29,7.17,7.33,7.15,7.33,21100,0.0223,0.0138,154663.0,261471.8
2016-11-30,7.28,7.4,7.2,7.34,8300,0.0082,0.0014,60922.0,251920.8
2016-12-01,7.35,7.59,7.3,7.5,22900,0.0204,0.0218,171750.0,234588.1
2016-12-02,7.5,7.5,7.21,7.37,28200,-0.0173,-0.0173,207834.0,239513.5
2016-12-05,7.44,7.64,7.17,7.39,42100,-0.0067,0.0027,311119.0,244656.1
2016-12-06,7.45,7.45,7.22,7.3,100700,-0.0201,-0.0122,735110.0,253592.0
2016-12-07,7.28,7.5,7.28,7.35,29000,0.0096,0.0068,213150.0,300677.8
2016-12-08,7.35,7.48,7.25,7.35,30800,0.0,0.0,226380.0,302471.8
2016-12-09,7.35,7.35,7.2,7.34,21100,-0.0014,-0.0014,154874.0,228321.5
2016-12-12,7.34,7.74,7.34,7.44,96700,0.0136,0.0136,719448.0,236883.4
2016-12-13,7.45,7.45,7.36,7.44,44300,-0.0013,0.0,329592.0,295525.0
2016-12-14,7.39,7.41,7.15,7.25,26700,-0.0189,-0.0255,193575.0,313017.9
2016-12-15,7.4,7.44,7.15,7.17,26700,-0.0311,-0.011,191439.0,326283.2
2016-12-16,7.2,7.43,6.63,6.63,158100,-0.0792,-0.0753,1048203.0,328252.1
2016-12-19,6.77,7.14,6.77,6.91,38500,0.0207,0.0422,266035.0,412289.0
2016-12-20,6.94,7.23,6.94,7.09,74600,0.0216,0.026,528914.0,407780.6
2016-12-21,7.12,7.34,7.06,7.07,71400,-0.007,-0.0028,504798.0,387161.0
2016-12-22,7.07,7.35,7.07,7.35,74000,0.0396,0.0396,543900.0,416325.8
2016-12-23,7.36,7.45,7.15,7.33,23500,-0.0041,-0.0027,172255.0,448077.8
2016-12-27,7.34,7.34,7.13,7.29,14800,-0.0068,-0.0055,107892.0,449815.9
2016-12-28,7.5,7.5,7.28,7.28,28000,-0.0293,-0.0014,203840.0,388660.3
2016-12-29,7.4,7.4,7.31,7.38,115500,-0.0027,0.0137,852390.0,376085.1
2016-12-30,7.5,8.3,7.34,8.29,67700,0.1053,0.1233,561233.0,441966.6
2017-01-03,8.26,8.26,7.6,7.63,20700,-0.0763,-0.0796,157941.0,478946.0
2017-01-04,7.65,7.94,7.3,7.61,14900,-0.0052,-0.0026,113389.0,389919.8
2017-01-05,7.47,8.24,7.45,7.58,10100,0.0147,-0.0039,76558.0,374655.2
2017-01-06,7.73,8.19,7.64,7.66,102400,-0.0091,0.0106,784384.0,329419.6
2017-01-09,7.71,8.04,7.71,8.0,3500,0.0376,0.0444,28000.0,357378.2
2017-01-10,8.02,8.08,7.77,7.78,5400,-0.0299,-0.0275,42012.0,305788.2
2017-01-11,8.2,8.49,8.0,8.41,52300,0.0256,0.081,439843.0,292763.9
2017-01-12,8.6,8.6,8.03,8.03,29000,-0.0663,-0.0452,232870.0,325959.0
2017-01-13,8.05,8.41,8.04,8.05,29300,0.0,0.0025,235865.0,328862.0
2017-01-17,8.03,8.2,8.03,8.11,35300,0.01,0.0075,286283.0,267209.5
2017-01-18,8.33,8.4,8.24,8.26,18300,-0.0084,0.0185,151158.0,239714.5
2017-01-19,8.47,8.5,8.22,8.24,32700,-0.0272,-0.0024,269448.0,239036.2
2017-01-20,8.29,8.32,8.03,8.32,23000,0.0036,0.0097,191360.0,254642.1
2017-01-23,8.32,8.32,8.0,8.25,20200,-0.0084,-0.0084,166650.0,266122.3
2017-01-24,8.26,8.3,7.91,8.03,31000,-0.0278,-0.0267,248930.0,204348.9
2017-01-25,8.03,8.32,8.03,8.18,31700,0.0187,0.0187,259306.0,226441.9
2017-01-26,8.15,8.26,8.15,8.26,33200,0.0135,0.0098,274232.0,248171.3
2017-01-27,8.43,8.44,8.21,8.24,10300,-0.0225,-0.0024,84872.0,231610.2
2017-01-30,8.23,8.49,8.2,8.24,10400,0.0012,0.0,85696.0,216810.4
2017-01-31,8.45,8.45,8.01,8.11,16000,-0.0402,-0.0158,129760.0,201793.5
2017-02-01,8.1,8.1,7.95,7.99,23700,-0.0136,-0.0148,189363.0,186141.2
2017-02-02,7.86,8.01,7.86,7.97,24900,0.014,-0.0025,198453.0,189961.7
2017-02-03,8.1,8.12,7.95,8.05,21900,-0.0062,0.01,176295.0,182862.2
2017-02-06,7.99,8.1,7.94,8.01,5600,0.0025,-0.005,44856.0,181355.7
2017-02-07,8.08,8.08,8.0,8.0,7800,-0.0099,-0.0012,62400.0,169176.3
2017-02-08,7.93,8.0,7.9,7.92,40600,-0.0013,-0.01,321552.0,150523.3
2017-02-09,7.98,7.99,7.78,7.85,18600,-0.0163,-0.0088,146010.0,156747.9
2017-02-10,7.85,8.02,7.85,7.99,3900,0.0178,0.0178,31161.0,143925.7
2017-02-13,7.95,7.99,7.95,7.95,2000,0.0,-0.005,15900.0,138554.6
2017-02-14,7.95,8.71,7.95,8.7,114300,0.0943,0.0943,994410.0,131575.0
2017-02-15,9.25,9.43,8.7,9.09,276600,-0.0173,0.0448,2514294.0,218040.0
2017-02-16,9.18,9.38,8.82,9.04,42200,-0.0153,-0.0055,381488.0,450533.1
2017-02-17,9.04,9.47,9.02,9.33,52900,0.0321,0.0321,493557.0,468836.6
2017-02-21,9.44,10.0,9.41,9.99,120900,0.0583,0.0707,1207791.0,500562.8
2017-02-22,10.08,10.16,9.9,10.13,64300,0.005,0.014,651359.0,616856.3
2017-02-23,10.22,10.22,9.76,9.91,41300,-0.0303,-0.0217,409283.0,675752.2
2017-02-24,9.88,10.15,9.51,10.15,37900,0.0273,0.0242,384685.0,684525.3
2017-02-27,10.19,10.19,9.79,9.87,17000,-0.0314,-0.0276,167790.0,708392.8
2017-02-28,9.83,10.25,9.7,10.03,47600,0.0203,0.0162,477428.0,722055.7
2017-03-01,10.05,10.28,9.59,9.78,48100,-0.0269,-0.0249,470418.0,768208.5
2017-03-02,9.92,10.05,9.76,10.03,32100,0.0111,0.0256,321963.0,715809.3
2017-03-03,9.97,9.97,8.95,9.01,79400,-0.0963,-0.1017,715394.0,496576.2
2017-03-06,8.99,9.41,8.97,8.99,13500,0.0,-0.0022,121365.0,529966.8
2017-03-07,8.95,9.05,8.91,9.0,22600,0.0056,0.0011,203400.0,492747.6
2017-03-08,8.95,9.01,8.88,8.95,12800,0.0,-0.0056,114560.0,392308.5
2017-03-09,8.9,8.96,8.73,8.79,22300,-0.0124,-0.0179,196017.0,338628.6
2017-03-10,8.75,8.82,8.25,8.51,86800,-0.0274,-0.0319,738668.0,317302.0
2017-03-13,8.58,8.58,8.38,8.5,34000,-0.0093,-0.0012,289000.0,352700.3
2017-03-14,8.42,8.61,8.29,8.3,28300,-0.0143,-0.0235,234890.0,364821.3
2017-03-15,8.32,8.36,7.56,7.56,42700,-0.0913,-0.0892,322812.0,340567.5
2017-03-16,7.5,8.08,7.49,8.04,34800,0.072,0.0635,279792.0,325806.9
2017-03-17,8.16,8.38,8.01,8.09,29400,-0.0086,0.0062,237846.0,321589.8
2017-03-20,8.21,8.4,8.0,8.03,31800,-0.0219,-0.0074,255354.0,273835.0
2017-03-21,7.97,8.2,7.5,7.5,32300,-0.059,-0.066,242250.0,287233.9
2017-03-22,7.52,8.08,7.52,7.73,53400,0.0279,0.0307,412782.0,291118.9
2017-03-23,7.69,8.02,7.0,7.8,57300,0.0143,0.0091,446940.0,320941.1
2017-03-24,7.87,7.96,7.59,7.88,15800,0.0013,0.0103,124504.0,346033.4
2017-03-27,7.81,8.06,7.61,7.65,24800,-0.0205,-0.0292,189720.0,284617.0
2017-03-28,7.47,7.95,7.47,7.7,23700,0.0308,0.0065,182490.0,274689.0
2017-03-29,7.5,7.85,7.5,7.82,18100,0.0427,0.0156,141542.0,269449.0
2017-03-30,7.77,8.05,7.74,7.93,122500,0.0206,0.0141,971425.0,251322.0
2017-03-31,7.98,8.93,7.96,8.38,135900,0.0501,0.0567,1138842.0,320485.3
2017-04-03,8.32,8.75,8.15,8.31,54500,-0.0012,-0.0084,452895.0,410584.9
2017-04-04,8.35,8.5,8.15,8.15,68300,-0.024,-0.0193,556645.0,430339.0
2017-04-05,8.6,8.6,7.8,7.95,37900,-0.0756,-0.0245,301305.0,461778.5
2017-04-06,8.02,8.9,7.9,8.89,54600,0.1085,0.1182,485394.0,450630.8
2017-04-07,9.21,9.21,8.5,8.7,41700,-0.0554,-0.0214,362790.0,454476.2
2017-04-10,8.89,8.92,8.5,8.5,7900,-0.0439,-0.023,67150.0,478304.8
2017-04-11,8.48,8.9,8.12,8.38,8200,-0.0118,-0.0141,68716.0,466047.8
2017-04-12,8.38,8.78,8.29,8.59,14700,0.0251,0.0251,126273.0,454670.4
2017-04-13,8.66,8.69,8.35,8.46,6100,-0.0231,-0.0151,51606.0,453143.5
2017-04-17,8.59,8.78,8.4,8.74,8200,0.0175,0.0331,71668.0,361161.6
2017-04-18,8.7,8.86,8.66,8.68,31400,-0.0023,-0.0069,272552.0,254444.2
2017-04-19,8.68,9.22,8.68,9.16,67000,0.0553,0.0553,613720.0,236409.9
2017-04-20,9.22,9.32,9.1,9.27,52700,0.0054,0.012,488529.0,242117.4
2017-04-21,9.37,9.4,8.82,9.15,40400,-0.0235,-0.0129,369660.0,260839.8
2017-04-24,9.22,9.35,8.98,9.29,79800,0.0076,0.0153,741342.0,249266.4
2017-04-25,9.39,9.73,9.02,9.41,74500,0.0021,0.0129,701045.0,287121.6
2017-04-26,9.64,9.74,9.35,9.74,34500,0.0104,0.0351,336030.0,350511.1
2017-04-27,9.98,9.98,9.27,9.3,36100,-0.0681,-0.0452,335730.0,377242.5
2017-04-28,9.42,10.0,9.31,10.0,28800,0.0616,0.0753,288000.0,398188.2
2017-05-01,10.0,10.1,9.76,10.02,105600,0.002,0.002,1058112.0,421827.6
2017-05-02,10.05,10.06,9.4,9.63,49700,-0.0418,-0.0389,478611.0,520472.0
2017-05-03,9.6,9.6,8.87,9.34,15000,-0.0271,-0.0301,140100.0,541077.9
2017-05-04,8.88,9.35,8.88,9.31,16000,0.0484,-0.0032,148960.0,493715.9
2017-05-05,9.25,9.25,9.1,9.21,5000,-0.0043,-0.0107,46050.0,459759.0
2017-05-08,9.29,9.44,9.13,9.44,7900,0.0161,0.025,74576.0,427398.0
2017-05-09,9.3,9.59,9.23,9.5,22900,0.0215,0.0064,217550.0,360721.4
2017-05-10,9.42,9.59,9.4,9.4,10400,-0.0021,-0.0105,97760.0,312371.9
2017-05-11,9.43,9.71,9.11,9.11,41600,-0.0339,-0.0309,378976.0,288544.9
2017-05-12,9.02,10.2,9.02,10.06,93800,0.1153,0.1043,943628.0,292869.5
2017-05-15,10.0,10.61,9.88,10.16,51100,0.016,0.0099,519176.0,358432.3
2017-05-16,10.25,10.29,9.61,10.29,47500,0.0039,0.0128,488775.0,304538.7
2017-05-17,9.69,9.75,9.03,9.34,82400,-0.0361,-0.0923,769616.0,305555.1
2017-05-18,9.29,9.99,9.1,9.85,60700,0.0603,0.0546,597895.0,368506.7
2017-05-19,9.8,9.9,9.39,9.9,24900,0.0102,0.0051,246510.0,413400.2
2017-05-22,10.14,12.0,10.13,11.08,628200,0.0927,0.1192,6960456.0,433446.2
2017-05-23,11.9,12.7,11.49,12.49,432800,0.0496,0.1273,5405672.0,1122034.2
2017-05-24,12.5,13.74,12.5,13.2,314100,0.056,0.0568,4146120.0,1640846.4
2017-05-25,13.5,13.65,11.64,12.97,292700,-0.0393,-0.0174,3796319.0,2045682.4
2017-05-26,13.0,13.1,12.55,13.02,90700,0.0015,0.0039,1180914.0,2387416.7
2017-05-30,13.16,14.75,12.75,14.57,265400,0.1071,0.119,3866878.0,2411145.3
2017-05-31,15.15,18.48,15.01,17.98,737600,0.1868,0.234,13262048.0,2745915.5
2017-06-01,18.5,20.5,17.32,17.85,736100,-0.0351,-0.0072,13139385.0,4023242.8
2017-06-02,17.45,17.6,15.05,16.64,540400,-0.0464,-0.0678,8992256.0,5260219.7
2017-06-05,17.15,17.15,15.66,16.32,308700,-0.0484,-0.0192,5037984.0,6099655.8
2017-06-06,16.35,16.73,15.81,15.96,253000,-0.0239,-0.0221,4037880.0,6578803.2
2017-06-07,15.96,16.5,15.2,15.33,322100,-0.0395,-0.0395,4937793.0,6286545.6
2017-06-08,15.2,18.26,14.77,18.03,461300,0.1862,0.1761,8317239.0,6239757.7
2017-06-09,18.25,21.44,16.55,18.22,627400,-0.0016,0.0105,11431228.0,6656869.6
2017-06-12,17.86,19.2,17.03,17.76,192000,-0.0056,-0.0252,3409920.0,7420360.5
2017-06-13,17.75,19.1,17.62,18.59,226700,0.0473,0.0467,4214353.0,7643261.1
2017-06-14,19.0,19.0,16.77,17.74,150300,-0.0663,-0.0457,2666322.0,7678008.6
2017-06-15,17.9,18.0,17.01,17.43,92000,-0.0263,-0.0175,1603560.0,6618436.0
2017-06-16,17.7,19.0,17.13,18.81,415500,0.0627,0.0792,7815555.0,5464853.5
