Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,8.84,8.98,8.83,8.96,2859011,0.0136,,25616738.56,
2003-12-02,8.97,9.09,8.94,9.0,3053143,0.0033,0.0045,27478287.0,
2003-12-03,9.01,9.08,8.88,8.89,5439061,-0.0133,-0.0122,48353252.29,
2003-12-04,8.89,9.0,8.89,9.0,4621961,0.0124,0.0124,41597649.0,
2003-12-05,8.98,9.05,8.97,9.01,3954401,0.0033,0.0011,35629153.01,
2003-12-08,9.04,9.05,8.98,9.01,4337972,-0.0033,0.0,39085127.72,
2003-12-09,9.04,9.08,9.02,9.04,5931601,0.0,0.0033,53621673.04,
2003-12-10,9.05,9.1,9.03,9.08,4652137,0.0033,0.0044,42241403.96,
2003-12-11,9.09,9.24,9.04,9.21,4317184,0.0132,0.0143,39761264.64,
2003-12-12,9.21,9.25,9.17,9.21,3136295,0.0,0.0,28885276.95,
2003-12-15,9.22,9.25,9.08,9.09,3569824,-0.0141,-0.013,32449700.16,38226982.62
2003-12-16,9.14,9.21,9.08,9.17,5772003,0.0033,0.0088,52929267.51,38910278.78
2003-12-17,9.17,9.28,9.17,9.26,7306287,0.0098,0.0098,67656217.62,41455376.83
2003-12-18,9.3,9.63,9.28,9.59,5318357,0.0312,0.0356,51003043.63,43385673.36
2003-12-19,9.63,9.65,9.55,9.59,5740151,-0.0042,0.0,55048048.09,44326212.82
2003-12-22,9.61,9.64,9.57,9.61,2905951,0.0,0.0021,27926189.11,46268102.33
2003-12-23,9.61,9.63,9.53,9.59,2545180,-0.0021,-0.0021,24408276.2,45152208.47
2003-12-24,9.6,9.77,9.6,9.71,2347695,0.0115,0.0125,22796118.45,42230868.79
2003-12-26,9.75,9.79,9.71,9.74,1666052,-0.001,0.0031,16227346.48,40286340.24
2003-12-29,9.81,9.91,9.77,9.9,2299749,0.0092,0.0164,22767515.1,37932948.42
2003-12-30,9.9,10.02,9.89,9.95,3464208,0.0051,0.0051,34468869.6,37321172.24
2003-12-31,9.95,9.99,9.83,9.87,3922213,-0.008,-0.008,38712242.31,37523089.18
2004-01-02,9.89,9.99,9.87,9.92,3638558,0.003,0.0051,36094495.36,36101386.66
2004-01-05,9.99,10.17,9.97,10.16,4277955,0.017,0.0242,43464022.8,32945214.43
2004-01-06,10.16,10.18,10.1,10.17,4589103,0.001,0.001,46671177.51,32191312.35
2004-01-07,10.15,10.17,9.99,10.13,4259514,-0.002,-0.0039,43148876.82,31353625.29
2004-01-08,10.2,10.2,10.05,10.17,4137133,-0.0029,0.0039,42074642.61,32875894.06
2004-01-09,10.17,10.22,10.06,10.14,4470411,-0.0029,-0.0029,45329967.54,34642530.7
2004-01-12,10.14,10.19,10.11,10.13,3472255,-0.001,-0.001,35173943.15,36895915.61
2004-01-13,10.17,10.27,10.16,10.21,3915172,0.0039,0.0079,39973906.12,38790575.28
2004-01-14,10.21,10.21,10.08,10.13,5695557,-0.0078,-0.0078,57695992.41,40511214.38
2004-01-15,10.17,10.18,9.98,9.99,5409220,-0.0177,-0.0138,54038107.8,42833926.66
2004-01-16,10.02,10.02,9.92,9.96,5193965,-0.006,-0.003,51731891.4,44366513.21
2004-01-20,10.11,10.21,10.04,10.18,6482816,0.0069,0.0221,65995066.88,45930252.82
2004-01-21,10.19,10.3,10.14,10.28,4538810,0.0088,0.0098,46658966.8,48183357.22
2004-01-22,10.29,10.31,10.12,10.17,3448785,-0.0117,-0.0107,35074143.45,48182136.15
2004-01-23,10.22,10.28,10.14,10.21,5429003,-0.001,0.0039,55430120.63,47374662.82
2004-01-26,10.21,10.34,10.1,10.31,3974183,0.0098,0.0098,40973826.73,48710210.62
2004-01-27,10.35,10.35,10.05,10.27,4546521,-0.0077,-0.0039,46692770.67,48274596.54
2004-01-28,10.27,10.29,9.98,9.98,5989271,-0.0282,-0.0282,59772924.58,49426479.29
2004-01-29,9.98,10.03,9.71,9.82,7711651,-0.016,-0.016,75728412.82,51406381.14
2004-01-30,9.76,9.78,9.62,9.69,4887510,-0.0072,-0.0132,47359971.9,53209623.18
2004-02-02,9.69,9.8,9.58,9.74,5961777,0.0052,0.0052,58067707.98,52541809.59
2004-02-03,9.68,9.84,9.59,9.79,3368650,0.0114,0.0051,32979083.5,53175391.24
2004-02-04,9.74,9.78,9.51,9.51,5416932,-0.0236,-0.0286,51515023.32,49873792.91
2004-02-05,9.54,9.57,9.44,9.44,4130427,-0.0105,-0.0074,38991230.88,50359398.56
2004-02-06,9.51,9.64,9.44,9.62,2891199,0.0116,0.0191,27813334.38,50751107.3
2004-02-09,9.62,9.79,9.59,9.71,3813915,0.0094,0.0094,37033114.65,47989428.68
2004-02-10,9.65,9.8,9.63,9.8,4129086,0.0155,0.0093,40465042.8,47595357.47
2004-02-11,9.87,9.99,9.75,9.99,5369992,0.0122,0.0194,53646220.08,46972584.68
2004-02-12,9.99,10.03,9.87,9.96,3703604,-0.003,-0.003,36887895.84,46359914.23
2004-02-13,9.95,10.02,9.83,9.99,3646605,0.004,0.003,36429583.95,42475862.53
2004-02-17,9.99,10.14,9.99,10.07,4049623,0.008,0.008,40779703.61,41382823.74
2004-02-18,10.17,10.2,10.09,10.11,5358256,-0.0059,0.004,54171968.16,39654023.3
2004-02-19,10.11,10.26,10.11,10.14,4153898,0.003,0.003,42120525.72,41773311.77
2004-02-20,10.23,10.25,10.04,10.11,3931601,-0.0117,-0.003,39748486.11,40833862.01
2004-02-23,10.16,10.18,10.09,10.15,2508298,-0.001,0.004,25459224.7,40909587.53
2004-02-24,10.14,10.25,10.11,10.13,3056496,-0.001,-0.002,30962304.48,40674176.56
2004-02-25,10.13,10.21,10.09,10.18,2550210,0.0049,0.0049,25961137.8,40067095.54
2004-02-26,10.17,10.29,10.16,10.27,2602179,0.0098,0.0088,26724378.33,38616705.04
2004-02-27,10.27,10.53,10.25,10.48,4446605,0.0204,0.0204,46600420.4,35924520.87
2004-03-01,10.48,10.83,10.48,10.75,7288516,0.0258,0.0258,78351547.0,36895773.33
2004-03-02,10.71,10.76,10.44,10.45,6694384,-0.0243,-0.0279,69956312.8,41087969.63
2004-03-03,10.39,10.53,10.36,10.49,3574518,0.0096,0.0038,37496693.82,44005630.55
2004-03-04,10.47,10.48,10.37,10.43,2723889,-0.0038,-0.0057,28410162.27,42338103.12
2004-03-05,10.43,10.58,10.41,10.53,4057670,0.0096,0.0096,42727265.1,40967066.77
2004-03-08,10.6,10.68,10.56,10.59,1792791,-0.0009,0.0057,18985656.69,41264944.67
2004-03-09,10.53,10.6,10.51,10.55,2928416,0.0019,-0.0038,30894788.8,40617587.87
2004-03-10,10.61,10.64,10.39,10.4,3868567,-0.0198,-0.0142,40233096.8,40610836.3
2004-03-11,10.39,10.41,10.16,10.17,3613747,-0.0212,-0.0221,36751806.99,42038032.2
2004-03-12,10.27,10.32,10.14,10.3,2740989,0.0029,0.0128,28232186.7,43040775.07
2004-03-15,10.33,10.39,10.26,10.3,3579212,-0.0029,0.0,36865883.6,41203951.7
2004-03-16,10.35,10.37,10.24,10.28,3274434,-0.0068,-0.0019,33661181.52,37055385.36
2004-03-17,10.3,10.52,10.27,10.5,3083655,0.0194,0.0214,32378377.5,33425872.23
2004-03-18,10.44,10.58,10.41,10.56,3640235,0.0115,0.0057,38440881.6,32914040.6
2004-03-19,10.56,10.59,10.13,10.13,8737636,-0.0407,-0.0407,88512252.68,33917112.53
2004-03-22,9.94,10.11,9.9,9.97,6768483,0.003,-0.0158,67481775.51,38495611.29
2004-03-23,9.96,9.96,9.73,9.88,8510310,-0.008,-0.009,84081862.8,43345223.17
2004-03-24,9.87,9.89,9.59,9.63,7338139,-0.0243,-0.0253,70666278.57,48663930.57
2004-03-25,9.59,9.59,9.15,9.18,20929422,-0.0428,-0.0467,192132093.96,51707248.75
2004-03-26,9.11,9.39,9.04,9.39,41755909,0.0307,0.0229,392087985.51,67245277.44
2004-03-29,9.39,9.52,9.32,9.39,11509137,0.0,0.0,108070796.43,103630857.32
2004-03-30,9.54,9.85,9.44,9.75,15206706,0.022,0.0383,148265383.5,110751348.61
2004-03-31,9.84,10.09,9.84,10.04,18307460,0.0203,0.0297,183806898.4,122211768.81
2004-04-01,10.08,10.2,9.75,9.8,14506957,-0.0278,-0.0239,142168178.6,137354620.9
2004-04-02,9.84,9.89,9.66,9.77,9774686,-0.0071,-0.0031,95498682.22,147727350.6
2004-04-05,9.83,9.89,9.76,9.89,5395809,0.0061,0.0123,53364551.01,148425993.55
2004-04-06,9.83,9.94,9.75,9.89,5853814,0.0061,0.0,57894220.46,147014271.1
2004-04-07,9.9,9.9,9.69,9.81,6508298,-0.0091,-0.0081,63846403.38,144395506.87
2004-04-08,9.86,10.06,9.85,10.02,9036044,0.0162,0.0214,90541160.88,143713519.35
2004-04-12,10.07,10.23,10.05,10.16,7892707,0.0089,0.014,80189903.12,133554426.04
2004-04-13,10.29,10.29,10.0,10.04,8487175,-0.0243,-0.0118,85211237.0,102364617.8
2004-04-14,10.06,10.08,9.86,9.95,6609220,-0.0109,-0.009,65761739.0,100078661.86
2004-04-15,10.01,10.17,9.95,10.14,5934283,0.013,0.0191,60173629.62,91828297.41
2004-04-16,10.23,10.27,10.13,10.26,5014250,0.0029,0.0118,51446205.0,79464970.53
2004-04-19,10.26,10.26,10.1,10.23,6420453,-0.0029,-0.0029,65681234.19,70392773.17
2004-04-20,10.23,10.23,9.92,9.93,3879966,-0.0293,-0.0293,38528062.38,67411028.37
2004-04-21,9.9,10.02,9.77,9.97,6283990,0.0071,0.004,62651380.3,65927379.5
2004-04-22,9.97,10.17,9.9,10.13,5609053,0.016,0.016,56819706.89,66403095.49
2004-04-23,10.08,10.26,9.99,10.16,6593462,0.0079,0.003,66989573.92,65700425.84
2004-04-26,10.17,10.34,10.17,10.24,7510813,0.0069,0.0079,76910725.12,63345267.14
2004-04-27,10.29,10.61,10.24,10.48,8148533,0.0185,0.0234,85396625.84,63017349.34
2004-04-28,10.44,10.44,10.15,10.2,6819111,-0.023,-0.0267,69554932.2,63035888.23
2004-04-29,10.23,10.23,9.81,9.87,5706622,-0.0352,-0.0324,56324359.14,63415207.55
2004-04-30,9.96,10.05,9.95,10.01,6930427,0.005,0.0142,69373574.27,63030280.5
2004-05-03,10.06,10.14,9.95,10.06,8536127,0.0,0.005,85873437.62,64823017.42
2004-05-04,10.14,10.29,10.08,10.24,5672758,0.0099,0.0179,58089041.92,66842237.77
2004-05-05,10.2,10.32,10.11,10.3,5665717,0.0098,0.0059,58356885.1,68798335.72
2004-05-06,10.3,10.39,10.19,10.36,6112992,0.0058,0.0058,63330597.12,68368886.2
2004-05-07,10.3,10.33,10.02,10.04,3670075,-0.0252,-0.0309,36847553.0,69019975.22
2004-05-10,9.98,9.98,9.65,9.74,5294552,-0.024,-0.0299,51568936.48,66005773.13
2004-05-11,9.74,10.08,9.74,10.05,6321207,0.0318,0.0318,63528130.35,63471594.27
2004-05-12,10.05,10.17,9.93,10.11,4747024,0.006,0.006,47992412.64,61284744.72
2004-05-13,10.11,10.14,9.81,9.88,8671249,-0.0227,-0.0227,85671940.12,59128492.76
2004-05-14,9.93,10.1,9.86,10.02,6889858,0.0091,0.0142,69036377.16,62063250.86
2004-05-17,9.96,10.08,9.86,9.87,6487846,-0.009,-0.015,64035040.02,62029531.15
2004-05-18,9.92,9.92,9.72,9.76,4475775,-0.0161,-0.0111,43683564.0,59845691.39
2004-05-19,9.78,9.84,9.54,9.61,6856329,-0.0174,-0.0154,65889321.69,58405143.6
2004-05-20,9.65,9.74,9.61,9.68,4174015,0.0031,0.0073,40404465.2,59158387.26
2004-05-21,9.79,9.79,9.6,9.69,3643923,-0.0102,0.001,35309613.87,56865774.07
2004-05-24,9.7,9.8,9.61,9.77,6507293,0.0072,0.0083,63576252.61,56711980.15
2004-05-25,9.79,9.99,9.77,9.99,4839899,0.0204,0.0225,48350591.01,57912711.77
2004-05-26,10.04,10.09,9.96,10.04,5829673,0.0,0.005,58529916.92,56394957.83
2004-05-27,10.04,10.06,9.77,9.83,8678961,-0.0209,-0.0209,85314186.63,57448708.26
2004-05-28,9.9,9.98,9.83,9.94,5843755,0.004,0.0112,58086924.7,57412932.91
2004-06-01,10.04,10.22,10.04,10.22,10293713,0.0179,0.0282,105201746.86,56317987.66
2004-06-02,10.25,10.4,10.2,10.23,12430511,-0.002,0.001,127164127.53,60434658.35
2004-06-03,10.27,10.27,10.01,10.03,7992959,-0.0234,-0.0196,80169378.77,68782714.7
2004-06-04,10.05,10.07,9.87,9.89,6314837,-0.0159,-0.014,62453737.93,70210720.41
2004-06-07,9.96,10.23,9.92,10.22,4959598,0.0261,0.0334,50687091.56,72415647.68
2004-06-08,10.28,10.41,10.16,10.2,9528248,-0.0078,-0.002,97188129.6,73953395.45
2004-06-09,10.2,10.22,10.1,10.11,6550545,-0.0088,-0.0088,66226009.95,77314583.15
2004-06-10,10.23,10.29,10.17,10.29,4358424,0.0059,0.0178,44848182.96,79102125.04
2004-06-14,10.22,10.25,10.15,10.18,6598826,-0.0039,-0.0107,67176048.68,77733951.65
2004-06-15,10.29,10.42,10.27,10.4,6305113,0.0107,0.0216,65573175.2,75920137.85
2004-06-16,10.44,10.61,10.44,10.59,6476111,0.0144,0.0183,68582015.49,76668762.9
