Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2015-09-17,128.39,128.39,128.39,128.39,421,0.0,,54052.19,
2015-09-18,126.96,126.96,119.26,119.26,1262,-0.0606,-0.0711,150506.12,
2015-09-21,118.26,118.48,118.26,118.48,561,0.0019,-0.0065,66467.28,
2015-09-22,116.48,116.48,115.77,115.77,701,-0.0061,-0.0229,81154.77,
2015-09-23,115.77,115.77,115.77,115.77,0,0.0,0.0,0.0,
2015-09-24,115.77,115.77,115.77,115.77,0,0.0,0.0,0.0,
2015-09-25,112.85,112.85,109.04,109.29,5748,-0.0315,-0.056,628198.92,
2015-09-28,106.63,107.7,106.48,106.48,1402,-0.0014,-0.0257,149284.96,
2015-09-29,106.48,106.48,106.48,106.48,0,0.0,0.0,0.0,
2015-09-30,112.84,112.84,107.7,107.7,16544,-0.0456,0.0115,1781788.8,
2015-10-01,109.84,116.4,106.31,113.76,971165,0.0357,0.0563,110479730.4,291145.3
2015-10-02,108.48,126.96,108.48,122.33,927703,0.1277,0.0753,113485907.99,11333713.12
2015-10-05,123.67,126.03,120.28,123.87,423965,0.0016,0.0126,52516544.55,22667253.31
2015-10-06,124.55,125.84,122.59,123.8,369988,-0.006,-0.0006,45804514.4,27912261.04
2015-10-07,124.99,126.04,118.67,121.88,404757,-0.0249,-0.0155,49331783.16,32484597.0
2015-10-08,123.09,124.17,120.85,121.58,291616,-0.0123,-0.0025,35454673.28,37417775.32
2015-10-09,121.67,125.08,121.3,122.69,356248,0.0084,0.0091,43708067.12,40963242.65
2015-10-12,123.73,124.81,120.96,123.05,213104,-0.0055,0.0029,26222447.2,45271229.47
2015-10-13,121.05,126.7,121.05,125.85,529255,0.0397,0.0228,66606741.75,47878545.69
2015-10-14,125.78,126.37,123.97,124.84,185344,-0.0075,-0.008,23138344.96,54539219.86
2015-10-15,125.75,130.44,124.44,130.31,334938,0.0363,0.0438,43645770.78,56674875.48
2015-10-16,130.9,131.6,125.09,126.31,287410,-0.0351,-0.0307,36302757.1,49991479.52
2015-10-19,125.36,128.66,123.17,123.48,223198,-0.015,-0.0224,27560489.04,42273164.43
2015-10-20,123.48,125.73,122.65,125.12,341808,0.0133,0.0133,42767016.96,39777558.88
2015-10-21,125.1,125.89,123.49,124.55,218432,-0.0044,-0.0046,27205705.6,39473809.14
2015-10-22,125.53,127.22,124.33,125.31,301430,-0.0018,0.0061,37772193.3,37261201.38
2015-10-23,125.56,128.53,124.34,128.35,325825,0.0222,0.0243,41819638.75,37492953.38
2015-10-26,128.78,130.17,126.6,129.69,311384,0.0071,0.0104,40383390.96,37304110.54
2015-10-27,129.21,130.16,126.68,129.66,221796,0.0035,-0.0002,28758069.36,38720204.92
2015-10-28,129.8,131.72,127.39,129.94,367885,0.0011,0.0022,47802976.9,34935337.68
2015-10-29,130.27,131.7,127.89,129.71,325825,-0.0043,-0.0018,42262760.75,37401800.88
2015-10-30,130.08,130.14,124.2,127.32,311384,-0.0212,-0.0184,39645410.88,37263499.87
2015-11-02,127.14,128.78,124.86,126.75,335078,-0.0031,-0.0045,42471136.5,37597765.25
2015-11-03,126.22,126.9,122.62,124.08,222357,-0.017,-0.0211,27590056.56,39088830.0
2015-11-04,124.64,125.24,121.06,123.1,314469,-0.0124,-0.0079,38711133.9,37571133.96
2015-11-05,123.1,125.32,120.19,121.06,463081,-0.0166,-0.0166,56060585.86,38721676.79
2015-11-06,120.94,121.9,119.04,121.36,409384,0.0035,0.0025,49682842.24,40550516.04
2015-11-09,121.01,124.71,120.53,123.65,283344,0.0218,0.0189,35035485.6,41336836.39
2015-11-10,123.46,124.81,122.27,123.66,292317,0.0016,0.0001,36147920.22,40802045.85
2015-11-11,123.89,125.1,122.44,123.74,232311,-0.0012,0.0006,28746163.14,41541030.94
2015-11-12,122.82,124.02,120.01,121.36,295261,-0.0119,-0.0192,35832874.96,39635349.56
2015-11-13,120.61,122.88,120.08,121.22,256426,0.0051,-0.0012,31083959.72,38992360.99
2015-11-16,120.44,122.77,120.44,122.48,380503,0.0169,0.0104,46604007.44,38136215.87
2015-11-17,122.18,123.74,121.1,122.1,466025,-0.0007,-0.0031,56901652.5,38549502.96
2015-11-18,122.67,123.06,120.66,121.0,567670,-0.0136,-0.009,68688070.0,41480662.56
2015-11-19,120.93,120.93,117.97,119.01,256426,-0.0159,-0.0164,30517258.26,44478356.17
2015-11-20,119.21,119.57,116.13,118.23,396626,-0.0082,-0.0066,46893091.98,41924023.41
2015-11-23,117.67,121.97,117.67,119.41,379942,0.0148,0.01,45368874.22,41645048.38
2015-11-24,118.78,119.04,117.15,118.2,225301,-0.0049,-0.0101,26630578.2,42678387.24
2015-11-25,119.37,120.76,117.3,117.67,257968,-0.0142,-0.0045,30355094.56,41726653.04
2015-11-27,117.83,118.68,115.96,118.26,204692,0.0036,0.005,24206875.92,41887546.18
2015-11-30,118.54,119.59,114.74,115.88,205393,-0.0224,-0.0201,23800940.84,40724946.28
2015-12-01,116.26,118.25,114.73,117.48,438686,0.0105,0.0138,51536831.28,39996644.39
2015-12-02,117.33,119.03,115.49,116.7,306758,-0.0054,-0.0066,35798658.6,40489926.78
2015-12-03,117.58,117.68,114.79,115.47,267361,-0.0179,-0.0105,30872174.67,38379627.39
2015-12-04,115.52,117.1,114.59,115.55,441350,0.0003,0.0007,50997992.5,34598037.85
2015-12-07,115.23,116.48,112.93,114.02,227404,-0.0105,-0.0132,25928604.08,36646111.28
2015-12-08,113.74,114.02,111.88,112.35,293719,-0.0122,-0.0146,32999329.65,34549662.49
2015-12-09,112.75,113.53,110.56,112.9,260351,0.0013,0.0049,29393627.9,33312708.03
2015-12-10,112.59,114.36,112.23,112.7,176091,0.001,-0.0018,19845455.7,33589013.0
2015-12-11,113.08,115.29,112.7,113.02,406440,-0.0005,0.0028,45935848.8,32538049.11
2015-12-14,113.43,114.97,112.8,114.44,390317,0.0089,0.0126,44667877.48,34710946.4
2015-12-15,115.55,117.4,115.34,117.25,297785,0.0147,0.0246,34915291.25,36797640.07
2015-12-16,117.87,119.95,116.8,118.06,299888,0.0016,0.0069,35404777.28,35135486.06
2015-12-17,118.06,118.82,117.08,117.3,140761,-0.0064,-0.0064,16511265.3,35096097.93
2015-12-18,117.14,117.92,113.92,114.86,378961,-0.0195,-0.0208,43527460.46,33660006.99
2015-12-21,115.13,116.63,111.82,112.88,269464,-0.0195,-0.0172,30417096.32,32912953.79
2015-12-22,113.05,114.47,111.74,114.34,230489,0.0114,0.0129,26354112.26,33361803.01
2015-12-23,114.47,115.63,113.89,115.34,194177,0.0076,0.0087,22396375.18,32697281.28
2015-12-24,115.14,115.66,114.42,114.92,113422,-0.0019,-0.0036,13034456.24,31997556.0
2015-12-28,114.58,114.89,113.63,114.24,205954,-0.003,-0.0059,23528184.96,31316456.06
2015-12-29,114.96,116.26,114.16,115.53,214085,0.005,0.0113,24733240.05,29075689.67
2015-12-30,115.4,116.01,114.0,114.27,198523,-0.0098,-0.0109,22685223.21,27082225.93
2015-12-31,113.7,115.76,111.77,115.41,369427,0.015,0.01,42635570.07,25859219.13
2016-01-04,114.17,115.16,108.87,109.88,325124,-0.0376,-0.0479,35724625.12,26582298.4
2016-01-05,109.82,110.9,107.75,110.2,269464,0.0035,0.0029,29694932.8,28503634.39
2016-01-06,108.59,111.51,108.59,111.33,162492,0.0252,0.0103,18090234.36,27120381.62
2016-01-07,110.14,110.88,109.17,110.21,327507,0.0006,-0.0101,36094546.47,25887695.42
2016-01-08,110.51,111.47,109.19,109.73,204972,-0.0071,-0.0044,22491577.56,26861738.85
