Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-02-09,2.27,4.86,2.27,2.91,26000,0.2819,,75660.0,
2021-02-10,2.91,2.92,2.5,2.8,33600,-0.0378,-0.0378,94080.0,
2021-02-11,2.63,2.63,2.5,2.6,9800,-0.0114,-0.0714,25480.0,
2021-02-12,2.65,2.77,2.32,2.45,16600,-0.0755,-0.0577,40670.0,
2021-02-16,2.45,3.35,2.45,2.63,29400,0.0735,0.0735,77322.0,
2021-02-17,2.73,13.39,2.5,2.7,30100,-0.011,0.0266,81270.0,
2021-02-18,2.82,3.0,2.49,3.0,27700,0.0638,0.1111,83100.0,
2021-02-19,3.5,3.89,2.75,2.8,31400,-0.2,-0.0667,87920.0,
2021-02-22,3.0,3.09,2.75,2.76,9600,-0.08,-0.0143,26496.0,
2021-02-23,2.81,3.02,2.4,3.02,35800,0.0747,0.0942,108116.0,
2021-02-24,2.49,2.76,2.46,2.6,108700,0.0442,-0.1391,282620.0,70011.4
2021-02-25,2.52,2.53,2.23,2.23,25200,-0.1151,-0.1423,56196.0,90707.4
2021-02-26,2.23,2.26,1.87,2.01,85800,-0.0987,-0.0987,172458.0,86919.0
2021-03-01,2.2,2.2,1.98,2.01,35000,-0.0864,0.0,70350.0,101616.8
2021-03-02,1.98,2.2,1.7,1.77,46200,-0.1061,-0.1194,81774.0,104584.8
2021-03-03,1.7,1.77,1.61,1.61,12200,-0.0529,-0.0904,19642.0,105030.0
2021-03-04,1.67,2.03,1.11,1.36,67400,-0.1856,-0.1553,91664.0,98867.2
2021-03-05,1.5,1.5,1.25,1.43,52300,-0.0467,0.0515,74789.0,99723.6
2021-03-08,1.3,1.39,1.21,1.32,25700,0.0154,-0.0769,33924.0,98410.5
2021-03-09,1.31,1.42,1.28,1.39,30500,0.0611,0.053,42395.0,99153.3
2021-03-10,1.43,1.78,1.41,1.47,23100,0.028,0.0576,33957.0,92581.2
2021-03-11,1.45,1.56,1.28,1.52,30200,0.0483,0.034,45904.0,67714.9
2021-03-12,1.49,1.5,1.38,1.39,26600,-0.0671,-0.0855,36974.0,66685.7
2021-03-15,1.5,1.5,1.33,1.35,71200,-0.1,-0.0288,96120.0,53137.3
