Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-11-22,9.88,9.9,9.88,9.9,625300,0.002,,6190470.0,
2021-11-23,9.88,9.9,9.88,9.88,900800,0.0,-0.002,8899904.0,
2021-11-24,9.88,9.88,9.88,9.88,112500,0.0,0.0,1111500.0,
2021-11-26,9.88,9.88,9.88,9.88,431800,0.0,0.0,4266184.0,
2021-11-29,9.89,9.89,9.86,9.87,439700,-0.002,-0.001,4339839.0,
2021-11-30,9.87,9.87,9.86,9.87,207200,0.0,0.0,2045064.0,
2021-12-01,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,
2021-12-02,9.88,9.88,9.85,9.86,78100,-0.002,-0.001,770066.0,
2021-12-03,9.86,9.86,9.86,9.86,0,0.0,0.0,0.0,
2021-12-06,9.87,9.87,9.87,9.87,31600,0.0,0.001,311892.0,
2021-12-07,9.87,9.87,9.87,9.87,800,0.0,0.0,7896.0,2793491.9
2021-12-08,9.86,9.87,9.86,9.87,85000,0.001,0.0,838950.0,2175234.5
2021-12-09,9.86,9.87,9.86,9.87,47400,0.001,0.0,467838.0,1369139.1
2021-12-10,9.87,9.89,9.87,9.87,74200,0.0,0.0,732354.0,1304772.9
2021-12-13,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,951389.9
2021-12-14,9.88,9.88,9.88,9.88,100,0.0,0.001,988.0,517406.0
2021-12-15,9.88,9.88,9.86,9.86,6800,-0.002,-0.002,67048.0,312998.4
2021-12-16,9.86,9.86,9.86,9.86,125100,0.0,0.0,1233486.0,319703.2
2021-12-17,9.85,9.87,9.85,9.85,500,0.0,-0.001,4925.0,366045.2
2021-12-20,9.87,9.87,9.87,9.87,24400,0.0,0.002,240828.0,366537.7
2021-12-21,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,359431.3
2021-12-22,9.87,9.87,9.87,9.87,3900,0.0,0.0,38493.0,358641.7
2021-12-23,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,278596.0
2021-12-27,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,231812.2
2021-12-28,9.89,9.89,9.89,9.89,200,0.0,0.002,1978.0,158576.8
2021-12-29,9.88,9.88,9.85,9.85,900,-0.003,-0.004,8865.0,158774.6
2021-12-30,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,159562.3
2021-12-31,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,152857.5
2022-01-03,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,29508.9
2022-01-04,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,29016.4
2022-01-05,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,4933.6
2022-01-06,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,4933.6
2022-01-07,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,1084.3
2022-01-10,9.89,9.9,9.89,9.9,2700,0.001,0.0051,26730.0,1084.3
2022-01-11,9.88,9.88,9.88,9.88,200,0.0,-0.002,1976.0,3757.3
2022-01-12,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,3757.1
2022-01-13,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,2870.6
2022-01-14,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,2870.6
2022-01-18,9.88,9.88,9.88,9.88,200,0.0,0.0,1976.0,2870.6
2022-01-19,9.88,9.88,9.88,9.88,300,0.0,0.0,2964.0,3068.2
2022-01-20,9.92,9.92,9.92,9.92,100,0.0,0.004,992.0,3364.6
2022-01-21,9.93,9.93,9.88,9.88,11300,-0.005,-0.004,111644.0,3463.8
2022-01-24,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,14628.2
2022-01-25,9.9,9.91,9.9,9.9,8600,0.0,0.002,85140.0,14628.2
2022-01-26,9.9,9.9,9.9,9.9,19700,0.0,0.0,195030.0,20469.2
2022-01-27,9.9,9.91,9.88,9.88,17900,-0.002,-0.002,176852.0,39774.6
2022-01-28,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,57459.8
2022-01-31,9.91,9.91,9.9,9.9,3900,-0.001,0.002,38610.0,57459.8
2022-02-01,9.91,9.92,9.91,9.92,4300,0.001,0.002,42656.0,61320.8
2022-02-02,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,65388.8
2022-02-03,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,65092.4
2022-02-04,9.9,9.92,9.9,9.92,2700,0.002,0.0,26784.0,64993.2
2022-02-07,9.92,9.92,9.9,9.9,1400,-0.002,-0.002,13860.0,56507.2
