Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2012-03-15,19.1,21.1,19.0,20.55,4202500,0.0759,,86361375.0,
2012-03-16,21.0,21.96,20.52,21.75,277100,0.0357,0.0584,6026925.0,
2012-03-19,22.06,22.38,20.79,22.0,216100,-0.0027,0.0115,4754200.0,
2012-03-20,21.49,22.43,21.0,21.5,102700,0.0005,-0.0227,2208050.0,
2012-03-21,21.5,21.5,20.51,21.17,212200,-0.0153,-0.0153,4492274.0,
2012-03-22,21.2,21.5,20.75,20.88,178500,-0.0151,-0.0137,3727080.0,
2012-03-23,21.49,21.49,20.8,20.83,148400,-0.0307,-0.0024,3091172.0,
2012-03-26,20.82,21.48,20.51,21.46,76100,0.0307,0.0302,1633106.0,
2012-03-27,21.5,22.25,21.0,21.0,63600,-0.0233,-0.0214,1335600.0,
2012-03-28,21.0,21.6,21.0,21.01,31500,0.0005,0.0005,661815.0,
2012-03-29,20.84,21.16,19.82,20.8,77100,-0.0019,-0.01,1603680.0,11429159.7
2012-03-30,21.01,21.35,20.54,20.74,133400,-0.0129,-0.0029,2766716.0,2953390.2
2012-04-02,20.72,22.25,20.7,21.79,64300,0.0516,0.0506,1401097.0,2627369.3
2012-04-03,21.6,22.0,21.25,21.66,113600,0.0028,-0.006,2460576.0,2292059.0
2012-04-04,21.51,21.66,20.66,21.3,24700,-0.0098,-0.0166,526110.0,2317311.6
2012-04-05,21.19,21.74,21.19,21.74,41100,0.026,0.0207,893514.0,1920695.2
2012-04-09,21.47,21.76,20.05,21.04,27100,-0.02,-0.0322,570184.0,1637338.6
2012-04-10,21.15,21.15,20.51,20.7,20600,-0.0213,-0.0162,426420.0,1385239.8
2012-04-11,21.05,21.15,20.78,21.12,11600,0.0033,0.0203,244992.0,1264571.2
2012-04-12,21.04,21.1,20.78,21.0,25500,-0.0019,-0.0057,535500.0,1155510.4
2012-04-13,21.01,21.12,20.89,21.06,8700,0.0024,0.0029,183222.0,1142878.9
2012-04-16,21.02,21.06,20.17,20.78,46700,-0.0114,-0.0133,970426.0,1000833.1
2012-04-17,21.06,21.15,20.86,20.9,35200,-0.0076,0.0058,735680.0,821204.1
2012-04-18,21.09,21.15,19.83,20.41,73600,-0.0322,-0.0234,1502176.0,754662.4
2012-04-19,20.3,20.54,19.51,19.97,61100,-0.0163,-0.0216,1220167.0,658822.4
2012-04-20,19.97,20.19,19.23,19.86,138300,-0.0055,-0.0055,2746638.0,728228.1
2012-04-23,19.75,20.06,19.62,19.83,50800,0.0041,-0.0015,1007364.0,913540.5
2012-04-24,20.1,20.35,20.1,20.22,112500,0.006,0.0197,2274750.0,957258.5
2012-04-25,20.44,20.54,19.31,20.33,58000,-0.0054,0.0054,1179140.0,1142091.5
2012-04-26,20.46,20.46,19.5,20.01,152900,-0.022,-0.0157,3059529.0,1235506.3
2012-04-27,20.06,20.65,19.41,19.82,96000,-0.012,-0.0095,1902720.0,1487909.2
2012-04-30,19.95,20.07,19.35,19.83,27100,-0.006,0.0005,537393.0,1659859.0
2012-05-01,19.9,20.57,19.66,19.91,23000,0.0005,0.004,457930.0,1616555.7
2012-05-02,19.84,20.61,19.84,20.61,29000,0.0388,0.0352,597690.0,1588780.7
2012-05-03,20.66,20.84,20.12,20.24,29600,-0.0203,-0.018,599104.0,1498332.1
2012-05-04,19.74,20.27,19.74,20.0,12600,0.0132,-0.0119,252000.0,1436225.8
2012-05-07,20.04,20.55,19.91,20.18,20700,0.007,0.009,417726.0,1186762.0
2012-05-08,20.08,20.75,19.66,20.01,60800,-0.0035,-0.0084,1216608.0,1127798.2
2012-05-09,19.54,19.54,14.8,16.4,555600,-0.1607,-0.1804,9111840.0,1021984.0
2012-05-10,16.4,16.61,16.15,16.23,422000,-0.0104,-0.0104,6849060.0,1815254.0
2012-05-11,16.16,16.54,15.46,15.75,147800,-0.0254,-0.0296,2327850.0,2194207.1
2012-05-14,15.59,16.03,15.36,15.66,154000,0.0045,-0.0057,2411640.0,2236720.1
2012-05-15,15.55,15.94,15.41,15.85,44600,0.0193,0.0121,706910.0,2424144.8
2012-05-16,15.92,16.1,14.91,15.2,58000,-0.0452,-0.041,881600.0,2449042.8
2012-05-17,15.32,15.52,13.36,14.26,225600,-0.0692,-0.0618,3217056.0,2477433.8
2012-05-18,13.43,14.48,13.43,13.97,66000,0.0402,-0.0203,922020.0,2739229.0
2012-05-21,13.94,15.15,13.94,14.75,83500,0.0581,0.0558,1231625.0,2806231.0
2012-05-22,14.75,15.42,14.26,15.29,163900,0.0366,0.0366,2506031.0,2887620.9
2012-05-23,14.98,15.58,14.9,15.49,53500,0.034,0.0131,828715.0,3016563.2
2012-05-24,15.5,15.5,14.6,14.88,160600,-0.04,-0.0394,2389728.0,2188250.7
2012-05-25,14.96,15.67,14.91,15.56,62600,0.0401,0.0457,974056.0,1742317.5
2012-05-29,15.57,16.35,13.07,15.94,143500,0.0238,0.0244,2287390.0,1606938.1
2012-05-30,15.6,16.07,14.87,16.0,77200,0.0256,0.0038,1235200.0,1594513.1
2012-05-31,15.98,17.37,15.88,16.56,147900,0.0363,0.035,2449224.0,1647342.1
