Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,13.2,13.22,12.95,13.05,6682900,-0.0114,,87211845.0,
2003-12-02,12.74,12.94,12.7,12.76,14444900,0.0016,-0.0222,184316924.0,
2003-12-03,12.86,12.93,12.4,12.41,16000500,-0.035,-0.0274,198566205.0,
2003-12-04,12.4,12.49,11.88,12.16,14197900,-0.0194,-0.0201,172646464.0,
2003-12-05,11.98,12.38,11.9,12.12,9420400,0.0117,-0.0033,114175248.0,
2003-12-08,12.1,12.29,11.73,11.89,7950500,-0.0174,-0.019,94531445.0,
2003-12-09,12.0,12.06,11.54,11.56,10402600,-0.0367,-0.0278,120254056.0,
2003-12-10,11.63,12.02,11.56,11.79,12122900,0.0138,0.0199,142928991.0,
2003-12-11,11.8,12.14,11.79,12.0,10394900,0.0169,0.0178,124738800.0,
2003-12-12,12.0,12.23,11.95,12.14,7181700,0.0117,0.0117,87185838.0,
2003-12-15,12.4,12.4,11.46,11.52,11904300,-0.071,-0.0511,137137536.0,132655581.6
2003-12-16,11.57,11.77,11.32,11.67,14718300,0.0086,0.013,171762561.0,137648150.7
2003-12-17,11.85,11.87,11.28,11.5,12395500,-0.0295,-0.0146,142548250.0,136392714.4
2003-12-18,11.4,12.12,11.38,12.06,10123200,0.0579,0.0487,122085792.0,130790918.9
2003-12-19,12.05,12.33,11.84,12.33,12828600,0.0232,0.0224,158176638.0,125734851.7
2003-12-22,12.26,12.86,12.21,12.77,15992500,0.0416,0.0357,204224225.0,130134990.7
2003-12-23,12.79,13.27,12.77,13.16,15986400,0.0289,0.0305,210381024.0,141104268.7
2003-12-24,13.67,13.75,13.41,13.44,12863800,-0.0168,0.0213,172889472.0,150116965.5
2003-12-26,13.61,13.64,13.45,13.52,3037900,-0.0066,0.006,41072408.0,153113013.6
2003-12-29,13.67,14.0,13.59,13.95,10285400,0.0205,0.0318,143481330.0,144746374.4
2003-12-30,13.95,13.95,13.65,13.73,7646600,-0.0158,-0.0158,104987818.0,150375923.6
2003-12-31,13.64,13.69,13.35,13.47,7426100,-0.0125,-0.0189,100029567.0,147160951.8
2004-01-02,13.72,13.89,13.64,13.74,6951300,0.0015,0.02,95510862.0,139987652.4
2004-01-05,13.84,14.18,13.84,14.15,10725100,0.0224,0.0298,151760165.0,135283913.6
2004-01-06,14.19,14.59,14.14,14.54,13702000,0.0247,0.0276,199227080.0,138251350.9
2004-01-07,14.85,15.21,14.65,15.18,21337500,0.0222,0.044,323903250.0,142356395.1
2004-01-08,15.25,15.58,15.18,15.47,16892700,0.0144,0.0191,261330069.0,154324297.6
2004-01-09,15.15,15.79,15.13,15.35,13080800,0.0132,-0.0078,200790280.0,159419202.1
2004-01-12,15.35,15.49,15.06,15.28,12724900,-0.0046,-0.0046,194436472.0,162209282.9
2004-01-13,15.15,15.25,14.65,14.86,13418200,-0.0191,-0.0275,199394452.0,177545689.3
2004-01-14,14.88,15.0,14.55,14.87,9747700,-0.0007,0.0007,144948299.0,183137001.5
2004-01-15,14.96,15.05,14.68,14.83,11584000,-0.0087,-0.0027,171790720.0,187133049.6
2004-01-16,14.85,14.99,14.74,14.96,7773800,0.0074,0.0088,116296048.0,194309164.9
2004-01-20,15.09,15.16,14.89,15.12,6780800,0.002,0.0107,102525696.0,196387683.5
2004-01-21,15.0,15.15,14.75,15.01,6349000,0.0007,-0.0073,95298490.0,191464236.6
2004-01-22,15.14,15.2,14.43,14.46,8100000,-0.0449,-0.0366,117126000.0,181071377.6
2004-01-23,14.3,14.9,14.3,14.71,8397900,0.0287,0.0173,123533109.0,160393652.6
2004-01-26,15.0,15.08,14.69,15.0,7336200,0.0,0.0197,110043000.0,146613956.6
2004-01-27,15.58,16.05,15.4,15.71,22659200,0.0083,0.0473,355976032.0,137539228.6
2004-01-28,15.96,16.88,15.92,16.11,25583900,0.0094,0.0255,412156629.0,153693184.6
2004-01-29,16.39,17.08,15.63,15.97,18792900,-0.0256,-0.0087,300122613.0,174969402.3
2004-01-30,16.05,16.49,15.89,16.11,8848300,0.0037,0.0088,142546113.0,190486833.7
2004-02-02,16.36,16.49,15.93,15.99,10391200,-0.0226,-0.0074,166155288.0,187562373.0
2004-02-03,16.05,16.4,15.83,15.96,11672100,-0.0056,-0.0019,186286716.0,192548297.0
2004-02-04,15.8,15.93,15.5,15.73,9939800,-0.0044,-0.0144,156353054.0,200924399.0
2004-02-05,15.73,15.8,15.3,15.45,9785000,-0.0178,-0.0178,151178250.0,207029855.4
2004-02-06,15.38,16.19,15.37,16.15,9909600,0.0501,0.0453,160040040.0,210435080.4
2004-02-09,16.32,16.35,15.85,15.9,8283500,-0.0257,-0.0155,131707650.0,214085773.5
2004-02-10,15.9,16.32,15.7,16.21,7345000,0.0195,0.0195,119062450.0,216252238.5
2004-02-11,16.15,16.33,16.0,16.2,7506500,0.0031,-0.0006,121605300.0,192560880.3
